จังหวัด,รายชื่อวัด
สตูล,วัดป่าวังพลับพลาชัย 
,วัดท่าจีน
,วัดท่าชะมวง
,วัดถ้ำเขาจีนธีรประดิษฐ์
,วัดทุ่งนางแก้ว
,วัดวังผาสามัคคี
,วัดพิทักษ์คลองขุด
,วัดดุลยาราม
,วัดสวนเทศ
,วัดโพธิ์เจริญธรรม
,วัดนิคมพัฒนาราม
,วัดกุมภีลบรรพต
,วัดทุ่งริ้น
,วัดมงคลมิ่งเมือง
,วัดทุ่งทะนาน
,วัดอุไดเจริญ
,วัดทุ่งขมิ้น
,วัดเกาะเนียง
,วัดควนกาหลง
,วัดนิคมประชาราม
,วัดชมภูนิมิตร
,วัดหน้าเมืองสตูล
,วัดพัฒนาราม
,วัดปาล์มพัฒนาราม 
,วัดอาทรรังสฤษฏิ์
,วัดป่ามะนังชโลธาร
,วัดห้วยไทร
,วัดราษฎร์ประชา
,วัดอุไดพัฒนาวาส
,วัดราษฎร์ประดิษฐาราม
,วัดปากบารา
,วัดชนาธิปเฉลิม
,วัดสตูลสันตยาราม
,วัดนิคมพัฒนา 
