จังหวัด,รายชื่อวัด
กระบี่,วัดโพธิ์เลื่อน
,วัดเขาคราม
,วัดกระบี่น้อย
,วัดเจริญทรวงศ์
,วัดห้วยโต้
,วัดป่าศิลาสวัสดิ์
,วัดโพธิ์แก้วประสิทธิ์
,วัดเพหลา
,วัดโพธิ์เรียง
,วัดโคกยาง
,วัดอ่าวลึกเหนือ
,วัดคลองท่อมใต้
,วัดคลองสน
,วัดพรุดินนา
,วัดมะม่วงเอน
,วัดพานิชรัตนากุล
,วัดควนสบาย
,วัดธรรมาวุธสรณาราม
,วัดช่องแบก
,วัดไพรสณฑ์
,วัดชมพูศรีรัตนบรรพต
,วัดบางเหียน
,วัดสุวรรณธาราราม
,วัดแหลมสัก
,วัดบ้านตัวอย่าง
,วัดทรายขาว
,วัดเฉลิมพนมเขต
,วัดบ้านนา
,วัดเขาพนม
,วัดเขาดิน
,วัดนทีมุขาราม
,วัดโคกเคี่ยม
,วัดโพธิ์พัฒนา
,วัดหนองจิก
,วัดท่านุ่น
,วัดบางเงิน
,วัดปานุราชประชาสรรค์
,วัดเจริญราษฎร์ศรัทธา
,วัดโคกแซะ
,วัดมหาธาตุแหลมสัก
,วัดเขาล่อม
,วัดถ้ำเสือ
,วัดคลองพน
,วัดโภคาจุฑามาตย์
,วัดถ้ำวารีริน
,วัดคลองขนาน
,วัดบางคราม
,วัดเขาต่อ
,วัดแก้วโกรวาราม
,วัดสถิตโพธาราม
,วัดควนใหม่
,วัดนิคมวราราม
,วัดในสระ
,วัดปกาสัย
,วัดคลองแรด
,วัดลำทับ
,วัดในช่อง
,วัดราษฎร์รังสรรค์
,วัดนาเหนือ 
,วัดถ้ำโกบ
,วัดทุ่งปรือ
,วัดไสไทย
,วัดนาคาธรรมาราม 
,วัดเกาะลันตา
,วัดเหนือคลองวนาราม
,วัดพรุเตย
,วัดคลองใหญ่
,วัดห้วยคราม
,วัดมหาธาตุวชิรมงคล
,วัดถ้ำทิพย์ปรีดาราม
,วัดทับปริก
,วัดพรุเตียว
,วัดบางผึ้ง
,วัดภูมิบรรพต
,วัดสหกรณ์
