จังหวัด,รายชื่อวัด
กรุงเทพมหานคร,วัดสามัคคีธรรม
,วัดวรจรรยาวาส
,วัดศรีนวลธรรมวิมล
,วัดบ้านทุ่งเสรี
,วัดพระยายัง
,วัดเปาโรหิตย์
,วัดเทพนารี
,วัดนก
,วัดดาวคะนอง
,วัดกระจับพินิจ
,วัดมหาพฤฒารามวรวิหาร
,วัดอุดมธรรมวิมุตติ
,วัดบางขุนนนท์
,วัดทองเนียม
,วัดประดู่ในทรงธรรม
,วัดนาคกลางวรวิหาร
,วัดชัยชนะสงคราม
,วัดบางนาใน
,วัดแก้วไพฑูรย์
,วัดพิกุล
,วัดธาตุทอง
,วัดเรืองยศสุทธาราม
,วัดบางขุนเทียนกลาง
,วัดกระจัง
,วัดทองบน
,วัดฉิมทายกาวาส
,วัดคลองครุ
,วัดป่าวิศรุตรัตนาราม
,วัดศรีสุขสถาพรราษฎรศรัทธาธรรม
,วัดหนองใหญ่
,วัดโพธิ์พุฒตาล
,วัดชัยมงคล
,วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร
,วัดเกาะ
,วัดสุทธาโภชน์
,วัดนาคปรก
,วัดสารอด
,วัดไผ่ตัน
,วัดใหม่ช่องลม
,วัดจันทารามวรวิหาร
,วัดคลองบ้านใหม่
,วัดยางบางจาก
,วัดบางนานอก
,วัดเสนานนท์ 
,วัดโลกานุเคราะห์
,วัดราชาธิวาสราชวรวิหาร
,วัดหลวงพ่อโอภาสี
,วัดคลองเตยใน
,วัดปรก
,วัดบางเพ็งใต้
,วัดบางบำหรุ
,วัดสน
,วัดแจงร้อน
,วัดพระราม 
,วัดโมลีโลกยารามราชวรวิหาร
,วัดคฤหบดี
,วัดใหม่
,วัดปากน้ำฝั่งใต้
,วัดอุทัยธรรมาราม
,วัดกลางดาวคะนอง
,วัดคลองภูมิ
,วัดศรีเอี่ยม
,วัดทองสุทธาราม
,วัดสุทัศนเทพวรารามราชวรมหาวิหาร
,วัดเทพธิดารามวรวิหาร
,วัดสิริกมลาวาส
,วัดลาดบัวขาว
,วัดธรรมมงคลเถาบุญนนทวิหาร
,วัดหลักสาม
,วัดม่วง
,วัดกำแพง
,วัดพิชยญาติการามวรวิหาร
,วัดภาวนาภิรตาราม
,วัดอินทร์บรรจงทรงวาดราษฎร์บำรุง
,วัดราษฎร์นิยมธรรม
,วัดบึงบัว
,วัดเจ้าอาม
,วัดบุณยประดิษฐ์
,วัดคลองเตยนอก
,วัดกุศลสมาคร
,วัดราชวรินทร์
,วัดยายร่ม
,วัดบุญศรีมุนีกรณ์
,วัดพลับพลาชัย
,วัดโพธินิมิตรสถิตมหาสีมาราม
,วัดสุวรรณประสิทธิ์
,วัดปากบ่อ
,วัดแก้วฟ้าจุฬามณี
,วัดดิสานุการาม
,วัดบัวผัน
,วัดสิตาราม
,วัดราชโกษา
,วัดเทพลีลา
,วัดปทุมคงคาราชวรวิหาร
,วัดอินทรวิหาร
,วัดทิพพาวาส
,วัดชนะสงครามราชวรมหาวิหาร
,วัดอนัมนิกายาราม
,วัดระฆังโฆสิตารามวรมหาวิหาร
,วัดศรีกุเรชา
,วัดดวงแข
,วัดมหาบุศย์
,วัดม่วงแค
,วัดทุ่งลานนา
,วัดวิศิษฎ์บุญญาวาส
,วัดพระศรีรัตนศาสดาราม
,วัดโพธิ์ราม
,วัดสีกัน
,วัดประดู่ฉิมพลี
,วัดเอี่ยมวรนุช
,วัดศรีสุดารามวรวิหาร
,วัดสุทธาวาส
,วัดสุวรรณารามราชวรวิหาร
,วัดใหม่เทพนิมิตร
,วัดหนังราชวรวิหาร
,วัดกันตทาราราม
,วัดวิจิตรการนิมิตร
,วัดไตรรัตนาราม
,วัดตรีทศเทพวรวิหาร
,วัดไก่เตี้ย
,วัดน้อยนางหงษ์
,วัดเกาะสุวรรณาราม
,วัดระฆังพรหมรังสี
,วัดรังสีรัตนวารี
,วัดสมณานัมบริหาร
,วัดยางสุทธาราม
,วัดกาญจนสิงหาสน์วรวิหาร
,วัดหิรัญรูจีวรวิหาร
,วัดพุทธบูชา
,วัดไชยทิศ
,วัดทองเพลง
,วัดดิสหงษาราม
,วัดอุดมรังสี
,วัดบางสะแกนอก
,วัดใหม่ลำนกแขวก
,วัดพรหมวงศาราม
,วัดมังกรกมลาวาส
,วัดกำแพงบางจาก
,วัดบวรมงคลราชวรวิหาร
,วัดพระไกรสีห์
,วัดศิริพงษ์ธรรมนิมิต
,วัดราชผาติการามวรวิหาร
,วัดบุญรอดธรรมาราม
,วัดราชบุรณราชวรวิหาร
,วัดยาง
,วัดศาลาแดง
,วัดวิมุตยาราม
,วัดอยู่ดีบำรุงธรรม
,วัดนวลนรดิศวรวิหาร
,วัดสีหไกรสร
,วัดสุทธาราม
,วัดบางยี่ขัน
,วัดเลา
,วัดบวรนิเวศราชวรวิหาร
,วัดสุทธิสะอาด
,วัดบรมสถล
,วัดทอง
,วัดอัมพวัน
,วัดราชคฤห์วรวิหาร
,วัดเวฬุวนาราม
,วัดกันมาตุยาราม
,วัดประเสริฐสุทธาวาส
,วัดทิพยวารีวิหาร
,วัดภาณุรังษี
,วัดแทนวันดีเจริญสุข
,วัดราษฎร์บำรุง
,วัดเบญจมบพิตรดุสิตวนารามราชวรวิหาร
,วัดอมราวราราม
,วัดมะพร้าวเตี้ย
,วัดเจ้ามูล
,วัดบางมดโสธราราม
,วัดอนงคารามวรวิหาร
,วัดวชิรธรรมสาธิตวรวิหาร
,วัดแป้นทองโสภาราม
,วัดโสมนัสราชวรวิหาร
,วัดดาวดึงษาราม
,วัดทรัพย์สโมสรนิกรเกษม
,วัดพรพระร่วงประสิทธิ
,วัดพลมานีย์
,วัดพระยาทำวรวิหาร
,วัดจันทร์นอก
,วัดหัวกระบือ
,วัดแก้วพิทักษ์เจริญธรรม
,วัดรัชฎาธิษฐานราชวรวิหาร
,วัดจันทร์ใน
,วัดปลูกศรัทธา
,วัดสะพานพระโขนง
,วัดมงคลวราราม
,วัดไผ่เลี้ยง
,วัดบางขุนเทียนใน
,วัดทองใน
,วัดประสาท
,วัดประยงค์กิตติวนาราม
,วัดโพธิ์แก้ว
,วัดสาครสุ่นประชาสรรค์
,วัดครุฑ
,วัดประชาศรัทธาธรรม
,วัดไตรมิตรวิทยารามวรวิหาร
,วัดบึงทองหลาง
,วัดจอมสุดาราม
,วัดสีชมพู
,วัดสุวรรณคีรี
,วัดช่างเหล็ก
,วัดท่าพระ
,วัดอ่างแก้ว
,วัดศรีบุญเรือง
,วัดพิชัย
,วัดราชประดิษฐสถิตมหาสีมารามราชวรวิหาร
,วัดวชิรธรรมาวาส
,วัดสวัสดิ์วารีสีมาราม
,วัดบางโคล่นอก
,วัดบางน้ำชน
,วัดแสนสุข
,วัดช่องนนทรี
,วัดอินทารามวรวิหาร
,วัดพระยาสุเรนทร์
,วัดตะล่อม
,วัดหนองจอก
,วัดลครทำ
,วัดปทุมวนารามราชวรวิหาร
,วัดต้นไทรย์
,วัดสามัคคีสุทธาวาส
,วัดตะโน
,วัดอรุณราชวรารามราชวรมหาวิหาร
,วัดเพลง
,วัดใหม่พิเรนทร์
,วัดพุทธจักรมงคลชยาราม
,วัดดุสิดารามวรวิหาร
,วัดคูหาสวรรค์วรวิหาร
,วัดราชสิทธารามราชวรวิหาร
,วัดสันติธรรมาราม
,วัดชัยฉิมพลี
,วัดอู่ตะเภา
,วัดทุ่งเศรษฐี
,วัดมหรรณพารามวรวิหาร
,วัดยานนาวา
,วัดคณิกาผล
,วัดเจริญธรรมาราม
,วัดขุมทอง
,วัดนายโรง
,วัดสมรโกฏิ
,วัดราชบพิธสถิตมหาสีมารามราชวรวิหาร
,วัดวงษ์ลาภาราม
,วัดชัยพฤกษมาลาราชวรวิหาร
