จังหวัด,รายชื่อวัด
กาญจนบุรี,วัดดอนชะเอม
,วัดปากกิเลน
,วัดไพรงาม
,วัดศรีเกษตราราม
,วัดเกริงกระเวีย
,วัดหนองบ้านเก่า
,วัดเขาน้อยชินราช
,วัดเกาะเจริญสุขาราม
,วัดสระกระเบื้อง
,วัดโกรกตารอด
,วัดองหลุ
,วัดกรับใหญ่
,วัดสะพานลาวประชาสรรค์
,วัดท่าน้ำตื้น
,วัดท่ามะกา
,วัดเทวธรรม
,วัดหนองโพธิ์
,วัดหนองจั่น
,วัดหนองไก่เหลือง
,วัดสิงห์ไพบูลย์ประชาสรรค์
,วัดพระแท่นดงรังวรวิหาร
,วัดหนองกระทุ่ม
,วัดเขาวงพระจันทร์
,วัดเลาขวัญ
,วัดน้ำคลุ้ง
,วัดวังผาแดง
,วัดเมตตาธรรมโพธิญาณ
,วัดปากบาง
,วัดคร้อพนัน
,วัดเขานางพิมพ์ปรีชาราม
,วัดเวฬุวัน
,วัดเขาช้างวนาราม
,วัดนาใหม่
,วัดทะเลสาบ
,วัดใหม่พัฒนา
,วัดพรหมณี
,วัดเทวสังฆาราม
,วัดถ้ำกูปนฬวัน
,วัดท่ามะนาว
,วัดชัฏดงพลับ
,วัดพุเตย
,วัดต้นมะม่วง
,วัดบ้านสามหลัง
,วัดใหม่เจริญสุข
,วัดนากาญจน์
,วัดพุน้ำเปรี้ยว
,วัดหนองใหญ่เจริญพร
,วัดพุน้ำร้อนรัตนคีรี
,วัดใหม่น้ำทรัพย์ประชาสรรค์
,วัดเขาน้อยศรีน้ำเงิน
,วัดรางหวาย
,วัดไทยชาวเขา
,วัดประดู่เหลี่ยม
,วัดทุ่งสมอ
,วัดลำทราย
,วัดถ้ำพระธาตุ
,วัดบ้านห้วยน้ำขาว
,วัดน้ำลาด
,วัดเฉลิมชัยมงคลสามัคคี
,วัดเขาใหญ่
,วัดหนองจอก
,วัดใหญ่ดงรัง
,วัดเขาวงจินดาราม
,วัดธารน้ำร้อน
,วัดหนองแดงวนาราม
,วัดหนองลานราษฎร์บำรุง
,วัดหนองโพธิ์คีรีเขต
,วัดหนองขอนเทพพนม
,วัดหนองปลาไหล
,วัดหนองกระหนาก
,วัดบ้านพนมนาง
,วัดถ้ำเสือดาว
,วัดเขาแยง
,วัดเขาแทงหมูผาสุกิจวนาราม
,วัดโป่งไหม
,วัดสมานสามัคคีธรรม
,วัดพ่อขุนเณร
,วัดน้ำตก
,วัดทุ่งก้างย่าง
,วัดท่ามะเดื่อ
,วัดพุพง
,วัดไผ่งาม
,วัดป่าพุทธบาทเขาน้อย
,วัดกระเจาบ่อยา
,วัดท่าตะคร้อ
,วัดหนองแจง
,วัดสวนมะม่วง
,วัดถ้ำเขาชะอางค์
,วัดเนินพระงาม
,วัดท่าทุ่งนาฤทธาราม
,วัดเนินบรรพต
,วัดหนองขุย
,วัดประตูด่าน
,วัดห้วยลึกสามัคคีธรรม
,วัดเสาหงส์
,วัดหินดาด
,วัดพุทธบริษัท
,วัดโป่งโก
,วัดศรีสุวรรณาราม
,วัดยางโทน
,วัดเขาสามสิบหาบ
,วัดเสาหงษ์
,วัดบ้านถ้ำ
,วัดจันทร์ลาดสุขสุวรรณ
,วัดดงสัก
,วัดช่องกลิ้ง
,วัดทิพุเยโกวิทยาราม
,วัดถ้ำประทุน
,วัดพุประดู่
,วัดหนองตาเดช
,วัดดงโคร่ง
,วัดผาสุกิจสุวรรณเขต
,วัดหนองหญ้าปล้อง
,วัดวังผาตาด
,วัดหนองสาหร่าย
,วัดวังโพธิการาม
,วัดบ้านยาง
,วัดเขาโสธาราม
,วัดถ้ำพุกุ้งเจริญธรรม
,วัดทิพย์สุคนธาราม
,วัดท่าแย้เจริญธรรม
,วัดหนองพลับ
,วัดหนองบัว
,วัดพุบอน
,วัดพุมุด
,วัดเขาแหลม
,วัดทองผาภูมิ
,วัดภูกำแพง
,วัดไตรรงค์
,วัดเขารังวนาราม
,วัดหนองขอน
,วัดดอนสว่าง
,วัดหนองสองห้อง
,วัดทุ่งสกุลทอง
,วัดเครือมิตรสันติธรรม
,วัดใหม่รุ่งเรืองธรรม
,วัดสุวรรณคีรี 
,วัดหนองไม้เอื้อย
,วัดทิไร่ป้า
,วัดหนองหมู
,วัดผาผึ้ง
,วัดปากลำปิล็อก
,วัดโพธิ์เอน
,วัดหนองมะสัง
,วัดสันติราษฎร์บำรุงวราราม 
,วัดวังปลาหมู
,วัดดอนคราม
,วัดเขาสะพายแร้ง
,วัดกาญจนนิมิต
,วัดหนองพังตรุ
,วัดใหม่คีรีวงษ์
,วัดหนองโสนเทียมจันทร์
,วัดเขาตะพั้น
,วัดสระลงเรือ
,วัดมโนธรรมมาราม
,วัดถ้ำวังหิน
,วัดดงพง
,วัดหนองโรง
,วัดต้นลำใย
,วัดมโณธรรม
,วัดโป่งกูป
,วัดบ่อระแหงคุณาราม
,วัดเขาจ่าท่าโป่งธรรมไพบูลย์
,วัดถ้ำเนรมิตร
,วัดวังปะโท่
,วัดหนองขบ
,วัดวังศาลา
,วัดแก่งสามัคคี
,วัดหนองแกแดง
,วัดป่าหลวงตาจันทร์
,วัดโป่งรี
,วัดทุ่งโป่งบูชาธรรม
,วัดสระจันทอง
,วัดเมตตาปิตยานนท์ 
,วัดวังหิน
,วัดแสลบเขต
,วัดถ้ำสัตตบรรคูหา
,วัดบ้านใหม่
,วัดเขาพระสิทธิญาณ
,วัดหนองตากยาอภัยสัตว์
,วัดถ้ำเจริญธรรม
,วัดเนรัญชราราม
,วัดพุทโธภาวนา
,วัดหนองเสือ
,วัดหวายเหนียว
,วัดอู่ลอง
,วัดท่าตาเสือ
,วัดหัวหิน
,วัดหนองมะค่า
,วัดเขาโจด
,วัดหนองโตนด
,วัดหินแท่นลำภาชี
,วัดหนองไผ่ล้อม
,วัดเนินสวรรค์ฤทธาราม
,วัดขันติเมตตา
,วัดมะลังกา
,วัดโป่งหวาย
,วัดม่วงชุม
,วัดหนองไก่ต่อ
,วัดจวบจันทร์วนาราม
,วัดเชิงเขา
,วัดเขาถ้ำสหกรณ์นิคม
,วัดเกาะบุก
,วัดสระเศรษฐีปรีชาราษฎร์
,วัดพุน้อย
,วัดหมอเฒ่า 
,วัดถ้ำเขามุสิเชิดชูธรรม
,วัดหนองขอนเทพมงคล
,วัดถ้ำคีรีธรรม
,วัดหนองตะครอง
,วัดท่ากระดาน
,วัดราษฎร์บำรุงธรรม
,วัดศรีมงคล
,วัดเสน่ห์พ่อง
,วัดต้นมะพร้าว
,วัดเบญพาด
,วัดศรีพนมเทียน
,วัดเขาวัง
,วัดเทพเทพาศรัทธาธรรม
,วัดหนองตะโก
,วัดเขาเหล็ก
,วัดไร่ป้า
,วัดใหม่เจริญผล
,วัดไชยชุมพลชนะสงคราม
,วัดเขามุสิการาม
,วัดหนองกงเกวียน
,วัดองสิต
,วัดหม่องกระแทะ
,วัดอุดมมงคล
,วัดพรหมนิมิต
,วัดเขาพ่อปู่ราษฎร์บำรุง
,วัดเขาหินตั้ง
,วัดหนองแกใน
,วัดซ้องสาธุการ
,วัดหนองลาน
,วัดหนองปากดง
,วัดพุเลียบ
,วัดห้วยเจริญธรรม
,วัดหินกอง
,วัดหนองรี
,วัดเหมืองแร่ปิล็อก
,วัดดงเสลาเก่า
,วัดสระกลอย
,วัดจรเข้เผือก
,วัดเขาจันทร์ศิลาภรณ์
,วัดถ้ำมุนีนาถ
,วัดนพเก้าทายิการาม
,วัดสนามแย้
,วัดดอนสามง่าม
,วัดม่วงเฒ่า
,วัดเขาเพิง
,วัดประจำไม้
,วัดทัพพระยา
,วัดธุดงค์สมเด็จ
,วัดลิ่นถิ่น
,วัดทุ่งลาดหญ้า
,วัดไผ่สี
,วัดบ้านน้ำมุด
,วัดห้วยกระเจา
,วัดหนองแกประชาสรรค์
,วัดเขาศาลาพัฒนาราม
,วัดบ้านทอง
,วัดวังขนายทายิการาม
,วัดสามพระยา
,วัดดอนตาลเสี้ยน
,วัดจันทร์หงาย
,วัดมอเจริญธรรม
,วัดถ้ำขุนไกร
,วัดหัวนา
,วัดป่าเขาใหญ่
,วัดห้วยสมจิต
,วัดตลาดสำรองพันธาราม
,วัดห้วยหวาย
,วัดห้วยกรด
,วัดศรีโลหะราษฎร์บำรุง
,วัดหนองฝ้ายเล็ก
,วัดพุพรม
