จังหวัด,รายชื่อวัด
กาฬสินธุ์,วัดจินดามณี
,วัดสว่างสามัคคี
,วัดโคกกลาง
,วัดบูรพากุดสิมคุ้มใหม่
,วัดโพธิ์บึงไฮ
,วัดกุดอ้อ
,วัดโพธิสมพร
,วัดคำจันทร์เพ็ญ
,วัดพุทธปฏิมากร
,วัดตรีรัตนาราม
,วัดพร้าวศรีสำราญ
,วัดดงปอ
,วัดสิมนาโก
,วัดโพธิ์ศรีบ้านตูม
,วัดห้วยยางดง
,วัดโพธิ์ชัย
,วัดสว่างใต้
,วัดห้วยเสือเต้น
,วัดโพธิ์ชัยแสงสว่างนาทัน
,วัดพิกุลเจริญ
,วัดสระทองดอนดู่
,วัดสมสะอาด
,วัดป่าบุญญาภรณ์ถาวรนิมิต
,วัดกุดตาใกล้
,วัดเวฬุวัน
,วัดหนองไผ่
,วัดโพนวิมาน
,วัดอนงค์สงเปลือย
,วัดบูรพาโคกล่าม
,วัดโพธิ์ชัยศรีทองโคกน้อย
,วัดป่าศรัทธาธรรม
,วัดโนนโพธิ์ศรี
,วัดป่าทองประดิษฐ์
,วัดสะอาดนาดี
,วัดโพธิ์ชัยเสมาราม
,วัดโพธิ์ศรีสว่าง
,วัดสว่างโพธิ์ศรี 
,วัดดงสวรรค์
,วัดป่ากุดหว้า
,วัดอุทัยทิพพาวาส
,วัดป่าห้วยเตย
,วัดหนองยอ
,วัดภูปอ
,วัดศีรษะเกษวราราม
,วัดศรีจันทร์โพธาราม
,วัดบ้านยางอู้ม
,วัดคำหงษา
,วัดโพธิ์โนนสว่าง
,วัดสุมังคลาราม
,วัดศรีชมพู
,วัดท่าคันโท
,วัดดงจันทร์
,วัดโพธิ์หนองจาน
,วัดโคกเครือ
,วัดรังษีปาลิวัน
,วัดบ้านแวง
,วัดสว่างโคกกลาง
,วัดสว่างโพธิ์ศรี
,วัดโพธิ์ศรีท่างาม
,วัดป่าสวรรค์จันทาราม
,วัดโพธิ์ทอง
,วัดโพธิ์ศรีสว่างดอนม่วง
