จังหวัด,รายชื่อวัด
กำแพงเพชร,วัดคล้ายภู่ทอง
,วัดช่องลม
,วัดวังประดา
,วัดอู่สำเภา
,วัดหนองขาม
,วัดท่าคร้อ
,วัดตะล่อมสุวรรณาราม
,วัดมอสังเวียน
,วัดมิตรศรัทธาธรรม
,วัดบ้านดงเย็น
,วัดมะม่วงงาม
,วัดบ้านไร่อุดม 
,วัดโชคชัยพัฒนา
,วัดวังล้อม
,วัดสันติวนาราม
,วัดเย็นบูรณะราษฎร์เจริญ
,วัดนิมิตธัญญาราม
,วัดวังโบสถ์
,วัดเกาะรากเสียดนอก
,วัดโคศิรการาม
,วัดมหาชัยวนาราม
,วัดใหม่ธงชัย
,วัดถ้ำเขาตะล่อม
,วัดหนองกระทุ่ม
,วัดอุเบกขาราม
,วัดบึงสำราญน้อย
,วัดศรีสุทธาวาส
,วัดหนองเอื้อมสามัคคี
,วัดมอสำเภาพัฒนาราม
,วัดดำรงธรรม
,วัดดอนเหียง
,วัดดงเจริญ 
,วัดบาง
,วัดศรีปุณณาวาส
,วัดหนองไผ่
,วัดพัฒนราษฎร์บำรุง
,วัดบึงบ้าน
,วัดป่าเจริญธรรม
,วัดเนินกรวด
,วัดคลองแต้วพัฒนา
,วัดดอนแตง
,วัดเตาขนมจีน
,วัดทุ่งสามัคคี
,วัดดงอีบุก
,วัดบึงลาด
,วัดปางลับแล 
,วัดยางเลียง
,วัดลานดอกไม้
,วัดคลองสุขใจ 
,วัดบึงเสือเต้น
,วัดศรีภิรมย์
,วัดพิกุล
,วัดหนองชุมแสง
,วัดดาดทองเจริญ
,วัดโพธิ์ใหม่กฤษฎี
,วัดทุ่งสวน
,วัดทีฆายุการาม
,วัดใหม่สุทธาราม 
,วัดหนองลวกหิรัญญาราม
,วัดลานทอง
,วัดนาควัชรโสภณ
,วัดโนนทัน
,วัดอรัญสถิตย์
,วัดหนองเหมือด
,วัดสระสิงห์โต
,วัดสามจบสามัคคี 
,วัดโพธิ์ทอง
,วัดจิกลาด
,วัดสิทธิวราราม
,วัดคฤหบดีสงฆ์
,วัดมงคลศรัทธาราม
,วัดชุมนาก
,วัดฟากทุ่ง
,วัดคงคาราม
,วัดอุดมศรัทธาราม
,วัดโพธิ์ทะเล
,วัดถาวรวัฒนา 
,วัดสลกบาตร
,วัดคลองน้ำเย็นเหนือ
,วัดกระบวยทอง
,วัดบุญญารักษ์
,วัดดอนไพรวัลย์
,วัดทุ่งสนุ่นรัตนาราม
,วัดบ้านน้อยวรราชพัฒนา 
,วัดบ่อทอง
,วัดพานทอง
,วัดอยู่โนนมะกอก
,วัดวังผึ้ง 
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดนิคมสหกรณ์
,วัดหนองคล้ารัตนาราม 
,วัดสามัคคีธรรม
,วัดหนองปืนแตก
,วัดสักงาม
,วัดมะกอกหวาน
,วัดห้วยใหญ่ยางงาม
,วัดทุ่งรวงทอง
,วัดบ้านปางขนุน
,วัดวชิราราม
,วัดรุ่งโรจน์วนาราม 
,วัดมอสูง
,วัดคลองเจริญราษฎร์บำรุง
,วัดไผ่งาม
,วัดปางมะค่า
,วัดคลองใหญ่ใหม่ 
,วัดศรีหัตถยาราม
,วัดป่าเจริญธรรม 
,วัดเกาะฝ้าย
,วัดศรีวิไล
,วัดป่าภาวนาเมตตา 
,วัดกาทิ้งสามัคคีธรรม
,วัดโกสัมพี
,วัดใหม่ท้ายวัง
,วัดธรรมธาราม
,วัดป่าพานทองใต้
,วัดเจริญสุข 
,วัดกุฏิการาม
,วัดหนองไผ่วนาราม 
,วัดพระบรมธาตุ
,วัดร่มเย็น 
,วัดหนองหลวง
,วัดแสงอรุณ
,วัดคูหาสวรรค์
,วัดวังอ้อ
,วัดอัมพาพนาราม
,วัดคลองน้ำไหลกลาง
,วัดหนองเต่าทอง
,วัดคลองราษฎร์เจริญ
,วัดศาลเจ้าแม่
,วัดไตรภูมิ
,วัดใหม่โคกเจริญ
,วัดวังตะเคียนทอง
,วัดทุ่งมหาศาล
,วัดเสมางาม
,วัดกัลปพฤกษ์
,วัดรวงผึ้งพัฒนา 
,วัดโพธิ์พัฒนา
,วัดนานอก
,วัดหนองน้ำขุ่น
,วัดอรัญญิกาวาส
,วัดไร่หลักขวัญ
,วัดมหาโพธิมงคล
,วัดเนินสง่า 
,วัดธรรมรังษี
,วัดคลองเจริญ 
,วัดโนนใหญ่วัฒนาราม
,วัดดงซ่อมสามัคคี
,วัดสันติสุข
,วัดสามขา
,วัดตลุกงาม
,วัดโนนสมบูรณ์
,วัดบ่อเงิน
,วัดแม่สอด
,วัดลานกระทิง
,วัดน้อยวรลักษณ์
,วัดโนนจั่นโสภาราม 
,วัดมอสมบัติ
,วัดปทุมทอง
,วัดหนองบัว
,วัดแสนสุข
,วัดเพชรนิยม 
,วัดหัวยาง
,วัดวารีวัฒนาราม
,วัดสระเตย
,วัดเขาวังเจ้า
,วัดมาบมะโมง
,วัดหนองเม่น
,วัดห้วยปักษ์
,วัดจิกคันซ้อน
,วัดศรีทองพัฒนาราม 
,วัดมุจลินท์
,วัดวังเจ้า
,วัดบ้านใหม่วงศ์เจริญ 
,วัดวังพระธาตุ
,วัดเนินสำราญ
,วัดใหม่เจริญพร
,วัดหนองปลิง
,วัดทุ่งสร้างวนาราม 
,วัดสิงคาราม
,วัดบ้านหลวง
,วัดโป่งน้ำร้อน
,วัดเกาะหมู
,วัดพัฒนานิคม
,วัดบ่อแก้ว
,วัดสุขเกษม
,วัดหนองชุมแสงธรรม
,วัดพระธาตุธนาราม
,วัดคณฑีศรีวชิราราม
,วัดงิ้วสองนาง
,วัดคอปล้อง
,วัดคลองใหญ่ใต้ 
,วัดหงษ์ทอง
,วัดสว่างอารมณ์
,วัดท่าขึ้น
,วัดรักษ์สามัคคีธรรม
,วัดสันติวัน
,วัดธรรมโสฬส 
,วัดหนองใหญ่
,วัดนิคมธรรมาราม
,วัดบ้านแม่นารี
,วัดชัยภูมิ
,วัดหนองนกชุม 
,วัดธรรมโสภณวนาราม
,วัดพระเจดีย์ทอง
,วัดบึงสำราญใหญ่
,วัดอุทุมพร
,วัดแก้วสุริย์ฉาย
,วัดชัยเคือง
,วัดท่าเสลี่ยง
,วัดทรายทองศรัทธาราม
,วัดคลองต้นไทร 
,วัดเนินกรอย
,วัดดงชะนีไพร 
,วัดไพรสณฑ์รัตนาราม
,วัดป่าดอยลับงา
,วัดแก้วโสภณ
,วัดสันเนินดินแดง
,วัดโนนตารอด
,วัดด่านกรวด
,วัดโขมงหัก
,วัดไร่ลำปาง
,วัดคลองพัฒนาราม
,วัดวังน้ำสามัคคี
,วัดทุ่งตาพุก
,วัดคูยาง
,วัดวังเพชร
,วัดป่าชัยรังสี
,วัดป่าหนองหมี 
,วัดปากคลองลาน
,วัดโพธิ์เตี้ย
,วัดไร่นาขวัญ
,วัดราษฎร์ศรัทธาธรรม
,วัดหนองไม้กอง
,วัดคลองหัวแหวน 
,วัดชัยพฤกษ์
,วัดท่าคูณสามัคคีธรรม
,วัดหนองปรือ 
,วัดศรีสังฆธาราม
,วัดป่าบึงหล่ม 
,วัดขนุนงาม
,วัดใหม่ศรีเจริญพร
,วัดนาเหนือ
,วัดเขาพระ
,วัดเกาะตำแย
,วัดแก้วชัยมงคล
,วัดชัยมงคล
,วัดบึงหล่ม 
,วัดศรีเกษตรพัฒนา
,วัดธรรมวารี
,วัดเขาคีรีส
,วัดเกศกาสร
,วัดมอเศรษฐี
