จังหวัด,รายชื่อวัด
ขอนแก่น,วัดบ้านท่าเดื่อ
,วัดอรุณเรืองวนาราม
,วัดทรายมูล
,วัดจินดามณี
,วัดป่าแก้วโกศล
,วัดไพรงาม
,วัดป่าหินลาด
,วัดโพธิ์ชัยบ้านไผ่
,วัดธรรมวิเวกประชาสรรค์
,วัดภูเขาวง
,วัดนาราม
,วัดเขาดินวนาราม
,วัดเกาะศิริ
,วัดโนนทอง
,วัดชนบำรุง
,วัดศรีพอง
,วัดศรีประสิทธิ์
,วัดโพธิ์ก่อง 
,วัดป่าเรไรย์
,วัดพิชัยพัฒนาราม
,วัดป่าดอนบาลไท
,วัดโกสุมภาราม
,วัดสันติวนาราม
,วัดโพธิ์ชัย
,วัดศรีสว่างวงษ์
,วัดไชโย
,วัดโพธิ์สง่า
,วัดสว่างโนนชัย
,วัดสาลีวนาราม
,วัดสว่างแดนดิน
,วัดบึงนาเพียง
,วัดสระพัง
,วัดนิโรธาราม
,วัดท่าประทาย
,วัดตาลเดี่ยว
,วัดพนมไพร
,วัดนาโพธิ์
,วัดโนนสัง
,วัดรักขิตมณีวัลย์
,วัดสมสะอาด
,วัดหนองแวง
,วัดศรีสะอาด
,วัดราษฎร์นิยม
,วัดมธุวัณโณวาส
,วัดเวฬุวัน
,วัดชัยสวาสดิ์
,วัดบ้านโนนศรีเรือง
,วัดโสภณวนาราม
,วัดสามัคคีประชาวาส
,วัดเจริญวารี
,วัดมหาปราสาทเขมาภิรตาราม
,วัดนาราธิวาส
,วัดอุดมวิทยาราม
,วัดป่าศรัทธาธรรม
,วัดมัชฌิมวิทยาราม
,วัดศรีบาลเรือง
,วัดชัยสว่าง
,วัดวาฬุการาม
,วัดท่าละหาน
,วัดศรีธรรมา
,วัดท่าเดื่อ
,วัดนิคมพรหมรังสี
,วัดสักหลวง
,วัดหัตถวิชัย
,วัดสุนทรสมุทร์
,วัดบ้านหัวหนอง
,วัดบึงเกษตร
,วัดไทยนิยม
,วัดภูศรีสว่าง
,วัดนามล
,วัดอิสาณราษฎร์บำรุง
,วัดอิสาณ
,วัดอินทประสิทธิ์
,วัดศรีรัตนปรับปรุง
,วัดบัวระพา
,วัดสุมังคลาราม
,วัดศรีชมพู
,วัดป่าบ้านแห่
,วัดศรีสว่างโนนแดงใหญ่
,วัดเอี่ยมไพบูลย์
,วัดโพธิ์ทอง
,วัดหนองไฮ
,วัดสว่างโพธิ์ศรี
,วัดสารเขต
,วัดสันติการาม
,วัดศรีธงชัย
,วัดศรีสง่าวณาราม
,วัดตระคลองหัน
,วัดอิสาน
,วัดคงคาราม
,วัดอุ่มลอง
,วัดบุพพาราม
,วัดอุทัยประสิทธิ์
,วัดโพธิชัย
,วัดสว่างโพธิ์ชัย
,วัดธัญญาสมจิตร
,วัดโนนสำราญ
,วัดแก้วสว่าง
,วัดมุกดาราม
,วัดพระเนาว์ศรี
,วัดรัตนาราม
,วัดสีสะปาวัน
,วัดสะอาดชัยศรี
,วัดโพธิ์ศรีสะอาด
,วัดท่าราษฎร์
,วัดทางพาด
,วัดแท่นศิลา
,วัดสิงขรณ์
,วัดจุณณะปิยะวนาวาส
,วัดสะอาดโนนงาม
,วัดสมบูรณ์
,วัดดาวเรือง
,วัดกลางอรัญเขต
,วัดป่านิโคธารา
,วัดโสกสว่างอารมณ์
,วัดราษฎร์สามัคคี
,วัดสว่างสามสวน
,วัดชุมพรชัยศรี
,วัดท่ามะเดื่อ
,วัดไพบูลย์
,วัดท่าแขก
,วัดสำราญนาศรี
,วัดศรีวิไล
,วัดบรมวาส
,วัดสว่างโนนดู่
,วัดชนะชัย
,วัดทาม
,วัดป่ารัตนมงคล
,วัดหนองเขื่อนช้าง
,วัดกุสวนาราม
,วัดป่าบ้านโป่งสังข์
,วัดโกวสินธุ์วนาราม
,วัดโคกกุง
,วัดใหม่สุขสันต์
,วัดตระคลองโพธิ์
,วัดสว่างหนองไฮ
,วัดศรีชัยยาราม
,วัดทองประสาน
,วัดสระยาง
,วัดป่าวิเวการาม
,วัดธรรมิการาม
,วัดราษฎร์ดำเนิน
,วัดทรงศิลา
,วัดวิชัยชนาราม
,วัดธรรมณี
,วัดฉัททันต์
,วัดเทพนิมิต
,วัดสว่างสำราญ
,วัดพิศาล
,วัดศรีดงเรือง
,วัดศรีนวล
,วัดสระเกษ
,วัดศิริทรงธรรม
,วัดศรีเมืองแอม
,วัดโนนแห่โพธิ์ชัย
,วัดใหม่ศรีสำราญ
,วัดป่าเรไร
,วัดคลองสินธุ์
,วัดโสกม่วงสามัคคี
,วัดโพธิ์นิมิตร
,วัดบึงบอล
,วัดโนนชัยวนาราม
,วัดสะพานยาว
,วัดชมภูคำ
,วัดสิทธิการาม
,วัดสุวรรณาวาส
,วัดหนองหญ้าปล้อง
,วัดตะคลองสีผึ้ง
,วัดคันธามวัน
,วัดบูรณาราม
,วัดศิริชัยมงคล
,วัดนวลจันทร์
,วัดถ้ำพระคำเม็ก
,วัดหนองนกเขียน
,วัดสามสวน
,วัดท่าพระเนาว์
,วัดศรีมณีธรรม
,วัดวิจิตราราม
,วัดสว่างดงเค็ง
,วัดอรุณวราราม
,วัดดอนเมือง
,วัดสว่างหนองสังข์
,วัดพุทธชาฎา
,วัดอมรินทราวาส
,วัดไตรรงค์
,วัดชัยประสิทธิ์
,วัดท่าเกษมสามัคคี
,วัดสว่างอารมย์
,วัดแคนเหนือ
,วัดแก้วกู่ชัยมงคล
,วัดนาวาสวัสดิ์
,วัดศรีบุญนาค
,วัดท่ากระบือ
,วัดศรีชมบาล
,วัดยางคำ
,วัดสายราษฎร์บำรุง
,วัดป่าเกษมคงคาราม
,วัดป่าภูเขาดิน
,วัดหนองคูสุวรรณาราม
,วัดหนองตูม
,วัดศรีราษฏร์บำรุง
,วัดนาเลา
,วัดบ้านคำใหญ่
,วัดศรีรัตนาราม
,วัดนิลวรรณ
,วัดอาคเนย์
,วัดศรีสำราญ
,วัดพัฒนาราม
,วัดศรีประชาสรรค์
,วัดพิบูลย์
,วัดโนนสูง
,วัดบึงแก้ว
,วัดสว่างวงษ์
,วัดป่าอาสภาวาส
,วัดป่าสุขิตาราม
,วัดศรีสว่างโนนทัน
,วัดอุทัยธรรม
,วัดขนุนโพธิ์
,วัดศรีมหานาท
,วัดสว่างจูมทอง
,วัดโพธิ์พฤกษ์
,วัดสามัคคีวิทยาราม
,วัดสว่างชัยศรี
,วัดศรีสมพร
,วัดบึงกาญน์
,วัดป่าสุริยาเย็น
,วัดโพธิ์ตาล
,วัดราษฎร์บำรุง
,วัดสำราญราษฎร์
,วัดป่ามัชฌิมวัลย์
,วัดสว่างอรุณ
,วัดจอมศรีมุนี
,วัดอัมพร
,วัดเทพนิมิตร
,วัดแสงสุวรรณ
,วัดป่าสระแก้วชัยมงคล
,วัดกุดน้ำเที่ยง
,วัดบรูพาวนาราม
,วัดอัมพรมะติตถาราม 
,วัดสุวรรณบรรพต
,วัดโคกกลางสว่าง
,วัดโพธิ์ธาตุ 
,วัดกลางบุรี
,วัดสามัคคีพัฒนาราม
,วัดนาถวนาราม
,วัดหันสว่าง
,วัดหิมาลัย
,วัดสองคอน
,วัดป่านาหนองทุ่ม
,วัดอุทุมพร
,วัดศิริวรรณ
,วัดธรณีธงชัย
,วัดโพนเลา
,วัดหินลาด
,วัดปทุมวัน
,วัดห้วยซ้อ
,วัดเลียบโพธิ์ทอง บ้านวังผือ
,วัดถนนยาว
,วัดอัมพาราม
,วัดสว่างกลางฮุง
,วัดป่าหนองม่วง
,วัดท่าแร่
,วัดป่าคำบอน
,วัดคำมูล
,วัดป่าสันติธรรม
,วัดมารวิชัย
,วัดสว่างมรรค
,วัดเทพาภิบาล
,วัดครองธรรมมิการาม
,วัดราษฎร์ศรัทธาธรรม
,วัดศิริชัย
,วัดศรีชุมพล
,วัดราษฎร์อุดม
,วัดอัมพาผล
,วัดสว่างอิสาณ
,วัดสีตาราม
,วัดประทุมวัน
,วัดโนนกลาง
,วัดสว่างโพนงาม
,วัดป่าธรรมวิเวก
,วัดดวงจันทราราม
,วัดป่าดอนนาโพธิ์
,วัดโพธยาวาส
,วัดป่าบึงเป่ง
,วัดศรีภูมิเรือง
,วัดหรคุณ
,วัดตระคลอง
,วัดศรีสุวรรณพรหมวราราม
,วัดสุทธิมงคล
,วัดกัทลีวัณ
,วัดป่าอนันตคุณ
,วัดจันทร์เขมาราม
,วัดสว่างธรรมาราม
,วัดตลาดโพธิ์ศรี
,วัดราษฏร์รังสรรค์
,วัดเวียงไชย
,วัดเขาสวนกวาง
,วัดสะอาด
,วัดสำราญจิต
,วัดประชาสามัคคี
,วัดสว่างหนองกุง
,วัดไตรคามบำรุง
,วัดจันทราราม
,วัดประทุมแสง
,วัดนาฬิการาม
,วัดศิริชัยศรี
,วัดป่าวิเวกธรรมสามัคคี
,วัดสว่างวนาวาส
,วัดชัยศรี
,วัดสว่างแสงจันทร์
,วัดสว่างวังหิน
,วัดสวรรคงคา
,วัดหัวหิน
,วัดศรีภูบาล
,วัดป่าโนนฆ้อง
,วัดสุทธิการาม
,วัดศรีอาราม
,วัดไพศาลศิลป์
,วัดสว่างโนนแดง
,วัดสมัคคาราม
,วัดโนนงาม
,วัดโนนราศรี
,วัดศิลาลำโจด
,วัดดงเค็ง
,วัดโพธิ์เลียบ
,วัดโนนรัง
,วัดศรีบวร
,วัดร่มประดู่
,วัดสว่างมนาวาส
,วัดซำขามถ้ำยาว
,วัดคำสมบูรณ์
,วัดจำปา
,วัดวารินทร์
,วัดทองประสิทธิ์
,วัดสีหมงคล
,วัดศรีชัยวราราม
,วัดแจ้งสว่าง
,วัดจอมศรี
,วัดโนนคูณ
,วัดป่าสุมนามัย
,วัดวิจารณาราม
,วัดโนนพานิช
,วัดสระทรงศิลา
,วัดบ้านโสกไผ่
,วัดสว่างศรีบุญเรือง
,วัดไทยบำรุง
,วัดศรีมงคล
,วัดป่าหัวฝาย
,วัดสิงห์ทอง
,วัดอุดม 
,วัดสวรรคคงคา 
,วัดสว่างเชิงเขา
,วัดตลาดหัวหิน
,วัดศรีประทุม
,วัดธาตุสว่าง
,วัดป่าสามัคคีธรรม
,วัดท่ายางชุม
,วัดสุนทโรวาส
,วัดบูรพาทิศ
,วัดโนนแดง
,วัดท่าราชไชยศรี
,วัดป่าโนนบ่อ
,วัดเกาะสะอาด
,วัดสุทธารมณ์ 
,วัดเทวราช
,วัดศิริวัน
,วัดธาตุ
,วัดป่าชัยมงคล
,วัดศรีหงษ์ทอง
,วัดท่าประชุม
,วัดอุดมคงคาคีรีเขต
,วัดสีหนาทาราม
,วัดพรหมวิหารริการาม
,วัดเกษามคม
,วัดถาวร
,วัดธานี
,วัดโฆสิตาราม
,วัดท่าสำราญ
,วัดหนองฮี
,วัดสว่างแวงฮี
,วัดสว่างเลิงแสง
,วัดศิริวิทยาราม
,วัดศิลา
,วัดสว่างแสงอรุณ
,วัดป่าสันติวนาราม
,วัดฉิมพลี
,วัดแสงสว่างอารมณ์
,วัดศรีบุญเรือง
,วัดเจติยภูมิ
,วัดป่าสาคร
,วัดศรีสุมังคล์
,วัดบุตรสิมวราราม
,วัดศรีสุพร
,วัดสิลาอาสน์
,วัดธาตุจอมศรี
,วัดโพธิ์ศรี
,วัดมหาวันวิหาร
,วัดราชศรัทธาสามัคคี
,วัดศิริชัยโย
,วัดไทรงาม
,วัดคำแคนเหนือ
,วัดสวัสดี
,วัดนาคสงเคราะห์
,วัดไทยสถิตย์
,วัดนิเวศวิทยาราม
,วัดมรรคสำราญ
,วัดบ้านโจด
,วัดบริบูรณ์วราราม
,วัดอินทร์แปลง
,วัดศรีสงฆ์เรือง
,วัดศรีแก้ว
,วัดโพธิ์งาม
,วัดโพธิ์บวร
,วัดโพธิ์ดก
,วัดจันทนิมิตร
,วัดสระมงคล
,วัดป่าเรไลย์
,วัดท่าโพธิ์
,วัดป่าศิริวันวนาราม
,วัดป่าอดุลยาราม
,วัดกลางสระขาม
,วัดบึงไทร
,วัดธาตุกุดกว้าง
,วัดจันทรสิรินทราวาส
,วัดกลางสามัคคี
,วัดโนนทองหลาง
,วัดวิเวกภูนางงำ
,วัดมุจจลินทร์
,วัดแก้วพวงมาลัย
,วัดฝางศรีงามราษฎร์
,วัดศรีปทุมวนาราม
,วัดสุทธังคณาวาส
,วัดบ้านดอนหัน 
,วัดระหอกโพ
,วัดประสิทธิ์ธรรมสาร
,วัดสุภีสีวราราม
,วัดบัวบาล
,วัดสังเวชธรรมาราม
,วัดศรีนวน
,วัดป่าภูหันบรรพต
,วัดสามัคคีธรรมบุญเรือง
,วัดราษี
,วัดบึงพลานชัย
,วัดสว่างน้ำใส
,วัดนันทพิมพาราม
,วัดป่าแสงอรุณ
,วัดศรีวิชัย
,วัดเหล่าหลวง
,วัดศรีวราราม
,วัดสระจันทร์
,วัดหนองดู่
,วัดวิจารณ์สว่างโศก
,วัดสว่างดอนยาง
,วัดโพนทอง
,วัดพลแพง
,วัดพัฒนาสีลา
,วัดศิริธรรมิกาวาส
,วัดเกษรวนาราม
,วัดธงชัย
,วัดไทรทอง
,วัดมาลา
,วัดสว่างวิทยาราม
,วัดโนนขาม
,วัดศิริพัฒนาธรรมาวาส
,วัดนาคำ
,วัดแสงจันทร์
,วัดโคกสามารถ
,วัดอรัญญาสุทธาวาส
,วัดอิสานโพธิ์ทอง
,วัดดงสะคร่าน
,วัดแสบง
,วัดคลองสะอาด
,วัดท่าอุทุมพร
,วัดท่ามงคล
,วัดหนองผือ
,วัดศรีโกศลวนาราม
,วัดดาวดึงษ์
,วัดแสงอารมณ์
,วัดศรีไพรวรรณ
,วัดอัมพาวาส
,วัดกลางสว่าง
,วัดจอมมณี
,วัดศรีชมชื่น
,วัดแท่น
,วัดป่าอภัยวัน
,วัดวังมน
,วัดทามเรืองศรี
,วัดโพธิ์กลาง
,วัดเถาวัลย์
,วัดกู่ประภาชัย
,วัดสวรรค์คงคา
,วัดชลธาร
,วัดมิ่งเมืองพลาราม
,วัดสุทธาวาส
,วัดมหรรณพาราม
,วัดสังข์ทอง
,วัดนาโหล่ง
,วัดสามัคคีวุฒิธรรม
,วัดม่วงศรี
,วัดโพธิ์หอม
,วัดดอนน้ำผึ้ง
,วัดมิ่งเมืองพัฒนาราม
,วัดทองหลาง
,วัดยางใย
,วัดสว่างทุ่งน้อย
,วัดธรรมเจดีย์
,วัดโนนม่วง
,วัดสำราญ
,วัดวุฒาราม
,วัดสว่างเวหา
,วัดกุเวียน
,วัดบำรุงวิริยะ
,วัดเวียงแก้ว
,วัดชลขันธ์
,วัดป่าสามัคคีทรงธรรม
,วัดศิริรัตนาวาส
,วัดศรีสวัสดิ์
,วัดกลาง
,วัดนันทาราม
,วัดบ้านท่อน 
,วัดอุตตมวารี
,วัดโพธิ์เย็น
,วัดสว่างวนาราม
,วัดป่ามหาวนาราม
,วัดใหม่ไตรมิตรวราราม
,วัดบึงบาล
,วัดกาญจนาราม
,วัดบูรพาราม
,วัดธาตุกู่ทอง
,วัดโนนทัน
