จังหวัด,รายชื่อวัด
สตูล,วัดป่าวังพลับพลาชัย 
,วัดท่าจีน
,วัดท่าชะมวง
,วัดถ้ำเขาจีนธีรประดิษฐ์
,วัดทุ่งนางแก้ว
,วัดวังผาสามัคคี
,วัดพิทักษ์คลองขุด
,วัดดุลยาราม
,วัดสวนเทศ
,วัดโพธิ์เจริญธรรม
,วัดนิคมพัฒนาราม
,วัดกุมภีลบรรพต
,วัดทุ่งริ้น
,วัดมงคลมิ่งเมือง
,วัดทุ่งทะนาน
,วัดอุไดเจริญ
,วัดทุ่งขมิ้น
,วัดเกาะเนียง
,วัดควนกาหลง
,วัดนิคมประชาราม
,วัดชมภูนิมิตร
,วัดหน้าเมืองสตูล
,วัดพัฒนาราม
,วัดปาล์มพัฒนาราม 
,วัดอาทรรังสฤษฏิ์
,วัดป่ามะนังชโลธาร
,วัดห้วยไทร
,วัดราษฎร์ประชา
,วัดอุไดพัฒนาวาส
,วัดราษฎร์ประดิษฐาราม
,วัดปากบารา
,วัดชนาธิปเฉลิม
,วัดสตูลสันตยาราม
,วัดนิคมพัฒนา 
สมุทรปราการ,วัดไพชยนต์พลเสพย์ราชวรวิหาร
,วัดพระสมุทรเจดีย์
,วัดหัวคู้
,วัดสลุด
,วัดบางปิ้ง
,วัดบางน้ำผึ้งนอก
,วัดโมกข์
,วัดแหลม
,วัดทองรำไพ
,วัดศรีรัตนธรรมาราม
,วัดบางเพรียง
,วัดมงคลโคธาวาส
,วัดศรีคงคาราม
,วัดสุคันธาวาส
,วัดราษฎร์บูรณะ
,วัดบางพลีใหญ่ใน
,วัดแค
,วัดแจ่มราษฎร์ศรัทธาธรรม
,วัดศรีจันทร์ประดิษฐ์
,วัดด่านสำโรง
,วัดป่าเกด
,วัดกลาง
,วัดมหาวงษ์
,วัดพิชัยสงคราม
,วัดภาวนาราม
,วัดจวนดำรงค์ราชพลขันธ์
,วัดสาขลา
,วัดตำหรุ
,วัดอาษาสงคราม
,วัดบางพึ่ง
,วัดบางแก้ว
,วัดบางน้ำผึ้งใน
,วัดครุนอก
,วัดคอลาด
,วัดน้อยสุวรรณาราม
,วัดกลางวรวิหาร
,วัดบางหญ้าแพรก
,วัดโยธินประดิษฐ์
,วัดศรีวารีน้อย
,วัดโคธาราม
,วัดบัวโรย
,วัดบางหัวเสือ
,วัดปากคลองมอญ
,วัดราษฎร์รังสรรค์
,วัดบางด้วนนอก
,วัดไตรมิตรวราราม
,วัดหอมศีล
,วัดกาหลง
,วัดบางกะเจ้ากลาง
,วัดในสองวิหาร
,วัดกิ่งแก้ว
,วัดคันลัด
,วัดครุใน
,วัดกลางสวน
,วัดราษฎร์นิยมธรรม
,วัดกองแก้ว
,วัดขุนสมุทราวาส
,วัดราษฎร์บำรุง
,วัดบางบ่อ
,วัดสร่างโศก
,วัดนาคราช
,วัดหัวลำภูทอง
,วัดบ้านระกาศ
,วัดนิยมยาตรา
,วัดชมนิมิตร
,วัดจรเข้ใหญ่
,วัดเจริญวราราม
,วัดเปร็งราษฎร์บำรุง
,วัดราษฎร์นิมิตศรัทธาธรรม
,วัดศิริเสาธง
,วัดหนามแดง
,วัดป่าสุขใจ
,วัดสำโรงใต้
,วัดแสงธรรมบุราราม
,วัดสว่างอารมณ์
,วัดคลองมอญ
,วัดโสธรนิมิตต์
,วัดบางพลีน้อย
,วัดบางกระสอบ
,วัดพญาปราบปัจจามิตร
,วัดบางพลีใหญ่กลาง
,วัดคลองพระราม
,วัดเกาะแก้ว
,วัดบางขมิ้น
,วัดอโศการาม
,วัดเสาธงกลาง
,วัดบางกะเจ้านอก
,วัดมงคลนิมิตร
,วัดทรงธรรมวรวิหาร
,วัดท้องคุ้ง
,วัดสุวรรณภูมิพุทธชยันตี
,วัดเสาธงนอก
,วัดบางกอบัว
,วัดบางฝ้าย
,วัดบางนางเกรง
,วัดบางโฉลงนอก
,วัดคลองสวน
,วัดไตรสามัคคี
,วัดโพธิยาราม
,วัดเอี่ยมประชามิตร
,วัดคลองชวดลากข้าว
,วัดปานประสิทธาราม
,วัดบางด้วนใน
,วัดสำโรงเหนือ
,วัดบางโฉลงใน
,วัดลาดหวาย
,วัดชัยมงคล
,วัดจันทร์แก้วเพ็ชรถาวรวนาราม
,วัดรวก
,วัดคู่สร้าง
,วัดราษฎร์โพธิ์ทอง
,วัดพุทธภาวนาราม
,วัดบางนางเพ็ง
,วัดศรีจันทาราม
,วัดชังเรืองภาวนาราม
,วัดใหม่
,วัดใหญ่
,วัดบางโปรง
,วัดแพรกษา
,วัดโปรดเกศเชษฐาราม
,วัดสวนส้ม
,วัดคลองปลัดเปรียง
,วัดป่าพิชัยวัฒนมงคล
,วัดจากแดง
สมุทรสงคราม,วัดบางน้อย
,วัดศรีศรัทธาธรรม
,วัดบางกล้วย
,วัดโคกเกตุบุญญศิริ
,วัดไทร
,วัดคลองโคน
,วัดช่องลม
,วัดบางนางจีนกลาง
,วัดบางขันแตก
,วัดดาวดึงษ์
,วัดเขายี่สาร
,วัดบางพรหม
,วัดพระยาญาติ
,วัดสวนหลวง
,วัดธรรมาวุธาราม
,วัดราษฎร์บูรณะ
,วัดละมุด
,วัดสวนแก้วอุทยาน
,วัดท้ายหาด
,วัดบางแคน้อย
,วัดมณีสรรค์
,วัดบางแคกลาง
,วัดบางแก้ว
,วัดสี่แยกราษฎร์บำรุง
,วัดบางกุ้ง
,วัดธรรมนิมิตร
,วัดบางสะแก
,วัดปราโมทย์
,วัดน้อยแสงจันทร์
,วัดตะโหนดราย
,วัดเพชรสมุทรวรวิหาร
,วัดบางแคใหญ่
,วัดบางคนทีใน
,วัดเกาะใหญ่
,วัดดาวโด่ง
,วัดบางกะพ้อม
,วัดเพิ่มพูนสามัคคีธรรม
,วัดปากน้ำ
,วัดวรภูมิราษฎร์บำรุง
,วัดจุฬามณี
,วัดเจริญสุนทราราม
,วัดบางวันทอง
,วัดบางเกาะเทพศักดิ์
,วัดบางพลับ
,วัดบางจะเกร็ง
,วัดช่องลมวรรณาราม
,วัดปรกสุธรรมาราม
,วัดประดู่
,วัดวชิรคาม
,วัดทุ่งเศรษฐี
,วัดธรรมประดิษฐ์
,วัดโรงธรรม
,วัดแก้วเจริญ
,วัดศรีสุวรรณคงคาราม
