จังหวัด,รายชื่อวัด
จันทบุรี,วัดกลางเก่า 
,วัดกระทิงทอง
,วัดอีแงว 
,วัดนายายอาม
,วัดวันยาวบน
,วัดสะตอน
,วัดเจดีย์ทราย
,วัดยางระหง
,วัดคลองตาสังข์
,วัดแตงเม
,วัดจันทนาราม
,วัดท่าปก
,วัดเนินยาง
,วัดวังพง
,วัดบางจะอ้าย
,วัดสอยดาวเจริญธรรม
,วัดเขารูปช้าง
,วัดเกาะโตนด
,วัดทุ่งกะบิน
,วัดสะพานเลือก
,วัดเขาตาหน่วย
,วัดช่องกะพัด
,วัดคลองตะเคียน
,วัดเนินดินแดง
,วัดท่าหลวงล่าง
,วัดดงจิก
,วัดทรัพย์จันทร์
,วัดปึก
,วัดทรายขาว
,วัดแก่งน้อย
,วัดคลองบอน
,วัดโป่งวัว
,วัดทุ่งเบญจา
,วัดป่าคลองมะลิ
,วัดบึงชนัง
,วัดพุทธคยาราม 
,วัดทับไทร
,วัดทุ่งโตนด
,วัดกลาง
,วัดบูรพาพิทยาราม
,วัดคลองไพบูลย์
,วัดตรอกกระท้อน
,วัดเกาะลอย
,วัดเขาตานก
,วัดใหม่ชัยมงคล
,วัดบ่อชะอม
,วัดเทพประทาน
,วัดถาวรวนาราม
,วัดบ่อเวฬุวนาราม
,วัดปะตงวนาราม
,วัดเขาแดง
,วัดเขาช่องโกรน
,วัดโขมง
,วัดโพธิ์ทอง
,วัดทับช้าง
,วัดเกตุสุวรรณาราม
,วัดคลองทราย
,วัดเขาตาลิ่ง
,วัดหิรัญญาราม 
,วัดโสมนาราม
,วัดพรหมคุณวนาราม
,วัดใหญ่พลิ้ว
,วัดคลองปรือ
,วัดมาบไผ่โภชนาราม
,วัดปากน้ำแหลมสิงห์
,วัดป่าธรรมวิเวก 
,วัดช้างข้าม 
,วัดหนองปลาไหล
,วัดสระแก้ว
,วัดนนท์ประชานุกูล
,วัดไผ่ล้อม
,วัดเนินกลาง
,วัดพังงอน
,วัดดาวเรือง
,วัดคลองลาว
,วัดอ่างหิน
,วัดทองทั่ว
,วัดวังสรรพรส
,วัดคลองตาคง
,วัดพญาล่าง
,วัดเวฬุวรรณาราม
,วัดมหาคงคาราม
,วัดหนองระหาน
,วัดหนองอ้อ
,วัดเกาะเปริด
,วัดน้ำเขียว
,วัดคลองเจริญ
,วัดจันทเขลม
,วัดเจ้าหลาว
,วัดคลองขุด
,วัดอรัญญาราม 
,วัดสวนมะม่วง
,วัดบ่อพุ
,วัดโป่งแรด
,วัดทุ่งสะพาน
,วัดคลองซาก
,วัดอิมั้ง
,วัดหินดาด
,วัดเขาป้อม
,วัดบ้านอ่าง
,วัดวังดาบ 
,วัดสามสิบ
,วัดเกาะแมว
,วัดสุวรรณรังษี
,วัดเฉลิมชัยมงคล
,วัดหนองแหวน
,วัดทุ่งเพล
