จังหวัด,รายชื่อวัด
ชลบุรี,วัดแหลมฉบัง 
,วัดช่องลม
,วัดสัตหีบ
,วัดหนองขาม
,วัดน้อย
,วัดชลธีบุญญาวาส
,วัดเขาดินวนาราม
,วัดหนองสังข์ประชาบำรุง
,วัดราษฎร์สโมสร
,วัดอ่างศิลา
,วัดกลางคลองหลวง
,วัดมาบโป่ง
,วัดราษฎร์ศรัทธา
,วัดระเวิงรังสรรค์
,วัดศรีธรรมาราม
,วัดโพธิ์
,วัดบุญญฤทธยาราม
,วัดศรีวนาราม
,วัดหนองกระทุ่ม
,วัดคลองตะเคียน
,วัดเนินดินแดง
,วัดโคกพุทธา
,วัดหนองเกตุน้อย
,วัดบุญญาวาส
,วัดเจ็ดเนิน
,วัดคลองโค
,วัดอุทกเขปสีมาราม 
,วัดใหญ่อินทาราม
,วัดวิมลคุณาราม
,วัดนากระรอก
,วัดเขาดิน
,วัดหนองไผ่
,วัดสุทธาวาส
,วัดเขาไผ่
,วัดวรพรตสังฆาวาส
,วัดเขาเสาธงทอง
,วัดพุทธศาสตร์
,วัดทรงเมตตาวนาราม
,วัดยุคลราษฎร์สามัคคี
,วัดหนองฆ้อ
,วัดใต้ต้นลาน
,วัดสันติคีรี
,วัดกลาง
,วัดประชุมคงคา
,วัดหนองเม็ก
,วัดบุณย์กัญจนาราม
,วัดเกาะลอย
,วัดต้นกระรอก
,วัดบ้านงิ้ว
,วัดหน้าพระธาตุ
,วัดเขาบ่อกวางทอง
,วัดใหม่ทรายมูล
,วัดเขาบำเพ็ญบุญ
,วัดเขาคันธมาทน์
,วัดสังกะสี
,วัดช่องลมนาเกลือ
,วัดเนินสี่
,วัดแหลมแค
,วัดอัมพวัน
,วัดท้ายเชิด
,วัดเขามะกรูด
,วัดเลิศรัตนาราม
,วัดอรุณรังษี
,วัดเขาสามชั้น
,วัดดอนดำรงธรรม
,วัดวิเวการาม
,วัดบางละมุง
,วัดหนองยาง
,วัดศรีมหาราชา
,วัดบวรราษฎร์บำรุง
,วัดวังรีคีรีวันวนาราม
,วัดใหม่ท่าโพธิ์
,วัดศรีพุ่มโพธิ์
,วัดเขาใหญ่
,วัดท่าบุญมี
,วัดกลางทุมมาวาส
,วัดเขาไม้แดง
,วัดพานทอง
,วัดนามะตูม
,วัดโพธิทัตตาราม
,วัดบ้านบึง 
,วัดรังสีสุนทร
,วัดเขาแตงอ่อน
,วัดหนองคล้า
,วัดสุวรรณารัญญิกาวาส
,วัดเขาชก
,วัดธรรมสามัคคี
,วัดต้นสน
,วัดหนองกะขะ
,วัดทวนทอง
,วัดหนองงูเหลือม
,วัดหนองชันจันทนาราม
,วัดหนองกาน้ำ
,วัดราษฎร์สามัคคี
,วัดกำแพง
,วัดรังษีสุทธาวาส 
,วัดโคกท่าเจริญ
,วัดโคกขี้หนอน
,วัดตโปทาราม
,วัดบ้านศาลา
,วัดเขาแรต
,วัดหนองอ้อ
,วัดเฉลิมลาภ
,วัดเขามะกอก
,วัดสายวารี
,วัดอินทนาราม
,วัดเนินหลังเต่า
,วัดเนินตามาก
,วัดพันเสด็จใน
,วัดบึงบวรสถิตย์
,วัดเทพพุทธาราม
,วัดยางใหญ่
,วัดชากนิมิตวิทยา
,วัดเขาถ้ำ
,วัดเขาชีจรรย์
,วัดบ้านเก่า
,วัดเขาหินลาด
,วัดพิมพฤฒาราม
,วัดบ่อวิน
,วัดหนองยายบู่
,วัดพยอม
,วัดสันติคาม
,วัดเครือวัลย์
,วัดป่ายุบบุญญาราม
,วัดหนองเลง
,วัดเขาคันทรง
,วัดมโนรม
,วัดเนินตอง
,วัดใหม่เชิงเนิน
,วัดตาลล้อม
,วัดสังกะเปรียว
,วัดบ้านนา
,วัดเนินกระบก
,วัดหนองตำลึง
,วัดหลุมมะนาว
,วัดสุกรีย์บุญญาราม 
,วัดปาลิไลยวัน
,วัดบางเป้ง
,วัดถ้ำประทุน
,วัดกุฎโง้ง
,วัดอรัญญิกาวาส
,วัดโคกพระศิลาราม
,วัดทรงธรรม
,วัดหนองม่วงใหม่
,วัดเขาเชิงเทียนเทพาราม
,วัดนันทวัน
,วัดแปลงเกตุศรีนิคม
,วัดหนองแช่แว่น
,วัดเขาน้อยพัฒนาราม
,วัดบ่อทองราษฎร์บำรุง
,วัดเขาห้วยมะระ
,วัดโพธิสัมพันธ์
,วัดห้วยสูบ
,วัดคลองใหญ่สถิตยาราม
