จังหวัด,รายชื่อวัด
ชัยนาท,วัดท่าอู่
,วัดช่องลม
,วัดราษฎร์บำรุง
,วัดหนองเดิ่น
,วัดพิกุลงาม
,วัดหนองจอกธรรมาราม
,วัดหนองสระ
,วัดหางน้ำสาคร
,วัดใหม่ศรัทธาราษฎร์
,วัดสร้อยสังข์สถิตย์
,วัดปทุมธาราม
,วัดจันทนาราม
,วัดหนองน้อย
,วัดสระไม้แดง
,วัดวิจิตรังสิตาราม
,วัดเขาถ้ำเทพพนม 
,วัดวิจิตรรังสรรค์
,วัดโรงวัว
,วัดหนองขนาก
,วัดหนองเต่าดำ
,วัดวังน้ำขาว
,วัดศรีวิชัยวัฒนาราม
,วัดวังสาคร
,วัดดอนตาล
,วัดป่าลาน
,วัดโคกโบสถ์
,วัดตลุกเทื้อม
,วัดหนองตาตน
,วัดท่าสมอ
,วัดยางศรีเจริญ
,วัดเขื่อนพลเทพ
,วัดธรรมามูลวรวิหาร
,วัดหนองโสน
,วัดหนองกระทุ่ม
,วัดพระยาตาก
,วัดทุ่งกระถิน
,วัดรางดู่
,วัดกรุณา
,วัดเทพรัตนวนาราม
,วัดใหญ่
,วัดโบสถ์ราษฎร์บำรุง
,วัดลัดเสนาบดี
,วัดท่าแก้ว
,วัดเขาดิน
,วัดตะกู
,วัดดอนโพธิ์ศรี
,วัดป่าสัก
,วัดหนองพญา
,วัดห้วยสอง
,วัดเขาราวเทียนทอง
,วัดอู่ตะเภา
,วัดหนองจิก
,วัดดอนแตง
,วัดหนองแก
,วัดหาดอาษา
,วัดคลองกลาง
,วัดสามนิ้ว
,วัดโพธิ์ศรีศรัทธาธรรม
,วัดโคกหมู
,วัดวังคอไห 
,วัดหาดกองสิน
,วัดดอนสนวน
,วัดปฐมเทศนาอรัญวาสี
,วัดหนองกะเบียน
,วัดโรงช้าง
,วัดเจริญสุข
,วัดกลาง
,วัดหนองม่วง
,วัดพึ่งคงคาราม 
,วัดดอนฝาย
,วัดธรรมิกาวาส
,วัดหลวงสิริบูรณาราม
,วัดแหลมหว้า
,วัดท่ากระแส
,วัดวังกะชาย
,วัดท่าช้าง
,วัดสะพาน
,วัดราษฎร์นิธิยาวาส
,วัดโพธิ์ทอง
,วัดศรีชัยวัฒนาราม
,วัดบำรุงธรรม
,วัดวังหมัน
,วัดคงคาราม
,วัดหนองลาด 
,วัดหนองพังนาค
,วัดหนองยาง
,วัดสิงห์สถิต
,วัดกะทง
,วัดสุขารมย์
