จังหวัด,รายชื่อวัด
ชัยภูมิ,วัดทรายมูล
,วัดศรีไสล
,วัดบ้านโคกอนุ
,วัดใหม่โนนเมือง
,วัดประชารังสรรค์
,วัดบ้านกระจวน
,วัดอรุณ
,วัดหนองไรไก่
,วัดพายับซับใหญ่
,วัดโนนพยอม
,วัดแถวไพรวัน
,วัดโพธิ์
,วัดโพธิ์ชัย
,วัดคอนสวรรค์
,วัดปทุมชาติ 
,วัดโพธิ์สัย
,วัดทุ่มศิลา
,วัดโนนมะเกลือ
,วัดตาลเดี่ยว
,วัดหนองกระทุ่ม
,วัดลุมพินี
,วัดบุ่งเวียนวนาราม
,วัดพนมไพร
,วัดสมสะอาด
,วัดศรีสะอาด
,วัดหนองแวง
,วัดวังตาเทพ
,วัดบ้านโหลนสามัคคีธรรม
,วัดคอนสวรรค์ใน
,วัดสว่างวารี
,วัดเวฬุวัน
,วัดอุดมประดิษฐาราม
,วัดหนองอีหล่อ
,วัดหนองไผ่
,วัดป่าหนองดินดำ
,วัดมหาคงคา
,วัดซับสมบูรณ์สว่างธรรม
,วัดซับใหม่
,วัดป่าโสกหว้า
,วัดโคกรัง
,วัดจูมพร
,วัดทักษิณ
,วัดชัยสว่าง
,วัดชัยคุณาราม 
,วัดคูสีวะนาราม
,วัดดอนไผ่
,วัดสำเนาว์
,วัดโพธิ์ทองประทุมวนาราม
,วัดพีรพัฒนวงศ์
,วัดจันทาวนาราม
,วัดหนองลุมพุก
,วัดสวนหมาก
,วัดศรีดาวเรืองวนาราม
,วัดอิสาณ
,วัดศรีชมพู
,วัดใหม่ชัยมงคล
,วัดแถวอรัญญาวาส
,วัดซับมงคล
,วัดโนนคูณ 
,วัดโพธิ์ทอง
,วัดซับใหญ่พัฒนา
,วัดถ้ำวังทองคุณาราม
,วัดศรีธงชัย
,วัดห้วยเกตุ
,วัดนาทุ่งใหญ่
,วัดสว่างนาฮี
,วัดโนนหญ้าคา
,วัดเฝือแฝง
,วัดสง่า
,วัดหนองยายบุตร
,วัดมณีรัตน์
,วัดหนองโมง
,วัดน้ำลาด
,วัดกะฮาด
,วัดบึงบริบูรณ์
,วัดเนินไสว
,วัดศรีวิไลย์
,วัดโนนสำราญ
,วัดท่าแขกวนาราม
,วัดหนองแดงวนาราม
,วัดชุมศิลา
,วัดโพธิ์ศรีสะอาด
,วัดแสงสว่างดาราราม
,วัดบ้านหัวสะพาน
,วัดสมบูรณ์
,วัดซับเจริญ
,วัดดาวเรือง
,วัดคลองเตยใน
,วัดอุดมคีรีเขต
,วัดบ้านห้วยโป่งสามัคคี
,วัดบ้านหนองคลอง
,วัดราษฎร์สามัคคี
,วัดบ้านวังอ้ายจีด
,วัดยางคำวนาราม
,วัดโคกคึม
,วัดเทพโพธิ์ทอง
,วัดสกุณาราม
,วัดหนองกระเทือง
,วัดโพธิ์ชัยศรี
,วัดหนองตะไก้
,วัดพระธาตุแก้งกอย
,วัดวังน้ำเขียว
,วัดศิริสมบูรณ์
,วัดห้วยหินฝน
,วัดป่าสุริย์วงศ์
,วัดตลาด
,วัดเกาะ
,วัดป่าโคกกุง
,วัดราษฎร์ดำเนิน
,วัดทรงศิลา
,วัดอรุณคงคาวนาราม
,วัดกระดังงา
,วัดทุ่งสว่างวนาราม
,วัดบางอำพันธ์ 
,วัดน้ำอ้อม
,วัดเขาจอมดอย
,วัดศรีสนามคงคา
,วัดสว่างคีรีวัน
,วัดคงคาสีมาเดิม
,วัดเขาพนมโดมวนาราม
,วัดโนนสง่า
,วัดบึงมะนาว
,วัดศรีมงคลวนาราม
,วัดองค์ตือท่าเดื่อ
,วัดหนองบัวโคก
,วัดทุ่งลุยลาย
,วัดเสาหงษ์
,วัดโพธิสัตว์
,วัดสวนสว่าง
,วัดปทุมาวาส
,วัดโคกสะอาด
,วัดสัมพันธ์
,วัดป่าเรไร
,วัดกุดตาลาด
,วัดป่ายาง
,วัดโพธิ์ศรีดอนหัน
,วัดปรางค์ปราสาท
,วัดบ้านหนองบัวระเหว
,วัดเขาจอมทอง
,วัดสะพานยาว
,วัดตะคลองหิน
,วัดตะโกทองวนาราม
,วัดบ้านกลอย
,วัดแจ้งไพรวนาราม
,วัดบูรณาราม
,วัดอุดรพร
,วัดเทพนา
,วัดศิริชัยมงคล
,วัดแจ้ง
,วัดหรดี
,วัดขามเวียน
,วัดมัชฌิมวาส
,วัดป่าบุญญาราม
,วัดคลองเตย
,วัดท่าสง่า
,วัดสว่างไพรงาม
,วัดพระธาตุดอยแสงธรรม
,วัดศิริพงษาวาส
,วัดราษีกุดสวง
,วัดไตรศิริมงคล
,วัดพุทธมงคลวนาราม
,วัดสาลิกา
,วัดสระเวียน
,วัดชัยประสิทธิ์
,วัดหนองบัวแดง
,วัดชัยศิริพนาราม
,วัดเขาทองงาม
,วัดหนองสองห้อง
,วัดแสงสว่าง
,วัดกุดมะนาว
,วัดชมพู
,วัดศรีสวรรค์
,วัดสมโพธิ์
,วัดดงเย็น
,วัดตาล
,วัดป่าสมบูรณ์
,วัดรัตนคงคาราม
,วัดทองธรรมชาติ
,วัดศรีสมพร
,วัดโพธิ์ตาล
,วัดหนองขาม 
,วัดจูมทอง
,วัดหนองโก
,วัดชลประทาน
,วัดบ้านตะลอมไผ่
,วัดป่าดอนสวรรค์
,วัดใหม่วิเวกประชาสรรค์
,วัดปทุมทอง 
,วัดชัยมาลา
,วัดสามัคคีพัฒนาราม
,วัดชุมแสง
,วัดศาลาเขต
,วัดฉิมพลีมา
,วัดคุ้มเก้าศาลาชุมพล
,วัดหินลาด
,วัดหนองโสน
,วัดแสงทองปิยาราม
,วัดศรีสง่าสามัคคี
,วัดธาตุ 
,วัดท่างอย
,วัดแจ่มประชาสรรค์
,วัดอโศกาวนาราม 
,วัดสระปทุมวัน
,วัดอารมณ์ชื่น
,วัดโนนศรีสง่า
,วัดศีรษะกระบือ
,วัดป่าสะแกราษฎร์
,วัดโป่งขุนเพชร
,วัดแสงจันทราวาส
,วัดพการาม
,วัดสว่างโนนสูง
,วัดหนองกก
,วัดประทุมวัน
,วัดสามแยกสุขประเสริฐ
,วัดพวงสว่างอรุณ
,วัดพระธาตุหนองสามหมื่น
,วัดโกรกกุลา
,วัดสง่าท่าโพธิ์ศรี
,วัดบ้านลี่
,วัดพระพุทธบาทเขายายหอม
,วัดกกบก
,วัดโคกขาม
,วัดราชพฤกษ์
,วัดสว่างปุญญาวาส
,วัดป่าสุวรรณไพโรจน์
,วัดมูลปักษี
,วัดโคกบำรุง
,วัดตะกุด
,วัดคอนสารวนาราม
,วัดป่าโนนศิลา
,วัดโพธิทราราม
,วัดสว่างธรรมาราม
,วัดสำราญจิต
,วัดชุมพลสวรรค์
,วัดประชาสามัคคี
,วัดแจ้งสว่างอารมณ์
,วัดคลองรวก
,วัดท่าช้าง
,วัดศาลาลอย
,วัดวังกุง
,วัดเพชรวิศยาราม
,วัดหนองคู
,วัดชัยยางคำ
,วัดหนองไฮเหนือ
,วัดโนนงาม
,วัดท่าเสี้ยว
,วัดโนนมะเค็ง
,วัดลำชี
,วัดเสาธง
,วัดสุทธิวนาราม
,วัดคลองหว้า
,วัดหางเรียง
,วัดโบราณ
,วัดชัยชมภู
,วัดถ้ำพรมนิมิต
,วัดหนองไผ่ล้อม
,วัดขามเทศ
,วัดเกาะมะนาว
,วัดหัวสะพานภัยสงบ
,วัดหนองนกเขา
,วัดโนนศรีทอง
,วัดชีชุมพร
,วัดโพธิ์ศรีวนาราม
,วัดบุ่งสาวตาล
,วัดศิลาทอง
,วัดนาคสุวรรณ
,วัดแจ้งสว่าง
,วัดบ้านเป้า
,วัดจอมศรี
,วัดเอี่ยมชโลธร
,วัดบ้านซับหวาย
,วัดปากจาบ
,วัดวังสว่าง
,วัดหนองตะครอง
,วัดบ้านโนนสะอาด
,วัดหัวทะเล
,วัดวรญาติบำรุง
,วัดโป่งนครทิพย์วรธรรม
,วัดสระโนนทอง
,วัดสะพานหิน
,วัดสง่าคงคาราม
,วัดชัยมงคลโนนจำปา
,วัดศรีมงคล
,วัดโนนทราย
,วัดสิงห์ทอง
,วัดใหม่เจริญธรรม
,วัดหอไตร
,วัดสุนทริกา
,วัดร่องแสนคำ
,วัดหนองหว้า
,วัดเพชรดอนยาง
,วัดศิลาพนาวาส
,วัดสะพุงเหนือ
,วัดศรีดาวเรือง
,วัดป่าสามัคคีธรรม
,วัดอัมพา
,วัดเจริญศรีสุข
,วัดพลับ
,วัดพร้าวทัศนียาวาส
,วัดบ้านดอนกอก
,วัดสมศรีบ้านเสี้ยวน้อย
,วัดหนองเชียงรอดใต้
,วัดป่าวังกะทะ
,วัดกันกง
,วัดตะบองเพชร
,วัดช่องสำราญ
,วัดหนองจะบก
,วัดสมอ
,วัดธาตุ
,วัดป่าชัยมงคล
,วัดวังปลาฝา
,วัดเทพธรรมคุณ
,วัดโฆสิตาราม
,วัดชัยแสวง
,วัดบ้านใหม่สามัคคีธรรม
,วัดเขาน้อย
,วัดป่ารวก
,วัดสนามนาง
,วัดสว่างแสงอรุณ
,วัดสวรรค์นคร
,วัดฉิมพลี
,วัดบัวลอย
,วัดศรีบุญเรือง
,วัดชัยภูมิวนาราม
,วัดเขานางรักษ์
,วัดซับไทรเจริญธรรม
,วัดหนองแกพนังเสือ
,วัดท่ากูบ
,วัดตาลนาแซง
,วัดโพธิ์ศรี
,วัดศรีเจริญธรรม
,วัดศิริคงเจริญ
,วัดยางนาเสียว
,วัดพุทธกิจจาราม
,วัดไทรงาม
,วัดรังษี
,วัดดอนกู่
,วัดคำศิลาวนาราม
,วัดปัจฉิมานุการาม
,วัดศิลามหาธาตุ
,วัดสว่างศรีสมบูรณ์
,วัดหนองสังข์
,วัดท่าทางเกวียน
,วัดชมภู
,วัดเขากำแพง
,วัดบึงแวง
,วัดสมานมิตร
,วัดโนนตะโก
,วัดป่ามุจลินทร์
,วัดหนองไห
,วัดศรีสุนทร
,วัดป่าบ้านพลัง
,วัดทุ่งโพธิ์
,วัดใหม่นาดี
,วัดชัยชนะวิหาร
,วัดกลางโนนแดง
,วัดสำเภา
,วัดป่าสุทธิโกศล
,วัดศรีประชานิมิต
,วัดวะตะแบก 
,วัดปิติธรรมาวาส
,วัดโนนแต้
,วัดราษี
,วัดบ้านวังรัง
,วัดเขาน้อยนิโคธาราม
,วัดเขาวงศ์คีรีเขต
,วัดเพชรพิบูลย์
,วัดห้วยกุ่ม
,วัดวังม่วง
,วัดจักรวรรดิ์
,วัดเกาะหมาก
,วัดโคกหินตั้ง
,วัดโพนทอง
,วัดแจงสองคอน
,วัดวังขอนสัก
,วัดแผ่นดินทอง
,วัดเดิมพันธ์
,วัดไทรทอง
,วัดสมบุญอุทิศ
,วัดนาเสียวน้อย
,วัดคลองสระแก้ว
,วัดนิโครธาราม
,วัดโสกตลับ
,วัดหนองไขน้ำ
,วัดแก่นจันทร์คงคาราม
,วัดหนองยางพัฒนา
,วัดโสกหาด
,วัดแจ้งน้อย
,วัดบ้านโนนศรีสง่า
,วัดศิริผล
,วัดโปร่งคลอง
,วัดวังตาลาดสมบูรณ์
,วัดบ้านนายางกลัก
,วัดเขาอุดมพร
,วัดชัยบาล
,วัดศิลาธรรม
,วัดระเหวประชาสรรค์
,วัดสวนป่าเทพสถิตวนาราม
,วัดพนังม่วงวนาราม
,วัดทรายขาว
,วัดหนองบัวลอย
,วัดวังมน
,วัดโคกสว่างดาราม
,วัดเขาดิน
,วัดชัยชนะสงคราม
,วัดนครรังสิต
,วัดแถวอรัญญา
,วัดหนองบัวรอง
,วัดป่าไทรงาม
,วัดสวรรค์คงคา
,วัดเจริญผล
,วัดวังใหม่พัฒนา
,วัดหนองปลาโด
,วัดอรัญญวิเวก
,วัดหนองโดน
,วัดบ้านผือ
,วัดสำราญ
,วัดนาคาวาสวิหาร
,วัดภูผาทอง
,วัดกลางเมืองเก่า
,วัดศรีแก้งคร้อ
,วัดห้วยม่วง
,วัดอรุณราษฎร์
,วัดนครบาล
,วัดพนังโสภาราม
,วัดอำภา
,วัดน้ำอุ่นเวฬุวัน
,วัดโพธิ์เย็น
,วัดป่าสามัคคีมณีธรรม
,วัดเจริญสูง
,วัดบึงบาล
,วัดซับรวงไพร
,วัดบูรพาราม
,วัดโนนอดน้อย
,วัดสุวรรณวาส
,วัดสะพาน
,วัดราษฎร์บูรพาราม
,วัดกุดฉิม
,วัดอัมพวัน
,วัดอรุณรังษี
,วัดสว่างนามน
,วัดลาดน้อย
,วัดเขาวงค์พระจันทร์
,วัดนาเจริญ
,วัดป่าสำราญจิต
,วัดสว่างอัมพร
,วัดหนองหิน
,วัดเวฬุวันวนาราม
,วัดพุทโธวาท
,วัดโชคอำนวย
,วัดเพชรภูมิสุวรรณวราราม
,วัดสระแก้ว
,วัดเขต
,วัดสุวรรณาราม
,วัดจอมธาตุ
,วัดสามัคคีธรรม
,วัดสวนธรรมทาน
,วัดห้วยเจริญผล
,วัดยานนาวา
,วัดคีรีคงคาวนาราม
,วัดศิลาอาสน์
,วัดสวนป่าเฉลิมพระเกียรติ
,วัดเขาตาเงาะอุดมพร
,วัดเชิงบรรพต
,วัดห้วยน้อย
,วัดศรีสง่า
,วัดจูมฆ้อง
,วัดกำแพง
,วัดพูลทรัพย์ลาดใหญ่
,วัดบริบูรณ์
,วัดโนนธาตุงาม
,วัดภิรมยาวาส
,วัดศรีสกุณาราม
,วัดรัฐถิวัลย์
,วัดศิลาดาด
,วัดบึงศีรษะกุญชร
,วัดเขาบังเหย
,วัดปทุมชาติ
,วัดหนองผักแว่น
,วัดสระสี่เหลี่ยม
,วัดบ้านโนนม่วง
,วัดบ้านห้วยทับนาย
,วัดกุดเลาะ
,วัดท่าแจ้ง
,วัดบ้านวังตาท้าว
,วัดปรางค์กู่
,วัดเขาประตูชุมพล
,วัดสนามชัย
,วัดบ้านเก่า
,วัดปัจฉิมอรัญญาวาส
,วัดป่าโนนสว่าง
,วัดพุทธาวราราม
,วัดวังกะทะ
,วัดโคกสามัคคี
,วัดสระทอง
,วัดเอราวัณ
,วัดวังอุดม
,วัดราษฎร์บุญตาราม
,วัดกุดเวียน
,วัดสาริกา
,วัดธงทราย
,วัดโพธิ์ศรีธาราม
,วัดม่วงเงาะ
,วัดหนองโสมง
,วัดโนนม่วงธรรมาราม
,วัดสายตะคลอง
,วัดทรงธรรม
,วัดศิลาเขต
,วัดโนนคร้อเหนือ
,วัดโนนสูงสะอาด
,วัดหนองสมบูรณ์
,วัดโนนสมบูรณ์
,วัดสามัคคีธรรมาราม
,วัดบัวบาน
,วัดท่าสามัคคี
,วัดบุญธรรม
,วัดป่าสามัคคีโฆษิตาราม
,วัดศรีมหาโพธิ์
,วัดโคกก่องวราราม
,วัดคลองลี่
,วัดภูมิรัตนาราม
,วัดสุลาลัย
,วัดส้มป่อย
,วัดเกาะสามัคคี
,วัดโนนเก่าใหญ่
,วัดพรไตรรัตน์
