จังหวัด,รายชื่อวัด
ชุมพร,วัดชลธารวดี
,วัดพระบรมธาตุสวี
,วัดพระรักษ์
,วัดช่องลม
,วัดราษฎร์บำรุง
,วัดดอนสะท้อน
,วัดชลธีนิมิตร
,วัดวังครก
,วัดหาดทรายแก้ว
,วัดชูพัฒนาราม
,วัดมณีสพ
,วัดบรรพตวารีเขต
,วัดพิชัยธาราราม
,วัดทุ่งคา
,วัดมาบอำมฤต
,วัดชุมแสง
,วัดแหลมยาง
,วัดถ้ำสิงห์
,วัดคอเขา
,วัดโพธิ์เกษตร
,วัดแหลมปอ
,วัดนาบุญ
,วัดแหลมโตนด
,วัดราษฎร์อรุณวารี
,วัดสมุหเขตตาราม
,วัดหูรอ
,วัดประชาอุทิศ
,วัดถ้ำเขาขุนกระทิง
,วัดดอนรวบ
,วัดถ้ำทะเลทรัพย์
,วัดธัญญาราม
,วัดถ้ำขวัญเมือง
,วัดมุจลินทาราม
,วัดอัมพาวาส
,วัดเขตอุดมศักดิ์วนาราม
,วัดท่ายางกลาง
,วัดบางลึก
,วัดเขาดิน
,วัดควนหนองบัว 
,วัดถ้ำเขาปุก
,วัดคุริง
,วัดคอออม
,วัดบางแหวน
,วัดโรจน์ดำริ
,วัดดอนยาง
,วัดนพคุณ
,วัดบางคอย
,วัดเขาเจดีย์
,วัดถ้ำเขาพลู
,วัดเขาทะลุ
,วัดภูพางพัฒนาราม
,วัดเชิงคีรี
,วัดนาชะอัง
,วัดควนดอกไม้
,วัดดอนชัย
,วัดพะเนียด
,วัดพุทธาราม
,วัดทุ่งคาประชาธรรม
,วัดธรรมถาวร
,วัดด่านประชากร
,วัดแก้วอินทยาราม
,วัดแก้วเทพคีรีวงกรด
,วัดเชิงกระ
,วัดหาดสำราญ
,วัดดอนวาด
,วัดศาลาลอย
,วัดชุมพรรังสรรค์
,วัดดอนรักษ์
,วัดบ่ออิฐ
,วัดไชยราช
,วัดทองตุ่มน้อย
,วัดวิสัยเหนือ
,วัดพระขวาง
,วัดเขาหลาง
,วัดนาทุ่ง
,วัดหนองหมุก
,วัดเกาะแก้วดุษิยารังสฤษฎิ์
,วัดพะงุ้น
,วัดคงคาราม
,วัดวิเวการาม
,วัดบ้านโหมง
,วัดนอก
,วัดถ้ำเขาเงิน
,วัดเขาแก้ว
,วัดวารีวงอริยาราม
,วัดนาทิการาม
,วัดนิคมประชาสรรค์
,วัดท่าทอง
,วัดทุ่งโพธิ์ทอง
,วัดสุวรรณาราม
,วัดแหลมทราย
,วัดทุ่งสวรรค์
,วัดพ่อตาหินช้าง
,วัดเทพวงศ์วราราม
,วัดโพธิการาม
,วัดสามัคคีธรรม
,วัดทุ่งหงษ์
,วัดปากคลอง
,วัดพรุใหญ่
,วัดสวนสมบูรณ์
,วัดบ่อคุณ
,วัดแหลมลำภู
,วัดถ้ำฤษี
,วัดทัพชัย
,วัดวิหารคงคาราม
,วัดปากน้ำละแม
,วัดท่าสุธาราม
,วัดถ้ำสำเภาทอง
,วัดดอนตะเคียน
,วัดท่าหิน
,วัดประชานิคม
,วัดหอระฆัง
,วัดสามแก้ว
,วัดกาลพัฒนาราม
,วัดโสมสิริวัฒนาราม
,วัดดอนกุฎี
,วัดแหลมสน
,วัดเขาชันโต๊ะ
,วัดหนองแซะ
,วัดน้ำฉา
,วัดดอนมะม่วง
,วัดหัวกรูด
,วัดชลธีพฤกษาราม
,วัดยางฆ้อ
,วัดท่าไม้ลาย
,วัดสุวรรณคีรี
,วัดศรีสุเทพ
,วัดขันเงิน
,วัดถ้ำเขาปีป
,วัดปังหวาน
,วัดน้ำลอด
,วัดเล็บกระรอก
,วัดดอนแดง
,วัดขุนกระทิง
,วัดสุวรรณธาราราม
,วัดเอราวัณนันทิยาราม
,วัดวังไผ่
,วัดสุบรรณนิมิตร
,วัดบ้านไร่ล่าง
,วัดบ้านนา
,วัดสวนมณีทรัพย์
,วัดจันทราวาส
,วัดลุ่ม
,วัดราชบุรณะ
,วัดเทพประดิษฐาราม
,วัดถ้ำห้วยกลาง
,วัดปทุมภาวนา
,วัดนาหอยโข่ง
,วัดหน้าค่าย
,วัดปากด่าน
,วัดผุสดีภูผาราม
,วัดทองโข
,วัดหงษ์ปิยาราม
,วัดวิสัยบรรพต
,วัดป่ายาง
,วัดดอนแค
,วัดวังใหม่
,วัดคูขุด
,วัดถ้ำบางน้ำจืด
,วัดหาดทรายรี
,วัดสามัคคีชัย
,วัดหนองบัว
,วัดเขากล้วย
,วัดบรรพตวิสัย
,วัดยางงาม
,วัดธัมมัง
,วัดเขาบ่อ
,วัดวาลุการาม
,วัดท่ายางใต้
,วัดปากน้ำชุมพร
,วัดเสกขาราม
,วัดเทพนิมิต 
,วัดสุวรรณคูหาวารีวงศ์
,วัดประเดิม
,วัดเทพเจริญ
,วัดบางหลง
,วัดเขาปูน
,วัดปากแพรก
,วัดถ้ำหาดพันไกร
,วัดควน
,วัดคอเตี้ย
,วัดบางหมาก
,วัดในเหมือง
,วัดถ้ำเขาเกรียบ
,วัดท่ายางเหนือ
,วัดทุ่งไทรทอง
,วัดควนตะโก 
,วัดมุขทวี
,วัดไทถาวร
,วัดนาสัก
,วัดหัวถนน
,วัดช่องรอ
,วัดถ้ำเขาล้าน
,วัดดอนทรายแก้ว
,วัดสว่างมนัส
,วัดควนมณี
,วัดอุทัยธรรม
,วัดโตนด
,วัดประสาทนิกร
,วัดท้องตมใหญ่
,วัดแก้วประสิทธิ์
,วัดนาสร้าง
