จังหวัด,รายชื่อวัด
ตรัง,วัดยอทอง 
,วัดโคกมะม่วง
,วัดสีหราษฎร์ศรัทธา
,วัดทุ่งปาหนัน
,วัดคลองชีล้อม
,วัดนาเมืองเพชร
,วัดโคกกฐิน
,วัดไทรทอง
,วัดภูเขาทอง
,วัดนิกรรังสฤษฎิ์
,วัดปากปรน
,วัดนิโครธาราม
,วัดน้ำผุดใต้
,วัดลำไห
,วัดโคกยาง
,วัดเหรียง
,วัดธรรมาราม 
,วัดคูหาวิลัย
,วัดกาญจนบริรักษ์
,วัดคีรีวิหาร
,วัดพระงาม
,วัดภูมิประสิทธิ์
,วัดไตรสามัคคี
,วัดขุนสิทธิ์
,วัดไพรสณฑ์
,วัดเกาะมะม่วง
,วัดประชาบำรุง
,วัดมัชฌิมภูมิ
,วัดคลองมวน
,วัดชลวาปีวิหาร
,วัดราษฎร์รื่นรมย์
,วัดป่าวังเจริญ
,วัดคลองคุ้ย
,วัดห้วยสอ
,วัดช่องเปี่ยมราษฎร์ 
,วัดกะพังสุรินทร์
,วัดน้ำผุดเหนือ
,วัดควนไทร
,วัดควนวิเศษ
,วัดควนธานี
,วัดทุ่งต่อ
,วัดทุ่งยาว
,วัดไสแก้ว
,วัดรัตนาภิมุข
,วัดหนองชุมแสง
,วัดเขาพระ
,วัดประสิทธิชัย
,วัดคลองเขาจันทร์
,วัดบางดี
,วัดคลองลุ
,วัดควนวิไล
,วัดศรัทธาราม
,วัดไร่พรุ
,วัดควนขัน
,วัดบ้านในปง
,วัดอัมพวัน
,วัดไร่ใหญ่
,วัดวารีวง
,วัดพยอมงาม
,วัดโหละหาร
,วัดตันตยาภิรม
,วัดเขาไม้แก้ว
,วัดควนซาง
,วัดเขาแก้ว
,วัดปากแจ่ม
,วัดควนเมา
,วัดควนนิมิตศิลา
,วัดกุฎิยาราม
,วัดทุ่งหินผุด
,วัดโหละคล้า
,วัดวังหลาม
,วัดชัยภูมิสถิตย์
,วัดหนองคล้า
,วัดปากคลอง
,วัดน้ำพราย
,วัดนาวง
,วัดสวน
,วัดคลองน้ำเจ็ด
,วัดไม้ฝาด
,วัดหูแกง
,วัดศรัทธาธรรม
,วัดหัวเขา
,วัดท่าพญา
,วัดเจริญร่มเมือง
,วัดโคกมะขาม
,วัดโพธิ์น้อย
,วัดหนองสมาน
,วัดสิทธิชัยรังสรรค์ 
,วัดสิเกา
,วัดนิคมประทีป
,วัดนานอน
,วัดศรีสุวรรณาราม
,วัดเชี่ยวชาญกิจ
,วัดเขาพระวิเศษ
,วัดห้วยนาง
,วัดใหม่ไทรงาม
,วัดทุ่งใหญ่
,วัดลำพิกุล
,วัดวังมะปราง
,วัดถ้ำพระพุทธ
,วัดนางหลาด 
,วัดทอนเหรียญ
,วัดถ้ำโสราษฎร์
,วัดไทรงาม
,วัดโพธาราม
,วัดลำภูรา
,วัดเขากอบ
,วัดพระพุทธสิหิงค์
,วัดล่องน้ำ
,วัดสิทธิโชค
,วัดควนสวรรค์
,วัดกะปางเหนือ
,วัดแจ้ง
,วัดคงคาวดี
,วัดทุ่งนา
,วัดวังหมู
,วัดโคกพิกุล
,วัดมงคลสถาน 
,วัดคลองปาง
,วัดต้นปีก
,วัดย่านซื่อ
,วัดช่องหาย
,วัดเกาะฐาน
,วัดกมลศรี
,วัดจอมไตร
,วัดควนอินทนินงาม
,วัดโพรงจระเข้
,วัดเขาห้วยแห้ง
,วัดราษฎร์รังสรรค์
,วัดเขาปูน
,วัดควน
,วัดคีรีกาญจนาราม 
,วัดเขาปินะ
,วัดถ้ำพระพุทธโกษีย์
,วัดหนองเป็ด
,วัดควนมะนาวศรี
,วัดศรีรัตนาราม
,วัดตรังคภูมิพุทธาวาส
,วัดหัวถนน
,วัดห้วยยอด
,วัดพิกุลทอง
,วัดวังสมบูรณ์ 
,วัดหินคอกควาย
,วัดสาริการาม
,วัดคีรีรัตนาราม
,วัดควนสีนวล
,วัดทุ่งหวัง
