จังหวัด,รายชื่อวัด
ตราด,วัดมะนาว
,วัดบางปิดล่าง
,วัดราษฎร์บำรุง
,วัดท่าเส้น
,วัดสะพานหิน
,วัดพนมพริก
,วัดศรีบัวทอง
,วัดไทรทอง
,วัดเขาฉลาด
,วัดตากแว้ง
,วัดบางปิดบน
,วัดห้วงน้ำขาว
,วัดโยธานิมิต
,วัดวังคลองใหญ่
,วัดป่าเทศรังสี(ธ
,วัดอ่าวสลัด
,วัดคลองแอ่ง
,วัดเนินยาง
,วัดท่าโสม
,วัดตะกาง
,วัดคลองขุด
,วัดคลองมะขาม
,วัดวิสิทธิการาม
,วัดท่ากระท้อน
,วัดชากกลาง
,วัดคลองสน
,วัดแหลมอวน
,วัดป่าเทศรังษี
,วัดชำราก
,วัดมะม่วง
,วัดแหลมงอบ
,วัดช้างทูน
,วัดท่าพริก
,วัดละมีบ
,วัดหนองโสน
,วัดเทพนิมิต
,วัดเมืองเก่าแสนตุ่ม(ธ
,วัดอ่าวใหญ่
,วัดน้ำเชี่ยว
,วัดมาบใหญ่
,วัดเนินทราย
,วัดหนองคันทรง
,วัดท่าหาด
,วัดคลองพร้าว
,วัดทุ่งเขา
,วัดมุมสงบ
,วัดหนองแฟบ
,วัดประทุน
,วัดอ่างกระป่อง
,วัดลำดวน
,วัดเนินสูง
,วัดท่าประดู่
,วัดมัชฌิมวัน 
,วัดเสนาณรงค์ 
,วัดป่าวิสุทธิธรรม
,วัดบุปผาราม
,วัดเจียรพัฒนา
,วัดบางปรือ
,วัดหนองบอน
,วัดสวนใน
,วัดเกษมสีมาราม
,วัดหนองรี
,วัดศรีบุรพาราม
,วัดดินแดง
,วัดลำภูราย
,วัดนิโรธภาวนา
,วัดสลักเพชร
,วัดแสนตุ้ง
,วัดหนองม่วง
,วัดบำโรณ
,วัดกลาง
,วัดแหลมหิน
,วัดเมืองเก่าแสนตุ่ม
,วัดเกาะลอย
,วัดหนองบัว
,วัดโคก
,วัดแหลมมะขาม
,วัดวิเวกวราราม
,วัดป่าภาวนาสุนทร
,วัดคลองจาก
,วัดนนทรีย์
,วัดขุมบ่อทรัพย์
,วัดแสนสุข
,วัดประณีต
,วัดใหม่โพธาราม
,วัดมณฑล
,วัดวังตะเคียน
,วัดคิรีวิหาร
,วัดวัชคามคชทวีป
,วัดคลองเพชร
,วัดทองธรรมชาติราษฎร์สันติ
,วัดเขาสมิง
,วัดบางกระดาน
,วัดบ่อพลอย
,วัดทุ่งไก่ดัก
,วัดคลองหลอด
,วัดห้วงพัฒนา
,วัดห้วงโสม
,วัดตางาม
,วัดวรดิตถาราม
,วัดบ่อไร่
,วัดทางควาย
,วัดฆ้อ
,วัดอ่าวช่อ
,วัดบางเบ้า
,วัดวรุณดิตถาราม
,วัดวงษ์พัฒนา
,วัดเนินตากแดด
,วัดคลองนนทรี
,วัดคลองใหญ่
,วัดมณีกาญจนาราม
,วัดหนองเสม็ด
,วัดไผ่ล้อม
,วัดมุจลินท์อาภา
,วัดสุวรรณมงคล
,วัดธรรมาภิมุข
,วัดโป่งจันตา
,วัดแหลมกลัด
,วัดสลัก
,วัดอ่าวพร้าว
,วัดปะอา
,วัดคลองมะนาว
,วัดเกาะหมาก
,วัดวังกระแจะ
,วัดท่าน้ำล่าง
