จังหวัด,รายชื่อวัด
ตาก,วัดมณีไพรสณฑ์
,วัดเทพนิมิตร
,วัดถ้ำดอยลาน
,วัดศรีมณีวัน
,วัดชลประทาน
,วัดเกศแก้วบูรพา
,วัดวังไคร้
,วัดสุวรรณบรรพต
,วัดฉลอมใต้
,วัดสว่างอารมณ์
,วัดหนองนกปีกกา
,วัดไทยสามัคคี
,วัดเด่นไม้ซุง
,วัดฐิตราม
,วัดป่ายางใต้
,วัดดอยมูล
,วัดห้วยไม้แป้น
,วัดอุดมสามัคคี
,วัดยางโองบน
,วัดสิลาลาด
,วัดสันป่าพง
,วัดกลางสวนดอกไม้
,วัดไพรสณฑ์สุนทร
,วัดดงปู
,วัดดอยพระธาตุ
,วัดแม่พะยวบ
,วัดลานสอ
,วัดปากทางเขื่อนภูมิพล
,วัดมะเขือแจ้
,วัดโป่งแดง
,วัดปากเขื่อนภูมิพล
,วัดเอนกสิงขร
,วัดบุญญาวาส
,วัดบ้านเด่น
,วัดท้องฟ้าเหนือ
,วัดเวฬุวัน
,วัดชัยชนะสงคราม
,วัดบ้านวังผา
,วัดศรีเกิด
,วัดสุนทรีกาวาส
,วัดบ้านปูน
,วัดศรีค้ำ
,วัดเกาะลาน
,วัดห้วยพลู
,วัดน้ำปุ
,วัดอุ้มผาง
,วัดชัยมงคล
,วัดดงลาน
,วัดเชตพน
,วัดลานเต็ง
,วัดยางโองน้ำ
,วัดแม่ซอดน่าด่าน
,วัดวังน้ำผึ้ง
,วัดไผ่สีซอ
,วัดแดนอาณาเขต
,วัดเชียงทอง
,วัดวังโพ
,วัดวังหม้อ
,วัดท่านา
,วัดสันหนองจิก
,วัดโคกพลู
,วัดพระพุทธบาทดอยงู
,วัดท่าช้าง
,วัดลานห้วยเดื่อ
,วัดวังประจบ
,วัดท่าไผ่
,วัดวังตะเคียน
,วัดชลประทานรังสรรค์
,วัดแม่หละ
,วัดอัมพวัน
,วัดวังหมัน
,วัดพบพระเหนือ
,วัดไตรรัตนาราม
,วัดห้วยแก้ว
,วัดแม่เชียงราย
,วัดแม่ยะ
,วัดหนองแขม
,วัดป่าพระสามเงา
,วัดหนองบัวเหนือ
,วัดทุ่งยั้ง
,วัดวาเล่ย์เหนือ
,วัดส้มเกลี้ยง
,วัดไผ่ล้อม
,วัดอภัยคีรี
,วัดท่าสายโทรเลข
,วัดพระเจดีย์วังไคร้
,วัดตลุกกลางทุ่ง
,วัดแม่ตาว
,วัดดอนมูล
,วัดศรีมงคล
,วัดโตงเตง
,วัดอรัญญาวาส
,วัดช่องแคบ
,วัดพบพระ
,วัดใหม่คำมา
,วัดป่ายางตก
,วัดมงคลคีรีเขต
,วัดวังมะกอก
,วัดพานิชย์นิรมล
,วัดท่าตะคร้อ
,วัดแม่กุเหนือ
,วัดปากวัง
,วัดสามเงาออก
,วัดสบยม
,วัดดอนมูลชัย
,วัดแม่กาษา
,วัดโพธิคุณ
,วัดดอยเจดีย์
,วัดเขาถ้ำ
,วัดมณีบรรพตวรวิหาร
,วัดมาตานุสรณ์
,วัดสันป่าลาน
,วัดแม่ระมาดน้อย
,วัดน้ำดิบ
,วัดพระบรมธาตุ
,วัดสีตลาราม
,วัดท่าอาจใหม่
,วัดอรัญญเขต
,วัดหนองหลวง
,วัดทุ่งกระเชาะ
,วัดฉลอมเหนือ
,วัดโบสถ์มณีศรีบุญเรือง
,วัดวังศิลาราม
,วัดห้วยทรายสอง
,วัดนาโบสถ์
,วัดชุมพลคีรี
,วัดเกาะตาเถียร
,วัดบ้านล้อง
,วัดนาตาโพ
,วัดภาวนานิยมาราม
,วัดศรีบุญเรือง
,วัดยางโองสันกลาง
,วัดดงยาง
,วัดทุ่งมะขามป้อม
,วัดโคกเจดีย์
,วัดหนองเชียงคา
,วัดวิเศษวานิช
,วัดภุมราวาส
,วัดวาเลย์ใต้
,วัดหนองปรือ
,วัดไม้งามหลวง
,วัดพร้าว
,วัดแม่จะเรา
,วัดประดาง
,วัดท่าไม้แดง
,วัดป่าขะเนจื้อ
,วัดดอนแก้ว
,วัดโพธาราม
,วัดดอยคีรี
,วัดอมราวดี
,วัดห้วยผักหละ
,วัดบ้านแม่ระวาน
,วัดปทุมคีรี
,วัดแม่ไข
,วัดใหม่สุวรรณ
,วัดไทยวัฒนาราม
,วัดแม่กื๊ดสามท่า
,วัดโพธิ์งาม
,วัดทุ่งพระชัย
,วัดถ้ำอินทนิล
,วัดเชตวันคีรี
,วัดน้ำล้อม
,วัดห้วยมหาวงก์
,วัดลาดยาวใหม่
,วัดลานสาง
,วัดสองแคว
,วัดแม่ปะเหนือ
,วัดดอนไชย
,วัดศรีรัตนาราม
,วัดพระธาตุน้อย
,วัดสามเงา
,วัดวังหวาย
,วัดท่าปุย
,วัดคลองสัก
,วัดสิทธาวาส
,วัดป่าภาวนาราม
,วัดโบสถ์
,วัดปากห้วยไม้งาม
,วัดแม่ต้านเหนือ
,วัดวังม่วง
,วัดสะแกเครือ
,วัดแก่งหิน
,วัดมหาวันวิเวก
