จังหวัด,รายชื่อวัด
นครปฐม,วัดหทัยนเรศวร์
,วัดม่วงตารศ
,วัดท้องไทร
,วัดสระกะเทียม
,วัดสว่างอารมณ์
,วัดศรีวิสารวาจา
,วัดศาลาตึก
,วัดลาดปลาเค้า
,วัดดอนขนาก
,วัดวังน้ำขาว
,วัดจินดาราม
,วัดตะโกสูง
,วัดพระงาม
,วัดสี่แยกเจริญพร
,วัดลานตากฟ้า
,วัดหนองโพธิ์
,วัดรัตนรังสี
,วัดดงเกตุ
,วัดสระพัง
,วัดหนองกระทุ่ม
,วัดเสถียรรัตนาราม
,วัดลำเหย
,วัดลาดหญ้าไทร
,วัดไผ่รื่นรมย์
,วัดทุ่งน้อย
,วัดลาดหญ้าแพรก
,วัดทัพยายท้าว
,วัดมหาสวัสดิ์นาคพุฒาราม
,วัดกงลาด
,วัดลำพญา
,วัดสิรินธรเทพรัตนาราม
,วัดหอมเกร็ด
,วัดโคกเขมา
,วัดบางหลวง
,วัดดอนเสาเกียดมิลินทบุณยาราม
,วัดศีรษะทอง
,วัดบัวปากท่า
,วัดใหม่ปิ่นเกลียว
,วัดบางแก้ว
,วัดดอนเตาอิฐ
,วัดเกษมสุริยัมนาจ
,วัดหนองจิก
,วัดดอนสามสิบ
,วัดอุดมสิทธิกุล
,วัดบึงลาดสวาย
,วัดนิลเพชร
,วัดกลางบางพระ
,วัดห้วยพลู
,วัดโคกพระเจดีย์
,วัดเกาะวังไทร
,วัดเชิงเลน
,วัดบางช้างใต้
,วัดนครชื่นชุ่ม
,วัดทุ่งกระพังโหม
,วัดห้วยม่วง
,วัดบ่อน้ำจืด
,วัดท่าเสา
,วัดพุทธาราม
,วัดสองห้อง
,วัดท่าข้าม
,วัดตุ๊กตา
,วัดท่าตำหนัก
,วัดสามพราน
,วัดธรรมศาลา
,วัดกำแพงแสน
,วัดลานคา
,วัดคลองตัน
,วัดทัพหลวง
,วัดนราภิรมย์
,วัดปิ่นจันทราราม
,วัดทะเลบก
,วัดหนองเสือ
,วัดไทยาวาส
,วัดไผ่สามตำลึง
,วัดโพธิ์ราษฎร์ศรัทธาทำ
,วัดมงคลประชาราม
,วัดหนองศาลา
,วัดดอนหวาย
,วัดธรรมมณฑล
,วัดบางแขม
,วัดเสนหา
,วัดละมุด
,วัดกลางคูเวียง
,วัดหลวงประชาบูรณะ
,วัดญาณเวศกวัน
,วัดบอนใหญ่
,วัดเลาเต่า
,วัดงิ้วราย
,วัดดอนพุทรา
,วัดหนองกระพี้
,วัดหนองปลาไหล
,วัดสุวรรณาราม
,วัดศรีประชาวัฒนาราม
,วัดพระประโทณเจดีย์วรวิหาร
,วัดอ้อน้อย
,วัดพระอมรพิสัย
,วัดไผ่ล้อม
,วัดไผ่หูช้าง
,วัดสามกระบือเผือก
,วัดชุมนุมศรัทธา
,วัดทุ่งสีหลง
,วัดบางพระ
,วัดหนองงูเหลือม
,วัดเจริญราษฎร์บำรุง
,วัดหนองขามพัฒนา
,วัดราษฎร์สามัคคี
,วัดโพรงมะเดื่อ
,วัดบางเลน
,วัดบางไผ่นารถ
,วัดธรรมปัญญารามบางม่วง
,วัดสุวรรณรัตนาราม
,วัดบางปลา
,วัดสะแกราย
,วัดดอนยอ
,วัดสว่างชาติประชาบำรุง
,วัดลัฎฐิวนาราม
,วัดเวฬุวนาราม
,วัดสรรเพชญ
,วัดคลองอ้อมใหญ่
,วัดสระสี่เหลี่ยม
,วัดท่ากระชับ
,วัดสระน้ำส้ม
,วัดพระปฐมเจดีย์ราชวรมหาวิหาร
,วัดรางไทร
,วัดหนองเจริญธรรม
,วัดเพลินเพชร
,วัดวังน้ำเขียว
,วัดราษฎร์ศรัทธาราม
,วัดคลองคูเมือง
,วัดแหล่งทองแดงพรหมสราราม
,วัดสำโรง
,วัดไร่ขิง
,วัดอรัญญิการาม
,วัดพุทธธรรมรังษี
,วัดราษฎร์ภิรมย์วราราม
,วัดแหลมมะเกลือ
,วัดดอนยายหอม
,วัดเทพนิมิต
,วัดสัมปตาก
,วัดวังเย็น
,วัดโฆสิตาราม
,วัดนิยมธรรมวราราม
,วัดไร่เกาะต้นสำโรง
,วัดลานแหลม
,วัดทุ่งพิชัย
,วัดปรีดาราม
,วัดบัวหวั่น
,วัดไทร
,วัดอ้อมใหญ่
,วัดสุขวราราม
,วัดลำลูกบัว
,วัดรางกำหยาด
,วัดเดชานุสรณ์
,วัดท่าใน
,วัดใหม่ห้วยลึก
,วัดหนองกร่าง
,วัดหนองดินแดง
,วัดรางกระทุ่ม
,วัดห้วยตะโก
,วัดใหม่สุประดิษฐาราม
,วัดบางน้อยใน
,วัดห้วยพระ
,วัดวังตะกู
,วัดห้วยผักชี
,วัดกลางบางแก้ว
,วัดปลักไม้ลาย
,วัดใหม่สุคนธาราม
,วัดป่าปฐมชัย
,วัดบางช้างเหนือ
,วัดสระสี่มุม
,วัดบางภาษี
,วัดทรงคนอง
,วัดบ้านยาง
,วัดหว้าเอน
,วัดดอนตูม
,วัดดอนทอง
,วัดสิงห์
,วัดศรีมหาโพธิ์
,วัดลำพยาสุทธาราม
,วัดโพธิ์งาม
,วัดไร่แตงทอง
,วัดหนองกระโดน
,วัดสระมงคล
,วัดเกาะแรต
,วัดใหม่ดอนทราย
,วัดสัมปทวน
,วัดลาดสะแก
,วัดห้วยจระเข้
,วัดเทียนดัด
,วัดพะเนียงแตก
