จังหวัด,รายชื่อวัด
นครพนม,วัดสระพังทอง
,วัดแจ้งนฤมิตร
,วัดป่าโนนน้ำคำทรงธรรม
,วัดธาตุโพธิ์ทอง
,วัดป่ากินรี
,วัดโพนแก้ว
,วัดบุญเวทอุทยาน
,วัดโนนทอง
,วัดศรีบรรทม
,วัดโพธิสมพร
,วัดนายอน้อย
,วัดโพธิ์ชัย
,วัดม่วงไข่
,วัดศรีนครานุรักษ์
,วัดทรายศรี
,วัดนาโพธิ์
,วัดโนนสัง
,วัดสมสะอาด
,วัดศรีสะอาด
,วัดดอนม่วง
,วัดสิมมา
,วัดท้องสว่าง
,วัดสุพรรณกมลาวาส
,วัดพระยอดเมืองขวาง
,วัดป่าทุ่งนาหอย
,วัดกุญชร
,วัดดงคราม
,วัดจิตตสาโรศรัทธาราม
,วัดนันทวัน 
,วัดอูนนา
,วัดไทยนิยม
,วัดป่าสำราญธรรม
,วัดศรีพันดร
,วัดดงก้อม
,วัดหนองบัวทอง
,วัดโพนหัวโสก
,วัดป่าคำสว่าง
,วัดหนองญาติ
,วัดดำดวน
,วัดโพนข่าศรีคุณเมือง
,วัดสว่างโพธิ์ศรี
,วัดโนนคูณ 
,วัดรังษีญาติการาม
,วัดบ้านปฏิรูป
,วัดคามวาสี
,วัดสันติการาม
,วัดป่าหนองฮี
,วัดดอนนางหงส์
,วัดโนนศรีบัวทอง
,วัดโนนสอาด
,วัดป่าจอมศรี
,วัดโนนเจริญ
,วัดศรีสัตตนาค
,วัดเหนือท่าจำปา
,วัดศรีดาราม
,วัดกัลยาราม
,วัดสระพังพร
,วัดศิริพุทธาราม
,วัดพะธาย
,วัดปัชราช
,วัดโพธิ์ไชย
,วัดราษฎร์สามัคคี
,วัดศรีทรงวนาราม
,วัดโพธิ์ชัยสว่างอารมณ์
,วัดป่าโนนสะอาด
,วัดป่านาดอกไม้
,วัดตาลชุม
,วัดส้างพระอินทร์
,วัดโพธิ์ชัยศรี
,วัดป่าอุดมสันติธรรม
,วัดโคกกุง
,วัดศรีแก้วดารา
,วัดป่าโนนแพง
,วัดสีชมพู
,วัดวิชัยพัฒนาราม
,วัดวังโพธิ์
,วัดมรุกขนคร
,วัดอรัญลัฎฐิวัน
,วัดสว่างสำราญ
,วัดโพธิ์สวรรค์
,วัดธาตุมหาชัย
,วัดไตรภูมิ
,วัดศิรยานุราชอุทิศ
,วัดป่าศิริมงคล
,วัดท่าดอกแก้วใต้
,วัดโพนค้อ
,วัดโคกสะอาด
,วัดโพนสว่าง
,วัดสุภารมณ์
,วัดหนองสะโน
,วัดโพธิ์คำ
,วัดสว่างวัฒนา
,วัดจอมทอง
,วัดป่าสุทธาวาส
,วัดพระธาตุท่าอุเทน
,วัดปิติธรรมาราม
,วัดอรุณศรีวนาราม
,วัดเกาะแก้วธรรมาราม
,วัดป่าบุญญาราม
,วัดศรีสำราญจิต
,วัดกุดฉิมน้อย
,วัดป่ามหาวัน
,วัดธำรงธรรม
,วัดเกษตราราม
,วัดราชกิจศิลาเหล็ก
,วัดสว่างไชยศรี
,วัดแสงสว่าง
,วัดนาคอย
,วัดโคกสาย
,วัดป่าเมธาวิเวก
,วัดธรรมาราม
,วัดโพนทราย
,วัดท่าพันโฮง
,วัดโคกพะธาย
,วัดพระซอง
,วัดนาแก
,วัดโกศลมัชฌิมาวาส
,วัดมัชฌิมวัน
,วัดศรีสะอาด 
,วัดกันตศิลาวาส
,วัดศรีสมพร
,วัดโคกสว่างพัฒนา
,วัดศรีจำปา
,วัดป่ามหาชัย
,วัดสุวรรณบรรพต
,วัดป่าอัมพวัน
,วัดสว่างสุวรรณาราม
,วัดไทยสามัคคี
,วัดเทพนมสุทธาวาส
,วัดศรีสุวรรณ
,วัดโนนสมบูรณ์วนาราม
,วัดสองคอน
,วัดป่ามุจจลินท์
,วัดอิสานภาลัย
,วัดดอนข้าวหลาม
,วัดทรายเพ
,วัดศรีสุมังค์ชมชื่น
,วัดดานสาวคอยวนาราม
,วัดปทุมาราม
,วัดค่ายเสรี
,วัดบวรศรัทธาราม
,วัดศรีสงคราม
,วัดป่าเวชกูลนุสรณ์
,วัดศรีนวลบูรพาราม
,วัดดอนปอ
,วัดอรัญญานาโพธิ์
,วัดวังตามัว
,วัดโพธิ์ชัยอุดม
,วัดป่าธรรมวิเวก
,วัดศรีเจริญสุข
,วัดสว่างแก้วนภาราม
,วัดดอนโมง
,วัดอุเทนธรรมนิมิต
,วัดป่าเทพชัยมงคล
,วัดโคกกลาง 
,วัดเรืองศรีสามัคคี
,วัดอุ่มษาพล
,วัดมงคลสันติสุข
,วัดพระกลางท่า
,วัดเนรัญชราราม
,วัดโพนสิมมา
,วัดประชาสามัคคี
,วัดสร้างเม็ก
,วัดดำรงเมธยาราม
,วัดเวินพระบาทภูกระแต
,วัดกกต้อง
,วัดอภัยวงค์วนาราม
,วัดอุดรโพธิ์ทอง
,วัดวังไฮ
,วัดโนนรัง
,วัดบัวระพันทอง
,วัดไตรมิตรประชาราม
,วัดวาปีปุณฑริการาม
,วัดโพธิ์คำแหลมทอง
,วัดจำปา
,วัดธาตุน้อยศรีบุญเรือง
,วัดมหาธาตุ
,วัดศรีสว่างอารมณ์
,วัดแจ้งสว่าง
,วัดจอมศรี
,วัดแสงทอง
,วัดพระธาตุพนมวรมหาวิหาร
,วัดพระกลางทุ่ง
,วัดกกไฮ
,วัดศรีมงคล
,วัดสิงห์ทอง
,วัดโพนงาม
,วัดป่าสามัคคีธรรม
,วัดอัมพา
,วัดคำสะอาด
,วัดโนนสวัสดิการาม
,วัดวิเวกจิตตะมาลัย
,วัดแก่งเมือง
,วัดไทยงาม
,วัดธาตุ
,วัดบ้านหนองผักแว่น
,วัดศรีสำโรง
,วัดศรีธนนชัย
,วัดอารมณ์สมบูรณ์
,วัดศิลามงคล
,วัดหนองกุดแคน
,วัดโพนป่าหว้าน 
,วัดดอนแดง
,วัดถาวร
,วัดวังโน
,วัดวังกะเบาน้อย
,วัดฉิมพลี
,วัดศรีบุญเรือง
,วัดป่าศรัทธาธรรมนิมิต
,วัดบุ่งฮี
,วัดโกมุทพุทธาราม
,วัดสุภราราม
,วัดน้อยโพธิ์คำ
,วัดนาทราย
,วัดโพธิ์ศรี
,วัดป่าหนองแหวน
,วัดบ้านทางหลวง
,วัดท่าสว่าง
,วัดไทรงาม
,วัดโพธิ์เจริญ
,วัดธาตุจำปา
,วัดธาตุเรณู
,วัดอินทร์แปลง
,วัดศรีหนาถ
,วัดพระพุทธบาทจอมทอง
,วัดป่านิเวศน์
,วัดดงธรรมวนาราม
,วัดคันธสามัคคีธรรม
,วัดโพธิ์เครือ
,วัดท่าจำปา
,วัดราชสีมา
,วัดสร้างแห่
,วัดโอภาสวิทยาราม
,วัดสว่างภูมิกาวาส
,วัดเมืองเก่า
,วัดสันตยาภิรมย์
,วัดโพนสิม
,วัดโคกสว่างวนาราม
,วัดศรีวิชัย
,วัดศิริโสภาพ
,วัดปราโมทย์อันธวัน
,วัดบ้านบุ่ง
,วัดป่าเทพสิทธาจารย์
,วัดโพนทอง
,วัดหนองบัว 
,วัดปทุมวนาราม
,วัดหนองหญ้าม้า
,วัดสระโบกบัวทอง
,วัดหัวบึงทุ่ง
,วัดเนินสะอาด
,วัดตาลใหญ่
,วัดวังม่วง 
,วัดโนนขาม
,วัดธรรมวิเวก
,วัดนาเดื่อ
,วัดท่าเรไร
,วัดป่าศรัทธาราม
,วัดดงยอ
,วัดโนนหอม
,วัดศรีคูณเมือง
,วัดพันทคีรี
,วัดป่านายอน้อย
,วัดดงสว่าง
,วัดไชยสำราญ
,วัดนาม่วง
,วัดปทุมถาวร
,วัดศรีสวาสดิ์
,วัดจันทิยาวาส
,วัดป่าโพธิ์ศรี
,วัดโพนทันกลาง
,วัดพระอินทร์แปลง
,วัดดุษฎีคณิศรบวรศรัทธาราม
,วัดศรีชมชื่น
,วัดโพนทา
,วัดป่าโสมนัสดินแดง
,วัดเทพนม
,วัดเกาะแก้วอัมพวัน
,วัดนารีศรีบัวบาน
,วัดวุฒิวราราม
,วัดกุตาไก้เหนือ
,วัดดอนยาง
,วัดมรุกขาราม
,วัดศรีสะเกษ
,วัดนาสมดี
,วัดอรัญญวิเวก
,วัดสะพานสูง
,วัดโอภาสธรรมาราม
,วัดป่าศิวิลัย
,วัดใหม่ชัยภูมิ
,วัดจูมมณี
,วัดทุ่งศรีมงคล
,วัดคำสว่างสามัคคี
,วัดป่าดงติ้ว
,วัดพืชมงคลธรรมรักษ์
,วัดศรีสวัสดิ์
,วัดกลาง
,วัดบึงเหล็ก
,วัดสร้างแป้น
,วัดกิติพรพุทธาราม
,วัดบูรพาราม
,วัดศรัทธาราม
,วัดภูลังกาใต้
,วัดดาราราม
,วัดทรายคำ
,วัดนาซอพัฒนา
,วัดทุ่งประชานารถ
,วัดทุ่งศรีสองเมือง
,วัดราษฎร์สวัสดิ์
,วัดดอนสะฝาง
,วัดอัมพวัน
,วัดกองมณี
,วัดป่าภูหัวดิน
,วัดเทพไพรวัลย์
,วัดศรีบุญสงฆ์
,วัดธาตุมงคลศรี
,วัดมูลสารกิจ
,วัดประชาวุฒิวราราม
,วัดนาเจริญ
,วัดป่าศรีประไพรวนาราม
,วัดทุ่งโพธิ์ศรี
,วัดโชคอำนวย
,วัดโพนทองศิริมงคล
,วัดชนะสังวร
,วัดพระธาตุประสิทธิ์
,วัดสระแก้ว
,วัดศรีสุข
,วัดนาบั่ว
,วัดสามัคคีธรรม
,วัดไตรรัตน์วนาราม
,วัดศรีจันทร์
,วัดวิชัย
,วัดป่าศรีธนธรรมาราม
,วัดปัจฉิมาวาส
,วัดถนนตาล
,วัดอรัญญมหาวัน
,วัดกองมณ๊
,วัดบัวขาว
,วัดกัณฑิศรีวราราม
,วัดแสงอุทัยสิริพัฒนาราม
,วัดสร้างแก้ว
,วัดหนองบัวคำ
,วัดสวรรค์ทอง
,วัดศรีสว่าง
,วัดสร้างพอก
,วัดศรีรัตนวนาราม
,วัดศรีทอง
,วัดห้วยไหล่
,วัดป่าจิตตวนาราม
,วัดสว่างแจ้ง
,วัดยอดแก้ว
,วัดอุดมสุข
,วัดฟ้าชื่นสุวรรณกุมภา
,วัดโนนกุง
,วัดธนราษฎร์อุทิศ
,วัดโพธิ์ศรีสมภิบาล
,วัดโพธิ์แก้ว
,วัดป่าสีลาราม
,วัดอรัญญิกาวาส
,วัดประดู่วีรธรรม
,วัดฮองไฮ
,วัดดงป่ายูง
,วัดป่าเทพนิมิต
,วัดชลธารบุญญาวาส
,วัดตาลกุด
,วัดศรีนวลแจ้ง
,วัดโคกเกลี้ยง
,วัดมงคลรัตนาราม
,วัดนาเรียง
,วัดโพธิญาณ
,วัดอรัญญา
,วัดศรีเฉลียวนภาลัย
,วัดโนนคำ
,วัดจอมแจ้ง
,วัดนาหัวบ่อ
,วัดศรีเทพประดิษฐาราม
,วัดป่าหนองแสง
,วัดนันทสาร
,วัดนายาง
,วัดศรีคุณเมือง
,วัดทุ่งสว่าง
,วัดห้วยทราย
,วัดป่าท่าดอกแก้ว
,วัดสารภาณนิมิต
,วัดจำปาทอง
,วัดป่าธรรมานุสรณ์
,วัดยางเดี่ยว
,วัดภูถ้ำพระ
,วัดหัวดอน
,วัดป่าอรุณรัตน์
,วัดคำพี้น้อย
,วัดท่านาขาม
,วัดศรีวิชัยมงคล
,วัดบ่อสะอาด
,วัดหัวเวียงรังษี
,วัดสว่างบูรพาราม
,วัดขอนกอง
,วัดขามเตี้ยใหญ่
,วัดโอกาส
,วัดภูเขาทอง
,วัดคำภิณีวรรณ์
,วัดเหล่าพัฒนา
,วัดป่ามโนศรีทอง
,วัดมาลัย
,วัดสว่างอารมณ์
,วัดโคกชาด
,วัดโนนสว่าง
,วัดป่าเทพวรรณวนาราม
,วัดคณิศรธรรมิการาม
,วัดประสาทโสภณาราม
,วัดธาตุศรีคุณ
,วัดจอมพล
,วัดป่าชัยชนะ
,วัดศรีชมภู
,วัดป่าดอนศาลา
,วัดศรีสุมังค์
,วัดศรีทัศน์
,วัดศรีจันทราวาส
,วัดโพนสวรรค์
