จังหวัด,รายชื่อวัด
นครศรีธรรมราช,วัดสุมณฑาธาร 
,วัดตรีนิมิตร
,วัดสระเหรียง 
,วัดพังยอม
,วัดโคกกฐิน
,วัดหัวอิฐ
,วัดเทพมงคล
,วัดอู่ทอง
,วัดโคกยาง
,วัดหาดสูง
,วัดทุ่งคาวนาราม
,วัดไสใหญ่ 
,วัดชัยสุวรรณ
,วัดหมน
,วัดทุ่งแย้
,วัดสุวรรณโฆษิต
,วัดคูหาสันตยาราม
,วัดดอนทราย 
,วัดทุ่งบก 
,วัดสำนักม่วง
,วัดเขาเกียรติ 
,วัดทะเลปัง
,วัดนาเหรง
,วัดป่าวดี
,วัดยางทอง
,วัดหัวค่าย
,วัดเนินธัมมัง
,วัดปากเสียว
,วัดบางตะพาน
,วัดปากเจาพัฒนาราม
,วัดท่าสูง
,วัดสามแพรก
,วัดแร่ราษฎร์สุทัศน์
,วัดราษฎร์เจริญ 
,วัดไพศาลสถิตย์
,วัดป่าวนาราม
,วัดทะเล
,วัดฝ่าพระบาทราษฎร์บำรุง
,วัดท้าวโคตร
,วัดเกาะสมอ 
,วัดหน้าพระบรมธาตุ
,วัดโคกประดู่ 
,วัดบางคู
,วัดพระพุทธบาท
,วัดท่าทราย 
,วัดเจริญบุญญเขต
,วัดเขาตาว 
,วัดไม้เรียง
,วัดเทวดาราม
,วัดกำแพงถม
,วัดพันธวาราม 
,วัดปทุมคงคานุสรณ์ 
,วัดมะม่วงทอง
,วัดโพธิ์ทอง
,วัดควนกอ
,วัดมัชฌิมเขตชลาราม 
,วัดนาล้อม 
,วัดคีรีรัตนาราม 
,วัดวังตะวันตก
,วัดเสนาราม
,วัดพรหมราช
,วัดโพธิ์เสด็จ
,วัดชายคลอง
,วัดทุ่งนาใหม่
,วัดรัตนาราม
,วัดสำโรงงาม
,วัดหน้าเขาเหมน
,วัดท่าน้อยคุณาราม
,วัดหลักช้าง
,วัดโรงเหล็ก
,วัดประดู่หอม
,วัดปลายระแนะ
,วัดมะเฟือง
,วัดแส็งแร็ง
,วัดวังขรี
,วัดโพธิ์นิมิต
,วัดไทยมังคลาราม
,วัดบรรพตวนาราม 
,วัดน้ำตก
,วัดสวนขัน
,วัดมุขธาราราม
,วัดท่าโพธิ์วรวิหาร
,วัดทอนหงส์
,วัดทรายทองสันตาราม
,วัดธงทอง
,วัดย่านม่วง
,วัดเชิงผาวนาราม 
,วัดโคกหาด
,วัดฉิมหลา
,วัดใหม่ 
,วัดวังหลวง
,วัดกระดังงา
,วัดเทพนิมิต
,วัดควนวัดใหม่ 
,วัดน้อมนาวาส 
,วัดวังตะวันออก
,วัดประชุมชน 
,วัดบ้านตาล
,วัดนางหลงประชาสามัคคี
,วัดมะเฟืองใต้
,วัดสระเกษ
,วัดนางตรา
,วัดราษฎร์เจริญวราราม
,วัดท้าวราษฎร์
,วัดศรีอาชา
,วัดสระน้ำขาว
,วัดไทรขาม
,วัดอินคีรี
,วัดคลองดิน
,วัดควนคลัง
,วัดมังคลาราม
,วัดป่ายาง
,วัดเทพราช
,วัดเทวสิทธิ์
,วัดเพ็ญญาติ
,วัดลุมพินี 
,วัดแม่เจ้าอยู่หัว
,วัดสโมสรสันนิบาต
,วัดท้ายสำเภา
,วัดบูรณาราม
,วัดโมคลาน
,วัดหนองบัว
,วัดธาราวดี
,วัดจอมทอง
,วัดวิสุทธิยาราม
,วัดโคกโพธิ์สถิตย์ 
,วัดชลธาราม 
,วัดแจ้ง
,วัดหน้าสตน
,วัดโคกสะท้อน
,วัดบ้านราม
,วัดควนยูง
,วัดท่าลาด 
,วัดประดิษฐาราม
,วัดอินทโชติการาม 
,วัดแหลมตะลุมพุก
,วัดคีรีน้อย
,วัดหรั่ง 
,วัดปากแพรก
,วัดท่านคร
,วัดบ่อน้ำร้อน
,วัดผาสุการาม
,วัดทาบทอง
,วัดหมื่นระงับรังสรรค์
,วัดปากช่องนคราวาส 
,วัดพัฒนาราม
,วัดปะธรรมาราม 
,วัดบางใหญ่
,วัดหรงบน
,วัดเขาเทียมป่า
,วัดโคกเมรุ
,วัดป่าทุ่งรวงทอง 
,วัดโดนธาราม
,วัดโคกมะม่วง
,วัดดอนนนท์
,วัดคงคาเลื่อน
,วัดศาลาแก้วตะวันออก 
,วัดสุวรรณบรรพต
,วัดปัญณาราม
,วัดขรัวช่วย
,วัดบุรณาวาส
,วัดทุ่งเฟื้อ
,วัดไตรสุวรรณาราม
,วัดเทพกุญชร
,วัดพิกุลชัยภูมิ
,วัดสระ
,วัดพัฒนาราม 
,วัดหนองนก
,วัดห้วยทรายขาว
,วัดสุวรรณจัตตุพลปัณณาราม
,วัดบุญนารอบ
,วัดวังหงส์
,วัดสมควร
,วัดถลุงทอง
,วัดศรีสุวรรณาราม 
,วัดปิยาราม
,วัดสุทัศน์เทวเสถียร 
,วัดท้าวโทะ
,วัดควนไม้แดง 
,วัดทุ่งน้อย
,วัดขรัวอินทร์ 
,วัดใหญ่
,วัดพระอานนท์
,วัดหัวลำภู
,วัดสามัคคีนุกูล 
,วัดมะปรางงาม
,วัดเทพประสิทธ์
,วัดมเหยงคณ์
,วัด
,วัดประตูคลัง 
,วัดประดู่หอม 
,วัดคงคาวง
,วัดใน
,วัดราษฎร์บำรุง 
,วัดวังหิน
,วัดชลคีรีวราราม 
,วัดไตรวิทยาราม
,วัดสโมสรศรัทธาวาส
,วัดบ้านใหม่
,วัดดินดอน
,วัดพุทธบูรณะ 
,วัดสระประดิษฐ์ 
,วัดเพ็ญมิตร
,วัดปลักปลา
,วัดเชียรใหญ่
,วัดมะม่วงตลอด
,วัดสุวรรณภูมิวิหาร 
,วัดเกล็ดแรด
,วัดวนาราม
,วัดจิกพนม 
,วัดเฉลิมกิตติยาราม
,วัดเขมวงศาราม
,วัดมุขธาราม
,วัดท่าช้าง
,วัดชมเพชรวนาราม
,วัดอุทัยธิราชโสมาราม 
,วัดท่าพุด
,วัดธรรมเผด็จ 
,วัดอู่แก้ว
,วัดปากเหมือง
,วัดเกาะสระ
,วัดบางปริก 
,วัดดอนมะปราง
,วัดชะเมา
,วัดสระใคร
,วัดทุ่งโชนพุทธาวาส 
,วัดพระหอม
,วัดม้าตีนหัก 
,วัดทุ่งหล่อ
,วัดห้วยตรีดจุฬาธาราม 
,วัดเสาธง
,วัดแพร่
,วัดท่าเสริม
,วัดบางสะพาน
,วัดท่าสะท้อน
,วัดรังษีบูรณาราม
,วัดถ้ำเทียนถวาย
,วัดเกาะเพชร
,วัดกรุงหยัน 
,วัดสุชน
,วัดภูเขาลำทัง
,วัดวิเชียรรังสฤษดิ์
,วัดอรรถธรรมาราม
,วัดวังไทร
,วัดบางเข็ม
,วัดบางอุดม
,วัดสุวรรณธาราม 
,วัดศาลาแก้ว
,วัดศรีมงคล
,วัดพรหมทอง 
,วัดสองพี่น้อง
,วัดจำปาวนาราม 
,วัดประทุมทายการาม
,วัดคลองเมียด
,วัดป่าตอ
,วัดบ้านพูน
,วัดกัตสัทธาราม 
,วัดเทพทองวนาราม 
,วัดเศียรดุสิต
,วัดเกาะนางแก้วพัฒนาราม
,วัดคีรีอัศจรรย์
,วัดท่าไทร
,วัดถ้ำกัลยาณมิตร 
,วัดสำโรง
,วัดเขาเหล็ก
,วัดพระนคร
,วัดสมอ
,วัดไทรห้อง 
,วัดสหธรรมิการาม
,วัดโพธิ์ใหม่
,วัดใหม่
,วัดป่าชัยมงคล
,วัดเขาพนมไตย์
,วัดชลเฉนียน
,วัดเขาน้อย
,วัดป่าห้วยพระ
,วัดอ่าวเตล็ด 
,วัดศิลา
,วัดกะเปียด
,วัดป่านาบน 
,วัดสระแก้ว 
,วัดสุขาสิทธาราม 
,วัดจีบประดิษฐ์
,วัดป่ากิ่ว
,วัดแจ้ง 
,วัดโพธิวงศาราม
,วัดโคกแสง 
,วัดมุจลินทราวาส
,วัดใหม่ปากคลอง 
,วัดคลองเหลง 
,วัดเชิงแตระ
,วัดเขาแก้ววิเชียร
,วัดห้วยแหยง
,วัดไทรงาม
,วัดป่าระกำเหนือ
,วัดในตูล
,วัดห้วยระย้า
,วัดในปุดกาญจนาคีรี
,วัดสระเภา
,วัดท่าม่วง
,วัดไสยาสน์ 
,วัดทุ่งยวน
,วัดป่าชุมชนบ้านโก้งโค้ง 
,วัดยางค้อม
,วัดเกาะจาก
,วัดไม้เสียบ 
,วัดต้นไทร
,วัดกุฏิ
,วัดสุวรรณคีรีวงศาราม
,วัดพระพรหม
,วัดทางขึ้น
,วัดเขายวนเฒ่า 
,วัดคงคาเจริญ
,วัดชมพูพฤกษาราม 
,วัดคงคาราม 
,วัดถ้ำใหญ่
,วัดยูงทอง
,วัดโบสถ์ธาราวดี
,วัดป่ายางประดู่หอม
,วัดเสมาเมือง
,วัดตรงบน
,วัดบ่อกรูด
,วัดพระอาสน์
,วัดมัชฌิมาพลาราม 
,วัดเตาปูน
,วัดเขาปรีดี
,วัดศาลาตะเคียน 
,วัดนาตาแย้มธรรมาราม 
,วัดดิษฐวราราม
,วัดท่าลิพง
,วัดสวนพิกุล 
,วัดควนสมบูรณ์ 
,วัดวังม่วง
,วัดอุทัยรัตนาราม
,วัดสวนหลวง
,วัดดอนอินทนิน
,วัดโคกตะเคียน
,วัดไทรทอง 
,วัดนาควารี 
,วัดตาหมอ
,วัดใหม่ทอน
,วัดวิเวกรัตนธัชมุนี
,วัดสุธรรมาราม
,วัดศรีสมบูรณ์ 
,วัดโคกคราม
,วัดลำนาว
,วัดก้างปลา
,วัดควนเงิน
,วัดศิลาล้อน
,วัดคลองแดน
,วัดทุ่งส้าน
,วัดนิโครธาราม
,วัดเกาะเทวดา
,วัดห้วยกลาง
,วัดคีรีกันทราวาส 
,วัดบางฉนาก
,วัดดอนใคร
,วัดสโมสร
,วัดควนหัวไทร 
,วัดรามประดิษฐ์
,วัดศาลาไพ
,วัดโยธาธรรม
,วัดทองทำนุ 
,วัดท่างาม
,วัดกุมแป
,วัดคันนาราม
,วัดบางสาร
,วัดด่านกำจัด
,วัดเทพนิมิตร 
,วัดศรีมาราม
,วัดปลายบางนาว 
,วัดมัชฌิมภูผา
,วัดกุลธาราม
,วัดหน้าพระลาน
,วัดดอนศาลา
,วัดรามแก้ว
,วัดจันดี 
,วัดคงคาวดี 
,วัดใหม่ไทยเจริญ
,วัดสุวรรณประดิษฐาราม 
,วัดสระโพธิ์
,วัดสุเทพธาราม
,วัดดอนยาง
,วัดลอยโพธาราม 
,วัดควนหัวไทร
,วัดสุขุม
,วัดพังสิงห์
,วัดหนองเจ
,วัดศรีวิชัยพัฒนาราม 
,วัดโคกเหล็ก
,วัดอัฑฒศาสนาราม
,วัดธาตุน้อย
,วัดนันทาราม
,วัดกลาง
,วัดบ้านด่าน
,วัดนพรัตนาราม
,วัดกัลยานฤมิต
,วัดหญ้า
,วัดมณีประสิทธิ์
,วัดมัชฌิมวราราม 
,วัดหญ้าปล้อง
,วัดสะบ้าย้อย 
,วัดบ่อล้อ
,วัดเลียบ
,วัดโคกทราง
,วัดเขาขุนพนม
,วัดเทพรักษ์
,วัดหงส์สุรินทร์สังฆาวาส 
,วัดอัมพวัน
,วัดสวนกลาง
,วัดหน้าเขารูป
,วัดสหกรณ์นิคมทุ่งสง
,วัดป่าหวาย
,วัดควนสุทธาราม
,วัดควนชุม 
,วัดวิภาวดีรังสิตาราม
,วัดสิริวัฒนาราม
,วัดศรีทวี
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดไสมะนาว 
,วัดเขาตาว
,วัดสนธิ์
,วัดโทสิทธิ์วารีน้อย 
,วัดบนถนน
,วัดบางพระ
,วัดชัยธาราประดิษฐ์
,วัดราษฎร์เจริญ
,วัดโสภณตีธาราม 
,วัดวังฆ้อง
,วัดสวนพลาราม
,วัดควนเกย
,วัดถ้ำทองพรรณรา
,วัดเปียน
,วัดเกาะแก้วนฤมิตร 
,วัดควนป้อม
,วัดนารีประดิษฐ์
,วัดเขาพนมไตรรัตน์
,วัดท่าพญา
,วัดสวนหมาก 
,วัดหนองคล้า 
,วัดยางใหญ่
,วัดหลวงครู
,วัดพระมหาธาตุวรมหาวิหาร
,วัดพัทธเสมา
,วัดเขาฝ้าย 
,วัดบางบูชาชนาราม
,วัดลานนาราม 
,วัดควนอุโบสถ
,วัดเขาตาสัก
,วัดโคกธาตุ
,วัดหัวไทร
,วัดขนาบนาก
,วัดคีรีวรรณา
,วัดเทพสิทธาราม
,วัดพระมงกุฎ
,วัดชนสังขรณพิจิตร
,วัดธารน้ำฉา
,วัดเขาตาพุฒ 
,วัดอำนวยสิทธิ์
,วัดสระเรียง
,วัดกะโสมเหนือ
,วัดเจดีย์หลวง
,วัดควนเรียงวนาราม 
,วัดใหญ่ชัยมงคล
,วัดมุมป้อม
,วัดศรีธรรมาราม 
,วัดปากลง
,วัดสวนป่าน
,วัดศิลาชลเขต
,วัดควนสูง
,วัดเขาโร
,วัดสำเภาล่องชลาราม 
,วัดพระเพรง
,วัดคลองกุย
,วัดมหิสสราราม
,วัดจังหูน
,วัดพัทธสีมา
,วัดทองพูน
,วัดเจริญธรรมมาราม
,วัดทุ่งเตยประชาสรรค์ 
,วัดโพเตมีย์
,วัดสวนกล้วย 
,วัดมงคลอุสภาราม 
,วัดโคกพิกุล
,วัดรักขิตวัน 
,วัดอมรานุยุตต์
,วัดวังสะพาน
,วัดเทพนิมิต 
,วัดชะอวด 
,วัดลานสกาใน 
,วัดบ่อโพง
,วัดเบิก
,วัดป่าระกำใต้
,วัดชัยชุมพล
,วัดแดง
,วัดดอนตาสังข์
,วัดเนกขัมมาราม
,วัดบ้านเนิน
,วัดเหมก
,วัดคันธมาลี
,วัดปากเชียร
,วัดสามัคยาราม 
,วัดจันทร์
,วัดควนชะลิก
,วัดหอยกัน
,วัดเขาดิน 
,วัดศิลาราย
,วัดชนาราม
,วัดควนมะปริง
,วัดชายคลองที่วัง
,วัดเขมาราม 
,วัดควนชุม
,วัดโรงฆ้อง
,วัดสว่างอารมณ์
,วัดพรหมมัญพงศาราม
,วัดควนใส 
,วัดนิคมคีรี
,วัดนางพระยา
,วัดบางทองคำ
,วัดพรหมโลก
,วัดสำนักขัน
,วัดอินทรสุคนธาราม
,วัดคงคาเลียบ
,วัดหนองดี
,วัดท่าสะท้อน 
,วัดน้ำรอบ
,วัดลากชายประชานิมิต 
,วัดสวนอาย 
,วัดมเหยงคณ์ 
,วัดวิทยาลัยครูรังสรรค์
,วัดหนองหนอน
,วัดปากนครบน
,วัดท่าแพ
,วัดมัชฌิมภูมิ
,วัดไทรหัวม้า
,วัดประชาอารีย์
,วัดบ้านงาม
,วัดนากุน
,วัดท่ายาง
,วัดแหลม
,วัดแจ้งวรวิหาร
