จังหวัด,รายชื่อวัด
นครสวรรค์,วัดวังยิ้มแย้ม
,วัดวังข่อย
,วัดเขาใบไม้
,วัดหนองโพ
,วัดหนองแทงแรด
,วัดหนองสระ
,วัดหนองโพธิ์ศรี
,วัดประสาทวิถี
,วัดเขาดินวนาราม
,วัดดอนโม่
,วัดวรนาถบรรพต
,วัดดงพลับ
,วัดหาดสูง
,วัดท่าตะโก
,วัดวังหยวกใต้
,วัดหนองดุก
,วัดบึงปลาทู
,วัดไร่ใหญ่ 
,วัดบ้านใหม่สามัคคี
,วัดทุ่งแม่น้ำน้อย
,วัดชัยวนาราม
,วัดหนองโพธิ์
,วัดศรีอัมพวัน
,วัดศรีสุธรรมาราม
,วัดเขาถ้ำพระ
,วัดน้ำสาดเหนือ
,วัดเขาบ่อแก้ว
,วัดหนองกระทุ่ม
,วัดโพธิ์หนองยาว
,วัดกลางแดด
,วัดช่องรวก
,วัดดำรงธรรม
,วัดช่องแกระ
,วัดเขาหลักชัย
,วัดเขาโคกเผ่น
,วัดหนองเต่าใต้
,วัดไตรคีรีวราราม
,วัดเวฬุวัน
,วัดหนองไผ่
,วัดทับกฤชเหนือ
,วัดไผ่นาเริง
,วัดสี่แพ่ง
,วัดหนองกลับ
,วัดโพธิ์ประสาท
,วัดหนองกรวด
,วัดหนองยอ
,วัดพระพุทธบาท
,วัดบ้านแก่ง
,วัดสามัคคีธรรม 
,วัดบ้านวัง
,วัดหนองตกกล้า
,วัดคลองจินดา
,วัดบ่อพยอม
,วัดท่านา
,วัดหนองบัวทอง
,วัดหัวถนนเหนือ
,วัดวังชมพู
,วัดทุ่งตาทั่ง
,วัดวงษ์มณีศรัทธา
,วัดท่าจันทร์
,วัดโพธิ์ทอง
,วัดทัพชุมพล
,วัดดงสีเสียด
,วัดทรัพย์ย้อย
,วัดนากลาง
,วัดพุทธมงคลนิมิตร
,วัดย่านมัทรี
,วัดสะเดาซ้าย
,วัดสระเศรษฐี
,วัดหนองแขม
,วัดเขาสมุก 
,วัดหนองกระดูกเนื้อ
,วัดศรีทรงธรรม
,วัดบ้านแดน
,วัดหนองปลาไหล
,วัดเขาไม้เดน
,วัดล้ำเจริญ
,วัดโพธิ์สุทธาวาส
,วัดวังศรีเจริญ
,วัดอมรประสิทธิ์
,วัดคลองวิไล
,วัดหนองแอก
,วัดสามัคคีประดิษฐ์
,วัดอุดมธัญญา
,วัดโคกกระเทิน
,วัดลาดทิพยรส
,วัดสระปทุม
,วัดดงจันทำ
,วัดเกษมศานติ์
,วัดคลองธรรม
,วัดใหม่ราษฎร์บำรุง
,วัดพรหมจริยาวาส
,วัดปากน้ำโพใต้
,วัดพระนอน
,วัดเทพสถาพร
,วัดมาบแก
,วัดพุหว้า
,วัดหนองหลวง
,วัดบางม่วง
,วัดบ้านลาด
,วัดหนองกรด
,วัดวิมลประชาราษฎร์
,วัดเขาเล็บงา
,วัดศรีวังคาง
,วัดยางโทน
,วัดตาคลี
,วัดหนองตาเชียง
,วัดเขมิราษฎร์
,วัดคลองเกษมใต้
,วัดช่องแค
,วัดป่าเรไร
,วัดธรรมโสภณ
,วัดวังแรต
,วัดพระหน่อธรณินทร์
,วัดวังเตียน
,วัดท่าแรต
,วัดธรรมจริยาวาส
,วัดทุ่งทะเลทราย
,วัดคีรีโชติการาม
,วัดแสงธรรมสุทธาวาส
,วัดดงกะพี้
,วัดเทพพนม
,วัดดงป่าจันทร์
,วัดหนองพลับ
,วัดหนองบัว
,วัดหนองรั้ว
,วัดพลังไพร
,วัดทุ่งสนามชัย
,วัดท่างิ้ว
,วัดวงฆ้อง
,วัดดงมะไฟ
,วัดบ้านเปราะ
,วัดทุ่งแคแดง
,วัดสายลำโพงเหนือ
,วัดราษฎร์ศรัทธาทำ
,วัดหนองหัวเรือ
,วัดหนองขอน
,วัดหัวหวาย
,วัดชายธงวราราม
,วัดเนินสำราญ
,วัดหนองสองห้อง
,วัดธารลำไย
,วัดใหม่หนองกรด
,วัดศรีสำราญ
,วัดศรีประชาสรรค์
,วัดศรีอัมพวัลย์
,วัดพนมเศษใต้
,วัดสว่างวงษ์
,วัดคลองมงคล
,วัดวังมะเดื่อ
,วัดพนาสวรรค์
,วัดพุนกยูง
,วัดชอนพลูวราราม
,วัดห้วยดุก
,วัดห้วยขว้าว
,วัดวังกระโดนใหญ่
,วัดเนินหญ้าคา
,วัดหัวพุ
,วัดหนองหมู
,วัดสมานประชาชน
,วัดกระจังงาม
,วัดหนองน้ำใส
,วัดหูกวาง
,วัดราษฎร์บำรุง
,วัดถ้ำผาสุขใจ
,วัดหนองโก
,วัดเขามะเกลือ
,วัดสามัคยาราม
,วัดคลองสำพรึง
,วัดไทรใต้
