จังหวัด,รายชื่อวัด
นราธิวาส,วัดโคกมะม่วง
,วัดอุไรรัตนาราม
,วัดน้ำขาวยะกา
,วัดศรีสาคร
,วัดลอยประดิษฐ์
,วัดชัยรัตนาราม
,วัดสุวรรณบรรพต
,วัดเขาเข็มทอง
,วัดทุ่งคา
,วัดปิบผลิวัน
,วัดชลธาราสิงเห
,วัดพระพุทธ
,วัดเจาะไอร้อง
,วัดทรายขาว
,วัดเขากง
,วัดเวฬุวัน
,วัดปริมังคลาวาส
,วัดโคกโก
,วัดป่าไผ่
,วัดโก-ลกเทพวิมล
,วัดเกษตรธิการาม
,วัดชลเฉลิมเขต
,วัดราษฎรสโมสร
,วัดทองดีประชาราม
,วัดหิรัญวดี
,วัดโบราณสถิตย์
,วัดลีนานนท์
,วัดไพโรจน์ประชาราม
,วัดประดิษฐบุปผา
,วัดนภาราม
,วัดโคกเคียน
,วัดบางนรา
,วัดนิคมแว้ง
,วัดรัตนานุภาพ
,วัดบ้านทุ่งกง
,วัดบางปอ
,วัดพรหมนิวาส
,วัดชลภูผาวนาราม
,วัดชลธาราวาส
,วัดท่ามะปราง
,วัดฉัททันต์สนาน
,วัดธารากร
,วัดทรายทอง
,วัดตันหยงมัส
,วัดโคกมะเฟือง
,วัดเกษมประทีป
,วัดคันธาริการาม
,วัดประชุมชลธารา
,วัดปิเหล็ง
,วัดบุณณาราม
,วัดสวนธรรม
,วัดโคกตา
,วัดสังฆสิทธาราม
,วัดพนาสณฑ์
,วัดโต๊ะโมะ
,วัดรัตนานุสรณ์
,วัดสุคิรินประชาราม
,วัดขวัญประชา
,วัดบางขุนทอง
,วัดโฆษิต
,วัดเชิงเขา
,วัดลำภู
,วัดตันติการาม
,วัดเขานาคา
,วัดพิกุลทอง
,วัดเกาะสวาด
,วัดประชาภิรมย์
,วัดบือแรง
,วัดราษฎร์วิริยาราม
,วัดกำแพง
