จังหวัด,รายชื่อวัด
น่าน,วัดบุ้ง
,วัดทรายมูล
,วัดฝายแก้ว
,วัดยอด
,วัดศรีนาเรือง
,วัดศิริธาดา
,วัดห้วยสอน
,วัดเชียงยืน
,วัดนาคำ
,วัดนาเหลืองนอก
,วัดดอนไชยพระบาท
,วัดนาไค้
,วัดจอมจันทร์
,วัดดอนตัน
,วัดผาขวาง
,วัดเชียงของ
,วัดนาปัง
,วัดแคว้ง
,วัดนางิ้ว
,วัดไพรสณฑ์
,วัดอภัย
,วัดปูคา
,วัดเชียงบาล
,วัดศรีพันต้น
,วัดสาลี้
,วัดดู่ใต้
,วัดสถารศ
,วัดต้นต้อง
,วัดธงหลวง
,วัดนากอก
,วัดพระธาตุจอมนาง
,วัดปางค่า
,วัดหัวน้ำ
,วัดก้อดแก้ว
,วัดหาดไร่
,วัดสวนดอก
,วัดป่าสัก
,วัดน้ำแพะ
,วัดต้นแหลง
,วัดมิ่งเมือง
,วัดหัวทุ่ง
,วัดม่วง 
,วัดเมืองจังใต้
,วัดปรางค์
,วัดสบปัว
,วัดน้ำปั้ว
,วัดหัวเวียงใต้
,วัดห้วยม่วง
,วัดพวงพยอม
,วัดไร่
,วัดวังผา
,วัดกลาง
,วัดนาฝาง
,วัดห้วยล้า
,วัดไชยคำ
,วัดหมอเมือง
,วัดโป่งคำ
,วัดศาลา
,วัดสันติการาม
,วัดปิตุราษฎร์
,วัดดอนใหม่
,วัดไทรหลวง
,วัดอัมพวัน
,วัดนาเหลืองใน
,วัดสาคร
,วัดอุทัยราษฎร์
,วัดบ่อสวก
,วัดหนาด
,วัดพุ่มมาลา
,วัดประดิษฐ์
,วัดนาวงค์
,วัดอภัยคีรี
,วัดบัวทอง
,วัดสร้อยพร้าว
,วัดห้วยยื่น
,วัดป่าไคร้
,วัดพระธาตุเขาน้อย
,วัดป่าหุ่ง
,วัดฝ่ายมูล
,วัดพรหม
,วัดดอนมูล
,วัดไชยสถาน
,วัดพระธาตุยอยหงส์ 
,วัดไผ่งาม
,วัดสบยาง
,วัดพี้ใต้
,วัดพระธาตุช้างค้ำวรวิหาร
,วัดท่าน้าว
,วัดตาลชุม
,วัดบำเพ็ญบุญ
,วัดพงษ์
,วัดน้ำครกเก่า
,วัดป่าซาง
,วัดสบหนอง
,วัดปงสนุก
,วัดดอนสถาน
,วัดน้ำลัด
,วัดสุคันธาราม 
,วัดผาตูบ
,วัดน้ำยาว
,วัดทุ่งกลาง
,วัดตอง
,วัดไชยภูมิ
,วัดป่าแพะ
,วัดพระธาตุแช่แห้ง
,วัดนาเตา
,วัดเจดีย์ 
,วัดสุขศรี
,วัดช้างเผือก
,วัดพาน
,วัดใหม่วังเคียน
,วัดพญาภู
,วัดคอวัง
,วัดท่าล้อ
,วัดทุ่งเม็ง
,วัดเชียงแล
,วัดมังคลาราม
,วัดดอนแก่ง
,วัดปง
,วัดอ่าย
,วัดหัวเมือง
,วัดสุวรรณาวาส
,วัดงิ้วงาม
,วัดทุ่งฆ้อง
,วัดน้ำคา
,วัดสุรธาดาราม
,วัดคือเวียง
,วัดหนองบัว
,วัดเฮี้ย
,วัดน้ำแก่นใต้
,วัดดอนเฟือง
,วัดนาสา
,วัดปัวชัย
,วัดปิงใน
,วัดนาซาว
,วัดหนองเงือก
,วัดขึ่งเจริญ
,วัดไหล่น่าน
,วัดเชียงโคม
,วัดส้าน
,วัดเมืองเล็น
,วัดโปร่ง
,วัดหนองแดง
,วัดพญาวัด
,วัดป่าศรีถาวรวังตาว
,วัดสะเลียม
,วัดศรีกลางเวียง
,วัดทุ่งสุน
,วัดนาแหน
,วัดศรีรัตนาราม
,วัดนาราบ
,วัดพี้เหนือ
,วัดดู่พงษ์
,วัดนาเคียน
,วัดหัวข่วง
,วัดแสงดาว
,วัดนาหลวง
,วัดบ่อแก้ว
,วัดหาดผาคำ
,วัดวิถีบรรพต
,วัดหางทุ่ง
,วัดเขื่อนแก้ว
,วัดท่าเลอ
,วัดนาแดง
,วัดเชียงราย
,วัดสวนหอม
,วัดราษฎร์บำรุง
,วัดนิโครธาราม 
,วัดสว่างอรุณ
,วัดคันนา
,วัดจักรวรรณ
,วัดสบย่าง
,วัดป่าคา
,วัดศรีชุม
,วัดหลวง
,วัดน้ำลาน
,วัดนาส้าน
,วัดบุญเรือง
,วัดห้วยแขม
,วัดหลับมืนพรวน
,วัดดอนมงคล
,วัดน้ำปาย
,วัดเขาน้อยเทสรังสี
,วัดดวงคำ
,วัดใหม่เจริญราษฎร์
,วัดชนะไพรี
,วัดยู้
,วัดรัชดา
,วัดป่าลาน
,วัดภูเพียง
,วัดห้วยซ้อ
,วัดซาววา
,วัดป่าหัด
,วัดสุทธาราม
,วัดมณเฑียร
,วัดธาตุ 
,วัดทุ่งน้อย
,วัดร้องแง
,วัดมงคล
,วัดเฟือยลุง
,วัดก้อ
,วัดทุ่งกวาง
,วัดศรีเกิด
,วัดดอนแท่น
,วัดศรีนาป่าน
,วัดน้ำฮาว
,วัดหาดเค็ดล่าง
,วัดนาหนุน
,วัดสวนตาล
,วัดสาระ
,วัดน้ำอ้อ
,วัดชัยมงคล
,วัดดอนชัย
,วัดบ้านใหม่
,วัดเหนือฝาย
,วัดท่าข้าม
,วัดหนองม่วง
,วัดป่าเหียง
,วัดภูเวียง
,วัดนาข่อย
,วัดหาดเค็ดบน
,วัดร้องเย็น
,วัดนาก้อ
,วัดป่าตอง
,วัดนาเปลื่อง 
,วัดป่าค่า
,วัดศรีนาชื่น
,วัดท่าช้าง
,วัดมหาโพธิ์
,วัดกู่คำ
,วัดฟ้า 
,วัดสะไมย์
,วัดท่าลี่
,วัดปางปุก
,วัดนาทะนุง
,วัดทุ่งผึ้ง
,วัดนาเซีย
,วัดอ้อย
,วัดครกคำ
,วัดห้วยเม่น
,วัดเปา
,วัดนาน้อย
,วัดน้ำโซ้ง
,วัดเชตวัน
,วัดจันชมพู
,วัดนวราษฎร์
,วัดแหน
,วัดบ่อหลวง
,วัดนาเผือก
,วัดสถาน
,วัดป่าอ้อย
,วัดผาสิงห์
,วัดพระธาตุจอมพริก
,วัดโพธิวราราม
,วัดเชียงแข็ง
,วัดเมืองราม
,วัดเสี้ยว
,วัดม่วงตึ๊ด
,วัดดอนไชย 
,วัดร้องตอง
,วัดวัวแดง
,วัดภูแยง
,วัดนาเหลืองม่วงขวา
,วัดศรีมงคล
,วัดพรมเมืองสวรรค์
,วัดป่ากล้วย
,วัดแซ่พลาง
,วัดอรัญญาวาส
,วัดสมุน
,วัดวังทอง
,วัดบ่อหยวก
,วัดหลับมืนไตย
,วัดฝาง
,วัดนาป่าน
,วัดน้ำอูน
,วัดเจดีย์
,วัดผาเวียง
,วัดหัวเวียงเหนือ
,วัดสบหลม
,วัดบง
,วัดตาแก้ว
,วัดนาเกลือ
,วัดปางส้าน
,วัดใหม่
,วัดนาไลย
,วัดกอก
,วัดศิลามงคล
,วัดคำเรือง
,วัดปิงหลวง
,วัดสันกลาง
,วัดทุ่งชัย
,วัดนิมิตรมงคล
,วัดน้ำมวบ
,วัดศรีอุดม
,วัดวังคีรี
,วัดศรีบุญเรือง
,วัดศรีดอนชัย
,วัดซาวหลวง
,วัดศรีดอนแท่น
,วัดผาหลัก
,วัดบุปผาราม
,วัดพระธาตุเบ็งสกัด
,วัดนาทราย
,วัดต้นแก้ว
,วัดป่าแลว
,วัดภูมินทร์
,วัดพะเยา
,วัดสะเกิน
,วัดพร้าว
,วัดพุฒิมาราม
,วัดป่าเหมือด
,วัดดอนถืมตอง
,วัดดอนแก้ว
,วัดรังษี
,วัดหนองห้า
,วัดต้นหนุน
,วัดโพธิ์ไทร
,วัดร้อง
,วัดนาฝ่า
,วัดศีรษะเกษ
,วัดพระเกิด
,วัดหนองรัง
,วัดม่วงใหม่
,วัดหนองผุก
,วัดสันทะ
,วัดน้ำล้อม
,วัดไผ่เหลือง
,วัดสะปัน
,วัดภูเก็ต
,วัดดอนชัย 
,วัดราชสีมา
,วัดบุญยืน
,วัดจะเข้ภูหอม
,วัดน้ำพาง
,วัดนาผา
,วัดฝั่งหมิ่น
,วัดสองแคว
,วัดน้ำไคร้
,วัดพระเนตร
,วัดม่วงสุม
,วัดถืมตอง
,วัดนากลุ่ม
,วัดดอนไชย
,วัดน้ำเคิม
,วัดนาคอก
,วัดศรี
,วัดน้ำแก่นเหนือ
,วัดนาหวาย
,วัดอรุณศรี
,วัดบ้านต้าม
,วัดหัวนา
,วัดสะว้า
,วัดนาคา
,วัดพิกุลทอง
,วัดห้วยหลอด
,วัดน้ำหิน
,วัดวังม่วง
,วัดอ้อใต้
,วัดปางมอญ
,วัดราษฎร์อุดม
