จังหวัด,รายชื่อวัด
บึงกาฬ,วัดสว่างสามัคคี
,วัดสระพังทอง
,วัดโพนทอง
,วัดหนองบัว 
,วัดชมภูพร
,วัดไตรภูมิวนาราม
,วัดโนนสว่างวารี
,วัดโพนแก้ว
,วัดโนนทอง
,วัดโนนเค็ง 
,วัดประชาสามัคคีธรรม
,วัดศรีวรมงคล
,วัดสันติสามัคคี
,วัดสุคนธราราม
,วัดอมรรัตนาราม
,วัดอุดมวนาราม
,วัดโพธิ์ชัย
,วัดโพธิ์
,วัดอรัญเขตตาราม
,วัดตาลเดี่ยว
,วัดไพรสณฑ์
,วัดป่าดอนกรรม
,วัดโคกกระแซ
,วัดเขาพนมไพร
,วัดศรีมงคลสำราญ
,วัดศรีชมชื่น
,วัดสว่างวารี
,วัดเวฬุวัน
,วัดสังขลิการาม
,วัดดงเกษมประชาราม 
,วัดชมพูจันทราราม
,วัดสุทธาวาส
,วัดชัยมงคลธรรมาวาส
,วัดศรีสว่างวนาราม
,วัดนาสวารี
,วัดบุญนาค
,วัดนิโคธาราม
,วัดอรัญญวิเวก
,วัดดานสันติธรรม
,วัดสุมณฑาราม
,วัดเกษตรสมบูรณ์
,วัดโชติรสธรรมากร
,วัดท่าสวาท
,วัดดงชมภูเลิศมงคล
,วัดทุ่งสว่างท่าวารี
,วัดอุทัยทอง
,วัดทรายคำ
,วัดขันแก้วสุทธาราม
,วัดศิริพัฒน์
,วัดสว่างมีชัย
,วัดอรุณไตรแจ้งวนาราม
,วัดธรรมาภิรมย์
,วัดจอมมณีธร
,วัดทองสุทธาวาส
,วัดป่าพัฒนาพร
,วัดนวกะวารี
,วัดจันทราราษฎร์
,วัดซำบอนวราราม
,วัดพฤฒาราม
,วัดถ้ำจันทร์
,วัดคำแวง
,วัดศรีสะอาดบัวบาน
,วัดสว่างพัฒนา
,วัดอุดรทิศวาส
,วัดสิริธรรมทาน
,วัดศรีราญทา
,วัดโนนสำราญ
,วัดถ้ำพระ
,วัดโนนป่าบาก
,วัดบึงสาราษฎร์
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดสามหนอง
,วัดด่านทรงธรรม
,วัดเทพศิริสามัคคีธรรม
,วัดสามัคคีธรรม
,วัดโคกอุดม
,วัดโนนมันปลา
,วัดศรีสง่า
,วัดศรีเจริญพัฒนา 
,วัดป่าศรีวิลัย
,วัดอภินันทวราราม
,วัดสมัยสำราญ
,วัดโป่งทองชัยพัฒนาราม
,วัดเจริญสังวรบำรุงราษฎร์
,วัดป่าเกาะน้ำใส
,วัดป่าเจริญพร
