จังหวัด,รายชื่อวัด
บุรีรัมย์,วัดปลัดปุ๊ก
,วัดจินดามณี
,วัดไพรงาม
,วัดบ้านดอนกลาง
,วัดพินทอง
,วัดบ้านติม
,วัดโนนมะงา
,วัดป่าภาวนาราม 
,วัดชุมพลมณีรัตน์
,วัดโคกกลาง
,วัดสวายตางวน
,วัดป่าบ้านหัวถนน 
,วัดโคกยาง
,วัดป่าหนองกระโดน 
,วัดสว่างนที
,วัดลำนางรองเหนือ 
,วัดจินดาราม
,วัดหนองงิ้ว-หนองไทร
,วัดแจ้งเมืองไผ่
,วัดโนนยานาง
,วัดโพธิ์ชัย
,วัดโพธิ์
,วัดไผ่น้อย
,วัดบ้านชุมแสง
,วัดบ้านสายโท 
,วัดหนองตาเพ็ง
,วัดป่าบ้านแท่นพระ
,วัดหนองกระทุ่ม
,วัดอุบลสามัคคี 
,วัดป่าแก้วหนองแสง 
,วัดป่าเขาน้อย
,วัดป่าตะลุมพุก 
,วัดสายโท8ใต้
,วัดนาแค
,วัดสว่างบุโพธิ์
,วัดโพธิ์คงคา
,วัดหนองแวง
,วัดบ้านสูงเนิน
,วัดป่าพวงสำราญ
,วัดป่าวสันต์สุนทร 
,วัดศรัทธาประชาบูรณะ
,วัดเมืองฝาง
,วัดหนองไผ่
,วัดเวฬุวัน
,วัดป่าหนองปลาไหล 
,วัดโสภณวนาราม
,วัดบ้านโคกกลาง
,วัดเทพพัฒนา
,วัดสวนใหม่
,วัดป่าโคกกะปุ๊ก
,วัดหนองนกเกรียน
,วัดป่าลานหินตัด 
,วัดศิริมงคล 
,วัดใหม่เรไรทอง
,วัดซับคะนิง 
,วัดป่าหนองปลาดุก 
,วัดสายตรี 
,วัดทรงสุวรรณ
,วัดถลุงเหล็ก
,วัดป่าสวนใหญ่
,วัดป่าไผ่งาม 
,วัดสะแกซำ
,วัดพนมวัน
,วัดอิสาณ
,วัดสวนป่ารักน้ำ(ธุดงคสถาน
,วัดหนองบัวทอง
,วัดหลักศิลา 
,วัดป่าหนองไทรคูณศรัทธาราม
,วัดกระทุ่ม
,วัดสระกุญชร
,วัดโพธิ์ทอง
,วัดผักกาดหญ้า
,วัดป่าหนองแคร่
,วัดโคกงิ้ว
,วัดมะขามเจรอะ
,วัดอิสาน
,วัดสนวนนอก
,วัดบุพพาราม
,วัดโนนงิ้ว
,วัดสระประทุม
,วัดหนองแขม
,วัดแจ้งตลาดโพธิ์
,วัดตาราม
,วัดราษฏร์บำรุง
,วัดสุภัทบูรพาราม
,วัดประชานิรมิต
,วัดโนนสำราญ
,วัดทุ่งสว่างศรี
,วัดยาง 
,วัดอุทกวารี
,วัดหนองปลาไหล
,วัดปลื้มพัฒนา
,วัดโคกกระชายใต้
,วัดบัวทอง
,วัดป่าไพศาลพัฒนา
,วัดดอนไม้ไฟ
,วัดบ้านละหานทรายใหม่
,วัดท่าประชุมวารี
,วัดป่าโนนสวรรค์-ทุ่งสีดา
,วัดพลรังษี
,วัดสุภโสภณ
,วัดหนองมะเกลือ
,วัดคลองหินใน 
,วัดอัมภาราม
,วัดป่าหนองขาย่าง 
,วัดละลวด
