จังหวัด,รายชื่อวัด
ปทุมธานี,วัดสหราษฎร์บำรุง
,วัดศิริจันทาราม
,วัดใหม่กลางคลองสิบ
,วัดศาลาแดงเหนือ
,วัดราษฎร์บำรุง
,วัดบึงบอน
,วัดพิชิตปิตยาราม
,วัดบุญบางสิงห์
,วัดสระบัว
,วัดสามัคคิยาราม
,วัดอดิศร
,วัดนาบุญ
,วัดบางเตยใน
,วัดสังลาน
,วัดตลาดเหนือ
,วัดบึงกาสาม
,วัดคลองเก้า
,วัดหว่านบุญ
,วัดไพร่ฟ้า
,วัดมงคลพุการาม
,วัดบ้านพร้าวนอก
,วัดดาวดึงษ์
,วัดประชุมราษฎร์
,วัดปัญจทายิกาวาส
,วัดโสภณาราม
,วัดปัญญานันทาราม
,วัดเทียนถวาย
,วัดคุณหญิงส้มจีน
,วัดเกริน
,วัดเกาะเกรียง
,วัดจันทรสุข
,วัดบางหลวง
,วัดเวฬุวัน
,วัดป่าไขแสงธรรมาราม
,วัดท้ายเกาะ
,วัดสะแก
,วัดบ้านพร้าวใน
,วัดสุทธาวาส
,วัดลำมหาเมฆ
,วัดพวงแก้ว
,วัดอู่ข้าว
,วัดบัวแก้วเกษร
,วัดจันทน์กะพ้อ
,วัดสอนดีศรีเจริญ
,วัดคลองหนึ่ง
,วัดกล้าชอุ่ม
,วัดเชิงท่า
,วัดสุนทริการาม
,วัดแสวงสามัคคีธรรม
,วัดพืชอุดม
,วัดคลองชัน
,วัดนพรัตนาราม
,วัดสุวรรณจินดาราม
,วัดบัวหลวง
,วัดธรรมราษฎร์เจริญผล
,วัดธัญญะผล
,วัดปทุมนายก
,วัดตำหนัก
,วัดเทพสรธรรมาราม
,วัดโสภาราม
,วัดหนองปรง
,วัดมูลจินดาราม
,วัดป่าเลิศธรรมนิมิต
,วัดมหิงษาราม
,วัดสำแล
,วัดพิรุณศาสตร์
,วัดบางนางบุญ
,วัดบางคูวัดนอก
,วัดนิเทศราษฎร์ประดิษฐ์
,วัดบางนา
,วัดกร่าง
,วัดบ่อทอง
,วัดคลองสอง
,วัดมูลเหล็ก
,วัดเมตตาธรรมอนาลโย
,วัดไผ่ล้อม
,วัดบัวทอง
,วัดมะขาม
,วัดดาวเรือง
,วัดนาวง
,วัดหงษ์ปทุมาวาส
,วัดคูบางหลวงอนุกิจวิธูร
,วัดบางกุฎีทอง
,วัดเปรมประชา
,วัดประยูรธรรมาราม
,วัดฉาง
,วัดโปรยฝน
,วัดบางเดื่อ
,วัดบุญชื่นชู
,วัดโพธิ์เลื่อน
,วัดนังคัลจันตรี
,วัดบึงบาประภาสะวัต
,วัดไก่เตี้ย
,วัดอัมพุวราราม
,วัดจุฬาจินดาราม
,วัดสองพี่น้อง
,วัดศาลเจ้า
,วัดป่าคลอง 
,วัดบัวสุวรรณประดิษฐ์
,วัดบางเตยนอก
,วัดเมตารางค์
,วัดมงคลรัตน์
,วัดบางขัน
,วัดแจ้งลำหิน
,วัดคลองขุด
,วัดราษฎร์ศรัทธาราม
,วัดสวนมะม่วง
,วัดบัวขวัญ
,วัดแสงสรรค์
,วัดบางโพธิ์ใน
,วัดพุทธชินวงศ์วนาราม
,วัดบางพูน
,วัดเจดีย์หอย
,วัดลาดสนุ่น
,วัดตลาดใต้
,วัดชัยสิทธาวาส
,วัดลานนา
,วัดซอยสามัคคี
,วัดขุมแก้ว
,วัดทำเลทอง
,วัดบางคูวัดใน
,วัดตะวันเรือง
,วัดผลาหาร
,วัดเสด็จ
,วัดศรีคัคณางค์
,วัดนาป่าพง
,วัดป่าจิตตภาวนา
,วัดดอกไม้
,วัดหน้าไม้
,วัดปัญจบูรพาจารย์
,วัดคลองแอนพัฒนาราม
,วัดสุวรรณบำรุงราชวราราม
,วัดบางคูวัดกลาง
,วัดน้ำวน
,วัดป่างิ้ว
,วัดเจดีย์ทอง
,วัดพลับสุทธาวาส
,วัดสามโคก
,วัดบ่อเงิน
,วัดทศทิศาราม
,วัดเกิดการอุดม
,วัดตระพัง
,วัดถั่วทอง
,วัดโคก
,วัดป่ากลางทุ่ง
,วัดทับทิมแดง
,วัดโพสพผลเจริญ
,วัดเกตุประภา
,วัดสมุหราษฎร์บำรุง
,วัดสิงห์
,วัดปทุมทอง
,วัดแจ้ง
,วัดชินวรารามวรวิหาร
,วัดเขียนเขต
,วัดเพิ่มทาน
,วัดทองสะอาด
,วัดสายไหม
,วัดราษฎร์ศรัทธาทำ
,วัดเจริญบุญ
,วัดบางกะดี
,วัดศรีสโมสร
,วัดทวีการะอนันต์
,วัดสุขปุณฑริการาม
,วัดรังสิต
,วัดป่าเจริญราช
,วัดใหม่คลองเจ็ด
,วัดพืชนิมิต
,วัดแสงมณี
,วัดเนกขัมมาราม
,วัดลาดหลุมแก้ว
,วัดสุราษฎร์รังสรรค์
,วัดอัยยิการาม
,วัดสว่างภพ
,วัดบางตะไนย์
,วัดกลางคลองสี่
,วัดป่าภูริทัตตปฏิปทาราม
,วัดโบสถ์
,วัดดอนใหญ่
,วัดชัยมังคลาราม
,วัดจันทาราม
,วัดบางเตยกลาง
,วัดธรรมานันทาราม
,วัดหัตถสารเกษตร
,วัดจตุพิธวราวาส
,วัดโกเมศรัตนาราม
,วัดกลางคลองสาม
