จังหวัด,รายชื่อวัด
ปราจีนบุรี,วัดใหม่กรงทอง
,วัดใหม่สูงเนิน
,วัดบรรพตรัตนาราม
,วัดประทุมวนาวาส 
,วัดย่านรี
,วัดแก้วฟ้ารังษี
,วัดเนาวรัตนาราม
,วัดเทวบุตร
,วัดราษฎร์รังสฤษฎิ์
,วัดนาคำ
,วัดแสงจันทร์
,วัดวังน้ำขุ่น
,วัดหาดสูง
,วัดโคกป่าแพง
,วัดราษฎร์เจริญศรัทธาธรรม
,วัดท้าวอู่ทอง
,วัดรัตนชมภู
,วัดป่าญาณวิสุทธาวาส
,วัดคู้ลำพัน
,วัดบางกระเบา
,วัดสระข่อย
,วัดป่าอุดมสุข
,วัดเนินดินแดง
,วัดศรีสุทธาวาส
,วัดนครกบินทร์
,วัดคลองมะเลา
,วัดประจันตคามเสมาราม
,วัดเนินบาก
,วัดหนองหูช้าง
,วัดเนินผาสุข
,วัดเขาดิน
,วัดราษฎร์นิยม
,วัดไพบูลย์ศรัทธาทำ
,วัดท่าอุดมสมบูรณาราม
,วัดคลองคล้า
,วัดนาแขม
,วัดสระมรกต
,วัดโสมสุทธาวาส
,วัดอุดมวิทยาราม
,วัดโคกกระจง
,วัดสมบูรณ์ทรัพย์
,วัดแก้วสามัคคี
,วัดสามัคคีสโมสร
,วัดทุ่งสามัคคี
,วัดหนองโดน
,วัดคลองกลาง
,วัดดงขี้เหล็ก
,วัดบึง
,วัดกลางเมืองเก่า
,วัดพรหมเสนาราม
,วัดจิกสูง
,วัดบ้านแก่ง
,วัดบุฝ้าย
,วัดคลองมะไฟ
,วัดใหม่สระบุรี
,วัดศรีสวัสดิ์
,วัดบ้านด่าน
,วัดอินทร์ประชาราษฎร์
,วัดบุสูง
,วัดโป่งไผ่
,วัดบูรพาราม
,วัดเลียบ
,วัดมะกอกสีมาราม
,วัดป่ามะไฟ
,วัดอัมพวัน
,วัดบางแตน
,วัดบ้านท่ากะทุ่ม 
,วัดใหม่กวางทอง
,วัดหนองชะอม
,วัดบุพพาราม
,วัดสุวรรณวิทยาราม
,วัดธรรมารังสฤษฎิ์
,วัดสระแท่น
,วัดสอนิมิตร
,วัดธรรมารามประดิษฐ
,วัดหนองจอก
,วัดภักดีสุนทราวาส
,วัดนูประสาทวราวาส
,วัดยายเม้าเตี้ย
,วัดมูลเหล็ก
,วัดสามัคคีธรรม
,วัดหนองคล้า
,วัดป่าภาวนาธรรม
,วัดแหลมไผ่
,วัดคชสารมุนี
,วัดโคกอุดม
,วัดบางปลาร้า
,วัดศรีจันทราราม
,วัดหนองงูเหลือม
,วัดหนองตลาด
,วัดกำแพง
,วัดวังบัวทอง
,วัดหนองปรือน้อย
,วัดเกาะเค็ดใน
,วัดไผ่งาม
,วัดมะขามทอง
,วัดสารวนาราม
,วัดบ้านกุดตาเสก
,วัดเกาะมะไฟ
,วัดเทพประสิทธยาราม
,วัดประเถท
,วัดอรัญญาราม
,วัดพิกุลวนาราม
,วัดบางไผ่
,วัดศีรษะเมือง
,วัดต้นสะตือ
,วัดศรีวนาลัย
,วัดคลองปลาดุกลาย
,วัดสระขุด
,วัดศรีประจันตคาม
,วัดโคกปีบ
,วัดมาบเหียง
,วัดโคกอุดมดี
,วัดบ้านหว้าน
,วัดศรีสุวรรณาราม
,วัดโคกลาน
,วัดโคกขี้เหล็ก
,วัดป่าเนินกลาง
,วัดชะอม
,วัดบ้านพระ
,วัดประสาธน์รังสรรค์
,วัดเหลืองทองรังษี
,วัดปวิเวการาม
,วัดลำดวน
,วัดมหาไชย
,วัดปทุมสราราม
,วัดเกาะสมอ
,วัดหนองแหน
,วัดสัมพันธ์
,วัดลาดไพรจิตร
,วัดห้วยเกษียรใหญ่
,วัดธรรมโพธิศรี
,วัดศรีเงินเจริญสุข
,วัดสัปปโคน
,วัดศรีกบินทร์
,วัดเนินแสงทอง
,วัดพระธาตุพงษ์คุณ
,วัดวังกวาง
,วัดเขาอีโต้ 
,วัดพันธ์ศรี
,วัดหนองทะเล
,วัดหัวกรด
,วัดบ้านยาง
,วัดแก่งดินสอ
,วัดป่าโพธิ์แก้ว
,วัดหว้าเอน
,วัดชามีพุทโธวาท
,วัดบรรพตเขมาราม
,วัดโคกบ้าน
,วัดหนองบัว
,วัดบ้านเขาถ้ำ
,วัดโพธิญาณ
,วัดแจ้ง
,วัดหัวหว้าสามัคคี
,วัดสนามพลี
,วัดวังดินสอ
,วัดท่าข่อย
,วัดธารเลา
,วัดประดิษฐาราม
,วัดโคกอู่ทอง
,วัดเรไร
,วัดคำภู
,วัดสำโรงวนาราม
,วัดประจันตคามเสมาราม 
,วัดขิงกระชาย
,วัดเขาพระธรรมขันธ์
,วัดบ่อทองรังสรรค์
,วัดวาปีรัตนาราม
,วัดบางแขยง
,วัดปากแพรก
,วัดแสงสว่าง
,วัดทวีชลขันธ์
,วัดทุ่งไม้ค้าง
,วัดโนนสูง
,วัดนิคมพัฒนา
,วัดสามัคคีภิรมย์
,วัดดงบัง
,วัดคชรัตน์
,วัดดอนใหญ่
,วัดสุนทรศรัทธาธรรม
,วัดบางคาง
,วัดโยธาราษฎร์ศรัทธาธรรม
,วัดหนองจรเข้
,วัดโคกมะม่วง
,วัดป่าประดู่
,วัดมุ่งประสิทธิ์
,วัดดงพระราม
,วัดหนองระเนตร
,วัดหนองกระจับ 
,วัดคลองตามั่น
,วัดหัวซาธรรมิการาม
,วัดตันทาราม
,วัดกระแจะ
,วัดสว่างอารมณ์
,วัดพรหมประสิทธิ์
,วัดปรือวายใหญ่
,วัดทุ่งตะลุมพุก
,วัดป่าหาดนางแก้ว
,วัดทับไทรธรรมาราม
,วัดสามัคคีพัฒนาราม
,วัดเขาลูกช้าง
,วัดบางตาล่า
,วัดโพธิ์ศรีถาวร
,วัดหนองแก้ว
,วัดหนองแท่นพระ
,วัดสามัคคีสุขาราม
,วัดคุ้มเจริญ
,วัดเกตุการาม
,วัดคลองสมบูรณ์
,วัดหนองนมหนู
,วัดบางเตย
,วัดทัพช้าง
,วัดบ้านคุ้ม
,วัดวัฒนารังษี
,วัดเนินสูงวนาลัย
,วัดบ้านโง้ง
,วัดนพคุณทอง
,วัดนางเลง
,วัดราษฎร์รังษี
,วัดมงคลชัย
,วัดผาสุขไพบูลย์
,วัดอินทร์ไตรย์
,วัดโปร่งพัฒนาราม 
,วัดใหม่ประชุมชน
,วัดทุ่งยาว
,วัดลิรัญดอน 
,วัดสมศรีราษฎร์
,วัดอมาตยาราม
,วัดชัยมงคล
,วัดท่าศาลา
,วัดหาดสะแก
,วัดท่าพาณิชย์
,วัดแหลมหิน
,วัดหนองเกตุ
,วัดรัตนโชติการาม
,วัดสระจาน
,วัดห้วยเกษียร
,วัดสุทธิธรรม 
,วัดบุญเกิด
,วัดทุ่งวิจิตร
,วัดใหม่โพธิ์เย็น
,วัดป่าทรงนิมิตร 
,วัดหลวงปรีชากุล
,วัดรัตนเนตตาราม
,วัดคลองเฆ่
,วัดหนองหัวคู
,วัดโคกเขื่อน
,วัดเกาะแดง
,วัดหนองไผ่ล้อม
,วัดทุ่งประพาส
,วัดหลังถ้ำ
,วัดม่วงขาว 
,วัดสระดู่ 
,วัดประทุมบูชา
,วัดปรือวนาราม
,วัดสระมะเขือ
,วัดบ่อแร่
,วัดอินทาราม
,วัดประสาทรังสฤษดิ์
,วัดดงไชยมัน
,วัดบ้านด่านศรัทธาอุดม
,วัดต้นโพธิ์ศรีมหาโพธิ
,วัดหนองนาใน
,วัดหนองหอย
,วัดหนองชาติ
,วัดศรีมงคล
,วัดนาบุญเฉลิมราษฎร์
,วัดเวฬุวนาราม
,วัดหัวเขา
,วัดหนองเต่า
,วัดตะเคียนทอง
,วัดบ้านสร้าง
,วัดบ้านหอย
,วัดดงคุย
,วัดป่าทรงธรรม
,วัดวังมะกรูด
,วัดหนองคุ้ม
,วัดคลองระกำ
,วัดอุดมสันติ
,วัดพระยาทำ
,วัดแปลงประดู่
,วัดโนนสะอาด
,วัดศรีเจริญราษฎร์ศรัทธาธรรม
,วัดเนินผาสุกผลาราม 
,วัดคลองหอทอง
,วัดกรุงราษฎร์บำรุง
,วัดสง่างาม
,วัดรัตนรังษี
,วัดบูรณะราษฎร์ศรัทธาทำ
,วัดบ้านโนน
,วัดสิกขวัฒนาราม
,วัดเกาะเค็ดนอก
,วัดบ้านโคกสว่าง
,วัดวังขอน
,วัดบางต้นจิก
,วัดหนองกระจับ
,วัดทับลาน
,วัดเขาน้อย
,วัดโคกพนมดี
,วัดตะคร้อ
,วัดโคกกรวด
,วัดเนินสูง
,วัดศรีบุญเรือง
,วัดหนองโพรง
,วัดด่านตะกั่วสามัคคี
,วัดคำเลียบ
,วัดดงยาง
,วัดเจริญราษฎร์รังสรรค์
,วัดป่าทรงธรรม 
,วัดตรอกปลาไหล
,วัดโพธิ์ศรี
,วัดหนองสะแก
,วัดบ้านไผ่
,วัดใหม่ดงกระทงยาม
,วัดหนองปรือ
,วัดพิทักษ์โสภณ
