จังหวัด,รายชื่อวัด
ปัตตานี,วัดเทพนิมิตร
,วัดภมรคติวัน
,วัดบุพพนิมิตร
,วัดคลองช้าง
,วัดมาลีนิเวศน์ 
,วัดโรงวาส
,วัดตะเคียนทอง
,วัดพรหมประสิทธิ์
,วัดถัมภาวาส
,วัดสาละวัน
,วัดมะเดื่อทอง
,วัดมะปริงวารีราม
,วัดมหันตคาม
,วัดโบกขรณี
,วัดปุหรน
,วัดบ้านไร่
,วัดสุนทรวารี
,วัดมัชฌิมาวาส
,วัดจุฬามณี
,วัดปิยาราม
,วัดป่าศรี
,วัดทุ่งข่อย
,วัดควนน้อย
,วัดตานีนรสโมสร
,วัดทุ่งคล้า
,วัดทรายขาว
,วัดศรีสุดาจันทร์
,วัดประเวศน์ภูผา
,วัดนิคมควนเปล
,วัดช้างให้ราษฎร์บูรณาราม
,วัดปุราณประดิษฐ์
,วัดหลักเมือง
,วัดป่าสวย
,วัดนิกรชนาราม
,วัดพลานุภาพ
,วัดดอนกลาง
,วัดสุนันทาราม
,วัดประจันตคาม
,วัดนพวงศาราม
,วัดสุทธิกาวาส
,วัดหน้าเกตุ
,วัดหงสาราม
,วัดขจรประชาราม
,วัดโพธาราม
,วัดปลักปรือ
,วัดโชติรส
,วัดศรีมหาโพธิ์
,วัดมหิงษ์สุวรรณนิมิต
,วัดบูรพาราม
,วัดเลียบ
,วัดยานิการาม
,วัดสันติการาม
,วัดกุสาวดี
,วัดมะกรูด
,วัดมหิงษาราม
,วัดญาโณทัย
,วัดหนองครก
,วัดวิมลวัฒนาราม
,วัดบันลือคชาวาส
,วัดสถิตย์ชลธาร
,วัดสุวรรณากร
,วัดปทุมวารี
,วัดนิคมสถิตย์ 
,วัดสำเภาเชย
,วัดอัมพวนาราม
,วัดโคกหญ้าคา
,วัดบ้านดี
,วัดธนาภิมุข 
,วัดหัวควน
,วัดไม้แก่น
,วัดดิษฐาวาส
,วัดมุจลินทวาปีวิหาร
,วัดโมลีนิมิต 
,วัดควนนอก
,วัดควนใน
,วัดคามวาสิการาม
,วัดนาประดู่
,วัดอรัญวาสิการาม
,วัดดอนตะวันออก
,วัดสารวัน
,วัดมะปรางมัน
