จังหวัด,รายชื่อวัด
พระนครศรีอยุธยา,วัดช้างใหญ่
,วัดไก่จ้น
,วัดบางคล้า
,วัดดงหวาย
,วัดบ้านแค
,วัดตาลเอน
,วัดสามเรือน
,วัดดอนพัฒนาราม
,วัดเสนาสนารามราชวรวิหาร
,วัดอู่สำเภา
,วัดเทพมงคล
,วัดน้อย
,วัดโคกกลาง
,วัดลาดทราย
,วัดกลางขุย
,วัดบางนมโค
,วัดธรรมิกราช
,วัดใหม่ปากบาง
,วัดบ้านแจ้ง
,วัดภาชี
,วัดเจดีย์แดง
,วัดธรรมสินธุ์โสภา
,วัดนาคสโมสร
,วัดซึก
,วัดท้าวอู่ทอง
,วัดประดู่ตะบอง
,วัดสันติวนาราม
,วัดโพธิ์
,วัดบันได
,วัดโคกทอง
,วัดรัตนชัย
,วัดอโยธยา
,วัดกลางคลองสระบัว
,วัดเขียนลาย
,วัดคานหาม
,วัดบึงลัฎฐิวัน
,วัดตลาดเกรียบ
,วัดบ้านกลิ้ง
,วัดโสภณเจติการาม
,วัดท่าตอ
,วัดสีกุก
,วัดตาลานเหนือ
,วัดหลักชัย
,วัดวงษ์ฆ้อง
,วัดบางสงบ
,วัดทางกลาง
,วัดกลางปากกราน
,วัดตะกู
,วัดราษฎร์นิยม
,วัดเวฬุวัน
,วัดเขาดิน
,วัดแก้ว
,วัดวังแดงเหนือ
,วัดมาบโพธิ์
,วัดดอนหญ้านาง
,วัดเสนา
,วัดบันไดช้าง
,วัดสุทธาวาส
,วัดราษฎร์บำเพ็ญ
,วัดป้อมใหญ่
,วัดโตนดเตี้ย
,วัดกอไผ่
,วัดพนมยงค์
,วัดหันตรา
,วัดทุ่งมล
,วัดโพธิ์หอม
,วัดมฤคทายวัน
,วัดรางจระเข้
,วัดใหม่หนองคต
,วัดบึง
,วัดพระธาตุศรีรัตนาราม
,วัดเชิงเลน
,วัดกลางทุ่ง
,วัดสุวรรณดารารามราชวรวิหาร
,วัดป้อมแก้วประโชติวิทยาภรณ์
,วัดเชิงท่า
,วัดบางเคียนวิเชียรฉาย
,วัดบ้านร่อม
,วัดถลุงเหล็ก
,วัดยมนาตามธรรม
,วัดกลาง
,วัดกล้วย
,วัดท่าซุงทักษิณาราม
,วัดไม้รวก
,วัดโคกจุฬา
,วัดโคกเสือ
,วัดทำเลไทย
,วัดคลองตัน
,วัดราชบรรทม
,วัดโคกโพธิ์
,วัดโพธิ์ทอง
,วัดสันติการาม
,วัดชีโพน
,วัดตะโก
,วัดชุมพลนิกายารามราชวรวิหาร
,วัดปากกราน
,วัดอนุกุญชราราม
,วัดสนามทอง
,วัดตะเคียน
,วัดอุทัย
,วัดกลางคลองวัฒนาราม
,วัดไม้ตราสมาชิการาม
,วัดมณฑลประสิทธิ์
,วัดลาดระโหง
,วัดบรมวงศ์อิศรวรารามวรวิหาร
,วัดเรือแข่ง
,วัดเจ้าแปดทรงไตรย์
,วัดสุคนธาราม
,วัดวิเวกวายุพัด
,วัดย่านอ่างทอง
,วัดไผ่ล้อม
,วัดเทพสุวรรณ
,วัดบางเพลิง
,วัดดุสิดาราม
,วัดสบสวรรค์
,วัดทุ่งชาน
,วัดพระญาติการาม
,วัดมณฑป
,วัดปากคลอง
,วัดนกกระจาบ
,วัดสุธาโภชน์
,วัดทางยาว
,วัดหันสัง
,วัดทอง
,วัดเวียง
,วัดกำแพง
,วัดโคกช้าง
,วัดดาวคะนอง
,วัดร่มโพธิ์
,วัดไก่เตี้ย
,วัดบ้านหีบ
,วัดสามวิหาร
,วัดไทรน้อย
,วัดชูจิตธรรมาราม
,วัดลำบัว
,วัดกุ่มแต้
,วัดลาดบัวหลวง
,วัดม่วงหวาน
,วัดเทพคันธาราม
,วัดตึก
,วัดพระขาว
,วัดคงษาสุทธาราม
,วัดทองบ่อ
,วัดคลองพุทรา
,วัดตำหนักพระเจ้าทรงธรรม
,วัดสุทธิรุจิราราม
,วัดตลาด
,วัดพุฒาวาส
,วัดราษฎร์ปุณณาราม
,วัดพระศรีสรรเพชญ์
,วัดบางซ้ายใน
,วัดต้นสะตือ
,วัดบ้านเลนสระกระจับ
,วัดขนอนเหนือ
,วัดระโสม
,วัดพระนอน
,วัดกุฎีกรุ
,วัดพุทไธศวรรย์
,วัดหนองเป้า
,วัดบางม่วง
,วัดสำเภาล่ม
,วัดขุมแก้ว
,วัดไชยภูมิ
,วัดพยอม
,วัดลาย
,วัดใหญ่ชัยมงคล
,วัดปรีดาราม
,วัดสระเกษ
,วัดตองปุ
,วัดหนองไม้ซุง
,วัดเกาะเลิ่ง
,วัดอมฤตสิทธาราม
,วัดฉัตรทองดำริธรรม
,วัดหนองลำเจียก
,วัดกุฎีทอง
,วัดหงษ์
,วัดพยาญาติ
,วัดเจ้าปลุก
,วัดไทรโสภณ
,วัดปิ่นแก้ว
,วัดเสาธงใหม่
,วัดตรีพาราสีมาเขต
,วัดเทพสนทวารี
,วัดวังชะโด
,วัดยวด
,วัดมเหยงค์
,วัดป้อมรามัญ
,วัดพิชัยสงคราม
,วัดโกโรโกโส
,วัดประมุง
,วัดหนองนางเก่า
,วัดสุวรรณธรรมาราม
,วัดป่าอารยวังสาราม
,วัดบ้านพาสน์
,วัดหนองบัว
,วัดครุฑธาราม
,วัดแจ้ง
,วัดสุนทราราม
,วัดหน้าโคก
,วัดฤๅไชย
,วัดโพธิผักไห่
,วัดนางคุ่ม
,วัดสามเพลง
,วัดบ้านราม
,วัดหน้าต่างใน
,วัดโคกมะยม
,วัดสิงห์สุทธาวาส
,วัดรามพงศาวาส
,วัดโพธิ์เผือก
,วัดวรนายกรังสรรค์เจติยบรรพตาราม
,วัดท่าดินแดง
,วัดบางแขยง
,วัดกำแพงแก้ว
,วัดกุฎีลาย
,วัดแดง
,วัดท่าสุทธาวาส
,วัดวิมลสุนทร
,วัดลอดช่อง
,วัดนางกุย
,วัดช่างเหล็ก
,วัดแค
,วัดธรรมาราม
,วัดธรรมจักร์
