จังหวัด,รายชื่อวัด
พะเยา,วัดม่วงคำ
,วัดฝายแก้ว
,วัดต๊ำเหล่า
,วัดพระธาตุสบแวน
,วัดแผ่นดินทอง
,วัดหนองสระ
,วัดร่องค้อม
,วัดปิน
,วัดเชียงยืน
,วัดบ้านโซ้
,วัดสันป่าเหียง
,วัดศรีอุโมงค์คำ
,วัดหนองร่มเย็น 
,วัดร้องเชียงแรง
,วัดดอนตัน
,วัดแสนเมืองมา
,วัดต๋อมดง
,วัดดงอินตา
,วัดแม่กาโทกหวาก
,วัดแวนวัฒนา
,วัดทุ่งแต
,วัดสักสัน
,วัดบ่อแฮ้ว
,วัดพระนั่งดิน
,วัดพระธาตุจอมศีล
,วัดดอยกู่ไก่แก้ว 
,วัดสุจิตธรรม 
,วัดสะพานดำ
,วัดวังเค็มเก่า
,วัดก๊อน้อย
,วัดกิ่วแก้ว
,วัดร่องห้า
,วัดธรรมมิการาม
,วัดป่าสักคำ
,วัดป่าสัก
,วัดหม้อแกงทอง
,วัดแก
,วัดห้วยทรายคำ
,วัดบ่อเบี้ย
,วัดบุญนาค
,วัดน้ำมิน
,วัดพระธาตุแสงแก้วมงคล
,วัดหัวทุ่ง
,วัดร่องปอ
,วัดนาปรัง
,วัดอนุมัติวงศ์
,วัดสันป่าม่วง
,วัดกองแล
,วัดบัวหล่าย 
,วัดศรีจอมเรือง
,วัดห้วยขุ่น
,วัดต๊ำพระแล
,วัดสักลอ
,วัดพระธาตุจำไก่
,วัดหงส์หิน
,วัดปางผักหม
,วัดหล่าย
,วัดพวงพยอม
,วัดหนอง
,วัดป่าแฝกเหนือ
,วัดน้ำแป้งพนาราม
,วัดบ้านงิ้ว
,วัดสันป่าพาด
,วัดห้วยงิ้ว
,วัดสังคหะราษฎร์
,วัดดงบุญนาค
,วัดคุ้ม
,วัดใคร้ป่าคา
,วัดหล่ายทุ่ง
,วัดห้วยเคียน
,วัดสันเวียงใหม่
,วัดทุ่งกว๋าว
,วัดห้วยผาเกี๋ยง
,วัดสันกำแพง
,วัดทุ่งติ้ว
,วัดทุ่งมอก
,วัดศรีพรมบัวนาค
