จังหวัด,รายชื่อวัด
พังงา,วัดคงคาพิมุข
,วัดควนกะไหล
,วัดหลักแก่น
,วัดปัตติการาม
,วัดประชาธิการาม
,วัดตำหนัง
,วัดนิโครธาราม
,วัดเสนานุชรังสรรค์
,วัดคีรีวงก์
,วัดราษฎร์สโมสร
,วัดนางย่อน
,วัดโคกสวย
,วัดอินทภูมิ
,วัดควรนิยม
,วัดประชุมโยธี
,วัดปาโมกข์
,วัดบางวัน
,วัดลุมพินี
,วัดโฆสิตาราม
,วัดบางมรา
,วัดพระธาตุคีรีเขต
,วัดบางเตย
,วัดธัญญเขต
,วัดรมณีย์
,วัดอินทนิน
,วัดนิโรธรังสี
,วัดลำปี
,วัดดิตถาราม
,วัดสุวรรณคูหา
,วัดพนัสนิคม
,วัดมะปริง
,วัดบางมรวน
,วัดทักษิณาวาส
,วัดชนาธิการาม
,วัดมงคลสถิต
,วัดเจริญรมณาวาส
,วัดไตรมารคสถิต
,วัดนิคมสโมสร
,วัดอรัญญิกาวาส
,วัดบ้านเตรียม
,วัดประชาสันติ
,วัดปัจจันตคาม
,วัดโคกเคียน
,วัดไสเสียด
,วัดลำธาร
,วัดสันติวราราม
,วัดมงคลสุทธาวาส
,วัดนิกรวราราม
,วัดสุวรรณาวาส
,วัดไตรรัตนากร
,วัดนิโครธคุณากร
,วัดราชา
,วัดเหมืองประชาราม
,วัดศรัทธาราม
,วัดหาดทรายสมบูรณ์
,วัดสราภิมุข
,วัดมาตุคุณาราม
,วัดราษฎร์นิรมิต
,วัดป่าสวนงาม
,วัดลาภี
,วัดนากลาง
,วัดคมนียเขต
,วัดประพาสประจิมเขต
,วัดดอนปริง
,วัดศรีนิคม
,วัดนารายณิการาม 
,วัดพิทักษ์ธรรมาราม
,วัดอุทัยราษฎร์บำรุง
,วัดราษฎร์โยธี
,วัดบางเสียด
,วัดประชุมศึกษา
,วัดเทสก์ธรรมนาวา
,วัดศรีรัตนาราม
,วัดบางน้ำใส
,วัดสามัคคีธรรม
,วัดหน้าเมือง
,วัดปากคลอง
,วัดดอน
,วัดราษฎร์อุปถัมภ์
