จังหวัด,รายชื่อวัด
พัทลุง,วัดโคกมะม่วง
,วัดหัวหมอน
,วัดบางแก้วผดุงธรรม
,วัดปัณณาราม
,วัดภูเขาทอง
,วัดธรรมสถิต
,วัดโคกโดน
,วัดควนโหมด
,วัดสุวรรณวิหารน้อย
,วัดศรีสุคลธาวาส 
,วัดนิโครธาราม
,วัดหูแร่
,วัดปากพล
,วัดปรางค์ชัย
,วัดโคกทราย
,วัดโคกพญา
,วัดแหลมดินสอ
,วัดบ้านโตน
,วัดพังดาน
,วัดหารเทา
,วัดแหลมโตนด
,วัดพรุนายขาว
,วัดชุมแสง
,วัดทุ่งลาน
,วัดเขาอ้อ
,วัดควนแพรกหา
,วัดโคกคีรี
,วัดป่าบอนต่ำ
,วัดหนองนก
,วัดโคกน้ำหัก
,วัดศรีธรรมาราม
,วัดลอน
,วัดบ้านสวน
,วัดเขา
,วัดสุวรรณประดิษฐาราม
,วัดราษฎร์นุกูล
,วัดลานช้าง
,วัดสวนธรรมเจดีย์
,วัดวัง
,วัดโพเด็ด
,วัดควนฝาละมี
,วัดควนพนางตุง
,วัดรัตนวราราม
,วัดป่าบอนบน
,วัดควนปันตาราม
,วัดตะโหมด
,วัดร่มเมือง
,วัดท้ายวัง
,วัดดอนศาลา
,วัดท่าสำเภาใต้
,วัดเกาะยาง
,วัดสวนโหนด
,วัดบางตาล
,วัดไร่เหนือ
,วัดสุภาษิตาราม
,วัดโดนคลาน
,วัดจรณาราม
,วัดหนองโต๊ะปาน
,วัดบรรพตพินิต
,วัดเกาะทองสม
,วัดควนนางพิมพ์
,วัดโคกแย้ม
,วัดควนเพ็ง
,วัดภูผาภิมุข
,วัดไทรพอน
,วัดควนเผยอ
,วัดปากประ
,วัดเกาะยวน
,วัดขัน
,วัดทุ่งยาว
,วัดสุนทราวาส
,วัดป่าขอม
,วัดควนขี้แรด
,วัดธาราสถิตย์
,วัดชุมประดิษฐ์
,วัดบ้านพลู
,วัดปลักปอม
,วัดป่าบาก
,วัดควนปริง
,วัดห้วยเรือ
,วัดกลาง
,วัดหนองปด
,วัดประจิมทิศาราม
,วัดทะเลน้อย
,วัดโรจนาราม
,วัดสะทัง
,วัดห้วยเนียง
,วัดทุ่งชุมพล
,วัดช่างทอง
,วัดหัวควนตก
,วัดโคกเนียน
,วัดป่าลิไลยก์
,วัดคงหิต
,วัดเขาโพรกเพลง
,วัดท่าแค
,วัดสังฆวราราม
,วัดบางนาคราช
,วัดจินตาวาส
,วัดอุทัยธรรมาราม
,วัดวิหารสูง
,วัดควนปิยาราม
,วัดโหล๊ะจันกระ
,วัดชายคลอง
,วัดสมหวัง
,วัดควนแร่
,วัดประดู่ทอง
,วัดท่านางพรหม
,วัดประดู่เรียง
,วัดคลองใหญ่
,วัดอัมพวนาราม
,วัดรัตนาราม
,วัดทุ่งเตง
,วัดกุฎิภักดีสังวร
,วัดกงหราใหม่
,วัดหัวควน
,วัดประดู่หอม
,วัดขุนหลวงนิมิต
,วัดปุณณาวาส
,วัดท่าลาด
,วัดธรรมสามัคคี
,วัดตำนาน
,วัดทุ่งนารี
,วัดควนอินทร์นิมิตร
,วัดเขาวงก์
,วัดน้ำตก
,วัดท่ามะเดื่อ
,วัดคูหาสวรรค์​
,วัดห้วยลึก
,วัดโพธิ์ควนมะพร้าว
,วัดไทรงามใหม่
,วัดอภยาราม
,วัดนางหลง
,วัดคงคาสวัสดิ์
,วัดใสประดู่
,วัดโพธิญาณวราราม
,วัดลำกะ
,วัดควนกรวด
,วัดควนยวน
,วัดอินทราวาส
,วัดป่าตอ
,วัดเขาเจียก
,วัดควนเดี่ยม
,วัดคลองขุด
,วัดหรังแคบ
,วัดลานแซะ
,วัดท่าสำเภาเหนือ
,วัดป่วงช้าง
,วัดท่าโกวนาราม
,วัดภัทราราม
,วัดโพธาวาส
,วัดควนปรง
,วัดศุภศาตราราม
,วัดบ้านพูด
,วัดแหลมจองถนน
,วัดเทพดลยาราม
,วัดสะทังใหญ่
,วัดควนพระ
,วัดธรรมประยูร
,วัดทุ่งคลองควายเฉลิมพระเกียรติ
,วัดพังกิ่ง
,วัดอัมพะวัน
,วัดสมสมัย
,วัดนาท่อม
,วัดเขาป้าเจ้
,วัดโคกชะงาย
,วัดทุ่งขึงหนัง
,วัดหานโพธิ์
,วัดเขาแดงตะวันออก
,วัดบ้านนา
,วัดปรางหมู่ใน
,วัดบางขวนใต้
,วัดเกษตรนิคม
,วัดมหรรณพาวาส
,วัดควนมะพร้าว
,วัดแม่ขรีประชาราม
