จังหวัด,รายชื่อวัด
พิจิตร,วัดท่าพิกุล
,วัดห้วยเรียงเหนือ
,วัดคายน้อย
,วัดไผ่หลวง
,วัดห้วงศรัทธาราม
,วัดอ้อมหล่ม
,วัดทุ่งตับเต่า
,วัดโนนทอง
,วัดเขาพนมพา
,วัดสุขุมาราม
,วัดป่าเรไรย์
,วัดดงพลับ
,วัดจระเข้ผอม
,วัดหนองขนาก
,วัดดงสว่าง
,วัดถ้ำคะนอง
,วัดหนองดง
,วัดหิรัญญาราม
,วัดดงเจริญ
,วัดเขารูปช้าง
,วัดป่าแซง
,วัดอินทร์พรหมใย
,วัดเนินชัยศรี
,วัดท่าพุดซา
,วัดศรีวนาราม
,วัดหนองโพธิ์
,วัดป่าเขาน้อย
,วัดศรีสุทธาวาส
,วัดรายชะโด
,วัดคลองคู้
,วัดประชาบำรุง
,วัดหนองหวายไทยยาราม
,วัดดงเจริญ 
,วัดบางเพียรวิลัยรัตน์
,วัดหนองจะปราบ
,วัดหนองหูช้าง
,วัดเนินสาลิกา
,วัดวังกระสูบ
,วัดห้วยคำตาล
,วัดเขาดิน
,วัดวังตะขบ
,วัดหนองไผ่
,วัดสระสาลี
,วัดวังแดงเหนือ
,วัดหนองพระ
,วัดท้ายทุ่ง
,วัดไตรยางศ์วนาราม
,วัดหนองนาดำ
,วัดเกาะแก้วลำประดา
,วัดหนองพงษ์
,วัดหนองคล่อ
,วัดกรดงาม
,วัดเขาเขต
,วัดตลิ่งชัน
,วัดใหม่มงคลทุ่งกระทั่ง
,วัดเจริญสุขาราม
,วัดนครชุม
,วัดเขาโล้น
,วัดทายการาม 
,วัดหนองคอม
,วัดเขาขมิ้น
,วัดศรีรัตนวราราม
,วัดโรงช้าง
,วัดบางลายใต้
,วัดหาดมูลกระบือ
,วัดไผ่ท่าโพใต้
,วัดเปี่ยมเจริญราษฎร์
,วัดท่าคล้อ
,วัดท่าตำหนัก
,วัดมาบแฟบ
,วัดศรีศรัทธาราม
,วัดบึงตะโกน
,วัดสำนักขุนเณร
,วัดกำแพงดิน
,วัดรังนก
,วัดวังทรายพูน
,วัดโพธิ์ประทับช้าง
,วัดโพธิ์ทอง
,วัดโนนห้วยปัต
,วัดลำชะล่า
,วัดคามวาสี
,วัดสระมณี
,วัดวังกร่าง
,วัดนวลศรีสิทธาราม
,วัดคลองทราย
,วัดย่านยาว
,วัดคงคาราม
,วัดห้วยแก้ว
,วัดหนองยาง
,วัดวังทับไทร
,วัดป่าหวาย
,วัดสระประทุม
,วัดหนองแขม
,วัดสามบึงบาตร 
,วัดวังก้านเหลือง 
,วัดเกาะแก้วสามัคคี
,วัดคลองคูณ
,วัดหนองปลาไหล
,วัดห้วยน้ำโจน
,วัดมูลเหล็ก
,วัดหนองจั่ว
,วัดคลองห้วยหลัว
,วัดคลองทองหลาง
,วัดบางพล้อ
,วัดหนองหวานไทยยาราม
,วัดหนองคล้า
,วัดวังแสง
,วัดกุดประดู่
,วัดศรีคีรีพรตวิทยาราม
,วัดห้วยน้อย
,วัดสัตตวนาราม
,วัดหนองขานาง
,วัดราษฎร์สามัคคี
,วัดบางลำพู
,วัดยางสามต้น
,วัดท่าปอใต้
,วัดยางโทนวนาราม
,วัดห้วยเกตุเกษม
,วัดสระบรเพ็ด
,วัดแก้วศิริธรรมาราม
,วัดราษฎร์เจริญ
,วัดมาบสว่างสามัคคี
,วัดเนินยาว
,วัดบึงนาราง
,วัดเขตมงคล
,วัดคลองเจริญ
,วัดวังปลาทู
,วัดใดปลาดุก
,วัดกระทุ่มน้ำเดือด
,วัดวังกระดี่ทอง
,วัดบางลายเหนือ
,วัดดงชะพลู
,วัดมาบกระเปา
,วัดทะนง
,วัดใหม่ราษฎร์บำรุง
,วัดสัตตศิลาอาสน์
,วัดปากดง
,วัดสี่แยกธรรมเวท
,วัดทุ่งโคราชวนาราม
,วัดหลังถนนประชาสรรค์
,วัดบางไผ่
,วัดบึงทับจั่น
,วัดห้วยร่วม 
,วัดหนองขำ
,วัดห้วยน้ำซึม
,วัดบรรพตสุทธาราม 
,วัดวังจิก
,วัดคลองโนน
,วัดดงยางสามัคคีธรรม
,วัดเขาทราย
,วัดมาบมะไฟ
,วัดห้วยพุก
,วัดหนองหลวง
,วัดวังกะทะ
,วัดเนินสมอ
,วัดวังอ้อ
,วัดบ้านตาล
,วัดเนินทราย
,วัดปิ่นสุทธาวาส
,วัดสุวรรณรังษี
,วัดบ้านนา
,วัดหงษ์
,วัดวังหูทิพย์
,วัดสมบูรณ์ธรรมกายาราม
,วัดนิคมราษฎร์บำรุง
,วัดปากคลองไข่เน่า
,วัดวังน้ำเต้า
,วัดดงกลาง
,วัดทุ่งโม่ง
,วัดโคกสะอาด
,วัดมหาวนาราม
,วัดเจริญศรัทธา
,วัดคลองน้ำมัน
,วัดหัวดง
,วัดเนินพยอม
,วัดล่องตะแบก
,วัดทรงธรรม
,วัดน้ำเคือง
,วัดยางขาว 
,วัดสามขา
,วัดจิตเสือเต้น
,วัดหนองหญ้าปล้อง
,วัดหนองถ้ำ
,วัดหนองสาหร่าย
,วัดวังบงก์
,วัดบึงประดู่
,วัดโคกกระฐิน
,วัดศรีเบญจคาลัย
,วัดคลองสะแก
,วัดตะกรุดไร
,วัดนิคมสามัคคีธรรม
,วัดหนองบัว
,วัดหล่ายหนองหมี
,วัดบึงเฒ่า
,วัดพระพุทธบาทเขารวก
,วัดวิจิตราราม
,วัดหนองน้ำเขียว
,วัดทับหมัน
,วัดโนนป่าแดง
,วัดท่าข่อย
,วัดเทวประสาท
,วัดลำนัง
,วัดวังกรด
,วัดวังหว้า
,วัดดานน้อย
,วัดหนองสนวน
,วัดหนองครก
,วัดยางตะพาย
,วัดทับทิม
,วัดหนองสองห้อง
,วัดหนองสองห้อง 
,วัดหนองครกเหนือ
,วัดเขาพนมกาว
,วัดสุนทรเกษตราราม
,วัดเนินโพธิ์
,วัดยางคลี
,วัดธงไทยยาราม
,วัดวังมะเดื่อ
,วัดคลองทรายใต้
,วัดท่านั่ง
,วัดดงเย็น
,วัดสุขเกษม
,วัดวังหินเพลิง
,วัดวังกลม
,วัดหนองพง
,วัดบ้านซ่อง
,วัดวังตะกู
,วัดสันติพลาราม
,วัดราษฎร์ศรัทธาทรงธรรม
,วัดไผ่ใหญ่
,วัดขวาง
,วัดหนองโก
,วัดประทม
,วัดบึงตะคต
,วัดวังไคร้
,วัดวังกะทะ 
,วัดหลวง
,วัดเนินสว่าง
,วัดวังตาด้วง
,วัดคลองคะเชนทร์
,วัดบ้านน้อย
,วัดพรหมประสิทธิ์
,วัดท้ายน้ำ
,วัดใหม่ศรีวิชัย
,วัดดงเสือเหลือง
,วัดทุ่งศาลา
,วัดโรงวัว
,วัดหอไกร
,วัดแหลมยาง
,วัดวังเทโพ
,วัดต้นชุมแสง
,วัดหนองชัยศรี
,วัดบึงบัว
,วัดหนองโสน
,วัดลำประดาใต้
,วัดกลางวงศ์มณี
,วัดดงยางผาสุการาม
,วัดยางห้าหลุม
,วัดเทศสว่างเจริญ
,วัดทุ่งน้อย
,วัดโปร่งราษฎร์
