จังหวัด,รายชื่อวัด
พิษณุโลก,วัดชุมพลศรี
,วัดกรับพวงเหนือ
,วัดคันโช้งวนาราม
,วัดต้นม่วง
,วัดน้ำพริก
,วัดวังมะด่าน
,วัดสระแก้วปทุมทอง
,วัดบ้านใหม่สามัคคี
,วัดนาหล่ม
,วัดสันติวนาราม
,วัดน้ำคบ
,วัดศรีวนาราม
,วัดหนองมะคัง
,วัดนาหนอง
,วัดเขาปรัง
,วัดใหม่โพธิ์งาม
,วัดลาดผาทอง
,วัดราษฎร์นิยม
,วัดตะโม่
,วัดเวฬุวัน
,วัดหนองไผ่
,วัดเนินดิน
,วัดป่าสัก
,วัดยางวนาราม
,วัดราษฎร์บำเพ็ญ
,วัดวังไม้ตอก
,วัดราษฎร์ศรัทธาวราราม
,วัดหนองหม้อแกง
,วัดกกไม้แดง
,วัดเจดีย์ยอดทอง
,วัดโพนไทรงาม
,วัดศาลาสูง
,วัดหัวเขาสมอคร้า
,วัดดงกวาง
,วัดท่านา
,วัดน้ำคำ
,วัดวังตาดรัตนาราม
,วัดเสนาสน์
,วัดหน้าพระธาตุ
,วัดดงจันทร์
,วัดบ่อทองคำ
,วัดชัยภูมิการาม
,วัดธรรมจักร
,วัดโพธิ์ทอง
,วัดนาทุ่งใหญ่
,วัดหนองหัวยาง
,วัดย่านยาว
,วัดวังทองวราราม
,วัดมงคลพุทธาราม
,วัดสระเศรษฐี
,วัดเซิงหวาย
,วัดหนองแขม
,วัดสุธรรมาวาส 
,วัดเวฬุวัลย์ประชาสันต์
,วัดศรีพรหมจักร
,วัดอรัญญิก
,วัดทุ่งพระ
,วัดดงพยอม
,วัดไผ่ล้อม
,วัดบัวทอง
,วัดปากพิงตะวันตก
,วัดวังขี้เหล็ก
,วัดพระขาวไชยสิทธิ์
,วัดขวดน้ำมัน
,วัดราษฎร์สามัคคี
,วัดคุยพยอม
,วัดหนองอ้อ
,วัดชัยเจริญบำรุงธรรม
,วัดน้ำเลา
,วัดสนามคลี 
,วัดเขาพนมทองคีรีเขต
,วัดเนินมะเกลือวนาราม
,วัดนิมิตรธรรมาราม
,วัดดงโคกขาม
,วัดบ้านพร้าว
,วัดเกาะ
,วัดน้ำลัด
,วัดเทพนิมิต
,วัดหนองตาเรือง
,วัดหนองหลวง
,วัดคูหาสวรรค์
,วัดสมอแข
,วัดคลองตานมศรัทธาราม
,วัดนาตาจูม
,วัดไพรสุวรรณ
,วัดศรีโสภณ
,วัดวังมะสระ
,วัดแหลมโพธิ์
,วัดท่าหมื่นราม
,วัดมะขามเตี้ย
,วัดราชมณฑป
,วัดดงพลวง
,วัดหนองดู่สามัคคีธรรม
,วัดธรรมเกษตร
,วัดทรัพย์ไพรวัลย์
,วัดน้ำทวน
,วัดบ้านบึง
,วัดราษฎร์สถิต
,วัดกวางทอง
,วัดป่าแดง
,วัดพลายชุมพล
,วัดจอมทอง
,วัดหนองบัว
,วัดราษฎรศรัทธาธรรม
,วัดนางพระยา 
,วัดปากยาง
,วัดหยอ
,วัดวังดินสอ
,วัดเนินมะคึก
,วัดคลองเตย
,วัดโป่งกะเฌอ
,วัดวงฆ้อง
,วัดไทรดงยั้ง
