จังหวัด,รายชื่อวัด
ภูเก็ต,วัดสุวรรณคีรีเขต
,วัดแขนน
,วัดพิทักษ์สมณกิจ
,วัดอนามัยเกษม
,วัดมงคลนิมิตร
,วัดเทพนิมิตร
,วัดถาวรคุณาราม
,วัดลัฎฐิวนาราม
,วัดเมืองใหม่
,วัดสว่างอารมณ์
,วัดอนุภาษกฤษฎาราม
,วัดกะทู้
,วัดเชิงทะเล
,วัดท่าเรือ
,วัดเจริญสมณกิจ
,วัดศรีสุนทร
,วัดไชยธาราราม
,วัดท่าฉัตรไชย
,วัดในหาน
,วัดนาคาราม
,วัดเทพวนาราม
,วัดรัษฎาราม
,วัดไม้ขาว
,วัดสุวรรณคีรีวงก์
,วัดพระทอง
,วัดขจรรังสรรค์
,วัดอร่ามรัตนาราม
,วัดมงคลวราราม
,วัดเขารังสามัคคีธรรม
,วัดพระนางสร้าง
,วัดสีลสุภาราม
,วัดเทพกระษัตรี
,วัดโสภณวนาราม
,วัดบ้านเกาะสิเหร่
,วัดโฆษิตวิหาร
,วัดวิชิตสังฆาราม
,วัดกิตติสังฆาราม
