จังหวัด,รายชื่อวัด
มหาสารคาม,วัดห้วยทราย 
,วัดสวนตาลบ้านแก่นท้าว 
,วัดหนองแสง 
,วัดหนองตาเต็น
,วัดหนองสระ
,วัดดอนศรีสะอาด
,วัดบ้านเอียด
,วัดเหล่าค้อ 
,วัดโคกกลาง
,วัดพุทธไชยาราม
,วัดโนนทอง
,วัดหญ้าขาว
,วัดสุขาพัฒนาราม
,วัดวังปลาโด
,วัดโนนพยอม
,วัดหนองดุก
,วัดประทุมวราราม
,วัดรัตนโสภา
,วัดหนองทุ่ม
,วัดดอนหว่าน
,วัดโพธิ์ชัย
,วัดโพธิ์
,วัดศรีสุธรรมาราม
,วัดดอนกลางวนาราม
,วัดโนนมะเกลือ
,วัดท่าประทาย
,วัดบึงวังยาว
,วัดอุทัยโพธิ์ทอง
,วัดประชาบำรุง
,วัดซองแมว
,วัดนาโพธิ์
,วัดโสกคลอง
,วัดบ้านวังหิน
,วัดหนองแวง
,วัดทองมงคล
,วัดมงคลสามัคคี
,วัดสว่างวารี
,วัดเวฬุวัน
,วัดกลางกุดรัง
,วัดหนองไผ่
,วัดทักษิณาราม
,วัดหนองอีดำ
,วัดเสนานิคม
,วัดโพธิ์มี
,วัดหนองซำข่าสามัคคี
,วัดหนองแสนเหนือ
,วัดเกษมสุขาราม
,วัดสระธาตุ
,วัดหนองขุ่น
,วัดหนองคูขาด
,วัดท่าเดื่อ
,วัดแก่งโกสุม
,วัดโพธิ์ศรีสว่าง
,วัดคูชาดพัฒนา
,วัดวังขอนจิก
,วัดหนองกลางโคก
,วัดทองนพคุณ 
,วัดนิคมสะอาด
,วัดโพธิ์ศรีเชียงเหียน
,วัดโคกลี่
,วัดโคกเพิ่ม
,วัดบ้านท่าแร่ 
,วัดโคกเครือ
,วัดโนนราษี
,วัดโพธิ์ทอง
,วัดโพธิ์ศรีบ่อใหญ่
,วัดรัตนมานิตย์
,วัดหนองยาง
,วัดมงคลเทพประสิทธิ์
,วัดวังยาว 
,วัดเสนาวารี
,วัดเครือวัลย์สุทธาวาส
,วัดสว่างโพธิ์ชัย
,วัดแก้วสว่าง
,วัดโนนสำราญ
,วัดหนองยาง 
,วัดโคกสี
,วัดเชียงส่ง
,วัดเหล่ายาว
,วัดคึมบง 
,วัดหนองหูลิง
,วัดพุทธวนาราม
,วัดไผ่ล้อม
,วัดโพธิ์ศรีบ้านผือ
,วัดเหล่าโพธิ์
,วัดสว่างวิเวกจิต
,วัดสารญาณมุณี
,วัดตาหลุง
,วัดโพธิ์ศรีดงใหญ่
,วัดจำปาศรี
,วัดราษฎร์สามัคคี
,วัดค้อธิหนองม่วง
,วัดสระศิลา
,วัดสว่าง 
,วัดป่าโนนสะอาด
,วัดบ้านศาลา
,วัดปัจจิมเชียงยืน
,วัดโนนจาน
,วัดโพธิ์ชัยศรี
,วัดโคกกู่ 
,วัดตลาด
,วัดอุดร 
,วัดอุทกวารินทร์
,วัดสะอาดนครชัย
,วัดสว่างโนนจาน
,วัดหนองคูใหญ่
,วัดสระแก้วบุบผาราม
,วัดพรมพิชัย
,วัดหนองตุ
,วัดโนนเมือง
,วัดสีชมพู 
,วัดเมืองเสือ 
,วัดไพรสุวรรณ
,วัดสระเกษ
,วัดบ้านสมศรี 
,วัดป่าสโมสร
,วัดหนองแก 
,วัดศรีโสภณ
,วัดจันทอุทัย
,วัดหัวงัว
,วัดบ้านหัน
,วัดอินทรวิชัย
,วัดโพธารมณ์
,วัดเนรัญชรา
,วัดหนองโง้ง
,วัดใหม่ขุนเขวา
,วัดหนองค้อ
,วัดหนองผง
,วัดโพนสว่าง
,วัดโคกสะอาด
,วัดน้ำเกลี้ยง 
,วัดหัวดง
,วัดมังคลาราม
,วัดหนองคูณ 
,วัดป่ายาง
,วัดแก่นเท่า
,วัดกลางโกสุม
,วัดใต้แวงน่าง
,วัดแสงสว่างบุ่งคล้า 
,วัดสุวรรณาวาส
,วัดโนนท่อน
,วัดหนองหญ้าปล้อง
,วัดบ้านยาง
,วัดปัจฉิมทัศน์
,วัดดอนหมี 
,วัดดอนตูม
,วัดประทุมทอง
,วัดหนองบัว
,วัดจอมทอง
,วัดโชคชัยวราราม
,วัดจันทราวาส 
,วัดติกขมณีวรรณ
,วัดสำโรง 
,วัดอิสาณเสือเฒ่า
,วัดอุปโป 
,วัดชัยประสิทธิ์
,วัดป่าชาด
,วัดผักหวาน
,วัดสำโรงรัตนาราม 
,วัดนกกะโดก
,วัดเขวาโดน
,วัดเขวาน้อย
,วัดเชตวันหนองบึง 
,วัดโนนสูง
,วัดสระทองบ้านทัน
,วัดโพธิ์ชัยนิมิตร
,วัดวีรธรรมาราม
,วัดอินทราราม
,วัดป่าวังน้ำเย็น
,วัดราษฎร์ประชาสามัคคี
,วัดสว่างชัยศรี
,วัดศรีสมพร
,วัดหนองบก
,วัดราษฎร์บำรุง
,วัดสว่างอรุณ
,วัดแสงสุวรรณ
,วัดโสมนัส
,วัดหนองโก
,วัดดอนยม
,วัดหัวสระ 
,วัดเก่าใหญ่ 
,วัดสว่างนิคม
,วัดศรีชุมพร
,วัดหนองแสนใต้
,วัดมะชม
,วัดสันติวัน
,วัดบ้านโด
,วัดเหล่าหนาดโนนงิ้ว
,วัดปรมัยยิกาวาส
,วัดน้อยดวงสิทธิ์บูรพาราม
,วัดพยัคฆภูมิวราราม
,วัดบ้านกุดแคน
,วัดหนองคูม่วง
,วัดหินลาด
,วัดประดู่ทรงธรรม
,วัดปทุมวัน
,วัดโสกกาว
,วัดโนนภิบาล
,วัดโนนตูม
,วัดโพนละออม
,วัดสุคันธาราม
,วัดกู่ทอง
,วัดเหนือดงน้อย
,วัดโพธิ์ศรีบ้านจาน
,วัดหนองหล่ม 
,วัดวังแคน
,วัดหนองบัวแดง 
,วัดศรีเวียงชัย
,วัดไชยยาราม
,วัดโคกล่าม
,วัดท่าแก
,วัดโพธิ์ศรีเจริญ
,วัดบูรพาห้วยหลาว 
,วัดศิริชัย
,วัดศรีชุมพล
,วัดบ้านงัวบา
,วัดโนนจาน 
,วัดนาภู
,วัดสว่างจอมศรี
,วัดคุยโพธิ์
,วัดนาดูนพัฒนาราม
,วัดราษฎร์สามัคคี 
,วัดกุดนาดี
,วัดอุดมวิทยา
,วัดหนองผือ 
,วัดป่าทัพม้า
,วัดตระคลอง
,วัดวังหิน
,วัดบูรณะอาณาเขต
,วัดหงษาราม
,วัดสองห้อง 
,วัดศรีสุทธาราม
,วัดเก่าน้อย
,วัดดอนหัน 
,วัดประชาสามัคคี
,วัดมหาผล
,วัดจันทราราม
,วัดชัยศรี
,วัดหนองเลา 
,วัดวังกุง
,วัดดอนเงิน
,วัดกุดน้ำใส 
,วัดบ่อแก
,วัดหนองคู
,วัดป่าคูขาด
,วัดป่ายางห่าง
,วัดดงเค็ง
,วัดชาดน้อย
,วัดป่าบ้านแบก
,วัดปลาบู่
,วัดดาวดึงษ์แกดำ
,วัดป่าหนองคู
,วัดโคกศรี 
,วัดแดงโพง
,วัดโพธิ์ศรีวนาราม
,วัดเกษรเจริญผล
,วัดโนนภาษี
,วัดคำมะมาย
,วัดหินแห่
,วัดผำเหล่าหุ่ง
,วัดวรินทราวาส 
,วัดสว่างศรีบุญเรือง
,วัดศรีมงคล
,วัดดอนกลอย
,วัดทุ่งเมืองเตา
,วัดบ้านโคกก่อ 
,วัดโสมนัสประดิษฐ์
,วัดหนองหว้า
,วัดโคกลิ่น
,วัดกุดซุย
,วัดเม็กดำ 
,วัดป่าสามัคคีธรรม
,วัดจอกขวาง
,วัดคูแคน
,วัดโนนแดง
,วัดหัวดงนาค่าย
,วัดดอนกลอย 
,วัดแจ้งใหญ่
,วัดโคกยาว
,วัดสำโรง
,วัดเหล่าโง้ง
,วัดสระแคนใต้
,วัดหัวทำนบ
,วัดสุวรรณมัจฉา
,วัดบ้านโนน
,วัดสุทธรังสิทธิ์
,วัดหนองสิมใหญ่
,วัดยางไก่เฒ่า
,วัดศรีเวฬุวัน
,วัดบ้านเสือกินวัว
,วัดดงบาก
,วัดหนองเม็ก 
,วัดมงคลชัยศรี
,วัดโพธิ์ศรีกระบาก
,วัดชัยโย
,วัดศิลา
,วัดโคกสีนอก 
,วัดแสงสว่างอารมณ์
,วัดศรีบุญเรือง
,วัดดงยาง
,วัดโพธิ์สระแก้ว
,วัดจันทร์ประสิทธิ์
,วัดมุจลินทราวาส
,วัดศรีสว่างม่วงน้อย
,วัดโพธิ์ศรี
,วัดป่าคำใจ 
,วัดหัวขัว
,วัดหนองป้าน
,วัดรังษี
,วัดพุทธประดิษฐ์
,วัดราษฎร์สังคม
,วัดทรงศิลา 
,วัดหนองเสียว 
,วัดดงน้อย
,วัดดอนพยอม
,วัดป่าเรไลย์
,วัดชัยพิมล
,วัดสองห้องใต้
,วัดหนองบัวดง
,วัดกลางเชียงยืน
,วัดธาตุโนนนคร
,วัดหนองตูบ
,วัดหัวฝาย
,วัดชาดใหญ่
,วัดไพรวัลย์ 
,วัดจันทาริวาส 
,วัดบ้านโพนทอง 
,วัดบ้านเปลือย
,วัดเทพประดิษฐ์
,วัดบกพร้าว
,วัดโนนแต้
,วัดใต้โกสุม
,วัดหัวนา
,วัดป่าหนองซอน
,วัดหนองใต้
,วัดผลิวัน
,วัดขี้เหล็ก 
,วัดศรีวิชัย
,วัดหนองแคน
,วัดหนองแวง 
,วัดยุวราช 
,วัดสระจันทร์
,วัดสังวารคำ
,วัดหนองเจริญ
,วัดสว่างสามัคคี 
,วัดหนองบัว 
,วัดหนองเดิ่น
,วัดปทุมวนาราม
,วัดดู่เหนือ
,วัดโพธิ์ศรีบ้านลาด
,วัดบูรพาหนองบัว
,วัดดงรัง
,วัดนาล้อม
,วัดหนองหญ้าม้า
,วัดหนองขาม
,วัดป่าหนองหว้า
,วัดธรรมวิเวก
,วัดศรีวิลัย
,วัดป่าศิลาขันธุ์วิเวก
,วัดหนองเหล็ก
,วัดป่าคำผักกูด
,วัดธรรมาภิระตาราม 
,วัดฮ่องน้อย
,วัดวังน้ำขาว
,วัดดอนเรือ
,วัดท่างาม
,วัดยางสินไชย
,วัดสุกาวาส 
,วัดราษฎร์นิคม
,วัดเหล่าส้มลม
,วัดศรีสวาสดิ์
,วัดหนองผือ
,วัดเหล่าหนาด
,วัดโนนเขวา
,วัดยางอิไล
,วัดท่าตูม
,วัดเกิ้งเหนือ
,วัดเหนือแวงน่าง
,วัดโนนเกษตร
,วัดภูดิน
,วัดวิไลธรรมาราม
,วัดโพธิ์กลาง
,วัดโสกแดง
,วัดเจริญผล
