จังหวัด,รายชื่อวัด
มุกดาหาร,วัดศรีนันทาราม
,วัดศรีมณฑา
,วัดวารีวรวิหาร
,วัดโพนทอง
,วัดชัยเสก 
,วัดสระพังทอง
,วัดเกษมสุข
,วัดมงคลนิมิต
,วัดศาลาวิเวก
,วัดภูเขาวง
,วัดมาลา
,วัดธรรมบาล
,วัดนาทามวนาวาส
,วัดยอดแก้วศรีวิชัย
,วัดหินขัน
,วัดอัมพวันทอง
,วัดราษฎร์อำนวย
,วัดโพธิ์ชัย
,วัดนิคมเกษตร
,วัดพระพุทธบาทดงหลวง
,วัดศรีสวาสดิ์
,วัดนรวราราม
,วัดศรีวิธัญญา
,วัดนาจาน
,วัดบุ่งอุทัย
,วัดสมสะอาด
,วัดศรีสะอาด
,วัดศรีสะอาดสงคราม
,วัดมณีรัตนาราม
,วัดศรีชมชื่น
,วัดเวฬุวัน
,วัดอาภิรมย์
,วัดเบญจพรรณวนาราม
,วัดขัวสูง
,วัดป่าวิเวก
,วัดสว่างชมพู
,วัดสุทธิธรรมรังสิยานุสรณ์
,วัดป่าหนองบอน
,วัดป่าภูถ้ำนก
,วัดคำแสนสุข
,วัดศาลาดวิหาร
,วัดมงคลจินดาราม
,วัดพุทธนคราภิบาล
,วัดคัมภีร์โรอนุสรณ์
,วัดขัวสะพานภู
,วัดสว่างบุรมณ์
,วัดคำบง
,วัดบูรพานอก
,วัดคามวาสี
,วัดอัมพวัน
,วัดอรุณรังษี
,วัดศรีบุญสงฆ์
,วัดป่าหวาย
,วัดเฉลิมชัย
,วัดกลางสนาม
,วัดดอยสิงห์
,วัดศรีฐานธรรมิการาม
,วัดสุวรรณาราม
,วัดสามัคคีธรรม
,วัดศรีจันทร์
,วัดโสมนัสวิหาร
,วัดพุทโธธัมมธโร
,วัดเหล่าต้นยม
,วัดมโนภิรมย์
,วัดโพธิ์ศรีแดง
,วัดอินทรนิมิตร
,วัดโนนสวาท
,วัดภูถ้ำช้าง
,วัดจันโทวาส
,วัดราษฎร์สามัคคี
,วัดกุดโง้งน้อย
,วัดป่าคำน้ำบุ้น
,วัดผาพยอม
,วัดภูวงสายนิมิตรไมตรี
,วัดพิจิตรสังฆาราม
,วัดย้อมพัฒนา
,วัดปุญญานุสรณ์
,วัดศรีมณี
,วัดลัฎฐิกวัน
,วัดเวินไชยมงคล
,วัดสว่างวราราม
,วัดการุณทราวาส
,วัดสุทธารมณ์
,วัดคำเม็ก
,วัดสุภากรณ์นิคมธรรมาราม
,วัดคำเขือง
,วัดศรีสว่าง
,วัดละดาวัลย์
,วัดศรีฐาน
,วัดศรีสุวรรณาราม
,วัดไตรภูมิ
,วัดยอดแก้ว
,วัดอรัญญวาสี
,วัดศรีสุมังค์วนาราม
,วัดถ้ำจำปากันตสีลาวาส
,วัดป่าศิลาวิเวก
,วัดมหาวนาราม
,วัดโพนสว่าง
,วัดอรัญญิกาวาส
,วัดธรรมรังษี
,วัดบวรพินิจชัย
,วัดโพธิ์คำ
,วัดอรุณรัศมี
,วัดภูแผงม้า
,วัดจันทรประดิษฐาราม
,วัดสมดีนอก
,วัดศิลาลัย
,วัดประสิทธิ์ทรงธรรม
,วัดแจ้ง
,วัดไผ่ล้อม 
,วัดภูกำพร้า
,วัดสุนทราราม
,วัดป่าสามัคคี
,วัดสามัคคี 
,วัดทรายทอง
,วัดเสียวสวาสดิ์
,วัดปากช่อง
,วัดประดิษฐาราม
