จังหวัด,รายชื่อวัด
ยะลา,วัดพุทธาธิวาส
,วัดนิโรธสังฆาราม
,วัดเขาบันนังกระแจะ
,วัดจินดาพลาราม
,วัดชมพูสถิต
,วัดวังใหม่
,วัดตาพะเยา
,วัดบ่อหิน
,วัดศรีนคร
,วัดบ้านฉลองชัย
,วัดสุวรรณบรรพต
,วัดพรุทุ่งคอก
,วัดศรีพัฒนาราม
,วัดปูแหล
,วัดพุทธมงคล
,วัดยูปาราม
,วัดเนรัญชราวาส
,วัดไทยพัฒนาราม
,วัดมหายานกาญจนมาสราษฎร์บำรุง
,วัดดิตถมงคล
,วัดวาลุการาม
,วัดมาลาประชาสรรค์
,วัดนิโครธาวาส
,วัดวชิรปราการ
,วัดสิริปุณณาราม
,วัดคอกช้าง
,วัดเขาน้ำตก
,วัดหลักห้า
,วัดตรีมิตร
,วัดยะหาประชาราม
,วัดธารโต
,วัดเจริญธรรม
,วัดรังสิตาวาส
,วัดกม.
,วัดสารพฤกษาวาส
,วัดพุทธภูมิ
,วัดเฉลิมนิคม
,วัดบ่อน้ำร้อน
,วัดสุนทรประชาราม
,วัดคชศิลาวนาราม
,วัดเวฬุวัน
,วัดถ้ำทะลุ
,วัดวงกตบรรพต
,วัดบาละ
,วัดคงคานิมิตร
,วัดคูหาภิมุข
,วัดยะลาธรรมาราม
,วัดสวนใหม่
,วัดจันทร์ธาดาประชาราม
,วัดเมืองยะลา
