จังหวัด,รายชื่อวัด
ยโสธร,วัดสากลสะแนน
,วัดทรายมูล
,วัดเวินชัย
,วัดหนองบัว 
,วัดบึงขุมเงิน
,วัดป่าโพธิ์เฉลิมราช
,วัดโพนขวาว
,วัดพรหมนิยม
,วัดอรัญญิกาวาส 
,วัดโคกกลาง
,วัดบ้านเดิด
,วัดศรีไตรภูมิ
,วัดกุดชุม
,วัดจันทรังษี 
,วัดป่าสุนทราราม 
,วัดนาคำ
,วัดคำฮี
,วัดศรีวิลัย
,วัดพระธาตุบุญตา
,วัดมงคลวนาราม
,วัดโคกป่าจิก
,วัดอินทาวาส
,วัดพระธาตุฝุ่น
,วัดดอนเรือ
,วัดค้อเหนือ
,วัดศรีธรรมาราม
,วัดจันทร์เกษม
,วัดดอนพระเจ้า
,วัดหนองอีตุ้ม
,วัดสุรพาราม
,วัดท่ามงคล
,วัดท่าสมอ
,วัดมิสสกวัน
,วัดป่าจันทวนาราม
,วัดจำปานาคำ
,วัดม่วงไข่
,วัดเที่ยงนาเรียง
,วัดโพธิ์ศรีสง่าพุฒาราม 
,วัดสามัคคีวนาราม
,วัดหนองบาก
,วัดหัวคำ
,วัดนาโพธิ์
,วัดดวงมณี
,วัดนาจาน
,วัดสมสะอาด
,วัดศรีสะอาด
,วัดหนองแวง
,วัดดอนม่วง
,วัดพระเสาร์
,วัดนิคมวนาราม
,วัดโสภณาราม
,วัดศิริมงคลาราม
,วัดป่าสะเดา
,วัดเชียงหวาง
,วัดดงมะหรี่
,วัดหนองบัวบาน
,วัดคูสองชั้น
,วัดอัมพวันเหนือ
,วัดหนองหิน 
,วัดดอนยาง
,วัดนาสะแบง
,วัดแคนน้อย
,วัดหนองผือน้อย
,วัดโนนม่วง
,วัดหนองลุมพุก
,วัดบะคอม
,วัดป่าติ้ว
,วัดยางกลาง
,วัดคำน้ำเกลี้ยง
,วัดสว่างวังไฮ
,วัดอรุณาราม
,วัดบ้านงิ้ว
,วัดหนองเลิง
,วัดภูหมากพริก
,วัดบ้านโซง
,วัดบูรพาราม
,วัดบ้านโคกสมบูรณ์วนาราม
,วัดสว่างหนองขอน 
,วัดบ้านเปาะ
,วัดกุดปลาดุก
,วัดโคกศรี
,วัดหนองกบ
,วัดอัมพวัน
,วัดมัคคสัญจาราม
,วัดบ้านหนองยาง
,วัดสร้างช้าง
,วัดวิเวการาม
,วัดดอนศิลา
,วัดลาดเก่า
,วัดดอนหวาย
,วัดขาทราย
,วัดโนนงิ้ว
,วัดหนองยาง
,วัดลิขิตาราม 
,วัดโคกใหญ่
,วัดคำเขื่อนแก้ว
,วัดแสนสำราญ
,วัดสร้างแต้ 
,วัดบ้านเชือก
,วัดป่าคำม่วง
,วัดศิริมังคลาราม
,วัดสระแก้ว
,วัดหินเหล็กไฟ
,วัดนาถ่ม
,วัดทุ่งอีโอก
,วัดไชยวาสี
,วัดดงพยอม
,วัดสิงห์ทองเหนือ
,วัดป่าลัฎฐิวัน
,วัดดอนมะยาง
,วัดท่าลาด
,วัดกุดกุง
,วัดผิผ่วน
,วัดนาหลู่
,วัดโพธาราม 
,วัดอรรถสดมมณฑา
,วัดปัจฉิมาวาส
,วัดโนนชาด
,วัดธรรมนิมิต
,วัดกุดมงคล
,วัดเหล่าหันทราย
,วัดท่าค้อ
,วัดบัวขาว
,วัดหนองแข้
,วัดหนองเสือตาย
,วัดคอนสาย
,วัดเชียงเพ็ง
,วัดสว่างโพธาราม
,วัดป่าศิลาอาสน์
,วัดบ้านบะนางเจิม
,วัดบูรพาโนนเปือย 
,วัดบ้านเหลื่อม
,วัดกุดกว้าง
,วัดพระพุทธบาทยโสธร
,วัดเหล่ามะเขียว
,วัดม่วงอ่อนท่าวารี
,วัดชัยชนะ
,วัดฟ้าห่วนเหนือ
,วัดห้วยยาง 
