จังหวัด,รายชื่อวัด
ระนอง,วัดระวิมงคลธรรม 
,วัดชนาราม
,วัดทรายแดงวนาราม
,วัดควนไทรงาม
,วัดราชกรูดล่าง
,วัดโพธาราม
,วัดอุปนันทาราม
,วัดปทุมธาราราม
,วัดนกงาง
,วัดธรรมาวุธาราม
,วัดสุวรรณคีรีวิหาร
,วัดปุญญาราม
,วัดใหม่ราชกรูด
,วัดลำเลียง
,วัดโพธิ์ทอง
,วัดเกาะพยาม
,วัดนิคมปากจั่น
,วัดสุวรรณคีรี
,วัดทับหลี
,วัดป่าชัยมงคล
,วัดสถิตย์ธรรมาราม
,วัดคงคารี
,วัดประทุมสาคร
,วัดตโปทาราม(บ่อน้ำร้อน
,วัดป่าตะเคียนงาม
,วัดป่าสะเดา
,วัดมัชฌิมเขต
,วัดอัมพวัน(ม่วงกลวง
,วัดหาดส้มแป้น
,วัดบางขุนแพ่ง
,วัดจันทาราม
,วัดบ้านหงาว
,วัดปากน้ำประชารังสฤษดิ์
,วัดตรอกปรือ
,วัดวารีบรรพต
