จังหวัด,รายชื่อวัด
ระยอง,วัดตะพงใน
,วัดป่าประดู่
,วัดยายดา
,วัดมงคลวุฒาวาส
,วัดปลวกเกตุ
,วัดคลองจำกา
,วัดธรรมสถิต
,วัดช้างชนศิริราษฎร์บำรุง
,วัดหนองหว้า
,วัดเขาโบสถ์
,วัดตะเคียนทอง
,วัดเกาะเสม็ด
,วัดห้วยโป่ง
,วัดบ้านดอน
,วัดตรีรัตนาราม
,วัดแลง
,วัดเขาตาอิ๋น
,วัดชุมแสง
,วัดลุ่มมหาชัยชุมพล
,วัดตะพงนอก
,วัดปากน้ำ
,วัดในไร่
,วัดสนามรัตนาวาส
,วัดชะวึก
,วัดโขดทิมทาราม
,วัดศรีโสภณ
,วัดหนองแฟบ
,วัดหนองสนม
,วัดนาตาขวัญ
,วัดเกาะกลอย
,วัดมาบตาพุด
,วัดศรีวโนภาส
,วัดวังจันทน์
,วัดโขดใต้
,วัดโสภณวนาราม
,วัดคลองเขต
,วัดพลงตาเอี่ยม
,วัดเขายายชุม
,วัดบึงตากาด
,วัดเขาไผ่
,วัดสารนาถธรรมาราม
,วัดโขดหิน
,วัดสำนักทอง
,วัดเขาสำเภาทอง
,วัดชากลูกหญ้า
,วัดเขาพระบาท
,วัดเภตราสุขารมย์
,วัดน้ำคอก 
,วัดบ้านเพ
,วัดยายจั่น
,วัดกรอกยายชา
,วัดชงโค
,วัดธงหงษ์
,วัดจุฬามุนี
,วัดโอภาสี
,วัดตะพุนทอง
,วัดท่าเรือ
,วัดคีรีภาวนาราม
,วัดป่ายุบ
,วัดชุมนุมใน
,วัดสามัคคีคุณาวาส
,วัดสมานมิตร
,วัดมาบชลูด
,วัดมาบจันทร์
,วัดปากทางแกลง
,วัดคลองไผ่
,วัดมะเดื่อ
,วัดมาบตอง
,วัดเขาแกแล
,วัดเขาตลาดสิงหเสนี
,วัดเขาแก้ว
,วัดซอยคีรี
,วัดตากวน
,วัดตรีมิตรประดิษฐาราม
,วัดเขาวังม่าน
,วัดแกลงบน
,วัดเนินพระ
,วัดทับมา
,วัดเนินพุทรา
,วัดมงคลสามัคคีธัมโมธัย
