จังหวัด,รายชื่อวัด
ราชบุรี,วัดช่องลม
,วัดหนองโพ
,วัดหนองปากชัฎ
,วัดอมรินทราราม
,วัดวันดาว
,วัดนิยมธรรมาราม
,วัดศรีประชุมชน
,วัดสนามสุทธาวาส
,วัดประชารังสรรค์
,วัดวิมลมรรคาราม
,วัดใหม่อีจาง
,วัดหนองขาม
,วัดเจติยาราม 
,วัดมณีลอย
,วัดพิทักษ์เทพาวาส
,วัดป่าหินสูงเจริญธรรม
,วัดบางศรีเพ็ชร
,วัดหนามพุงดอ
,วัดหนองบัวค่าย
,วัดเกาะลอยอุดมเอกธาราม
,วัดถ้ำเขาสวนหลวง
,วัดระฆังทอง
,วัดดอนสาลี
,วัดโคกทอง
,วัดเขาถ้ำพระ
,วัดเขาปิ่นทอง
,วัดหนองกระทุ่ม
,วัดนาหนอง
,วัดเขาถ้ำกรวย
,วัดแจ้งเจริญ 
,วัดใหม่ชำนาญ
,วัดหนองหูช้าง
,วัดคลองขนอน
,วัดท่าเคย
,วัดเจ็ดเสมียน
,วัดใหม่นครบาล
,วัดโพธิโสภาราม
,วัดเกาะเจริญธรรม
,วัดหนองไผ่
,วัดอริยวงศาราม
,วัดใหม่สี่หมื่น
,วัดใหญ่โพหัก
,วัดแก้ว
,วัดป่าพระธาตุเขาน้อย
,วัดป่าไผ่
,วัดสมถะ
,วัดโพธิบัลลังก์
,วัดโป่งกระทิงล่าง
,วัดหนองกลางด่าน
,วัดช่องลาภ
,วัดเขาถ่านธรรมเสนานี
,วัดแก้มอ้น
,วัดหนองปรือใหญ่พลายงาม
,วัดท่าราบ
,วัดโรงช้าง
,วัดห้วยม่วง
,วัดป่าปลักประดู่
,วัดนครทิพย์
,วัดกลาง
,วัดใหม่ต้นกระทุ่ม
,วัดวาปีสุทธาวาส
,วัดเกาะลอย
,วัดหนองประทุน
,วัดเขากูบอินทราราม
,วัดโพธิ์ราษฏร์ศรัทธาธรรม
,วัดดำเนินสะดวก 
,วัดปลักแรด
,วัดเพลง
,วัดโพธิ์ราษฏร์บูรณะ
,วัดปรกเจริญ
,วัดน้ำพุไชยสิทธิ์
,วัดเขาธารมงคล
,วัดสันติการาม
,วัดหนองกบ
,วัดป่าศรีถาวรราชบุรี
,วัดหลวงพ่อสดธรรมกายาราม
,วัดหนองศาลเจ้า
,วัดตาลบำรุงกิจ 
,วัดคงคาราม
,วัดคุ้งกระถิน
,วัดสุรชายาราม
,วัดท่ามะเฟือง
,วัดแคทราย
,วัดถ้ำน้ำ
,วัดพุแค
,วัดธรรมวิโรจน์
,วัดป่าหนองโกเจริญธรรม
,วัดหนองหิน
,วัดหนองจอก
,วัดจิตมงคล
,วัดบ้านกุ่ม
,วัดหนองครึม
,วัดอัมพวัน 
,วัดศรีมฤคทายวัน
,วัดเขาช้างมงคลวนาราม
,วัดถ้ำมงกุฎ
,วัดไผ่ล้อม
,วัดพุลุ้ง
,วัดสามัคคีธรรม
,วัดห้วยเจริญผล
,วัดใหญ่นครชุมน์
,วัดท่าผา
,วัดโพธิรัตนาราม
,วัดรางบัว
,วัดอ่างหิน
,วัดโพธาราม 
,วัดดอนพรหม
,วัดคูบัว
,วัดสวนผึ้ง
,วัดหลักหกรัตนาราม
,วัดป่าพุบอน
,วัดหนองนกกะเรียน
,วัดราษฎร์สมานฉันท์
,วัดบ้านโพธิ์
,วัดหนองกลางดง
,วัดอุทุมพรทาราม
,วัดหนองอ้อ
,วัดเขาเขียว
,วัดวังปลาช่อน
,วัดศาลเจ้า
,วัดบางพัง
,วัดตาลปากลัด
,วัดหนองไก่ขัน
,วัดยางคู่
,วัดห้วยทรายทอง
,วัดวังน้ำเขียว
,วัดสร้อยฟ้า
,วัดปราสาทสิทธิ์
,วัดหุบกระทิง
,วัดสนามชัย
,วัดเกาะ
,วัดอ้ออีเขียว
,วัดประชุมพลแสน
,วัดบางกระ
,วัดคลองโพธิ์เจริญ
,วัดป่าพุทธาราม
,วัดป่าสันติพุทธาราม
,วัดมณีโชติ
,วัดชัยรัตน์
,วัดหนองกวาง
,วัดหนองหลวง
,วัดศรัทธาราษฎร์
,วัดคูหาสวรรค์
,วัดโกสินารายณ์
,วัดเลิศดุสิตาราม
,วัดดอนคา
,วัดราชคาม
,วัดห้วยตะแคง
,วัดป่าพุหวาย 
,วัดโพธิไพโรจน์
,วัดหนองปลาดุก
,วัดโป่งยอ
,วัดโกรกสิงขร
,วัดโคกหลวง
,วัดพิบูลวนาราม
,วัดหนองสีนวล
,วัดรับน้ำ
,วัดหนองน้ำขุ่น
,วัดเขาชะงุ้ม
,วัดหนองหมี
,วัดอรัญญิกาวาส
,วัดโคกตับเป็ด
,วัดบ้านบึง
,วัดเขาแดน
,วัดตาลเรียง
,วัดอุบลวรรณาราม
,วัดหนองตาเนิด
,วัดชาวเหนือ
,วัดพุเกตุ
,วัดหนองหญ้าปล้อง
,วัดดอนตะโก
,วัดนางแก้ว
,วัดเกาะนัมมทาปทวลัญชาราม
,วัดดอนตูม
,วัดบ่อหวี
,วัดเขาพุนก
,วัดเขาส้ม
,วัดเขาดินสุวรรณคีรี
,วัดบ้านใหม่บุปผาราม
,วัดแหลมทอง
,วัดตาลเตี้ย
,วัดยางงาม
,วัดไทรอารีรักษ์
,วัดวังมะนาว
,วัดบางลาน
,วัดพระศรีอารย์
,วัดใหญ่อ่างทอง
,วัดจันทคาม
,วัดเขาแหลม
,วัดปากช่อง
,วัดห้วยไผ่
,วัดดอนเซ่ง
,วัดบ้านฆ้อง
,วัดห้วยต้นห้าง
,วัดหนองบัวหิ่ง
,วัดศรีสุริยวงศารามวรวิหาร
,วัดถ้ำเขาชุมดง
,วัดคีรีวงกต
,วัดท่าหลวงพล
,วัดมหาธาตุวรวิหาร
,วัดลาดเมธังกร
,วัดเก่าต้นมะค่า
,วัดเนกขัมมาราม
,วัดทุ่งหญ้าคมบาง
,วัดประสิทธาราม
,วัดตรีญาติ
,วัดชมภูพล
,วัดห้วยไม้เต็ง
,วัดท่าสุวรรณ
,วัดบ้านหลวง
,วัดเวียงทุน
,วัดเขากลิ้ง
,วัดดอนใหญ่
,วัดดอนตลุง
,วัดห้วยชินสีห์
,วัดบ้านซ่อง
,วัดถ้ำสาริกา
,วัดกำแพงใต้
,วัดหนองน้ำใส
,วัดเขาถ้ำทะลุ
