จังหวัด,รายชื่อวัด
ร้อยเอ็ด,วัดสอาดธรรมทาน
,วัดสระพังทอง
,วัดหนองแสง 
,วัดประสิทธิ์โพธาราม
,วัดอรุณสวัสดิ์
,วัดบ้านสระบัว
,วัดสันโดษโฆษะ
,วัดสว่างคารมณ์
,วัดดงเครือวัลย์
,วัดธาตุประทับ
,วัดห้วยนารี
,วัดอินทาวาส
,วัดหนองทุ่ม
,วัดตาลวนาราม
,วัดท่าสะอาดประชาราษฎร์รังสฤษฎ์ 
,วัดศรีวนาราม
,วัดแสงสว่างอรุณ
,วัดสระพัง
,วัดตาลเดี่ยว
,วัดหนองคูพัฒนา
,วัดพิพิธมาลี
,วัดบ้านดงช้าง 
,วัดศรีสะอาด
,วัดเวฬุวัน
,วัดเหนือพระเจ้า
,วัดราษฎร์นิยม
,วัดเจริญอัมพวัน
,วัดเหล่าพระเจ้า
,วัดศรีธรรมาวาส
,วัดห้างหว้า
,วัดหนองขุ่น
,วัดดอนแตง
,วัดดอนไผ่
,วัดหนองบัวใหญ่
,วัดเกษตรสมบูรณ์
,วัดโพธิ์ศรีสว่าง
,วัดขอนแก่นเหนือ
,วัดชัยคาม
,วัดขอนแก่นใต้ 
,วัดนิเทศสุนทราราม
,วัดสว่างสุดาราม
,วัดลำโกน
,วัดบ้านน้ำจั่นน้อย
,วัดศิริชัยธาราม
,วัดสว่างโพธิ์ศรี
,วัดสิงห์สมทองสามัคคี
,วัดโพธิ์ทอง
,วัดแสนระลึก
,วัดใต้สูงยาง
,วัดโพนดวน
,วัดเมืองสรวงน้อย
,วัดประทุมชาติ
,วัดโพนเดื่อ
,วัดดงพิกุล
,วัดคุ้งสะอาดวนาราม
,วัดโนนสำราญ
,วัดสันติวิเวก
,วัดบ้านขมิ้น
,วัดป่าอัมไพลวัลย์
,วัดสว่างจิต
,วัดโนนฤๅษี
,วัดตาลมวนาราม
,วัดดอนน้ำคำ
,วัดบ้านโนนเดื่อ
,วัดเหล่ากุด
,วัดป่าพุทธาวาส
,วัดบูรพาราม 
,วัดสมานสามัคคีธรรม
,วัดวิสุทธิธรรมาราม
,วัดศรีจันทราราม
,วัดฝึกฝน
,วัดถาวรรังศรี
