จังหวัด,รายชื่อวัด
ลพบุรี,วัดหน่วยประคอง
,วัดดอนไชโย
,วัดถนนใหญ่
,วัดโคกกฐิน
,วัดศรีธรรมโสภณ
,วัดคีรีบัววนาราม 
,วัดโคกกลาง
,วัดเขาแก้วรัตนวนาราม
,วัดมะม่วงเจ็ดต้น
,วัดลพบุรีวราราม
,วัดสระกระเบื้อง
,วัดหนองจับเขียด
,วัดดีลัง
,วัดโคกสำโรง
,วัดดงพลับ
,วัดท่าตะโก
,วัดกำแพงประชาราม
,วัดธรรมวงษ์
,วัดบ้านเขาเตียน
,วัดบ้านใหม่สามัคคี
,วัดพระบาทน้ำพุ
,วัดราศรีสว่าง
,วัดหนองโพธิ์
,วัดแคสูง
,วัดม่วงแก้วเรไร
,วัดทรัพย์สำราญ
,วัดศรีสุทธาวาส
,วัดเขาวงพระจันทร์
,วัดไตรคีรีวัน
,วัดดำรงธรรม
,วัดหนองตาแดง
,วัดห้วยหิน
,วัดบ้านคลอง 
,วัดเวฬุวัน
,วัดหินสามบ่อ
,วัดธรรมมิการาม
,วัดป่าสัก
,วัดดงดินแดง
,วัดป่าเจริญธรรม
,วัดท่ามะนาว
,วัดหนองกระเบียน
,วัดเขาขุยสามัคคีธรรม
,วัดถ้ำช้างเผือก
,วัดท่าเดื่อ
,วัดเชิงท่า
,วัดหนองเสมา
,วัดบุญญาราม
,วัดสะพานจันทร์ 
,วัดท่าดินดำ
,วัดสุนทริการาม
,วัดพนมวัน
,วัดบางลี่
,วัดโคกสันคู
,วัดสระเตยน้อย
,วัดนกเขาเปล้า
,วัดราชบรรทม
,วัดป่าธรรมโสภณ
,วัดอุดมสันติวรรณ
,วัดศรีบรรพตวนาราม
,วัดลำพญาไม้
,วัดซอย1
,วัดคงคาราม
,วัดมหาสอน
,วัดตะเคียน
,วัดถ้ำพระธาตุ
,วัดชอนขุด
,วัดหนองแขม
,วัดหนองมน
,วัดศรีมิ่งมงคลวราราม
,วัดคุ้งลาน
,วัดเนกขัมมวิสุทธิ์
,วัดรัตนาราม
,วัดหนองปลาไหล
,วัดสว่างจิต
,วัดวิหารขาว
,วัดวาสนวราราม
,วัดน้ำจั้น
,วัดวาปีอัมพาราม
,วัดโค้งรถไฟเจริญธรรม
,วัดราษฎร์สามัคคี
,วัดเขาสนามแจง
,วัดจงโก
,วัดโพธิ์ระหัต
,วัดลำนารายณ์
,วัดข่อยกลาง
,วัดพัฒนาธรรมาราม
,วัดโพธิ์เทพประสิทธิ์
,วัดวรรณวราราม
,วัดใหม่ศรีอุดม
,วัดโพธิ์เก้าต้น
,วัดสระมะเดื่อราษฎร์บำรุง
,วัดคลองนารายณ์
,วัดพุสะอาด
,วัดมณีชลขัณฑ์
,วัดพยัคฆาราม
,วัดหนองขุย
,วัดเนินทองวนาราม
,วัดคีรีวงค์
,วัดธรรมิการาม
,วัดห้วยกรวด
,วัดกระดังงา
,วัดหนองคูใหญ่
,วัดวังใต้
,วัดหนองบัวขาว
,วัดท่าปลวกสูง
,วัดซับสมบูรณ์
,วัดหนองหลวง
,วัดดอนโพธิ์
,วัดคูหาสวรรค์
,วัดบ้านลาด
,วัดสว่างอารมย์ 
,วัดสำโรงน้อย
,วัดหนองกระเบื้อง
,วัดภิญโญสโมสร
,วัดสามแสน
,วัดโป่งยอ
,วัดปทุมสราราม
,วัดถนนแค
,วัดเขาสลัดไดโสภณ
,วัดกลางสว่างอารมณ์
,วัดใหม่ไพศาลี
,วัดโคกสะอาด
,วัดหัวดง
,วัดโคกสำเริง
,วัดโพธิ์ตรุ
,วัดสายห้วยแก้ว
,วัดยวด
,วัดบ่อเงินเจริญสุข
,วัดมณีศรีโสภณ
,วัดหนองสำราญ
,วัดหนองถ้ำ
,วัดเทพกุญชรวราราม
,วัดพุพะเนียง
,วัดเจริญธรรม 
,วัดหนองโกวราราม
,วัดหนองขุด
,วัดพุทธเทพศิริวนาราม
,วัดหนองบัว
,วัดศรีสอาด
,วัดปากช่องสาริกา
,วัดประชาแสวงธรรม
,วัดวารินบุญญาวาส
,วัดเขาแหลม
,วัดฟ่าวงาม
,วัดหนองบัวหิ่ง
,วัดหนองหินใหญ่
,วัดเขากระทิง
,วัดราษฎร์ศรัทธาทำ
,วัดห้วยนา
,วัดวังหัวแหวน
,วัดราชวันทนาราม
,วัดศรีรัตนาราม
,วัดพัฒนาราม
,วัดคุ้งท่าเลา
,วัดสุวรรณคีรี 
,วัดศรีประชาราม
,วัดหินปักเหนือ
,วัดอินทราราม
,วัดตะวันเย็น
,วัดหินปักทุ่ง
,วัดอุโศกทรงธรรม
,วัดสิริจันทรนิมิตรวรวิหาร
,วัดคีรีนาครัตนาราม
,วัดหนองน้ำใส
,วัดหนองโก
,วัดศรีจำปา
,วัดบ้านไร่พัฒนาราม
,วัดธารีรัฐการาม
,วัดศรีรัตนาวาส
,วัดข่อยใต้
,วัดสามัคคีพัฒนาราม
,วัดเขาจรเข้
,วัดโคกหม้อ
,วัดท่าโขลง
,วัดสิริธรรมโสภณ
,วัดโบสถ์โพธิ์งาม
,วัดห้วยแก้วสามัคคี
,วัดแหลมเพิ่ม
,วัดหนองกลาง
,วัดท่าฉนวน
,วัดหนองแก้ว
,วัดพลอยสุวรรณ
,วัดวังกระทุ่ม
,วัดคีรีธรรมาราม
,วัดวังเหนือ
,วัดพานิชธรรมิการาม
,วัดศรีอุบลจันทาราม
,วัดราษฎร์ศรัทธาธรรม
,วัดเขาสมอคอน
,วัดถ้ำระฆังทอง
,วัดบ่อดินสอพอง
,วัดใหม่เจริญ
,วัดเขาลังพัฒนา
,วัดบางกะพี้น้อย
,วัดเชียงงาสง่างาม
,วัดมณีโสภณ
,วัดคลองสุทธาวาส
,วัดโคกขาม
,วัดบ้านใหม่
,วัดมะปรางหวาน
,วัดพรหมทินใต้
,วัดซับกระทิงวราราม
,วัดสายโท
,วัดบางพาน
,วัดเขาตะแคงสามัคคี
,วัดคุ้งตะแบก
,วัดธรรมิกาวาส
,วัดลิ้นทอง
,วัดบ้านโคก
,วัดท่าช้าง
,วัดมหาโพธิ์
,วัดหนองคู
,วัดตะเคียนคู่
,วัดเขาดินทอง
,วัดใหม่สันติธรรม
,วัดเนินจันทร์
,วัดหนองมะค่า
,วัดห้วยเปี่ยม
,วัดโคกมะขามป้อม
,วัดหนองไผ่ล้อม
,วัดไชยดิตถาราม
,วัดเขาสมโภชน์
,วัดเขาศรีสามัคคี
,วัดรัมภาราม
,วัดศรีรัตนคีรี
