จังหวัด,รายชื่อวัด
ลำปาง,วัดทรายมูล
,วัดพระเจดีย์ซาวหลัง
,วัดสบตุ๋ย
,วัดน้ำหลง
,วัดแม่ทะหลวง
,วัดแม่หล่วง
,วัดศาลาดงลาน
,วัดศรีไตรภูมิ
,วัดลำปางกลาง
,วัดแม่ทรายคำ
,วัดร่มโพธิ์ทอง
,วัดสบพลึง
,วัดพระธาตุเสด็จ
,วัดเกาะวาลุการาม
,วัดดอยเต่าคำ
,วัดดอกป้าน
,วัดหนองหล่าย
,วัดป่าสำราญนิวาส
,วัดท่าเมล์ชัย
,วัดจงพัฒนา
,วัดแพะก้อม
,วัดดำรงธรรม
,วัดต้นต้อง
,วัดนาเอี้ยง
,วัดท่าสี
,วัดม่อนพระยาแช่
,วัดนาป้อใต้
,วัดล้อมแรด
,วัดป่าตันกุมเมือง
,วัดสาแพะ
,วัดสวนดอก
,วัดป่าสัก
,วัดดอยเงิน
,วัดสันปินไชย
,วัดบ้านมาย
,วัดสะเลียมหวาน
,วัดพิชัย
,วัดสบลืน
,วัดแม่เชียงรายบน
,วัดท่าเดื่อ
,วัดขอหัวช้าง
,วัดนากิ๋มเหนือ
,วัดปางป๋วยศรัทธาราม
,วัดดอนหัววัง
,วัดต้นธงชัย
,วัดบ้านฮ่าง
,วัดม่อนเขาแก้ว
,วัดกิ่วหลวง
,วัดกู่เกวียน
,วัดนาปัว
,วัดพระธาตุม่วงคำ
,วัดแม่อิบ
,วัดใหม่นิคมศรีธรรมาราม
,วัดหล่ายทุ่ง
,วัดป่าแข
,วัดทุ่งกว๋าว
,วัดวังควาย
,วัดข่วงกอม
,วัดทุ่งฮั้ว
,วัดแม่ผึ้ง
,วัดแสงเมืองมา
,วัดไร่อ้อย
,วัดแม่สงเหนือ
,วัดยางอ้อย
,วัดต้นยาง
,วัดแม่ปง
,วัดปันง้าว
,วัดเหล่ายาว
,วัดสบปุง
,วัดหนองห้าตะวันตก
,วัดแม่สุขใน
,วัดพระธาตุม่อนจอมแจ้ง
,วัดถ้ำพระสบาย
,วัดทรายเหนือ
,วัดนายาบ
,วัดแม่ลืน
,วัดผ้าขาว
,วัดแม่กัวะ
,วัดห้วยแหน
,วัดวัฒนาราม
,วัดท่าคราวน้อย
,วัดทุ่งงามหลวง
,วัดดอนมูล
,วัดไชยสถาน
,วัดหนองเหียง
,วัดปงทุ่งล่าม
,วัดบ้านก้อม
,วัดแม่ปุ้มหลวง
,วัดนาก่วมใต้
,วัดสบลี
,วัดทุ่งกล้วย
,วัดลำปางธรรมาราม 
,วัดแม่พริกบน
,วัดบ้านผึ้งนาเกลือ
,วัดม่วงหลวง
,วัดศรีก้ำ
,วัดบ้านพร้าว
,วัดป่าตันหลวง
,วัดศรีหมวดเกล้า
,วัดป่าเหมี้ยง
,วัดพระธาตุคว่ำหม้อ
,วัดหนองกอก
,วัดทะล้า
,วัดป่าแขม
,วัดบ้านทุ่ง
,วัดปางอ้า
,วัดนาบ้านไร่
,วัดสบทะ
,วัดบ้านถ้ำ
,วัดไหล่หิน
,วัดทุ่งต๋ำ
,วัดปงหลวง
,วัดนากิ๋มใต้
,วัดหอรบ
,วัดแจ่งหัวริน
,วัดผาแมว
,วัดไชยาทุ่งล้อม
,วัดม่อนจำศีล
,วัดสัณฐาน
,วัดสันติสุข
,วัดสันติสุขาราม
,วัดนาแช่
,วัดทุ่งบ่อแป้น
,วัดศรีภูมิมา
,วัดแม่สุขนอก
,วัดน้ำโท้ง
,วัดหนองเตา
,วัดช่างแต้ม
,วัดนาบง
,วัดน้ำผึ้งชาวไร่อ้อย
,วัดเมืองมูล
,วัดห้วยเกี๋ยง
,วัดร่องเคาะ
,วัดสันดอยน้อย
,วัดวังเลียบ
,วัดแม่ทาน
,วัดหนองละคอน
,วัดป่าขาม
,วัดป่าไคร้ใต้
,วัดนาสัก
,วัดกาศโป่ง
,วัดหัวข่วง
,วัดนาฟาน
,วัดสุขสวัสดิ์
,วัดดงเย็น
,วัดนาโป่งใต้
,วัดทัพป่าเส้า
,วัดแม่อาง
,วัดสบป๋อน
,วัดนาแก
,วัดแม่แก่ง
,วัดเชียงราย
,วัดฮ่องห้า
,วัดบ้านแลง
,วัดแม่ตาลน้อย
,วัดข่วงม่วง
,วัดศาลาหม้อ
,วัดป่าม่วง
,วัดบ้านแหง
,วัดศรีชุม
,วัดหลวง
,วัดแม่ปุง
,วัดห้วยรากไม้
,วัดทุ่งคา
,วัดแม่ทะ
,วัดพระธาตุลำปางหลวง
,วัดนาปราบ
,วัดผาลาด
,วัดบ้านฮ่อม
,วัดร่องกอก
,วัดท่ามะเกว๋น
,วัดปงหอศาล
,วัดบ้านหล่าย
,วัดทุ่งแหน้น
,วัดเด่นแก้ว
,วัดหัววัง
,วัดทุ่งงิ้ว
,วัดบ้านเด่น
,วัดพระบาท
,วัดม่อนทรายนอน
,วัดเกาะคา
,วัดป่าเพิ่มพูล
,วัดหาดปู่ด้าย
,วัดพระธาตุสันดอน
,วัดทุ่งบอน
,วัดห้วยขี้นก
,วัดสันดอนแม่กึ๊ด
,วัดพระงามบ้านข่วง
,วัดเหล่าน้อย
,วัดหนองร่อง
,วัดม่อนศรีบุญโยง
,วัดป่าไคร้เหนือ
,วัดทุ่งผา
,วัดม่อนคีรีชัย
,วัดม่อนแสนศรี
,วัดห้วยคิง
,วัดปางม่วง
,วัดป่าแหน่ง
,วัดปงทอง
,วัดวังหิน
,วัดบ้านใหม่
,วัดสาญาณพลาราม
,วัดปงอ้อม
,วัดทุ่งปี้
,วัดปันเต้า
,วัดบ้านร้องต้นธง
,วัดหมอสม
,วัดวังหม้อ
,วัดหนองวัวแดง
,วัดบ้านกาดใต้
,วัดทุ่งหลวง
,วัดชัยมงคลธรรมวราราม
,วัดแม่ยิ่ง
,วัดคะตึกเชียงมั่น
,วัดท่าช้าง
,วัดสมัย
,วัดทุ่งผึ้ง
,วัดต้นงุ้น
,วัดกู่คำน้อย
,วัดสันทราย
,วัดเขาแก้ว
,วัดเชตวัน
,วัดแม่พุ
,วัดนาเบี้ย
,วัดพระพุทธบาทวังตวง
