จังหวัด,รายชื่อวัด
ลำพูน,วัดหนองดู่
,วัดห้วยยาบ
,วัดม่วงคำ
,วัดสะปุ๋งน้อย
,วัดดอนตอง
,วัดป่าพุทธพจน์หริภุญไชย
,วัดทาสบเส้า
,วัดกู่เหล็ก
,วัดสันป่าเหียง
,วัดดอยติ
,วัดบ้านปู
,วัดดอนน้อย
,วัดเจ้าชัย
,วัดสันติวนาราม
,วัดหนองป่าตึง
,วัดดอยสารภี
,วัดน้ำเพอะพะ
,วัดอินทขิล
,วัดทาสบเมย
,วัดหนองสะลิง
,วัดป่ายางริมปิง
,วัดวังมน
,วัดหนองปลาขอ
,วัดป่าสัก
,วัดสวนดอก
,วัดทาศาลา
,วัดป่าไผ่
,วัดพระธาตุดวงเดียว
,วัดบ้านแป้น
,วัดหนองช้างคืน
,วัดห้วยแพ่ง
,วัดแม่เทย
,วัดพระสิงห์เคิ่ง
,วัดช้างสี
,วัดบ้านโฮ่งหลวง
,วัดม่อนมะหินศิลาราม
,วัดหนองไซ
,วัดประตูโขง
,วัดเหมืองจี้หลวง
,วัดท่ากอม่วง
,วัดบ้านรั้ว
,วัดดงมะเฟือง
,วัดสบล้อง
,วัดล้องเดื่อ
,วัดทาหมื่นข้าว
,วัดสันกำแพง
,วัดนากลาง
,วัดอัมพวัน
,วัดไก่แก้ว
,วัดปงแม่ลอบ
,วัดป่าจี้
,วัดพระธาตุทรายทอง
,วัดดอยก้อม
,วัดห้วยน้ำเย็น
,วัดทาป่าเปา
,วัดตีนดอย
,วัดหนองเกิด
,วัดวังผาง
,วัดสุมนารามหนองเหียง
,วัดหนองซิว
,วัดหมูเปิ้ง
,วัดเหล่ายาว
,วัดดงฤๅษี
,วัดห้วยสะแหล
,วัดรัตนาราม
,วัดแม่แรง
,วัดจำตาเหิน
,วัดสุวรรณาราม
,วัดสามัคคีธรรม
,วัดนางเกิ้ง
,วัดบ้านตอง
,วัดห้วยแหน
,วัดทากู่แก้ว
,วัดบ้านเรือน
,วัดป่าบุก
,วัดศรีเตี้ย
,วัดศรีเมืองยู้
,วัดอรัญญาราม
,วัดสะปุ๋งหลวง
,วัดบ้านก้อง
,วัดเหมืองง่า
,วัดสุวรรณวิหาร
,วัดหนองบัวคำ
,วัดวังหลวง
,วัดทาทุ่งไผ่
,วัดป่าหก
,วัดพระนอนม่อนช้าง
,วัดพระพุทธบาทตากผ้า
,วัดบ้านแจ่ม
,วัดมหาวัน
,วัดพระยืน
,วัดวังกู่
,วัดร่องช้างพญาวัน
,วัดพระธาตุดอยเวียง
,วัดป่าเห็ว
,วัดพันตาเกิน
,วัดพระบาทผาผึ้ง
,วัดหนองกอก
,วัดทุ่งโป่ง
,วัดทุ่งข้าวหาง
,วัดแม่ร่องน้อย
,วัดทุ่งเป็ด
,วัดกอม่วง
,วัดสูงธรรมาราม
,วัดม่วงโตน
,วัดพระพุทธบาทผาหนาม
,วัดผาตั้ง
,วัดมงคลวราราม
,วัดสันหลวง
,วัดหนองเจดีย์
,วัดเหล่าดู่
,วัดทากาศ
,วัดพระธาตุหริภุญชัยวรมหาวิหาร
,วัดวังสะแกง
,วัดปทุมสราราม
,วัดพาณิชสิทธิการาม
,วัดบัวบก
,วัดจามเทวี
,วัดธงสัจจะ
,วัดเหมืองจี้ใหม่
,วัดแม่หว่างลุ่ม
,วัดสันวิไล
,วัดศรีสองเมือง
,วัดริมร่อง
,วัดทาสวนหลวง
,วัดห้วยหญ้าไซ
,วัดสันมะโก
,วัดป่าค่าง
,วัดป่ายาง
,วัดสันป่ายางหลวง
,วัดป่ารกฟ้า
,วัดปงชัย
,วัดหนองสมณะธาดา
,วัดสันป่ายางหน่อม
,วัดน้ำโค้ง
,วัดป่าไผ่หลวง
,วัดสันต้นค่า
,วัดเชตวันธรรมาราม
,วัดหนองเส้ง
,วัดหนองโจง
,วัดปากกอง
,วัดหนองเงือก
,วัดบูชา
,วัดอุโมงค์
,วัดทาป่าสัก
,วัดสันป่าสัก
,วัดแม่แนต
,วัดทาชมภู
,วัดหนองจาง
,วัดบ้านปาง
,วัดฉางข้าวน้อยเหนือ
,วัดศรีดอนตัน
,วัดศรีบังวัน
,วัดแม่อีไฮ
,วัดเวียงหนองล่อง
,วัดหนองยวง
,วัดห้วยม้าโก้ง
,วัดบ้านบวก
,วัดป่าขาม
,วัดน้ำพุ
,วัดพระคงฤๅษี
,วัดสันมะกรูด
,วัดจำขี้มด
,วัดหนองหล่ม
,วัดบ้านแวน
,วัดห้วยไซ
,วัดหนองสูน
,วัดกู่ขาว
,วัดสันเจดีย์
,วัดทาดอยคำ
,วัดปากล้อง
,วัดสะแล่ง
,วัดป่าม่วง
,วัดทาหนองยางไคล
,วัดดอยกาศ
,วัดป่าคา
,วัดป่าตึง
,วัดศรีชุม
,วัดป่าดำ
,วัดหลวง
,วัดถ้ำจอมธรรม 
,วัดรมณียาราม
,วัดร่องช้าง
,วัดมะคับตอง
,วัดดอยแดน
,วัดแพะโป่ง
,วัดบ้านป่าเป้า
,วัดก้อทุ่ง
,วัดประตูป่า
,วัดทาร้องเรือ
,วัดหนองผาขาว
,วัดผาลาด
,วัดห้วยศาลา
,วัดบ้านหวาย
,วัดศรีดอนทอง
,วัดหนองผำ
,วัดป่าลาน
,วัดต้นโชค
,วัดเจดีย์ขาว
,วัดห้วยห้าง
,วัดดอยกุศล
,วัดดอนหลวง
,วัดบ้านดงหลวง
,วัดบ้านเหล่า
,วัดมะเขือแจ้
,วัดสันริมปิง
,วัดศรีบุญยืน
,วัดศรีปิงชัย
,วัดทาดอยแก้ว
,วัดท่าตุ้ม
,วัดร้องธาร
,วัดศรีคำ
,วัดทาดอยครั่ง
,วัดห้วยแทง
,วัดป่าไม้แดง
,วัดพวงคำ
,วัดอรุณวิทยาวาส
,วัดป่าตึงงาม
,วัดหนองเรือ
,วัดป่าธรรมวิเวก
,วัดป่าธรรมาภิรมย์
,วัดป่าเส้า
,วัดแม่แสม
,วัดชัยสถาน
,วัดทุ่งยาว
,วัดศรีทรายมูล
,วัดเสาหิน
,วัดตะเคียนปม
,วัดพระพุทธบาทห้วยต้ม
,วัดดอนชัย
,วัดชัยมงคล
,วัดป่าแดด
,วัดทาทุ่งยาว
,วัดบ้านใหม่
