จังหวัด,รายชื่อวัด
ศรีสะเกษ,วัดขะยูง
,วัดสามโคกพัฒนา
,วัดบัวเตย
,วัดชำโพธิ์
,วัดมหาพุทธาราม
,วัดปราสาทใต้
,วัดโกทา
,วัดประชารังสรรค์
,วัดเกษมสุข
,วัดทองเทพ
,วัดบ้านโก
,วัดโคกกลาง
,วัดหนองดินดำ
,วัดบ้านเหม้า
,วัดปรือคัน
,วัดโนนพยอม
,วัดโพนปลัด
,วัดป่าบ้านบาก
,วัดหนองทุ่ม
,วัดขุมคำ
,วัดบ้านโดด 
,วัดจินดาราม
,วัดบ้านตรอย
,วัดสะคาม
,วัดโพธิ์
,วัดเมืองน้อย
,วัดป่าโพธิ์ศรีสุวรรณ
,วัดโพธิ์ชัย
,วัดไตรสามัคคี
,วัดสุขสวาทอารมณ์
,วัดโพธิ์ศรีโคกจาน
,วัดโนนเยาะ
,วัดแสนแก้ว
,วัดไตรราษฎร์สามัคคี
,วัดโนนหนองสิม
,วัดม่วงแยก
,วัดโนนสัง
,วัดอัมพวันธาราราม
,วัดศรีสะอาด
,วัดหนองแวง
,วัดดอนม่วง
,วัดราษฏร์ทรงธรรม
,วัดศิริวราวาส
,วัดป่าหนองไข่นก
,วัดกันจด
,วัดบ้านตูม
,วัดหนองไผ่
,วัดบ้านสมอ
,วัดสระสิม
,วัดทุ่ม
,วัดทับทิมสยาม 
,วัดทุ่งมั่ง
,วัดป่าเจริญธรรม
,วัดชัยสว่าง
,วัดบ้านเหงี่ยง
,วัดโสน
,วัดลิ้นฟ้า
,วัดขอนแต้
,วัดป่าหนองหญ้าลาด
,วัดสนาย
,วัดโนนแย้
,วัดหนองบัวคง
,วัดบ้านบัวน้อย
,วัดนิคมสายเอก
,วัดขมิ้น
,วัดหนองกาด
,วัดพระใหญ่
,วัดบ้านแขว
,วัดน้ำคำ
,วัดหนองบัวทอง
,วัดจานเลียว
,วัดนานวน
,วัดบ้านชาด-ห่องน้อย
,วัดศรีมงคลรัตนาราม
,วัดลุมพุก
,วัดหนองไฮ
,วัดบ้านอีปาด
,วัดจันทราปราสาท
,วัดสะพุง
,วัดสร้างเรือง
,วัดคอนไม้งาม
,วัดบ้านแข้
,วัดตะเคียน
,วัดหนองยาง
,วัดตาดม
,วัดเคาะ
,วัดโนนคำแก้ว
,วัดน้ำขวบ
,วัดโนนสำราญ
,วัดปราสาทศรี
,วัดเสมอใจ
,วัดบ้านรุง
,วัดนาวา
,วัดสระภู
,วัดหนองคล้า
,วัดบ้านสมัด
,วัดจานแสนไชย
,วัดผือใหม่
,วัดสมบูรณ์
,วัดเสลานาก้อก
,วัดบ้านหนองสนม
,วัดทุ่งรวงทอง
,วัดหนองสาด
,วัดหนองน้ำเต้า
,วัดป่าไผ่สามัคคี
,วัดหนองรุง
,วัดเห็ดผึ่งหนองก่าม
,วัดบ้านก่อหนองหว้า
,วัดบ้านเวาะ
,วัดบ้านศาลา
,วัดหนองเข็ง
,วัดบัวหุ่ง
,วัดระหาร
,วัดบ้านแต้
,วัดบ้านหลุบ
,วัดโนนจาน
,วัดพงพรต
,วัดศิริราษฎร์
,วัดมะพัก
,วัดบ้านโคกกลางน้อย
,วัดปรือใหญ่
,วัดบ้านเดื่อ
,วัดศรีมงคล 
,วัดบ้านชัยมงคล
,วัดป่าดงบก
,วัดทักษิณธรรมนิเวศน์
,วัดหนองคูใหญ่
,วัดน้ำอ้อม
,วัดบ้านหนามแท่ง 
,วัดแสงอรุณ
,วัดบ้านชำ
,วัดหนองอิไทย
,วัดบ้านโอ้น
,วัดละลม
,วัดสำโรงน้อย
,วัดปราสาทเยอเหนือ
,วัดบ้านเอก
,วัดโพธิ์ศรีสุธาราม
,วัดโคกโพน
,วัดโนนกางของ
,วัดบ้านทุ่ง
,วัดคล้อเกตุศิริ
,วัดกันทรอมใต้
,วัดแสงใหญ่
,วัดโพนค้อ
,วัดบ้านนกเจ่า
,วัดสะเต็ง
,วัดตาเหมา
,วัดป่าเบญจลักษ์
,วัดระเบาะ
,วัดอาหวดประชาสามัคคี
,วัดหนองโง้ง
,วัดใหม่บึงมะลู
,วัดหนองหมี
,วัดเตาเหล็ก
,วัดพะวร
,วัดบ้านแทรง
,วัดบ้านบึง
,วัดบ้านโนนค้อ
,วัดป่าสุขวราราม
,วัดโนนติ้ว
,วัดหัวดง
,วัดสร้างเหล่า
,วัดบ้านครั่ง
,วัดตะเคียนราม
,วัดบ้านคล้อ
,วัดบ้านหัววัว
,วัดหนองหญ้าปล้อง
,วัดบ้านยาง
,วัดกระเบากันตรวจ
,วัดคูซอด
,วัดหนองบัว
,วัดโนนเรือ
,วัดนกยูง
,วัดนางกว่าง
,วัดโนนใหญ่
,วัดป่าดอนเย็น
,วัดหัวสะพาน
,วัดบ้านเวียง
,วัดขามใหญ๋
,วัดนาโนน
,วัดกันทรอมอุดม
,วัดกุดเมืองฮาม
,วัดกระทิง
,วัดละเอาะ
,วัดหัวเหล่า
,วัดบ้านไทร
,วัดหนองสองห้อง
,วัดโนนดู่
,วัดกระบี่
,วัดศรีรัตนาราม
,วัดสะอาง
,วัดเขวาน้อย
,วัดสงยาง
,วัดโนนสูง
,วัดบ้านผักขย่าใหญ่
,วัดบ้านทาม
,วัดหนองคัน
,วัดอุภัยคาม
,วัดบ้านโคกสะอาด 
,วัดโพนทราย
,วัดหนองดีปลี
,วัดเสาธงชัย
,วัดบ้านหมัด
,วัดชำแสง
,วัดสะเดา
,วัดหนองกิโล
,วัดป่าบ้านกล้วย
,วัดจิกสังข์ทอง
,วัดบักดอง
,วัดจะกง
,วัดเห็นอ้ม
,วัดป่าสันตินิมิต
,วัดไฮใหญ่
,วัดบ้านหาด
,วัดกอกหวาน
,วัดบ้านเพ็ก
,วัดบ้านบก
,วัดป่าหนองโพธิ์
,วัดนาแปะ
,วัดโคกตาล
,วัดภูมิซรอล
,วัดบ้านเสียว
,วัดป่านาทุ่งเหนือ
,วัดก้านเหลือง
,วัดหนองแก้ว
,วัดศรีตาลอย
,วัดเขื่อนช้าง
,วัดหลักด่าน
,วัดหนองกกยูง
,วัดท่าสว่างอารมณ์
,วัดบ้านคอก
,วัดบ้านหน้องกก
,วัดชำแระกลาง
,วัดบ้านแขม
,วัดพิมาย
,วัดเสลาเหนือ
,วัดบ้านห้วย
,วัดกระโพธิ์เริงรมย์
,วัดบ้านโง้ง
,วัดไตรมาศ
,วัดพะแนง
,วัดบ้านสิม
,วัดจันลม
,วัดเปือย
,วัดสระกำแพงใหญ่
,วัดหนองแปน
,วัดขนาวนาวราราม
,วัดหนองกก
,วัดหนองเทา
,วัดโนนกลาง
,วัดหนองเรือ
,วัดป่าธรรมวิเวก
,วัดหนองโตน
,วัดทุ่งยาว
,วัดบ้านดู่
,วัดผักไหมใหญ่
,วัดบ้านเทิน
,วัดศรีสุมังบัวหุ่ง
,วัดผักบุ้ง
,วัดสะดำ
,วัดลุมภู
,วัดระกา
,วัดหนองอาคูณ
,วัดคูสี่แจ
,วัดโพธิ์วงศ์
,วัดศรีบึงบูรพ์
,วัดอาวอย
,วัดประชาสามัคคี
,วัดใต้
,วัดบ้านกอก
,วัดบ้านโคก
,วัดหนองงูเหลือมใต้
,วัดบ้านขนาด
,วัดบ้านหิน
,วัดหนองคู
,วัดหนองหงอก
,วัดโนนเค็ง
,วัดตระกาจ
,วัดปะโด๊ะ
,วัดโนนสำโรง
,วัดตาอุด
,วัดวังไฮ
,วัดธรรมมะประชาสันติ
,วัดบ้านทุ่ม
,วัดโนนงาม
,วัดผือเก่าธรรมาราม
,วัดบ้านสมบูรณ์
,วัดบ้านกะวัน
,วัดหนองทามใหญ่
,วัดโนนน้อย
,วัดดอนขี้มอด
,วัดขุนหาญ
,วัดบ้านแกงเลี้ยว
,วัดตาปรก
,วัดบกบ่าง
,วัดบ้านกล้วย
,วัดจำปา
,วัดบ้านง้อ
,วัดป่าบ้านด่าน
,วัดบ้านกลาง
,วัดหนองปิงโปง
,วัดไร่เจริญ
,วัดขามทอง
,วัดสิมเก่า
,วัดพะแวะ
,วัดโนนคูณ
,วัดนิวาสสุวรรณราม
,วัดเขวาธะนัง
,วัดบ้านอ้อ
,วัดกะกำ 
,วัดบ้านหนองไฮ
,วัดหนองหอย
,วัดโต่งโต้น
,วัดกัทลิวัน
,วัดโนนทราย
,วัดบึงมะลู
,วัดบ้านสนวน
,วัดปุดเนียม
,วัดบ้านแทง
,วัดทะลอก
,วัดหนองหว้า
,วัดบ้านหอย
,วัดบ้านก่อ
,วัดหนองเต่า
,วัดสระเยาว์
,วัดบ้านโต๊ะ
,วัดแสนสุขโนนตุ่น
,วัดบ้านกุดโง้ง
,วัดกระหวัน
,วัดศรีมิ่งเมือง
,วัดบ้านพลับ
,วัดโนนแดง
,วัดโพธิ์พระองค์
,วัดอ้อมแก้ว
,วัดบ้านโนนสูง
,วัดป่าไผ่เจริญสมณกิจ
,วัดหัวเสือ
,วัดบูรณ์ชัยรัตน์
,วัดโพธิ์น้อย
,วัดสำโรง
,วัดสุทธิเทพวราราม
,วัดซุงงู
,วัดค้อยางหล่อ
,วัดผักขะ
,วัดหนองสิมน้อย
,วัดบ้านเกาะเหล็ก
,วัดกระโพธิ์ช่างหม้อ
,วัดกันตรวจ
,วัดสมอ
,วัดทุ่งเลน
,วัดบ้านโนน
,วัดหนองสิมใหญ่
,วัดหนองเดียงน้อย
,วัดสังเม็ก
,วัดป่าดงลำดวน
,วัดไผ่งามสามัคคี
,วัดกันจาน
,วัดบ้านสิ
,วัดดินดำ
,วัดนิคมศีลาราม
,วัดระโยง
,วัดดงยาง
,วัดหนองระเยียว
,วัดบกขี้ยาง
,วัดดงแคง
,วัดโพธิ์ศรี
,วัดดองกำเม็ด
,วัดปะหละ
,วัดป่าพุทธศิลา
,วัดรัมมณ๊วาส
,วัดโจดนาห่อม
,วัดโคกระเวียง
,วัดท่าสว่าง
,วัดหัวขัว
,วัดทุ่งศรีนวล
,วัดเมืองจันทร์
,วัดกลางประชาสรรค์
,วัดศรีกรุง
,วัดสวัสดี
,วัดนิคมซอย 
,วัดรังแร้ง
,วัดไพรบึง
,วัดจันทอง
,วัดบ้านเกาะ
,วัดหนองสังข์
,วัดโพธิ์งาม
,วัดเกียรติแก้วสามัคคี
,วัดศรีแก้ว
,วัดบ้านอี่เซ
,วัดบ้านซ่ง
,วัดโนนสำเริง
,วัดบ้านผักแว่น
,วัดโนนแก
,วัดเหล่าแค
,วัดปลาซิว
,วัดศรีอุทุมพร
,วัดมะหลี่
,วัดทุ่งโพธิ์
,วัดปลาขาว
,วัดบ้านขะยูง
,วัดบ้านผึ้ง
,วัดบ้านเปลือย
,วัดโศกขามป้อม
,วัดโซงเลง
,วัดเมืองเก่า
,วัดตาเอก
,วัดจานบัว
,วัดหัวนา
,วัดบ้านซำ
,วัดแคนใหญ่
,วัดบ้านปุน
,วัดบ้านหนองมะเกลือ
,วัดส้มป่อยน้อย
,วัดดอนงูเหลือม
,วัดจำนรรค์
,วัดน้ำเย็น
,วัดหนองแคน
,วัดสร้างเรือ
,วัดโพนทอง
,วัดโพนเมือง
,วัดป่าบ้านกลาง
,วัดบัวระรมย์
,วัดกุดโง้ง
,วัดหมากเขียบ
,วัดบุเดื่อ
,วัดโนนเปือย
,วัดบ้านจอก
,วัดสำโรงสูง
,วัดหนองเหล็ก
,วัดบ้านโพง
,วัดสำโรงปราสาท
,วัดยางเอือด
,วัดบ้านกระจ๊ะ
,วัดเมืองแคนน้อย
,วัดปราสาทเยอใต้
,วัดสว่างกงพาน
,วัดโพธิ์ศรีก้านเหลือง
,วัดพระธาตุศรีโสภณ
,วัดบ้านจาน
,วัดหนองผือ
,วัดโพนข่า
,วัดศรีตระกาจ
,วัดเสื่องข้าว
,วัดตาโกน
,วัดเจียงวง
,วัดนารังกาวราราม
,วัดโนนแกด
,วัดบ้านเหรียญทอง
,วัดบ้านตลาด
,วัดหนองสวง
,วัดป่าศิลาลาด
,วัดปลาเดิด
,วัดเพียนาม
,วัดสวาย
,วัดโนนสาย
,วัดบ้านจิก
,วัดหนองเข็ง 
,วัดพันลำ
,วัดสวนกล้วย
,วัดโนนม่วง
,วัดหนองนาเวียง
,วัดบ้านผือ
,วัดหนองขวาง
,วัดบ้านตัง
,วัดเขียนบูรพาราม
,วัดศรีขุนหาญ
,วัดพวงพยอม
,วัดหนองบัวไชยวาน
,วัดธาตุน้อย
,วัดกลาง
,วัดตะดอบ
,วัดบ้านด่าน
,วัดหนองเม็ก
,วัดยางชุมใหญ่
,วัดบ้านงิ้ว
,วัดหนองเลิง
,วัดหญ้าปล้อง
,วัดเมืองคง
,วัดศิวาลัย
,วัดญาณสามัคคี
,วัดศาลา
,วัดโพธิ์ศรีหนองกก
,วัดหนองห้าง
,วัดมะกรูด
,วัดบ้านตะแบง
,วัดเขวิก
,วัดทางสาย
,วัดเจียงอีศรีมงคลวราราม
,วัดบ้านเขวา
,วัดอะลาง
,วัดบ้านกอย
,วัดตาเบ๊าะเกษมงคล
,วัดหนองหิน
,วัดบ้านเชือก
