จังหวัด,รายชื่อวัด
สกลนคร,วัดสว่างสามัคคี
,วัดม่วงคำ
,วัดสระพังทอง
,วัดจินดามณี
,วัดวีระธรรม
,วัดป่าหนองไผ่
,วัดมาลานิมิตร
,วัดวระแวดล้อม
,วัดประชารังสรรค์
,วัดป่านาผาง
,วัดบ้านนาอ้อย 
,วัดสว่างภูมิดล
,วัดศิริมังคละ
,วัดโพธิสมพร
,วัดดงชน 
,วัดนาบุญ
,วัดศรีสว่างแดนดิน
,วัดอินทรไชยวาสี
,วัดทุ่งถาวร
,วัดป่ากลางโนนภู่
,วัดโพธิ์ชัย
,วัดสันติวนาราม
,วัดคีรีวิหาร
,วัดสว่างโพนทอง
,วัดเจริญศรี
,วัดสีตวารีราม
,วัดอินทรังสฤษฏิ์
,วัดคอนสวรรค์
,วัดเวฬุวันสว่างธรรม
,วัดศรีสวาส
,วัดป่าภูไทสามัคคี
,วัดท่าช้างวัฒนาราม
,วัดสุทธานิวาส 
,วัดทรายศรี
,วัดป่าพุทธรักษา
,วัดไตรทอง
,วัดวาน้อย
,วัดโพนยางคำ
,วัดอาจาโรรังสี
,วัดนาโพธิ์
,วัดทันสมัย
,วัดบ้านบ่อพังแคน
,วัดศรีสะอาด
,วัดสมสะอาด
,วัดจำปาศิลาวาส
,วัดเวฬุวัน
,วัดหนองไผ่
,วัดขัวสูง
,วัดศร่างโศก
,วัดป่าราษฏร์สามัคคี
,วัดกวนบุ่น
,วัดพันธ์ประดิษฐ
,วัดจันตะคาม
,วัดพวงชมพู 
,วัดป่าวาใหญ่
,วัดศิริมงคล 
,วัดหนองบัวใหญ่
,วัดโพนธรรม
,วัดป่าภูธรพิทักษ์
,วัดดงสวรรค์
,วัดกุดยางชุม
,วัดหนองเค็ม
,วัดประสิทธิ์สามัคคี
,วัดรัฐภูมิ
,วัดสุพรรณหงษ์วนาราม
,วัดป่าหนองบัวสิม
,วัดโนนเจริญธรรม
,วัดเหล่ามะแงว
,วัดไตรแก้ว
,วัดบัวระพา
,วัดศรีสะอาดดำรงค์ธรรม
,วัดสุมังคลาราม
,วัดศรีชมพู
,วัดพระธาตุดุม
,วัดศรีวิไลวโรดม
,วัดสร้างแก้วน้อย
,วัดป่าบุญไสว
,วัดคามวาสี
,วัดคูสนาม
,วัดภูกำพร้าเทพนิมิต
,วัดสะพานศรี
,วัดไตรมิตรวิทยาราม
,วัดหนองสลาม
,วัดอ่างข้าวทิพย์
,วัดอุตรดาราม
,วัดคำเจริญวราราม
,วัดสุภบุปผาราม
,วัดหนองปลิงพุ่ม
,วัดแสนสำราญ
,วัดจันทรนิมิต
,วัดสุวรรณสามัคคี
,วัดศรีวิไลย์
,วัดโนนฤๅษี
,วัดโพธิ์ศรีสะอาด
,วัดป่าดอนประดู่
,วัดราษฏร์นิยม
,วัดไผ่ล้อม
,วัดธรรมสมโพธิ์
,วัดนาม่องดงนิมิตร
,วัดท่าวังหิน
,วัดสันติสังฆาราม
,วัดหนองนกกด
,วัดโพนแร่
,วัดบ้านดงพัฒนา
,วัดสว่างเชิงดอย
,วัดหนองลาด
,วัดป่าศรีวิชัย
,วัดป่าบ้านไร่
,วัดบูรพาภิรมณ์
,วัดโนนวิเวกศรีเมือง
,วัดสุรินทร์ราษฏร์
,วัดบ่อร้าง 
,วัดบัวศรี
,วัดสระแก้ววารีราม
,วัดบ้านเดื่อ
,วัดศิริวราราม
,วัดอรุณแสงทอง
,วัดธรรมิการาม
,วัดแสงอรุณ
,วัดป่าโชคไพศาล
,วัดเจริญพัฒนา
,วัดแก้งคอย
,วัดโพนบก 
,วัดสระเกษ
,วัดโนนเดื่อดอนทุ่ม
,วัดทุ่งมนศิริพลเมือง
,วัดไตรภูมิ
,วัดศิริทรงธรรม
,วัดดงภูทอง
,วัดบะหัวเมย
,วัดธรรมนิเวศวนาราม
,วัดใหม่อินทร์ภูมิ 
,วัดโพนค้อ
,วัดเชิงดอย
,วัดบุราณเรือง
,วัดแจ้งวิสุทธาราม
,วัดจูมศรี
,วัดโคกสะอาด
,วัดดงหม้อทอง
,วัดสุวรรณวิสุทธาราม
,วัดโพนสว่าง
,วัดอุดมสังวร
,วัดถ้ำผาแด่น
,วัดธรรมบวร
,วัดโพธิ์คำ
,วัดป่าศรีเรือน
,วัดโคกนาดี
,วัดเทพวิสุทธาราม
,วัดแก้งท่าลับ
,วัดท่าสาด
,วัดศิริพัฒนาราม 
,วัดโพนไฮสามัคคีอุดม
,วัดพรหมศรีธาตุ
,วัดยางโล้น
,วัดโพนงาม 
,วัดศิริชัยมงคล
,วัดเกาะแก้ววราราม
,วัดแจ้ง
,วัดพรสวรรค์
,วัดป่าโนนสูง
,วัดบ้านแมด
,วัดสอนประชาราม
,วัดท่าลาด 
,วัดวรกิจพัฒนาราม
,วัดดงมะไฟ
,วัดเจริญราษฏร์บำรุง
,วัดถํ้าพระนาใน
,วัดบ้านบัว
,วัดวงค์ศรีดาราม
,วัดสว่างอารมย์
,วัดโพธิ์ชัยวิทยาราม
,วัดดอนธาตุวิลัย
,วัดศรีสระเกษ
,วัดศรีคำเม็ก
,วัดคำปลาฝา
,วัดศรีรัตนโนนกุง
,วัดกกส้มโฮง
,วัดอินทสุวรรณ
,วัดป่าอุดมธรรมมงคล
