จังหวัด,รายชื่อวัด
สงขลา,วัดโคกนาว
,วัดไทรทอง
,วัดบ่อแดง
,วัดมงคลนิมิต
,วัดม่วงค่อม
,วัดห้วยพุด
,วัดสะกอม
,วัดเอก
,วัดอ่าวบัว
,วัดหลักเขต
,วัดสามบ่อ
,วัดหัวเค็ด
,วัดคลองยอ
,วัดพรุเตาะ
,วัดชูนวลรัตนาราม
,วัดดีหลวงนอก
,วัดโพธิธรรมาราม
,วัดเขารูปช้าง
,วัดโพธิ์
,วัดนาม่วง
,วัดวังปริง
,วัดพังยาง
,วัดอมฤตวราราม
,วัดช่องเขา
,วัดโคกเหรียง
,วัดดอกสร้อย
,วัดชัยชนะสงคราม 
,วัดไทรใหญ่
,วัดคลองแห
,วัดสุริยาราม
,วัดน้ำกระจาย
,วัดยางทอง
,วัดทุ่งแนะ
,วัดทรายขาว
,วัดพรุตู
,วัดเขารักเกียรติ
,วัดเขากลอย
,วัดโพธิ์กลาง
,วัดห้วยลาด
,วัดคงคาเลี้ยว
,วัดคลองคล้า
,วัดท่าประดู่
,วัดศาลาโพธิ์
,วัดราชมานิตสถิตมหาธาตุเจดีย์ศรีทักษิณ
,วัดสะบ้าย้อย
,วัดพุทธฤทธิ์วนาราม
,วัดลำพดจินดาราม
,วัดเชิงแสกลาง
,วัดศาลาหลวงบน
,วัดสิกขาราม
,วัดพิกุล
,วัดศรีวิเทศสังฆาราม
,วัดทุ่งโตนด
,วัดผาสุกาวาส 
,วัดศาลาหลวงล่าง
,วัดบ่อระกำ
,วัดโรง
,วัดกลาง
,วัดวาส
,วัดบ้านลุ่ม
,วัดหงษ์ประดิษฐาราม
,วัดขุนทอง
,วัดพุทธิการาม
,วัดปานศึกษาธิการาม
,วัดโคกเปี้ยว
,วัดบางเหรียง
,วัดเลียบ
,วัดโคกโพธิ์
,วัดทับช้าง
,วัดบ่อทราย
,วัดบ่อบัวแก้ว
,วัดควนขัน
,วัดหัวป่า
,วัดอัมพวัน
,วัดทุ่งลุง
,วัดควนลัง
,วัดเจริญภูผา
,วัดนาเจริญ
,วัดผักกูด
,วัดสลักป่าเก่า
,วัดทุ่งปรือ
,วัดคลองเป็ด
,วัดภูตบรรพต
,วัดกอบกุลรัตนาราม
,วัดปลักหนูใต้
,วัดเขาตกน้ำ
,วัดนิคมประสาท
,วัดในวัง
,วัดบ่อทอง
,วัดลำไพล
,วัดรัตนาราม
,วัดท่านางหอม
,วัดเจริญราษฎร์
,วัดเพชรมงคล
,วัดน้ำขาวนอก
,วัดสุวรรณาราม
,วัดป่ารัตภูมิ
,วัดแหลมทราย
,วัดทุ่งพระ
,วัดปาดัง
,วัดประดู่หอม
,วัดบ่อปาบ
,วัดแม่ลาด
,วัดสนธิ์
,วัดรัตภูมิธรรมาวาส
,วัดควนนาหว้า
,วัดคลองรี
,วัดบางธน
,วัดท่าเมรุ
,วัดบ่อหว้า
,วัดโรงวาส
,วัดบ้านขาว
,วัดพังกก
,วัดโคกกอ
,วัดท่าหิน
,วัดแพรกสุวรรณ
,วัดนาปรังประชาราม
,วัดอินทราวาส
,วัดบ่อป่า
,วัดบ้านกรอบ
,วัดทุ่งบัว
,วัดคูวา
,วัดหาดใหญ่สิตาราม
,วัดจังโหลน
,วัดบางดาน
,วัดห้วยขันประชาราม
,วัดเกาะ
,วัดปลักคล้า
,วัดสนามชัย
,วัดบ้านเก่า
,วัดพระเจดีย์งาม
,วัดกระดังงา
,วัดน้ำขาวใน
,วัดเนินพิชัย
,วัดแสงอรุณ
,วัดสะพานไม้แก่น
,วัดคลองเขาล้อน
,วัดประดู่
,วัดเสื้อเมือง
,วัดเนินพิจิตร
,วัดป่ากันตพงษ์
,วัดสระเกษ
,วัดแหลมวัง
,วัดนารังนก
,วัดบุญศิริประชาชื่น 
,วัดป้าแจ้งแก้ว
,วัดโคกนา
,วัดท้ายยอ
,วัดนิคมเทพา
,วัดสืบสุข
,วัดขุนตัดหวาย
