จังหวัด,รายชื่อวัด
สมุทรสงคราม,วัดบางน้อย
,วัดศรีศรัทธาธรรม
,วัดบางกล้วย
,วัดโคกเกตุบุญญศิริ
,วัดไทร
,วัดคลองโคน
,วัดช่องลม
,วัดบางนางจีนกลาง
,วัดบางขันแตก
,วัดดาวดึงษ์
,วัดเขายี่สาร
,วัดบางพรหม
,วัดพระยาญาติ
,วัดสวนหลวง
,วัดธรรมาวุธาราม
,วัดราษฎร์บูรณะ
,วัดละมุด
,วัดสวนแก้วอุทยาน
,วัดท้ายหาด
,วัดบางแคน้อย
,วัดมณีสรรค์
,วัดบางแคกลาง
,วัดบางแก้ว
,วัดสี่แยกราษฎร์บำรุง
,วัดบางกุ้ง
,วัดธรรมนิมิตร
,วัดบางสะแก
,วัดปราโมทย์
,วัดน้อยแสงจันทร์
,วัดตะโหนดราย
,วัดเพชรสมุทรวรวิหาร
,วัดบางแคใหญ่
,วัดบางคนทีใน
,วัดเกาะใหญ่
,วัดดาวโด่ง
,วัดบางกะพ้อม
,วัดเพิ่มพูนสามัคคีธรรม
,วัดปากน้ำ
,วัดวรภูมิราษฎร์บำรุง
,วัดจุฬามณี
,วัดเจริญสุนทราราม
,วัดบางวันทอง
,วัดบางเกาะเทพศักดิ์
,วัดบางพลับ
,วัดบางจะเกร็ง
,วัดช่องลมวรรณาราม
,วัดปรกสุธรรมาราม
,วัดประดู่
,วัดวชิรคาม
,วัดทุ่งเศรษฐี
,วัดธรรมประดิษฐ์
,วัดโรงธรรม
,วัดแก้วเจริญ
,วัดศรีสุวรรณคงคาราม
,วัดคลองขุดเล็ก
,วัดเกษมสรณาราม
,วัดประชาโฆสิตาราม
,วัดเจริญรัตนาราม
,วัดปากง่าม
,วัดสินวิเศษศรัทธาราม
,วัดอมรเทพ
,วัดโบสถ์
,วัดเสด็จ
,วัดธรรมประสิทธิ์
,วัดอลงกรณ์
,วัดเกตการาม
,วัดนางวัง
,วัดบุญนาคประชาสรรค์
,วัดอมรวดี
,วัดภุมรินทร์กุฎีทอง
,วัดนางพิมพ์
,วัดศรัทธาธรรม
,วัดเกาะแก้ว
,วัดปรกราษฎร์รังสฤษฏ์
,วัดแม่น้ำ
,วัดโพงพาง
,วัดป้อมแก้ว
,วัดลาดเป้ง
,วัดบางใหญ่
,วัดอินทาราม
,วัดเหมืองใหม่
,วัดตรีจินดาวัฒนาราม
,วัดบางประจันต์
,วัดท้องคุ้ง
,วัดบุญชูภาวนาราม
,วัดลาดใหญ่
,วัดพวงมาลัย
,วัดบางนางลี่ใหญ่
,วัดดอนมะโนรา
,วัดปากลัด
,วัดนางตะเคียน
,วัดบางคนทีนอก
,วัดเทพประสิทธิ์คณาวาส
,วัดปากสมุทร
,วัดคู้สนามจันทร์
,วัดสาธุชนาราม
,วัดวังทองเวฬุวัน
,วัดธรรมสถิติ์วราราม
,วัดแก้วฟ้า
,วัดแว่นจันทร์
,วัดโพธิ์งาม
,วัดกลางเหนือ
,วัดเจริญสุขารามวรวิหาร
,วัดช้างเผือก
,วัดอัมพวันเจติยารามวรวิหาร
,วัดราษฎร์วัฒนาราม
,วัดประทุมคณาวาส
,วัดใหญ่
,วัดจันทร์เจริญสุข
,วัดพักตราราม
,วัดลังกา
,วัดหนองกระพง
,วัดแก่นจันทน์เจริญ
