จังหวัด,รายชื่อวัด
สระบุรี,วัดเขาพลัด
,วัดโพนทอง
,วัดป่าดำรงธรรม
,วัดท่าวัว
,วัดหนองแร่
,วัดบุใหญ่
,วัดหนองกรดสามัคคี
,วัดโคกกลาง
,วัดผังพัฒนาราม
,วัดบ้านครัว
,วัดหินซ้อนใต้
,วัดบางขวัญ
,วัดบางกง
,วัดคั่นตะเคียน
,วัดซับบอน 
,วัดหนองขนาก
,วัดบ่อพระอินทร์
,วัดหนองอ่างทอง
,วัดนาบุญ
,วัดใหม่สุวรรณโน
,วัดภิบาลวังม่วง
,วัดมุจลินทสราราม
,วัดโพธิ์
,วัดพระยาทด
,วัดสุนทรเทพมุนี 
,วัดท่าเกวียน
,วัดหลังสวน
,วัดหาดเล็บยาว
,วัดหนองโพธิ์
,วัดบ้านจาน
,วัดตาลเดี่ยว
,วัดบ้านซุ้ง
,วัดนิคมเขมาราม
,วัดหนองกระทุ่ม
,วัดนิคมวาสี
,วัดสูงยาง
,วัดนายาว
,วัดซอยสี
,วัดศรัทธาประชากร
,วัดหน้าพระลาน
,วัดใหม่โพธิ์งาม
,วัดท่าศรีโพธิ์ใต้
,วัดซับบอน
,วัดเขาหินดาด
,วัดสายตรี
,วัดปากบาง
,วัดศรีจอมทอง
,วัดเกตุแก้ว
,วัดโคกงาม
,วัดเขาดิน
,วัดป่าสัก
,วัดห้วยทองหลาง
,วัดป่าไผ่
,วัดมงคลชัยพัฒนา
,วัดเพลียขวา
,วัดโคกกุ่ม
,วัดปากข้าวสารเหนือ
,วัดคำพราน
,วัดซับตะเคียน
,วัดหนองตาบุญ
,วัดขอนหอม
,วัดศรีบุรีรตนาราม
,วัดสุนันทาราม
,วัดพระพุทธบาทน้อย
,วัดหนองตาเดี้ยง
,วัดโคกดินแดง
,วัดหนองแก
,วัดตลิ่งชัน
,วัดท่าเดื่อ
,วัดหนองโดน
,วัดหนองหมูใต้
,วัดสวนกล้วย
,วัดท่าระหัด
,วัดโปร่งเก่า
,วัดพุทธนิคม
,วัดหนองหลัว
,วัดสวนดอกไม้
,วัดท่าราบ
,วัดเขานมนาง
,วัดห้วยคงคาวราวาส
,วัดปากข้าวสารใต้
,วัดหนองจอกใหญ่
,วัดตาลเสี้ยน
,วัดท่ากระเบา
,วัดหินซ้อนเหนือ
,วัดเขาลาดวนาราม
,วัดเทพประทาน
,วัดโปร่งหัวถนน
,วัดบ้านอ้อย
,วัดเขาแก้ววนารามล
,วัดซับขาม
,วัดหนองพันเรือ
,วัดโคกโพธิ์
,วัดโพธิ์ทอง
,วัดซับดินดำ
,วัดหนองกบ
,วัดอัมพวัน
,วัดหนองจอกน้อย
,วัดมะกรูด
,วัดเขาบรเพ็ด
,วัดปัญจาภิรมย์
,วัดแก่งป่าสัก
,วัดหนองพระบาง
,วัดศรีนิคมาราม
,วัดพุคำบรรพต
,วัดโคกใหญ่
,วัดร่องแซง
,วัดป่ามหาวีรวงศ์
,วัดหนองมน
,วัดเชิงราก
,วัดพุแค
,วัดซอย 
,วัดถ้ำประกายแก้ว
,วัดปรางคล้อ
,วัดถ้ำดาวเขาแก้ว
,วัดทองย้อย
,วัดสหมิตรมงคล
,วัดทองพุ่มพวง
,วัดไผ่ล้อม
,วัดสุนทริกาวาส
,วัดหนองคล้า
,วัดสามัคคีธรรม
,วัดคลองไผ่สามัคคีธรรม
,วัดหนองสมัคร
,วัดเขาไกรลาศ
,วัดเสนานฤมิตร
,วัดดาวเรือง
,วัดบ้านคลอง
,วัดเขาดินใต้
,วัดกุดนกเปล้า
,วัดสวนมุตโตทัย
,วัดถ้ำเจริญสุข
,วัดนาร่อง
,วัดราษฎร์สามัคคี
,วัดราษฎร์เจริญ
,วัดหนองสองตอน
,วัดซับสนุ่น
,วัดบ้านโพธิ์
,วัดเนินยาว
,วัดโคกหนามแท่ง
,วัดซับลำใย
,วัดสหกรณ์รังสรรค์
,วัดโสรกโขมง
,วัดซับเหว
,วัดชัยเฉลิมมิตร
,วัดซอยสิบ
,วัดหนองกระธาตุ
,วัดม่วงหวาน
,วัดบ่อวงครุ
,วัดบำเพ็ญบุญ
,วัดหนองเขื่อนช้าง
,วัดคลองไทร
,วัดบ้านดอน
,วัดเหวลาด
,วัดบ้านช่องใต้
,วัดหนองถ่านใต้
,วัดถ้ำเต่า
,วัดมณีโชติ
,วัดมวกเหล็กใน
,วัดแสลงพัน
,วัดบ้านลาด
,วัดชำผักแพว
,วัดโกมลกิตติ
,วัดโคกเสลา
,วัดประดู่
,วัดจันทบุรี
,วัดกองทองสว่างอารมณ์
,วัดบ้านป่า
,วัดอรัญญวาสี
,วัดเจ้าฟ้า
,วัดประดิษฐ์ธรรม
,วัดโคกน้อย
,วัดป่าสว่างบุญ
,วัดหนองนาค
,วัดหนองเขศรีมงคล
,วัดดงสัก
,วัดโคกสะอาด
,วัดป่าดงพญาเย็น
,วัดพุซาง
,วัดหนองกีบม้า
,วัดหนองน้ำสร้าง
,วัดหนองบอน
,วัดบ้านบึง
,วัดมวกเหล็กนอก
,วัดโป่รงสว่าง 
,วัดนาดี
,วัดหนองฟ้าเลื่อน 
,วัดหนองโนเหนือ
,วัดช้าง 
,วัดกัลยาณบรรพต
,วัดป๊อกแป๊ก
,วัดวังกวาง
,วัดตะเฆ่
,วัดพะเยาว์
,วัดงิ้วงาม
,วัดหนองหญ้าปล้อง
,วัดบ้านยาง
,วัดปึกสำโรง
,วัดธรรมเสนา
,วัดทับกวาง
,วัดหนองเอี่ยว
,วัดหนองพลับ
,วัดหนองบัว
,วัดไผ่หลิ่ว 
,วัดโคกกระต่าย
,วัดหนองขริ้น
,วัดถ้ำญาณสังวร
,วัดหนองปลากระดี่
,วัดบึงไม้
,วัดหนองน้ำเขียว
,วัดท่ามะปราง
,วัดซับชะอม
,วัดป่าเกษม
,วัดบ้านรี
,วัดถ้ำธรรมโอสถ
,วัดสิทธิราช
,วัดซับครก
,วัดส้มป่อย
,วัดหนองยาวสูง
,วัดหนองกวางโจน
,วัดบ้านขาม
,วัดกลุ่มพระบาท
,วัดคลองยาง
,วัดหนองสุทธะ
,วัดไก่เส่า
,วัดคลองม่วงเหนือ
,วัดหนองครก
,วัดหนองผักชีใต้
,วัดพุคำจาน
,วัดหนองสองห้อง
,วัดห้วยทราย
,วัดหนองปลิง
,วัดโคกมะตูม
,วัดป่าลานหินดาด
,วัดสนมไทย
,วัดลาดเขาปูน
,วัดหัวถนน
,วัดนิคมพัฒนา
,วัดสวนทองรวมมิตร
,วัดเสาไห้
,วัดหนองกะทะ
,วัดดงมณี
,วัดคำใหญ่
,วัดดงน้ำฉ่า
,วัดคลองห้า 
,วัดป่าแหน
,วัดใหม่สามัคคี
,วัดถ้ำวิมานแก้ว
,วัดแก่งคอย
,วัดโบสถ์แจ้ง
,วัดคลองหัวช้าง
,วัดซับกระดาน
,วัดใหม่เทพนิมิตร
,วัดราษฎร์บำรุง
,วัดพุกร่าง
,วัดกุ่มหัก
,วัดหนองปลาหมอ
,วัดป่าคา
,วัดหนองตอตะเคียน
,วัดเขาวง
,วัดวังแพ
,วัดบ้านน้อย
,วัดขอนชะโงก
,วัดเกาะแก้วอรุณคาม
,วัดหนองน้อย
,วัดพรหมประสิทธิ์
,วัดห้วยบุญ
,วัดแพะโคก
,วัดท่าช้างเหนือ
,วัดหนองใหญ่
,วัดสองคอนเหนือ
,วัดธนพัฒนาราม
,วัดม่วงงาม
,วัดดาวเสด็จ
,วัดโคกกะพี้
,วัดป่าศรีอุทุมพร
,วัดสองคอน
,วัดศรีเทพนิมิตวนาราม
,วัดท่าช้างใต้
