จังหวัด,รายชื่อวัด
สุพรรณบุรี,วัดบ้านสันดอน
,วัดใหม่พิบูลย์ผล
,วัดใหม่พิณสุวรรณ
,วัดช่องลม
,วัดปทุมวนาราม
,วัดจรรย์
,วัดหนองขาม
,วัดหนองสังข์ทอง
,วัดน้อย
,วัดทุ่งกระเจ็ด
,วัดลำพันบอง
,วัดอู่ทอง
,วัดหน่อพุทธางกูร
,วัดรางเทียน
,วัดพุน้ำร้อน
,วัดโคกยายเกตุ
,วัดสังฆจายเถร
,วัดโคกสำโรง
,วัดปฐมเจดีย์
,วัดหลักเมตร 
,วัดถั่ว
,วัดร่มโพธิ์ทอง
,วัดท่าไชย
,วัดแก้วตะเคียนทอง 
,วัดอนัมนิกายเฉลิมพระชนมพรรษากาล 
,วัดพลับพลาไชย
,วัดห้วยคู้
,วัดบางบอน
,วัดโคกเจ็ดลูก
,วัดแจงงาม
,วัดนรรัตนาราม 
,วัดห้วยวันดี
,วัดป่าสะแก
,วัดหนองโพธิ์
,วัดดอนบุบผาราม
,วัดหนองกระทุ่ม
,วัดปลายนาป่ามะม่วง
,วัดสวนแตง
,วัดปู่บัว
,วัดปทุมสราวาส
,วัดชีธาราม
,วัดทองขาหย่าง
,วัดไผ่ขาด
,วัดท่าโป่งพุทธาราม
,วัดโบสถ์วิทยาคาร
,วัดปู่เจ้า
,วัดเขาดิน
,วัดห้วยม้าลอย
,วัดดารา
,วัดหนองไผ่
,วัดพระธาตุ
,วัดแก้ว
,วัดท่าพิกุลทอง
,วัดท่ามะนาว
,วัดจิกรากข่า
,วัดหนองอีเปาะ
,วัดฉวาก
,วัดทับละคร
,วัดท่ากุ่ม
,วัดท่าเดื่อ
,วัดป่าพฤกษ์
,วัดลำพระยา
,วัดชัฏดงคำ
,วัดดงขี้เหล็ก
,วัดบ่อคู่
,วัดยางนอน
,วัดโรงช้าง
,วัดห้วยด้วน
,วัดทับผึ้ง
,วัดกลาง
,วัดบ้านด่าน
,วัดทองประดิษฐ์
,วัดทุ่งอุทุมพร
,วัดสุวรรณนาดี 
,วัดใหม่บำรุงธรรม
,วัดหนองบัวทอง
,วัดศรีประทุนทอง
,วัดท่าประชาสรรค์
,วัดใหม่ชัยมงคล
,วัดเขากุฏิ
,วัดหนองเฝ้า
,วัดกาญจนาราม
,วัดหนองพันเทา
,วัดโนนหนองแปน
,วัดลาดหอย
,วัดลานคา
,วัดคลองตัน
,วัดโคกโพธิ์
,วัดคลองโมง
,วัดโพธิ์ทอง
,วัดไผ่โรงวัว
,วัดสาลี
,วัดอัมพวัน
,วัดกงจักร
,วัดทุ่งเข็น
,วัดท่าเจริญ
,วัดหนองแขม
,วัดไทรย์
,วัดสามเอก
,วัดหนองตาลัย
,วัดหนองตาแก้ว
,วัดลาดบัวหอม 
,วัดเขาใหญ่
,วัดดงพิกุล
,วัดไผ่เดี่ยว
,วัดหนองหิน
,วัดศรีทรงธรรม
,วัดดอนกระรอก
,วัดศิริวรรณาราม
,วัดคลองชะอม
,วัดโบสถ์ดอนลำแพน
,วัดบวรศิริธรรม
,วัดประตูสาร
,วัดกำมะเชียร
,วัดสามทอง
,วัดตะลุ่ม
,วัดปทุมสูตยาราม
,วัดสามัคคีธรรม
,วัดสระยายโสม
,วัดนิเวศน์ปวราราม
,วัดศรีพร
,วัดรางบัว
,วัดคีรีเจริญผล
,วัดหนองกรับ
,วัดคูบัว
,วัดห้วยเจริญ
