จังหวัด,รายชื่อวัด
สุราษฎร์ธานี,วัดท่าอู่
,วัดพระเจดีย์แหลมสอ
,วัดศานติไมตรี
,วัดเขากุมแป
,วัดถ้ำสมิงพราย 
,วัดสระเกศ
,วัดเนาวรัตนาราม
,วัดกรวด
,วัดเววน
,วัดอุทัยชนาราม 
,วัดวิโรจนาราม
,วัดสันติคีรีรมย์
,วัดสโมสร
,วัดบ้านควนยอ 
,วัดบางพลา
,วัดปลายศอก 
,วัดทุ่งรังพิพัฒน์ประชาราม 
,วัดแสงประดิษฐ์
,วัดโพธิ์
,วัดเขากอม
,วัดวิภาวดีรังสิต 
,วัดภูธรอุทิศสิทธาราม
,วัดคีรีไพรสณฑ์
,วัดสระพัง
,วัดสมัยคงคา
,วัดคลองฉนวน
,วัดหน้าพระลาน
,วัดบางใบไม้
,วัดบางบุตรศรีวนาราม 
,วัดบ้านใน
,วัดพุทธบูชา
,วัดอัมพาวาส
,วัดบางขยาราม
,วัดอุดมศรัทธาราม(วัดแม่แขก
,วัดชัยธาราวาส
,วัดวิภาวดีรังสิต
,วัดรัตนธรรมาราม
,วัดชลธาร
,วัดนิคมคณาราม
,วัดสุทธาวาส
,วัดควนศรี
,วัดดอนยาง
,วัดวิภาวดีกาญจนา
,วัดธารน้ำไหล 
,วัดน้ำหัก
,วัดคงคาล้อม
,วัดพ่วง
,วัดโคกตะไคร้
,วัดศรีเวียง
,วัดนันทาราม
,วัดพระใหญ่
,วัดเทพนิมิตวนาราม 
,วัดนาพอ
,วัดสุมังคลาราม
,วัดกาญจนาราม
,วัดเกาะเจริญสันติธรรม
,วัดคลองตาล
,วัดกลางวนาราม 
,วัดสุธาฤดีวนาราม 
,วัดตรณาราม
,วัดอัมพวัน
,วัดมัชฌิมาราม
,วัดพุมเรียง
,วัดคงคาราม
,วัดท่าเจริญ
,วัดวิเวการาม
,วัดป่าท่าไท 
,วัดนางห้า
,วัดโมกขธรรมาราม 
,วัดอภัยเขตตาราม
,วัดอนุสรณ์สังฆาราม 
,วัดสมัยสุวรรณ
,วัดไกรสร
,วัดท่าทองใหม่
,วัดรัตนาราม
,วัดเขาถ้ำธรรมอุทัย
,วัดหัวหมาก
,วัดมูลเหล็ก
,วัดใหม่ลานทะเล
,วัดสุคนธาราม
,วัดเขาพระอานนท์
,วัดสวาดวนาราม 
,วัดท้องอ่าว
,วัดสามัคคีธรรม
,วัดสนธิ์
,วัดถ้ำสิงขร
,วัดแหลมไผ่
,วัดพะแสง
,วัดกันตาราม
,วัดพระโยค
,วัดโพธิ์นิมิต
,วัดตาขุน
,วัดเวียง
,วัดวชิราราม
,วัดธรรมประดิษฐ์ 
,วัดนิกรประสาท
,วัดจันทร์ประดิษฐาราม
,วัดดอนเสาธง
,วัดราษฎร์เจริญ
,วัดสวนหมี 
,วัดป่าเคียนพิงธรรมเจดีย์ 
,วัดสารวนาราม
,วัดฑีฆาราม
,วัดประสพ
,วัดซอยสิบ
,วัดอรัญญาราม
,วัดพุทธเจดีย์ 
,วัดวิชิตดิตถาราม
,วัดตะกรบ
,วัดคีรีธรรมาราม 
,วัดเทพธาราราม 
,วัดเขานิพันธ์
,วัดดอนธูป 
,วัดราชธรรมาราม
,วัดห้วยกรวด
,วัดควนทองธรรมาราม 
,วัดพังกาญจน์
,วัดพนม
,วัดเวียงสระ
,วัดชโลตมาราม
,วัดเขานางเภา
,วัดศรีสุวรรณาราม
,วัดเสริมนิมิต
,วัดย่านดินแดง
,วัดบ้านนา
,วัดวิสุทธิชลาราม
,วัดเขาถ้ำพระ 
,วัดบ่อมะปริง
,วัดบุณฑริการาม
,วัดสว่างอารมณ์ 
,วัดบางมะเดื่อ
,วัดคลองปราบกัลยาราม
,วัดปาลิไลยก์
,วัดโฉลกศิลาราม
,วัดนาตาดี
,วัดหน้าเขา 
,วัดศรีน้อย
,วัดควนท่าแร่
,วัดสองแพรก
,วัดสันติวราราม
,วัดถ้ำวราราม
,วัดหัวเตย
,วัดศรีธนู
