จังหวัด,รายชื่อวัด
สุโขทัย,วัดไสยาศน์
,วัดแม่ราก
,วัดไพรงาม
,วัดคลองวังทอง
,วัดถ่ำแม่ย่า
,วัดบึงสวย
,วัดตอสัก
,วัดเนินยาง
,วัดหาดสูง
,วัดวังน้ำขาว
,วัดเขาพระบาทน้อย
,วัดท่าชุม
,วัดป่าถ่อน
,วัดคลองสำราญ
,วัดวังตะคร้อ
,วัดหนองจิกตีนเนิน
,วัดคลองตะเคียน
,วัดไทยชุมพล
,วัดนาโพธิ์
,วัดกกแรต
,วัดเทพนม
,วัดคุณาพรบูรพาจารย์
,วัดขุนช้าง
,วัดภูธาตุเจดีย์
,วัดบ่อแปดร้อย
,วัดดงคู่
,วัดราชธานี
,วัดโพธิ์หอม
,วัดหนองกลับ
,วัดตลิ่งชัน
,วัดคงคามาลัย
,วัดบึง
,วัดบึงภูเต่า
,วัดหนองชุมแสง
,วัดเซตุพน
,วัดผาคำ
,วัดบ้านแก่ง
,วัดภาวนาราม
,วัดทับผึ้ง
,วัดจันวนาประชากร
,วัดวังสมบูรณ์
,วัดฤทธิ์ศิริราษฎร์เจริญธรรม
,วัดโสภาราม
,วัดโพธิ์ทอง
,วัดสวรรคาราม
,วัดท่าเกษม
,วัดวังกร่าง
,วัดท่าวิเศษ
,วัดแม่เทินเหนือ
,วัดศรีสัชนาลัย
,วัดราษฏร์ศรัทธาธรรม
,วัดศิริบูรณาราม
,วัดนาไผ่ล้อม
,วัดเชิงผา
,วัดบึงสนมเสนาราม
,วัดไผ่ล้อม
,วัดปากคลอง
,วัดโป่งฝาง
,วัดหนองหมื่นชัย
,วัดบ้านคลอง
,วัดห้วยโป้
,วัดโพธิยาราม
,วัดแม่เทินใต้
,วัดราวต้นจันทน์
,วัดท่าต้นธงชัย
,วัดตระพังทองหลาง
,วัดศรีสหกรณ์
,วัดใหม่ศรีสมบูรณ์
,วัดโบสถ์มณีราม
,วัดคลองโป่ง
,วัดทะเลลอย
,วัดน้ำขุม
,วัดหนองอ้อ
,วัดวังลึก
,วัดคลองเจริญ
,วัดสำนัก
,วัดดงเดือย
,วัดบ้านเหมือง
,วัดห้วยไคร้
