จังหวัด,รายชื่อวัด
หนองคาย,วัดนาข่า
,วัดจินดามณี
,วัดเทพจันทรังษี
,วัดโพนทอง
,วัดข้องไก่
,วัดชิตานุสรณ์
,วัดพระธาตุบุ
,วัดธงชัย
,วัดมงคลนิมิต
,วัดเทพมงคล
,วัดสุขาราม
,วัดศรีสุพลโนนสว่าง
,วัดน้ำตกเขาเต่า
,วัดโพนสัน
,วัดบ่อน้ำสถิตย์
,วัดผดุงสุข
,วัดคงนาหาง
,วัดศรีเทพเลิงสดวนาราม
,วัดโพธิ์ยอย
,วัดโพธิรุกขาราม
,วัดบ้านจอก
,วัดศิลาโบราณ
,วัดศรีวิลัย
,วัดป่าหนองหลวง
,วัดประภารังษี
,วัดลำภูบังบด
,วัดโสมอรุณ
,วัดจอมทองอุดมราษฎร์
,วัดตนเย็นนา
,วัดสายชลมณฑาราม
,วัดราษฎร์จำนงค์
,วัดโพธิ์ชัย
,วัดโนนเกษม
,วัดศิริมงคลชัยราม
,วัดเจริญศรี
,วัดสีหราช
,วัดหนองผือ
,วัดศรีสว่างโคกคำ
,วัดทิพย์อัมพวัน
,วัดลุมพินี
,วัดสุวรรณสาลวัน
,วัดโนนหงส์ทอง
,วัดสนทนาธรรมาราม
,วัดเกษตรโกสัย
,วัดชัยศรีเจริญ
,วัดจอมนาง
,วัดโพธิมณฑาราม
,วัดสมสะอาด
,วัดศรีสะอาด
,วัดฟ้าประทาน
,วัดจอมมณี
,วัดนางเขียวค้อม
,วัดศรีชมชื่น
,วัดเวฬุวัน
,วัดจันทรังษีวราราม
,วัดห้วยไซงัว
,วัดเจริญผล
,วัดพระบาทนาหงส์
,วัดสาลวรรณนิมิต
,วัดอนุวันประดิษฐ์
,วัดหาดปทุม
,วัดมฤคทายวัน
,วัดโนนจำปา
,วัดป่าอนุรักษ์พฤกษา
,วัดสระวังทอง 
,วัดโพธิ์ศรีอนงคาราม
,วัดธรรมเจดีย์
,วัดมัชฌิมวิจิตร
,วัดอาณัตติการาม
,วัดมงคลศรีเจริญ
,วัดนิมิตธรรม
,วัดสพานทอง
,วัดเทพมีชัย
,วัดหนองเคร่า
,วัดพุทธไสยาสน์
,วัดธาตุบุ
,วัดพุทธนิคม
,วัดหนองเค็ม
,วัดพระพุทธบาท
,วัดบุญเรืองสุวรรณณาราม
,วัดดอนมนต์
,วัดไทย
,วัดป่าวิเวกอุปถัมภ์
,วัดท่าทรายสะอาด
,วัดกลาง
,วัดเทวดาราม
,วัดดงตูม
,วัดหนองบัวทอง
,วัดโพนแสน
