จังหวัด,รายชื่อวัด
หนองบัวลำภู,วัดป่าหนองหญ้าปล้อง
,วัดสว่างสามัคคี
,วัดสระพังทอง
,วัดสว่างศิลา
,วัดศรีอภัยวัน
,วัดเทพมงคล
,วัดโนนรัง 
,วัดมัชฌิมบุรี
,วัดศรีวิลัยทุ่งสว่าง
,วัดศรีจูมพร
,วัดป่ากลันทกาวาส
,วัดศรีคูณเมือง
,วัดศรีวิลัย
,วัดเลิศเสนีย์
,วัดกุงศรีสันติยาราม 
,วัดศิริชัยรัตนาราม
,วัดอุดมวารี
,วัดนันทะวิชัย 
,วัดโพธิ์ชัย
,วัดป่าศรีวิลัย 
,วัดบุ่งแก้ว 
,วัดป่าวิเวการาม 
,วัดโพธิ์ศรีสมสะอาด
,วัดศรีสะอาด
,วัดจอมมณี
,วัดศรีชมชื่น
,วัดสวรรค์คงคา
,วัดสว่างโนนทอง
,วัดสระธาตุ
,วัดโพธิ์ศรีสง่า
,วัดเจริญศรีวนาราม
,วัดหนองแก
,วัดโพธิ์ศรีสว่าง
,วัดบูรณศรีมาราม 
,วัดศรีสุวรรณวนาราม
,วัดสุทธิวิเวกวิทยาราม
,วัดสว่างวนาราม
,วัดบัวระพา
,วัดศรีชมพู
,วัดเทพโพธาราม
,วัดกาญจนาราม
,วัดบูรพาราม
,วัดศรีบุญเรืองบุตราราม
,วัดนิมิตเทพอำนวย
,วัดป่าวรสรวงสันติ 
,วัดป่าทรัพย์อนันต์อินทราราม 
,วัดโพธิ์ทอง
,วัดโนนไร่ศรีมณีวรรณ
,วัดอัมพวัน
,วัดมัชฌิมาราม
,วัดนครชัยศรี
,วัดสังคมสามัคคี
,วัดสุเทพนาราม
,วัดโนนอุดม
,วัดอุทุมพรพิชัย
,วัดสีลวิสุทธิ
,วัดเทพธิดาราม
,วัดโพธิพงษ์
,วัดศรีวิไลย์
,วัดโนนสำราญ
,วัดโนนศิลาอาสน์
,วัดศรีดาราม
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดป่าปัญญาสันติธรรม
,วัดศรีรุ่งเรือง
,วัดสามัคคีธรรม
,วัดศรีสว่างบ้านโคกกุง
,วัดศรีจันทร์
,วัดเขาดินภูวงศ์
,วัดนิคมอุปถัมภ์
,วัดพระธาตุเวฬุวัน
,วัดศรีภูมิ
,วัดวุฒิศิลปชัย
,วัดชบาวัน
,วัดมัชฌิมเขตมงคล
,วัดบุพพวนาราม
,วัดวุฒิสมานชัย
,วัดศรีกลมประชาสามัคคี
,วัดพรมมีวิเวก
,วัดป่าสามัคคีศิริพัฒนาราม
,วัดสีลาอาสน์
,วัดสว่างกุงทอง
,วัดหนองภัยศูนย์
,วัดสามัคคีสิริมงคล
,วัดศรีจันดาประชาอุทิศ
,วัดโนนทองวิเวก
,วัดหนองแซง
,วัดหัวจ่า
,วัดชัยสะอาด
,วัดวิสุทธาวาส
,วัดทรงศิลา
,วัดป่าบุญญาภิสมภรณ์
,วัดเพ็ญสว่าง
,วัดโนนคำวิเวก
,วัดสุขวนาราม
,วัดอุดมพัฒนาราม
,วัดถ้ำเอราวัณ
,วัดศรีสว่าง
,วัดท่าชลาวาส
,วัดป่ารัตนศิลาอาสน์ 
,วัดป่าอนุตตโร 
,วัดป่าศิลาวาส
,วัดทุ่งกุญชร
,วัดป่าศิริวรรณ
,วัดหนองแก 
,วัดศิริทรงธรรม
,วัดโนนสง่า
,วัดดอนธาตุนรงค์
,วัดโคกสะอาด
,วัดฐิติปัญญาราม
,วัดมหาชัย
,วัดโพธิ์ชัยสะอาด
,วัดสามัคคีเจริญธรรม
,วัดศรีสระแก้ว 
,วัดโพธิ์ทองพัฒนาราม
,วัดป่าศรีชาสมบัติ 
,วัดป่าพุทธศิลาอาสน์
,วัดทรงธรรมศรีสมัย
,วัดสว่างสุทธาราม
,วัดโนนสมบูรณ์
,วัดทุ่งสว่างราษฏร์บำรุง
,วัดถ้ำพระวิจิตรพัฒนา
,วัดพรหมวิหาร
,วัดสุวรรณเขต
,วัดสำราญธรรมาวาส
,วัดสามัคคีชัย
,วัดศิริชัยพัฒนาราม
,วัดเขาทองนพคุณ
,วัดสุนทราราม
,วัดป่าสันติธรรม 
,วัดโนนแคน
,วัดทรายทอง
,วัดมัชฌิมาชัยยาราม
,วัดป่าหนองสวรรค์
,วัดศิรินทราวาส
,วัดสว่างอำนวยพร
,วัดสมบูรณ์พุทธาราม
,วัดโพธิ์ชัยศิริมงคล
,วัดสุวนาราม
,วัดเกาะแก้วสุมังคลา
,วัดป่าสำโรง
,วัดทุ่งสว่าง
,วัดบ้านโสกช้างวนาราม
,วัดศรีสำราญ
,วัดป่าภูกระแต
,วัดเรืองอุทัยศิริมงคล
,วัดโพนนิสสัย
,วัดสุวรรณมงคล
,วัดกุศลนารี
,วัดไชยชุมพล
,วัดศรีสว่างอุดมพร
,วัดสว่างชัยศรี
,วัดศรีสมพร
,วัดเทวีวรญาติ
,วัดศรีวิลัยมงคล
,วัดดอนอุบมุง
,วัดสะเทียนทอง
,วัดราษฎร์บำรุง
,วัดสว่างอรุณ
,วัดโคกก่อง
,วัดสว่างอารมณ์
,วัดพรหมประสิทธิ์
,วัดไพบูลย์ประชานุเคราะห์
,วัดป่าอัมพวัน
,วัดธาตุหาญเทาว์
,วัดศรีสุวรรณ
,วัดศรีชมภู
,วัดศิริสว่าง
,วัดป่าจุลบัณฑิตาราม
,วัดศรีสุมังค์
,วัดชัยชุมพร
,วัดประชาอุทิศ
,วัดสว่างอินทร์แปลง
,วัดถ้าเทพานิมิต 
,วัดสามัคคีศรีสาคร
,วัดทุ่งสว่างเทพาราม 
,วัดศรีสุมังคลาราม
,วัดโพธิ์ชัยสมสะอาด
,วัดรัตนมงคล
,วัดป่าสมใจนึก 
,วัดป่าสันติธรรม
,วัดเจริญทรงธรรม
,วัดวิเศษมงคล
,วัดศรีชุมพล
,วัดสายทอง
,วัดสว่างเทพวนาราม
,วัดป่าธรรมวิเวก
,วัดชัยชนะวิทยาราม
,วัดสว่างศรีวิลัย
,วัดชุมพลสามัคคี
,วัดสุคนธ์เทพนิมิต
,วัดชัยมงคล
,วัดมีชัยราษฏร์บำรุง
,วัดป่าเลไลย์
,วัดป่าพรหมวิหาร
,วัดศิริมงคล
,วัดศรีวงษ์ราษฎร์บำรุง
,วัดจันทราราม
,วัดบูรพาวิทยาราม
,วัดป่าสีมาวาส
,วัดทรงธรรมเจริญ
,วัดถ้ำกลองเพล
,วัดธาตุกู่ประภาชัย
,วัดกุดดู่
,วัดชัยเจริญพนาสวรรค์
,วัดตาดคีรีวัน
,วัดศรีวิลัยธรรม
,วัดป่านาแค
,วัดโยธาสว่าง
,วัดศิริธรรมาวดี
,วัดโพธิ์ศิลา
,วัดเลิศวิลัย
,วัดอัมพวนาราม
,วัดพิชัยวิเวก
,วัดศิริธรรมพัฒนา
,วัดสุมงคล
,วัดโนนคูณ
,วัดบูรพา
,วัดเชตวนาราม
,วัดวิเศษชัยศรี
,วัดพิชัยบวร
,วัดป่าวุฑฒาราม 
,วัดประชามงคล
,วัดป่าเลไลก์
,วัดบ้านกุดกวางสร้อย 
,วัดเวฬุวนาราม
,วัดอรัญญาวาส
,วัดโพนงาม
,วัดศรีพัฒนาราม
,วัดศรีประทุม
,วัดศิริชัยเจริญ
,วัดอัมพวันนาราม
,วัดมงคลอรัญญศรี
,วัดศรีสระแก้ว
,วัดโนนสะอาด
,วัดป่าชัยมงคล
,วัดสุตประดิษฐ์
,วัดอรัญญเขต
,วัดศิลามงคล
,วัดจันทรประสิทธิ์
,วัดพิศาลรัญญาวาส
,วัดสิริสาลวัน
,วัดโคกพระ
,วัดศรีอุดม
,วัดศรีบุญเรือง
,วัดอิสานสามัคคี
,วัดศรีสุมังคล์
,วัดโพธิ์ชัยสอาด
,วัดสุริยวิทยาราม
,วัดสว่างศรีสมพร
,วัดโพธิ์ศรี
,วัดสมานสมนาวาส
,วัดหนองกุงวนาราม
,วัดศิลาราษฏร์บำรุง
,วัดสัมพันธวงศ์
,วัดศิลาถาวร
,วัดศิลาวุฒาราม
,วัดโสภณาวัน
,วัดศรีแก้ว
,วัดทวีนิคม
,วัดถ้ำสุวรรณคูหา
,วัดหนองแวงป่งสัง
,วัดศรีสมพรสมสะอาด
,วัดโคกศรีเรือง
,วัดป่าหนองโก 
,วัดห้วยไร่
,วัดแก้วพิจิตร
,วัดศรีสว่างสมสะอาด
,วัดหนองสวรรค์
,วัดทิพยาราม
,วัดเกาะแก้วทรายขาว
,วัดศรีสมภรณ์
,วัดสระปทุมทอง
,วัดศิลาอาสน์
