จังหวัด,รายชื่อวัด
อำนาจเจริญ,วัดจินดามณี
,วัดโพนทอง
,วัดไชยาติการาม
,วัดศรีใคร
,วัดเสลาราม
,วัดดู่ใน
,วัดศรีมณีวัน
,วัดนาไร่ใหญ่
,วัดหนองขาม
,วัดเทพมงคล
,วัดนาเรือง
,วัดนาล้อม
,วัดโพนขวาว
,วัดโคกกลาง
,วัดนาคำ
,วัดบ้านจอก
,วัดนาสะอาด
,วัดป่าศรีสุขเกษม
,วัดเหล่าพรวน
,วัดม่วงสวาสดิ์
,วัดสันติวนาราม
,วัดเหล่าหนาด
,วัดสว่างใต้
,วัดบ้านดอนดู่
,วัดเหล่าขวาว
,วัดนาโพธิ์
,วัดโสภณาราม
,วัดเวฬุวัน
,วัดนาผือ
,วัดสร้างถ่อใน
,วัดหนองไผ่
,วัดคึมใหญ่
,วัดสุทธาวาส
,วัดหนองแห่
,วัดป่าตำแย
,วัดแมดนอก
,วัดบ้านหนองแซง 
,วัดป่าติ้ว
,วัดหนองยอ
,วัดบ่อชะเนง
,วัดรัตนวารี
,วัดกลาง
,วัดชะแงะ
,วัดไชยคำ
,วัดดอนเมย
,วัดนาหนองใหญ่
,วัดนาเยีย
,วัดกุดปลาดุก
,วัดถ้ำแสงแก้ว
,วัดหนองไฮ
,วัดอัมพวัน
,วัดมัชฌิมาราม
,วัดป่าดงชัยศรี
,วัดดอนหวาย
,วัดโคกเลาะ
,วัดหนองยาง
,วัดป่าอุดมชัยวนาราม 
,วัดแสนสำราญ
,วัดหนองหิน
,วัดโนนสำราญ
,วัดยางช้า
,วัดหนองจอก
,วัดหนองตาใกล้
,วัดศรีสุข
,วัดศรีปุญญนิมิต
,วัดหัวภู
,วัดโพนเมืองน้อย
,วัดสมบูรณ์
,วัดไร่ขี
,วัดปัญจสมณาราม
,วัดหนองงูเหลือม
,วัดโนนสวาท
,วัดกนิษฐานนท์
,วัดหนองแอวมอง
,วัดศรีวิไล
,วัดหนองมะเสี่ยง
,วัดโนนจาน
,วัดป่าก่อศิลาราม 
,วัดสี่แยกแสงเพชร
,วัดเค็งใหญ่
,วัดหนองหิ้ง
,วัดบ้านแย
,วัดฤกษ์อุดม
,วัดบ้านเดื่อ
,วัดดงเฒ่าเก่า
,วัดเมธาสีตาราม
,วัดคันสูง
,วัดทรงศิลา
,วัดแสงอรุณ
,วัดป่าดงแสนแก้ว 
,วัดศรีสว่าง
,วัดเชือกใน
,วัดพระเหลาเทพนิมิต
,วัดศรีทอง
,วัดสระเกษ
,วัดโนนค้อทุ่ง
,วัดกุดตากล้า
,วัดน้ำซับ
,วัดเหล่าแก้ว
,วัดโคกสะอาด
,วัดคำข่า
,วัดหัวดง
,วัดดอนไร่
,วัดนาดี
,วัดคึมน้อย
,วัดสำราญนิวาส
,วัดภูเขาขาม
,วัดโสกโตน
,วัดเหล่าฝ่ายน้อย
,วัดหนองบัว
,วัดโนนผักหวาน
,วัดคึมข่า
,วัดโนนแคน
,วัดสุวัฒนาราม
,วัดนาอุดม
,วัดนาวัง
,วัดป่าธรรมรังสี
,วัดตาลเลียน
,วัดดงสวาง
,วัดกุลเชฎโฐ
,วัดหนองนกหอ
,วัดป่าภูมะโรง 
,วัดอุดรมงคล
,วัดแจ่มอารมณ์
