จังหวัด,รายชื่อวัด
อุดรธานี,วัดสว่างสามัคคี
,วัดสระพังทอง
,วัดดงหมากหลอด
,วัดป่านาสีดา
,วัดป่าศรีอุดม
,วัดส่งเสริมธรรม
,วัดกู่แก้ววิทยาราม
,วัดนิทัศนาลัย
,วัดเทพมงคล
,วัดสว่างนาทัน
,วัดเทพนิมิตทุ่งสว่าง
,วัดอุดมหนองแดง
,วัดพิเศษสมบูรณ์
,วัดไชยนาถวราราม
,วัดโนนทอง
,วัดโคกกลาง
,วัดศรีเจริญโพนบก
,วัดพระพุทธบาทบัวบก
,วัดธรรมชาติวิทยา
,วัดศิริกัญญาทองประเสริฐ
,วัดพิชัยพัฒนาราม
,วัดศาสดาราม
,วัดสันติวนาราม
,วัดปรีชาวนาราม
,วัดโพธิ์ชัย
,วัดธาตุศรีสำราญ
,วัดประดู่คำธเนตรนิมิตร
,วัดอุตตมาราม
,วัดธรรมเสนาพัฒนาราม
,วัดคอนสวรรค์
,วัดไก่เถื่อน
,วัดสว่างบรมนิวาส
,วัดศรีสุทธาวาส
,วัดสุริยาราม
,วัดดอยนางหงษ์
,วัดสมสะอาด
,วัดศิริวัฒนา
,วัดโพธิ์ชัยศรีสว่าง
,วัดศรีสะอาด
,วัดเจริญธรรมสามัคคี
,วัดสิมมะลี
,วัดเวฬุวัน
,วัดอนุราษฏร์โสภาราม
,วัดพระธาตุ
,วัดป่าแสงแก้ว
,วัดจำปาสีหราช
,วัดอุดมวิทยาราม
,วัดจูมพร
,วัดป่าศรัทธาธรรม
,วัดป่าหนองกุง
,วัดพิชัย
,วัดชัยสว่าง
,วัดหนองหัวหมู 
,วัดโนนสมโภชน์
,วัดเคารพ
,วัดโพนสวรรค์พัฒนาราม
,วัดโพธิ์ศรีสงคราม
,วัดโนนสิมมา
,วัดโพธิ์ศรีสว่าง
,วัดโพธิ์ชัยยาราม
,วัดราชวรานุวัตร
,วัดไชยพร
,วัดศรีวิทยาราม
,วัดศรีพันดร
,วัดป่าพอก
,วัดบัวระพา
,วัดฉิมพลีวัลย์
,วัดอุทุมพรดอนเดื่อ 
,วัดเรืองศรี
,วัดโสภณานิการาม
,วัดโพธิ์ทอง
,วัดศิริพุทธาวาส
,วัดหนองไฮ
,วัดเจริญพัฒนาราม
,วัดป่าสามกษัตริย์
,วัดอินทร์ศรสง่า
,วัดประชาสามัคคี 
,วัดโพธิ์ทองวนาราม
,วัดสว่างบ้านโพน 
,วัดสว่างศรีวิไลย์
,วัดสว่างอินทรศิลา
,วัดป่าสกุณาศัย
,วัดจอมมะณีย์
,วัดใหม่สุวรรณาราม
,วัดศรีวิไลย์
,วัดป่าซำป่ารัง
,วัดโนนสำราญ
,วัดเรียบโพธิ์ชัย
,วัดถ้ำพระ
,วัดศรีทรงธรรม
,วัดหลวงเพ็ญ
,วัดศรีดาราม
