จังหวัด,รายชื่อวัด
อุตรดิตถ์,วัดทรายมูล
,วัดหาดล้าเหนือ
,วัดช่องลม
,วัดนาล้อม
,วัดน้ำคอม
,วัดห้วยครั่ง
,วัดฟากบึง
,วัดปากฝาง
,วัดเบญจมาราม
,วัดชัยชนะพล
,วัดดอยมูล
,วัดวังสะโม
,วัดขวางชัยภูมิ
,วัดโพธิ์ชัย
,วัดเต่าไห
,วัดศรีสะอาด
,วัดทรายขาว
,วัดน้ำริดใต้
,วัดฟากนา
,วัดห้วยแมง
,วัดประชาธรรม
,วัดนาโปร่ง
,วัดหัวทุ่ง
,วัดเกษมจิตตาราม
,วัดวังขวัญ
,วัดหลวงป่ายาง
,วัดคลองละวาน
,วัดหาดงิ้ว
,วัดใหม่เจริญสุข
,วัดสองห้อง
,วัดกลาง
,วัดบ้านลุ่ม
,วัดผาจุก
,วัดสัจจาราษฎร์บำรุง
,วัดหน้าพระธาตุ
,วัดร่มโพธิญาณ
,วัดผาเต่าบำรุง
,วัดห้วยต้าใต้
,วัดโพธิ์ทอง
,วัดนาแซง
,วัดยางจุ้ม
,วัดบางนา
,วัดดงช้างดี
,วัดตีนดอย
,วัดบุพพาราม
,วัดไร่อ้อย
,วัดวังดิน
,วัดหนองหิน
,วัดวังผักรุง
,วัดบ่อทอง
,วัดโคกเหนือ
,วัดไร่ห้วยพี้
,วัดไผ่ล้อม
,วัดปางต้นผึ้ง
,วัดสว่างคลองตรอน
,วัดหนองย่ารำ
,วัดราษฎร์สามัคคี
,วัดเนินสิงห์
,วัดวังพะเนียด
,วัดห้วยไข่เขียด
,วัดห้วยลึก
,วัดพงสะตือ
,วัดบ้านขอม
,วัดโพนดู่
,วัดน้ำสิงห์เหนือ
,วัดโพธิ์ชัยศรี
,วัดวังถ้ำ
,วัดป่าเซ่า
,วัดม่อนพัฒนาราม
,วัดดอนค่า
,วัดวังเบน
,วัดหาดไก่ต้อย
,วัดพระบรมธาตุ
,วัดดอนมูลน้ำลอก
,วัดป่ากั้ง
,วัดพระแท่นศิลาอาสน์
,วัดห้วยมุ่น
,วัดเด่นกระต่าย
,วัดวังอ้อ
,วัดหนองผาสันติการาม
,วัดน้ำหมัน
,วัดใหญ่ท่าเสา
,วัดยางโทน
,วัดส่องแดด
,วัดห้วยเหล่า
,วัดบ้านดารา
,วัดป่าเขื่อนผาจุก​
,วัดจริม
,วัดกองโค
,วัดเขาดินสุวรรณบาท
,วัดท่าไม้เหนือ
,วัดห้วยฉลองราษร์บำรุง
,วัดหนองป่าไร่
,วัดโพนสว่าง
,วัดนาน้ำพาย
,วัดบ้านแก่งใต้
,วัดม่อนนางเหลียว
,วัดหัวดง
,วัดน้ำปึง
,วัดพระพุทธบาทเขาผึ้ง
,วัดป่ายาง
,วัดพระยืนพุทธบาทยุคล
,วัดมงคลนิมิตร
,วัดซำบ้อ
,วัดงิ้วงาม
,วัดกุฏิพระฤๅษีทรงธรรม
