จังหวัด,รายชื่อวัด
อุทัยธานี,วัดคลองไม้ลาย
,วัดป่าช้า
,วัดบ้านจัน
,วัดหนองสระ
,วัดลานสัก
,วัดทองอร่ามรังษี
,วัดเขาว่าน
,วัดปทุมธาราม
,วัดห้วยพระจันทร์
,วัดคอดยาง
,วัดวังพง
,วัดดงเศรษฐี 
,วัดหนองแขวนกูบ
,วัดเทพเมืองทอง 
,วัดบุ่งอ้ายเจี้ยม 
,วัดโปร่งนวล
,วัดหนองโพธิ์
,วัดเขาผาแรต
,วัดหนองกระทุ่ม
,วัดห้วยโศก
,วัดพุ่มบำเพ็ญธรรม
,วัดหนองไผ่
,วัดบ่อน้ำเย็น 
,วัดสุทธาวาส
,วัดบ่อชุมแสง
,วัดหนองแก
,วัดหนองตายาย
,วัดทองหลาง
,วัดห้วยแห้ง
,วัดตลิ่งสูง 
,วัดป่าผาก
,วัดเขาพะแวง
,วัดวิหารธรรม
,วัดนาทุ่งเชือก
,วัดคลองโพ
,วัดสังกัสรัตนคีรี
,วัดสาลีสามัคคีธรรม
,วัดอัมพวัน
,วัดหาดทรายงาม
,วัดหนองเจ๊กกวย 
,วัดกลางเขา
,วัดมะเดื่อ
,วัดดอนหวาย
,วัดหนองยาง
,วัดหนองตะคลอง
,วัดหนองนกยูง
,วัดหนองไผ่แบน
,วัดทัพทราย
,วัดเมืองการุ้ง
,วัดลานหญ้าคา
,วัดป่าพริก
,วัดดงพิกุล
,วัดตลุกหมู
,วัดหนองฝาง
,วัดเขาปฐวี
,วัดรัตนาราม
,วัดทัพเจริญธรรม
,วัดหนองหูลิง
,วัดบึงเจริญ 
,วัดปางไม้ไผ่
,วัดโป่งสามสิบ 
,วัดสวนพลู
,วัดทองธรรมาราม
,วัดหนองหญ้าไทร
,วัดศรีจันทราราม
,วัดห้วยเปล้า
,วัดคลองโป่ง
,วัดผาทั่ง
,วัดหลวงราชาวาส
,วัดหนองแข้
,วัดไร่พริก
,วัดสาลวนาราม
,วัดวังเตย
,วัดคลองชะนี
,วัดถ้ำรัตนคีรี
,วัดบ่อทับใต้
,วัดมงคลรัตนคีรี
,วัดจันทาราม 
,วัดทัพทันวัฒนาราม
,วัดเนินสำราญ 
,วัดหนองขุย
,วัดชุมม่วง
,วัดเขาถ้ำตะพาบ
,วัดหนองกระดี่
,วัดเทพนิมิต
,วัดผาลาดธาราราม
,วัดหนองหลวง
,วัดตลุกดู่
,วัดใหม่จันทราราม
,วัดทุ่งสาลี
,วัดหนองพังค่า
,วัดสมอทอง
,วัดสกุณาวนาราม 
,วัดโป่งข่อย
,วัดเนินเหล็ก
,วัดวังสาริกา
,วัดห้วยรัง
,วัดป่าเรไลยก์
,วัดธรรมโฆษก
,วัดหนองบำหรุ
,วัดหนองกระดี่นอก
,วัดสายรุ้งทอง
,วัดห้วยขานาง
,วัดมณีสถิตกปิฏฐาราม
,วัดภูมิธรรม
,วัดเนินพยอม
,วัดภูจวง
,วัดน้ำวิ่ง
,วัดหัวเมือง
,วัดหนองผักแพว 
,วัดเกาะสวรรค์
,วัดปทุมทอง
,วัดเก้านิ้ว
,วัดจักษาภัทราราม
,วัดหนองมะกอก
,วัดแจ้ง
,วัดทุ่งสงบ
,วัดบึงแวง 
,วัดถ้ำเขาวง
,วัดบุญลือ
,วัดเขาธรรมมงคล
,วัดบ้านใหม่โพธิ์งาม
,วัดราษฎร์ศรัทธาทำ
,วัดนาไร่เดียว
,วัดหมกแถว
,วัดเจ้าวัด
,วัดห้วยทราย
,วัดน้ำพุ
,วัดหนองกี่
,วัดหนองสลิด
,วัดเขาพระยาพายเรือ
,วัดหนองขุนชาติ
,วัดบุ่งฝางสามัคคีธรรม 
,วัดสะนำ
,วัดป่าคา
,วัดศิริวัฒนาราม
,วัดวังบรเพชร
,วัดสุวรรณบรรพต
,วัดประดาหัก
,วัดนิคมสามัคคี 
,วัดสว่างอารมณ์
,วัดทัพคล้าย
,วัดโคกหม้อ
,วัดหนองหญ้านาง
,วัดขุมทรัพย์
,วัดเขาลูกช้าง
,วัดมโนราช
,วัดวังตอ
,วัดเขาวงษ์พรหมจรรย์
,วัดน้ำรอบ
,วัดสวนพลู 
,วัดท่ามะขามป้อม
,วัดหนองไม้แก่น
,วัดประดู่ยืน
,วัดธรรมโศภิต
,วัดท่าโพ
,วัดใหญ่
,วัดอมฤตวารี
,วัดหลุมเข้า
,วัดหนองแฟบ
,วัดทัพหมัน
,วัดศรีประมุข
,วัดทุ่งพึ่งใหม่
,วัดสามัคคีรังสรรค์
,วัดเนินซาก
,วัดเพชรน้ำผึ้ง
,วัดถ้ำทอง
,วัดเขาดาวเรือง
,วัดคลองหิน
,วัดวังหิน
,วัดหนองเรือโกลน
,วัดเนินตูม
,วัดห้วยป่าปก
,วัดบ้านใหม่
,วัดเขาถ้ำประทุน
,วัดสวนขวัญ
,วัดหนองสี่เหลี่ยม
,วัดหนองจิกยาว
,วัดหนองม่วง
,วัดคลองเคียน
,วัดอุดมพร
,วัดตานาด
,วัดป่าเลา
,วัดป่าบัว 
,วัดหนองพลวง
,วัดหนองเขื่อน
,วัดหนองยายดา
,วัดทุ่งพึ่งเก่า
,วัดทุ่งหลวง
,วัดโกรกลึก
,วัดคีรีวงศ์
,วัดโรจนาราม
,วัดทัพหลวง
,วัดปากเหมือง
,วัดเขาดินเหนือ
,วัดหนองจอก 
,วัดอุโปสถาราม
,วัดคูเมือง
,วัดทุ่งสามแท่ง
,วัดท่าข้ามสาคร
,วัดไก่ดิ้น 
,วัดบึงยาว
,วัดเขาฆ้องชัย
,วัดท่าทอง
,วัดเพชรกาฬสินธุ์
,วัดคลองตะขาบ
,วัดบ้านกลาง
,วัดวังปลากด
,วัดวังบุญ
,วัดห้วยรอบ
,วัดหนองฝางวิทยาราม
,วัดหนองบ่มกล้วย
,วัดเขาหิน
,วัดใหม่ไทยอีสาน
,วัดชุมยางสามัคคีธรรม
,วัดทุ่งโพ
,วัดสะพานหิน
,วัดชายเขา
,วัดเกาะตาซ้ง
,วัดดอนกลอย
,วัดหนองเต่า
,วัดเกาะเทโพ
,วัดโป่งเก้ง
,วัดทุ่งทอง
,วัดเนินสาธารณ์
,วัดป่าอ้อ
,วัดป่าแดนนาบุญ 
,วัดบ้านไร่
,วัดคลองข่อย
