จังหวัด,รายชื่อวัด
อุบลราชธานี,วัดห้วยน้ำใส
,วัดบ้านดอนกลาง
,วัดป่าศรีอุดม
,วัดอรุณสวัสดิ์
,วัดบุ่งคล้า
,วัดโคกเทียม(บ้านโคกเทียม
,วัดศรีพิทยาคม
,วัดโนนทอง
,วัดโนนก่อ
,วัดฐิตาราม
,วัดโพธิ์พฤกษาราม
,วัดกรุงเจริญ
,วัดสุภรัตนาราม
,วัดพระโรจน์
,วัดไฮตาก
,วัดดงเจริญ
,วัดโพธิ์
,วัดสร้างถ่อ
,วัดโพธิ์สง่า
,วัดชัยวนาราม
,วัดโพธิ์ใหญ่
,วัดดอนชาติ
,วัดสร้างแก้วใต้
,วัดศรีสุทธาวาส
,วัดบ้านสำโรง 
,วัดเหล่าบาก
,วัดนาโพธิ์
,วัดสมสะอาด
,วัดหนองแวง
,วัดกุดกะเสียน
,วัดสว่างวารี
,วัดเวฬุวัน
,วัดบ้านตูม
,วัดจันทนที
,วัดม่วงเจริญ
,วัดเวินไชย
,วัดภูลอมข้าว
,วัดหนองขุ่น
,วัดป่าอ่างศิลา
,วัดยางสักกระโพหลุ่ม
,วัดเกษตรสมบูรณ์
,วัดทรายโหง่น
,วัดสระปทุมมาลัย
,วัดธาตุกลาง
,วัดหนองเค็ม
,วัดหนองยอ
,วัดขมิ้น
,วัดน้ำคำ
,วัดปุญญานิวาส
,วัดนาเยีย
,วัดชัยภูมิการาม
,วัดสว่างโพธิ์ศรี
,วัดหนองไฮ
,วัดป่าเตี้ย
,วัดโนนสีมา
,วัดโนนค้อ
,วัดโพนดวน
,วัดอารีย์ประชาสรรค์
,วัดบ้านเสียม
,วัดคำอุดม
,วัดป่าพุทธอุทยานภูถ้ำพระ
,วัดกวางดีด
,วัดป่าโพธิ์สุวรรณ
,วัดหนองหลัก
,วัดตาโท
,วัดดุมใหญ่
,วัดภูหล่น
,วัดบ้านเค็ง
,วัดแสนสำราญ
,วัดแต้ใหม่
,วัดบ้านพับ
,วัดโนนสำราญ
,วัดแสงน้อย
,วัดอุทกวารี
,วัดบ้านเอ้
,วัดไผ่ล้อม
,วัดป่าจันทรังษี
,วัดยูงน้อย
,วัดประหูต
,วัดหนองยู
,วัดศรีอุบลรัตนาราม
,วัดบุ่งมะแลง
,วัดป่าหนองยาว
,วัดท่าวังหิน
,วัดบ้านแฮ
,วัดศรีจันทราราม
,วัดไพบูลย์
,วัดหนองมะเกลือ
,วัดท่าค้อ
,วัดราษฎร์สมดี
,วัดสิริจันโท
,วัดคอนสาย
,วัดแสงสว่าง 
,วัดเมืองเดช
,วัดดงแถบ
,วัดโนนจาน
,วัดบ้านดอน
,วัดบ้านกองโพน(สว่างอารมณ์
,วัดนาแก้ว
,วัดนาหนองล้ำ
,วัดโนนขวาว
,วัดน้ำคำแดงเหนือ(พระสังกัจจายณ์
,วัดโนนคำกลาง
,วัดเทพนิมิต
,วัดหนองกวาง
,วัดคูหาสวรรค์
,วัดวังอ้อ
,วัดท่าก่อ
,วัดบ้านพลาน(ศรีโพธิ์ไทร
,วัดโนนสง่า
,วัดแก้งโตน
,วัดนาคำใหญ่
,วัดกุดตากล้า
,วัดบากชุม
,วัดปติฏฐาราม
,วัดเวฬุวัน(สว่างเวฬุวัน
,วัดบุณฑริการาม
,วัดโนนสูงสุทธาวาส
,วัดกุดคูณ
,วัดสะพือเหนือ
,วัดด่านหม่วน
,วัดหนองสะโน
,วัดม่วงโคน
,วัดคำโพธิ์
,วัดไชยรักษ์
,วัดหนองสำราญ
,วัดนาโหนนน้อย
,วัดมงคลสวรรค์
,วัดบุ่งขี้เหล็ก
,วัดสังฆนิวาส
,วัดดอนตะโน
,วัดหนองบัว
,วัดกุดระงุม
,วัดป่าเทพบูรมย์
,วัดแสนสุข
,วัดบ้านแมด
,วัดโนนสนาม
,วัดปัจฉิมวาส
,วัดหนองขี้เห็น
,วัดผาสุขนาราม
,วัดหนองบัวแดง
,วัดหนองขอน
,วัดดอนสว่าง
,วัดนาชุม
,วัดเขื่องใน
,วัดแสนถาวร
,วัดโพธิ์เมืองวนาราม
,วัดแสงสว่าง
,วัดหนองสองห้อง
,วัดหนองเป็ด
,วัดผาสุการาม
,วัดนาดีนาฮ่อม
,วัดศรีลำดวน
,วัดศรีสำราญ
,วัดธาตุเทิง
,วัดสงยาง
,วัดกวางคำ
,วัดหนองตาปู่
,วัดป่าก้าว
,วัดศรีประดู่
,วัดโพนทราย
,วัดดอนก่อ
,วัดนาแก
,วัดแข้ด่อน
,วัดคันเปือย
,วัดหนองบก
,วัดโพธิญาณวนาราม
,วัดราษฎร์บำรุง
,วัดโนนธรรม
,วัดมงคลใน
,วัดบ้านบะไห
,วัดเหนือยางขี้นก
,วัดเหมือดแอ่
,วัดหนองดินจี่
,วัดหลวง
,วัดขวัญมงคล
,วัดหนองมะแซว
,วัดอโศการาม
,วัดม่วงงาม
,วัดนาส่วงใต้
,วัดบ้านดอนนกชุม
,วัดหินลาด
,วัดบ้านสวน
,วัดดอนส้มป่อย
,วัดสุคันธาราม
,วัดโนนหงษ์ทอง
,วัดบ้านแขม
,วัดท่างอย
,วัดบ้านคุ้ม
,วัดศรีสองคอนรัตนาราม
,วัดหนองคูณ
,วัดป่าแก้วบัวสาย 
,วัดวังแคน
,วัดหนองเป็ด(บ้านเป็ด
,วัดศีรษะกระบือ
,วัดสวายน้อย
,วัดบ้านสิม
,วัดสวนหินผานางคอย
,วัดทุ่งสว่างอารมณ์
,วัดศรีนวลสว่างอารมณ์
,วัดวังนอง
,วัดเหล่าข้าว
,วัดดอนพันชาด
,วัดราษฏร์สำราญ
,วัดหนองเทา
,วัดยางวังไฮ
,วัดราชพฤกษ์
,วัดวนวาสี
,วัดสระประสานสุข
,วัดพลาญชัย
,วัดหนองช้าง
,วัดบ้านไทย
,วัดเก่าน้อย
,วัดบ้านกลาง(กลางน้อย
,วัดโนนศรีวิไล
,วัดดอนเชียงโท
,วัดมุจจลินทาราม
,วัดศรีแสงทอง
,วัดธรรมิกาวาส
,วัดดอนนาเยีย
,วัดพิชโสภาราม
,วัดบ้านโคก
,วัดบ้านกอก
,วัดท่าโพธิ์ศรี
,วัดท่าช้าง
,วัดป่าข่า
,วัดธาตุสวนตาล
,วัดบ้านนาดี
,วัดสร้างโหง่น
,วัดเทพเกษม
,วัดแก่งศรีโคตร
,วัดบ้านสมบูรณ์
,วัดนาควาย
,วัดโนนรัง
,วัดโนนน้อย
,วัดบึงเขาหลวง
,วัดประชาพิทักษ์
,วัดสังขะเสนาราม
,วัดป่าหนองคู
,วัดป่าศรีสุข
,วัดบ้านกลาง
,วัดสิงห์ทองสุภารักษ์
,วัดหัวเห่ว
,วัดศรีสว่างอารมณ์
,วัดแจ้งสว่าง
,วัดบ้านเป้า
,วัดจอมศรี
,วัดทุ่งศรีเจริญ
,วัดบ้านก่อนอก
,วัดบ้านดอนโด่(ดอนโด่
,วัดหนองหอย
,วัดสิงห์ทอง
,วัดโพนไพศาล
,วัดป่าพระเจ้าใหญ่ธาตุลุ่ม
,วัดศรีวิสุทธาราม
,วัดหอไตร
,วัดหนองไม้ตาย
,วัดโนนทราย
,วัดบูรพาพิสัย
,วัดโพนงาม
,วัดบ้านก่อ
,วัดคำกลาง
,วัดหนองบัวหลวง
,วัดศรีดาวเรือง
,วัดหนองศิลา
,วัดคำเกิ่ง
,วัดเจริญศรีสุข
,วัดใหม่หนองเมือง
,วัดหลุบเลา
,วัดโนนแดง
,วัดราษฏร์ศรัทธา
,วัดสว่างท่ากุ่ม
,วัดสำโรง
,วัดผาแก้วใหญ่
,วัดทุ่งเพียง
,วัดเสาเล้า
,วัดแสนอุดม
,วัดดอนแดง
,วัดแสนสนุก
,วัดด้ามพร้า
,วัดป่าวังคก
,วัดหนองฮี
,วัดบ้านนาห่อม
,วัดโนนกอก
,วัดบ้านค้อบอน
,วัดป่าเรไรรัตนาราม
,วัดโคกเที่ยง
,วัดดินดำ
,วัดฮ่องไผ่
,วัดศรีบุญเรือง
