จังหวัด,รายชื่อวัด
อ่างทอง,วัดพวงทอง
,วัดโพธิ์เอน
,วัดวิหารแดง
,วัดแปดแก้ว
,วัดกลางราชครูฯ
,วัดน้อย
,วัดเขาบวช
,วัดสว่างอารมณ์
,วัดคลองสำโรง
,วัดท่าชุมนุม
,วัดศรีมหาโพธิ
,วัดละมุดสุทธิยาราม
,วัดต้นทอง
,วัดอบทม
,วัดดอนกระดี 
,วัดนางในธัมมิการาม
,วัดจันทร์นิรมิตร
,วัดสนธิธรรมิการาม
,วัดกระทุ่มราย
,วัดอ่างทองวรวิหาร
,วัดทองครุ
,วัดท้องคุ้ง
,วัดลานช้าง
,วัดนรสิงห์
,วัดช้าง
,วัดน้ำอาบ
,วัดบุญศิริวิทยาราม
,วัดดาวดึงษ์
,วัดแม่นาง
,วัดไทรย์นิโคธาราม
,วัดศรีมณฑป
,วัดยางทอง
,วัดโบสถ์ราษฎร์ศรัทธา
,วัดคำหยาด
,วัดพิจารณ์โสภณ
,วัดโพธิ์ราษฎร์
,วัดกลาง 
,วัดสุธาดล
,วัดเฉลิมกาญจนาภิเษก
,วัดสิทธาราม
,วัดราชปักษี
,วัดท้ายย่าน
,วัดไพรวัลย์
,วัดหัวทุ่ง
,วัดท่าอิฐ
,วัดขุนอินทประมูล
,วัดเจ้าบุญเกิด
,วัดนางชำ
,วัดชัยมงคล
,วัดจันทร์มณี
,วัดจำปาหล่อ
,วัดม่วง
,วัดแก้วกระจ่าง
,วัดไร่
,วัดกลาง
,วัดไชโยวรวิหาร
,วัดนางเล่ว
,วัดสามประชุม
,วัดศรีกุญชร
,วัดจุฬามุนี
,วัดสุวรรณราชหงษ์
,วัดลิ้นทอง
,วัดบางจัก
,วัดจันทราราม
,วัดท่าช้าง
,วัดโพธิ์ทอง
,วัดบุญเกิด
,วัดทองหลาง 
,วัดปทุมคงคา 
,วัดหลักแก้ว
,วัดเกษทอง
,วัดอัมพวัน
,วัดม่วงคัน
,วัดเชิงหวาย
,วัดโพธิ์ทูล
,วัดวงษ์ภาศนาราม
,วัดอ้อย
,วัดไตรรัตนาราม
,วัดท่าโขลงกิตติยาราม
,วัดตะเคียน
,วัดข่อย
,วัดหนองยาง
,วัดนอก
,วัดโบสถ์อัมพวา
,วัดเขาแก้ว
,วัดไทรย์
,วัดวังน้ำเย็น
,วัดลั่นทม
,วัดสนาม
,วัดงิ้วราย
,วัดบ้านกุ่ม
,วัดพินิจธรรมสาร
,วัดสระแก้ว
,วัดรัตนาราม
,วัดไชยสงคราม
,วัดบ้านกลาง
,วัดไผ่ล้อม
,วัดมะขาม
,วัดหัวตะพาน
,วัดต้นสน
,วัดทำนบ
,วัดเกตุ
,วัดกำแพง
,วัดบ้านแก
,วัดตูม
,วัดปราสาท
,วัดไทรยืด
,วัดริ้วหว้า
,วัดมหาดไทย
,วัดพานิช
,วัดโพสะโสภณ
,วัดไผ่วง
,วัดชัยสิทธาราม
,วัดบ้านสร้าง
,วัดฝาง
,วัดอินทราวาส
,วัดสกุณาราม
,วัดขวิด
,วัดไผ่แหลมธรรมาราม
,วัดโคกพุทรา
,วัดสามโก้
,วัดยางซ้าย
,วัดสนามชัย
,วัดเกาะ
,วัดสำโรง
,วัดหัวสะแกตก
,วัดสีบัวทอง
,วัดเทวราช
,วัดเยื้องคงคาราม
,วัดโคศุภราช
,วัดทางเรือ
,วัดสุวรรณเสวริยาราม
,วัดศุขเกษมธรรมิการาม
,วัดใหม่
,วัดโบสถ์สายทอง
,วัดไชยภูมิ
,วัดวงษ์สุวรรณ
,วัดรุ้ง
,วัดปลดสัตว์
,วัดโพธิธรรมโชติยาราม
,วัดคลองพูล
,วัดบ้านป่า
,วัดบางศาลา
,วัดสระเกษ
,วัดวันอุทิศ
,วัดลาดเค้า
,วัดเสาธงทอง
,วัดศรีสุขเกษม
,วัดโพธิ์วงษ์ 
,วัดทางพระ
,วัดสามขาว
,วัดหนองกร่าง
,วัดน้ำพุสิทธาราม
,วัดแสวงหา
,วัดมงคลธรรมนิมิตต์
,วัดศีลขันธาราม
,วัดใหม่ทางข้าม
,วัดคลองห้วยโพธิ์ 
,วัดป่ามุนี
,วัดดอนกระต่าย
,วัดโพธิ์ศรี
,วัดรางฉนวน
,วัดอรัญญิกาวาส
,วัดห้วยคันแหลน
,วัดพัฒนา
,วัดยางมณี
,วัดไผ่หมูขวิดศรัทธาธรรม
,วัดห้วยโรง
,วัดหัวสะแกออก
,วัดเอกราช
,วัดลาดเป็ด
,วัดสิงห์
,วัดท่าสามัคคี
,วัดแจ้ง
,วัดแสนสุข
,วัดบ้านอิฐ
,วัดเขียน
,วัดตลาดใหม่
,วัดกุญชรชาติการาม
,วัดเรไร
,วัดวิเศษไชยชาญ 
,วัดสี่ร้อย
,วัดทองเลื่อน
,วัดโพธิ์เกรียบ
,วัดบ้านพราน
,วัดท่าตลาด
,วัดบ้านเพชร
,วัดหมื่นเกลา
,วัดมธุรสติยาราม
,วัดป่าโมกวรวิหาร
,วัดตาลเจ็ดช่อ
,วัดท่าสุทธาวาส
,วัดหินงอก
,วัดหลวงสุนทราราม
,วัดยาง
,วัดถนน
,วัดจันทรังษี
,วัดศาลาดิน
,วัดขุมทอง
,วัดกำแพงมณี
,วัดโบสถ์
,วัดจันทร์
,วัดมหานาม
,วัดราชสกุณา
,วัดคูมะนาวหวาน
,วัดโบสถ์วรดิตถ์
,วัดโล่ห์สุทธาวาส
,วัดพายทอง
