จังหวัด,รายชื่อวัด
เชียงราย,วัดป่าอ้อ 
,วัดม่วงคำ
,วัดทรายมูล
,วัดผ้าขาวป้าน
,วัดป่ากุ๊ก
,วัดเขื่อนเมือง
,วัดฮ่องแฮ่ใหม่
,วัดท้าวแก่นจันทน์
,วัดเกษมสุข
,วัดอูปแก้ว
,วัดศรีศักดาราม
,วัดโป่งสัก
,วัดปงของ
,วัดเชียงยืน
,วัดสันโค้ง
,วัดไชยนารายณ์
,วัดพระธาตุผาเงา
,วัดแม่เย็นเหนือ
,วัดจอมจันทร์
,วัดดอนตัน
,วัดบัวสลี
,วัดบ้านจ้อง
,วัดสันติวนาราม
,วัดอุดมวารี
,วัดดงเจริญ
,วัดโพธิ์ชัย
,วัดป่าถ่อน
,วัดดอนแยง
,วัดปางกอก
,วัดแม่สลองนอก
,วัดลุง
,วัดศรีสุทธาวาส
,วัดดงเทพนิมิต
,วัดแม่คี
,วัดศรีสะอาด
,วัดหิรัญญาวาส
,วัดสันมะกอก
,วัดเกตุแก้ว
,วัดเวฬุวัน
,วัดร่องห้า
,วัดสวนดอก
,วัดใหม่พัฒนา
,วัดป่าไผ่
,วัดป่าสัก
,วัดพระธาตุดอยกู่แก้ว
,วัดแจมป๋อง
,วัดบ้านสันพัฒนา 
,วัดศรีค้ำ
,วัดป่ามงคลธรรม
,วัดบุญนาค
,วัดเอียน
,วัดสันต้นแฟน
,วัดหนองฮ่าง
,วัดกู่เต้า
,วัดศรีเวียง
,วัดถ้ำผาตอง
,วัดเม็งรายมหาราช
,วัดสันชุม
,วัดสุมังคลาราม
,วัดดงตะเคียน
,วัดหนองเลียบ
,วัดปางปอ
,วัดกลางเวียง
,วัดดงม่วงคำ 
,วัดไพรสณฑ์คีรี
,วัดทุ่งอ่าง
,วัดห้วยเคียน
,วัดโพธิ์ทอง
,วัดสันติการาม
,วัดสันธาตุ
,วัดป่าจี้
,วัดแสงเมืองมา
,วัดท่าเจริญ
,วัดเกี๋ยงเหนือ
,วัดคงคาราม
,วัดปางห้า
,วัดทุ่งฟ้าผ่า
,วัดสันนายาว
,วัดวิเชตร์มณี
,วัดต้นยาง
,วัดต้านาล้อม
,วัดดอยฮางใน
,วัดศิริมังคลาราม
,วัดดงป่าเหมี้ยง
,วัดแม่สลองใน
,วัดประชาร่วมมิตร
,วัดป่าหมากหน่อ
,วัดป่าบงงาม
,วัดร่องบัวทอง
,วัดร่องเสือเต้น
,วัดปางต้นผึ้ง
,วัดร้องหวาย
,วัดหนองข่วง
,วัดสันละคร
,วัดป่าหุ่ง
,วัดบ้านตอง
,วัดราษฎร์สามัคคี
,วัดดอนมูล
,วัดไชยสถาน
,วัดห้วยลึก
,วัดโล้ะ
,วัดหนองบัวเงิน
,วัดชัยเจริญ
,วัดหนองอ้อ
,วัดร่องศาลา
,วัดปางไคร้
,วัดหนองแรด
,วัดศรีวิไล
,วัดสบคำ
,วัดศรีดอนชุม
,วัดห้วยส้านพลับพลา
,วัดถ้ำจตุมหาพรหมมงคลเทพมุนี
,วัดท่าฮ่อ
,วัดสันขี้เม้า
,วัดปุยคำ
,วัดผาวี
,วัดเขาแก้วดับภัย
,วัดดอนมหาวัน
,วัดหัวง้ม 
,วัดถ้ำปุ่ม 
,วัดปงสนุก
,วัดพระธาตุขุนทอง
,วัดดอนเรือง
,วัดเดื่อป่อง
,วัดโป่งสลี
,วัดแม่บง
,วัดเขาแก้วอภัย
,วัดสันทรายใหม่
,วัดร่องก๊อ
,วัดปงค์
,วัดกาคำ
,วัดปางหัด
,วัดแม่เจดีย์
,วัดสันสลี
,วัดแม่ขะจาน
,วัดเกษแก้ว
,วัดป่าเป้า
,วัดแม่ต๋ำน้อย
,วัดปอเรียง
,วัดแม่อ้อใน
,วัดห้วยขม
,วัดสันน้ำบ่อ
,วัดป่าแขม
,วัดบ้านทุ่ง
,วัดขัวแคร่
,วัดป่ามหามงคล
,วัดแสงแก้วโพธิญาณ
,วัดบ้านถ้ำ
,วัดงิ้วใหม่
,วัดสันม่วงคำ
,วัดปงหลวง
,วัดวังผาศิลาราม
,วัดเวียงสา
,วัดแม่เงิน
,วัดห้วยก้าง
,วัดป่ายาง
,วัดป่าบงหลวง
,วัดสัณฐาน
,วัดพระธาตุภูเข้า 
,วัดประทุมวราราม 
,วัดดอยงำเมือง
,วัดม่วงทอง
,วัดผากุบ
,วัดหนองถ้ำ
,วัดป่าแดง
,วัดศรีดอยเรือง
,วัดเทิง
,วัดหนองบัว
,วัดสันมะเค็ด
,วัดร่องกู่
,วัดหนองป่าก่อ
,วัดพระธาตุหมอกมุงเมือง
,วัดสันไทรงาม
,วัดพระมหาชินธาตุเจ้า 
,วัดพร้าวกุด
,วัดส้าน
,วัดพระธาตุจอมสัก
,วัดสันต้นเปา
,วัดศรีชุมประชา
,วัดเชื้อเจ็ดตน
,วัดสบสม
,วัดดงชัย
,วัดป่าซางโพธิ์ทอง 
,วัดปางหมอปวง
,วัดสันมะแฟน
,วัดศรีมิ่งแก้ว
,วัดฮ่างต่ำ
,วัดสบรวก
,วัดห้วยเกี๋ยง
,วัดศรียางมูล
,วัดต้าหัวฝาย
,วัดศรีบังวัน
,วัดห้วยอ้ม
,วัดจอมคีรีพัธญา
,วัดผาสุการาม
,วัดดอยฮางใหม่
,วัดเชตุพน
,วัดป่าบง 
,วัดปากอิงเหนือ
,วัดสันกอง
,วัดดงน้ำล้อม
,วัดพระธาตุสองพี่น้อง
,วัดดอน
,วัดอินทราราม
,วัดดอยพระบาท
,วัดห้วยมะหินฝน
,วัดท่าดอกแก้ว
,วัดเหมืองแดง
,วัดห้วยหก
,วัดสักกวัน
,วัดห้วยห้อม
,วัดห้วยหลวงใต้
,วัดปางม่วน
,วัดวรกิจตาราม
,วัดราษฎร์บำรุง
,วัดปางอ้อย
,วัดป่าม่วง
,วัดป่าคา
,วัดป่าตึง
,วัดสันต้นม่วง 
,วัดหลวง
,วัดทุ่งทราย
,วัดศรีชุม
,วัดพระเจ้าหลวง
,วัดท่าต้นตัน
,วัดสันถนนใต้
,วัดบ้านสา
,วัดป่าอ้อบุญเรือง
,วัดปิยะพร 
,วัดปางริมกรณ์
,วัดต้นปล้อง
,วัดศรีสุวรรณ
,วัดผาลาด
,วัดสบกก
,วัดปิงเมือง
,วัดมุงเมือง
,วัดแม่ลาก
,วัดต้ากลาง
,วัดห้วยทรายขาว
,วัดดอยจัน
,วัดร่องเผียว
,วัดห้วยซ้อ
,วัดหนองแรดใต้รัตนาราม
,วัดสันทรายมล
,วัดเมืองกาญจน์
,วัดสารภี
,วัดดงหลวง
,วัดป่าแดงน้อย
,วัดแม่พุง
,วัดหัวเวียง
,วัดโป่งแดง
,วัดสันป่ง
,วัดคีรีธรรมาราม
,วัดทุ่งงิ้ว
,วัดเชียงคาน
,วัดเทพปราณี
,วัดแม่สรวย
,วัดสันต้อม
,วัดทุ่งกวาง
,วัดทุ่งสว่างอารมณ์
,วัดหนองสี่แจ่ง
,วัดศรียางชุม
,วัดนาปง
,วัดหนองร่อง
,วัดร่องเบ้อใน
,วัดแม่ข้าวต้มท่าสุด
,วัดใหม่เจริญ
,วัดเมืองชุม
,วัดหนองตุ้ม
,วัดสันมะค่า
,วัดดอนเจริญ
,วัดทุ่งยาว
,วัดศรีทรายมูล
,วัดบ้านดู่
,วัดหลวงราษฎร์เจริญธรรม
,วัดทุ่งโห้ง
,วัดร่องคต
,วัดป่าศรีธาตุไทรทอง
,วัดร่องธาร
,วัดน้ำม้า
,วัดแม่สาย
,วัดบ้านป่าบง
,วัดบ้านใหม่
,วัดเชียงทอง
,วัดป่าเลา
,วัดพระธาตุปูล้าน
,วัดพระธาตุจอมแจ้ง
,วัดป่าหัวดอย
,วัดสันนา
,วัดยางฮอม
,วัดทุ่งหลวง
,วัดน้ำลัดวังซาง
,วัดหนองแหย่ง
,วัดทุ่งเจริญ
,วัดร่องขุ่น 
,วัดป่าเปา
,วัดป่าข่า
,วัดป่าวังศิลา
,วัดม่วงเจ็ดต้น
,วัดแฟน
,วัดห้วยปลากั้ง
,วัดสันทราย
,วัดเชตวัน
,วัดถ้ำเสาหิน 
,วัดศรีชัยแม่มะ
,วัดสันหนองเหลียว
,วัดปางอ่าย
,วัดพระนาคแก้ว
,วัดป่าแดงหลวง
,วัดสันเกล็ดทอง
,วัดพระแก้ว
,วัดม่วงชุม
,วัดพระเกิดคงคาราม
,วัดบ้านกล้วย
,วัดผาเต่าคำ
,วัดดอนงาม
,วัดสันสลิด
,วัดตับเต่า
,วัดสักเหนือ
,วัดสันกองพัฒนาราม
,วัดลังกา
,วัดสันต้นผึ้ง
,วัดสันทางหลวง
,วัดร่องโบสถ
,วัดศรีบุญเกิด
,วัดศรีมงคล
,วัดห้วยหลวง
,วัดพื้นเมือง
,วัดสันกอเหียง
,วัดบ้านเขียะ
,วัดหนองบัวตอง
,วัดไคร้
,วัดร่องขุ่น
,วัดแม่กรณ์
,วัดป่าอ้อ
,วัดบ้านแหลว
,วัดห้วยส้านยาว
,วัดเขาสวรรค์
,วัดสันป่าลาน
,วัดทันใจ
,วัดพระธาตุสามดวง
,วัดเนินสมบูรณ์
,วัดสันขี้เหล็ก
,วัดปางเกาะทราย
,วัดพระธาตุแท่นคำ
,วัดโป่งเหนือ
,วัดเต๋น
,วัดจำคาวตอง
,วัดป่าห้า
,วัดแม่คำน้ำลัด
,วัดสันลิดไม้
,วัดป่ารวก
,วัดแม่ลอยไร่ 
,วัดหนองควาย
,วัดผาแล
,วัดแม่ต๋ำหลวง
,วัดศรีบุญเรือง
,วัดต้าหลวง
,วัดโล๊ะป่าห้า
,วัดถ้ำผาจรุย
,วัดท่าข้าวเปลือก
,วัดบ้านแซว
,วัดเจติยาราม
,วัดใหม่พัฒนา 
,วัดหนองแว่น
,วัดมรรคาราม
,วัดห้วยน้ำขุ่น
,วัดป่าเหมี้ยงแม่ก๊อหลวง
,วัดหนองคึก
,วัดปางมะกาด
,วัดไชยมงคล
,วัดป่าซางดอยแก้ว
,วัดบวกปลาค้าว
,วัดบุญเรืองใต้
,วัดแม่เผื่อ
,วัดบ้านโฮ่ง
,วัดครึ่งใต้
,วัดหัวรินคำ
,วัดห้วยเม็ง
,วัดต้นเขือง
,วัดโพธิ์ศรีพัฒนา
,วัดหมากเอียก
,วัดดอยงาม
,วัดร้องบง
,วัดสมานมิตร
,วัดศรีดอนเรือง
,วัดไชยราษฎร์สำราญ
,วัดสันปลาดุก
,วัดโป่งทะลาย
,วัดหัวฝาย
,วัดบุญยืน
,วัดดงมะคอแลน
,วัดป่าซางงาม
,วัดห้วยอ้มใหม่
,วัดโค้งงาม
,วัดแม่อ้อนอก
,วัดฝั่งหมิ่น
,วัดศรีปูคา
,วัดสองแคว
,วัดจอมคีรี
,วัดเทวานิมิต
,วัดพระธาตุเจดีย์ทอง 
,วัดพระเนตร
,วัดป่าแดงงาม
,วัดโป่งผา
,วัดพระเจ้าทองทิพย์
,วัดแก่นเหนือ
,วัดวังลาว
,วัดทุ่งห้า
,วัดสันทรายหลวง
,วัดสบแพง
,วัดไม้ยาเก่า
,วัดครึ่งเหนือ
,วัดสันไม้ฮาม
,วัดม่วงบุญเรือง
,วัดต้นก๊อ
,วัดท่าไคร้
,วัดปูแกง
,วัดช่องลม
,วัดแม่คาววัง
,วัดหนองสามัคคี
,วัดสันจำปา
,วัดทรายขาว 
,วัดห้วยโป่ง
,วัดแม่สาด
,วัดโป่งขาม
,วัดกู่สูง
,วัดใหม่ทุ่งหมด
,วัดบุญเรืองเหนือ
,วัดสันโค้งงาม
,วัดแม่คำ
,วัดสวนดอกสันทรายมูล
,วัดศาลาวาส
,วัดศรีถ้อย
,วัดอภัย
,วัดอุธราราม
,วัดแม่สว่าน
,วัดห้วยไคร้หลวง
,วัดกว๋าวโท้ง
,วัดสันป่าหนาด
,วัดจันตาโลก 
,วัดผาแตก
,วัดสันติธรรมเวียงเชียงรุ้ง
,วัดพระธาตุเกตุแก้วจุฬมณี 
,วัดปางค่า
,วัดดงมะดะ
,วัดห้วยเครือบ้า
,วัดโป่งนาคำ
,วัดหัตถีวนาราม
,วัดห้วยสัก
,วัดเนื้อนาบุญ
,วัดมิ่งเมือง
,วัดท่าน้ำ
,วัดสันสะอาด
,วัดหัวทุ่ง
,วัดสันต้นกอก
,วัดร่องริว
,วัดป่าซางบุนนาก
,วัดอาโยนาราม
,วัดเวียงแก้ว
,วัดเกาะผาคำ
,วัดต้นปี้
,วัดปางสนุก
,วัดวังช้าง
,วัดสันติคีรี
,วัดขุนลาว
,วัดนันทาราม
,วัดห้วยไคร้ใหม่
,วัดกลาง
,วัดป่าส้าน
,วัดดงมะเฟือง
,วัดจำไคร้
,วัดเกี๋ยงใต้
,วัดป่าแดด ดอนแก้ว
,วัดสันมะเหม้า
,วัดหนองหมด
,วัดผาบ่อง
,วัดสันหนองบัว
,วัดกำพร้าวัวทอง
,วัดสันทรายน้อย
,วัดกู่แก้ว
,วัดยาย
,วัดสันกำแพง
,วัดท่ามะโอ
,วัดร่องบง
,วัดดอนศิลา
,วัดบ่อแสง
,วัดสันเจริญ
,วัดหนองเสา
,วัดหนองผักจิก
,วัดบ่อทอง
,วัดดงมะผาง
,วัดสันยาว
,วัดสุวรรณาราม
,วัดแม่คำหนองบัว
,วัดแม่หะ
,วัดป่าเส้าดอนชัย
,วัดสันผักแค
,วัดทัพกุมารทอง
,วัดเวียงสักวราราม
,วัดสันต้นต้อง
,วัดราษฎร์เจริญ
,วัดแม่คำสบเปิน
,วัดดงมะตืน
,วัดศรีดอยชัย
,วัดสันป่ากอ
,วัดศรีคำเวียง
,วัดแม่แอบดอนแก้ว
,วัดแม่ต๋ำ
,วัดศรีโพธาราม
,วัดป่าซาง
,วัดดงขนุน
,วัดริมกก
,วัดลำเปิง
,วัดเทพวัน
,วัดเหมืองง่า
,วัดห้วยไคร้
,วัดบุญโยง
,วัดป่าตาลใต้
,วัดป่าลัน
,วัดหนองด่าน 
,วัดทุ่งดุก
,วัดป่าสักหางเวียง
,วัดสันสลีหลวง
,วัดเจดีย์หลวง
,วัดสันป่าตึง
,วัดพระธาตุจอมแว่
,วัดสว่างจันทร์
,วัดดงเวียงหวาย
