จังหวัด,รายชื่อวัด
เพชรบุรี,วัดราษฎร์นิมิต 
,วัดไทรทอง
,วัดหนองขาม
,วัดเนินหนองโสน(เขาเจ้าราม
,วัดสวนโมก
,วัดไร่ดอน
,วัดคูหาบรรพต(เขาสะแก
,วัดท่าเรือสามัคคี
,วัดโพธิ์เรียง
,วัดธ่อเจริญธรรม
,วัดอ่างศิลา
,วัดหนองเขาอ่อน
,วัดในปากทะเล
,วัดราษฎร์ศรัทธา
,วัดหนองไม้เหลือง
,วัดป่าเด็งธรรมาราม 
,วัดเพรียง
,วัดเขาชมพู
,วัดไตรรัตน์เจริญผล
,วัดสระพัง
,วัดท่าไชยศิริ
,วัดโรงเข้
,วัดลาดศรัทธาราม
,วัดพุมะคำสามัคคี
,วัดสุทธาวาส
,วัดดอนเตาอิฐ
,วัดบางหอ
,วัดสมุทรคาม
,วัดหนองแก
,วัดสมุทรโคดม
,วัดหนองควง
,วัดห้วยทรายใต้
,วัดบางประจันต์
,วัดรัตนตรัย
,วัดหนองเตียน
,วัดเพชรสุวรรณ
,วัดโคมนาราม
,วัดสารหิตาวาส
,วัดป่าแป้น
,วัดในกลาง
,วัดหนองปรง
,วัดไชยสุรินทร์
,วัดห้วยเสือ
,วัดพระธาตุศิริชัย
,วัดแม่คะเคย
,วัดห้วยกวางจริง
,วัดพวงมาลัย
,วัดนอกปากทะเล
,วัดวังบัว
,วัดกุ่ม
,วัดหนองจอก
,วัดสำมะโรง
,วัดหนองปลาไหล
,วัดสมอดาน
,วัดหนองปืนแตก
,วัดวิบูลย์ประชาสรรค์
,วัดเขาปากช่อง
,วัดป่าเขากลิ้ง
,วัดตำหรุ
,วัดปากคลอง
,วัดต้นสน
,วัดอ่างหิน
,วัดลุ่มโพธิ์ทอง
,วัดบางทะลุ
,วัดบันไดทอง
,วัดใหม่ประเสริฐ
,วัดพุสวรรค์
,วัดปึกเตียน
,วัดถ้ำรงค์
,วัดพิกุลแก้ว
,วัดสมุทรธาราม 
,วัดหนองแจง
,วัดอรัญญาราม
,วัดสนามพราหมณ์
,วัดเพชรพลี
,วัดพุม่วง
,วัดพระพุทธบาทเขาลูกช้าง
,วัดเกาะ
,วัดวังพุไทร
,วัดเจริญศรีมณีผล
,วัดหุบเหลา
,วัดเกษมสุทธาราม
,วัดนิคมวชิราราม
,วัดโพธิ์ทัยมณี
