จังหวัด,รายชื่อวัด
เพชรบูรณ์,วัดสว่างสามัคคี
,วัดโพนทอง
,วัดปัญจขันธ์
,วัดทุ่งจันทร์สมุทร
,วัดบุ่งคล้า
,วัดสระเกศ
,วัดไร่ฝายน้อย
,วัดสันติวัฒนา
,วัดเนินสะอาด
,วัดเขาบ่อทอง
,วัดโนนทอง
,วัดเกาะบรเพ็ด
,วัดบ้านโภชน์
,วัดสระหมื่นเชียง
,วัดกุฎีพระ
,วัดราษฎร์ศรัทธา
,วัดโป่งช้าง
,วัดบ้านหลุง
,วัดสีบานเย็น
,วัดโพธิ์ชัย
,วัดวังโบสถ์
,วัดเสลินทราราม
,วัดนันทชาติ
,วัดเปือยงาม
,วัดราษฎร์สามัคคีธรรม
,วัดบ้านไร่สว่างอารมณ์
,วัดตีบใต้
,วัดศรีจำปาทอง
,วัดห้วยหญ้าเครือ
,วัดหนองกระทุ่ม
,วัดเนินมะค่าน้อย
,วัดลำป่าสักมูล
,วัดคลองตะเคียน
,วัดประชาบำรุง
,วัดตูมคำมณี
,วัดซับบอน
,วัดซับไม้แดง 
,วัดจอมมณี
,วัดศรีชมชื่น
,วัดปากตกสามัคคี
,วัดเขาดิน
,วัดเสลียงแห้ง
,วัดโพธิ์กลาง
,วัดทักษิณาราม
,วัดไร่เหนือ
,วัดหนองย่างทอย
,วัดซำม่วง
,วัดโบสถ์ชนะมาร
,วัดบุ่งยาง
,วัดเกาะแก้ววนาราม
,วัดศรีสองคร
,วัดดงเข็ม
,วัดถ้ำสมบัติ
,วัดศรีเจริญหล
,วัดราชธานี
,วัดศรีธรรมา
,วัดอรัญวารี
,วัดดงลาน
,วัดธรรมสมาคม
,วัดทุ่งโตนด
,วัดนิลาวรรณประชาราม
,วัดกกไทร
,วัดโป่งนกแก้ว
,วัดโพธิ์เย็น
,วัดทรัพย์เจริญผล
,วัดธรรมยาน
,วัดหนองบัวทอง
,วัดเพชรวราราม
,วัดวังชมพู
,วัดใหม่ชัยมงคล
,วัดวารีวงค์
,วัดศรีแสนคำ
,วัดโรงบ่ม
,วัดโพธิ์ทอง
,วัดหนองไฮ
,วัดน้ำชุนวารี
,วัดแคมป์สน
,วัดวังรวก
,วัดศรีธงชัย
,วัดทุ่งสมอ
,วัดหนองกลอย
,วัดห้วยสนามทราย
,วัดสมโภชกรุงฯ 
,วัดโพนชัย
,วัดแก้วสว่าง
,วัดโนนสวรรค์บ้านชอน
,วัดรัตนาราม
,วัดลัฏฐิวนาราม
,วัดทุ่งธงไชย
,วัดศรีจันทร์พัฒนาราม
,วัดโคกพัฒนาราม
,วัดระวิง
,วัดโคกมน
,วัดดาวเรือง
,วัดศรีภูมิ
,วัดสระกรวด
,วัดบึงสามพัน 
,วัดหนองไผ่พิทยาราม
,วัดศรีจันทราราม
,วัดเขาสัก
,วัดถนนโค้ง
,วัดสะแกงาม
,วัดหนองปลาซิว
,วัดกกกะบก
,วัดวังปลาช่อน
,วัดเทศประชาราม
,วัดทุ่งหินปูน
,วัดกลุ่มนครนายก
,วัดป่าซับคำกอง
,วัดอุทุมพรวนาวาส
,วัดหนองไผ่ใต้
,วัดสว่างโพธาราม
,วัดหนองแจง
,วัดพญาวัง
,วัดน้ำพุสามัคคี
,วัดเขาวังเทพสถิตย์
,วัดผดุงราษฎร์
,วัดห้วยทรายทอง
,วัดโนนศรีแก้ว
,วัดทุ่งสะเดียง
,วัดศรีเทพ
,วัดแก้วพัฒนาราม
,วัดคลองน้ำคัน 
,วัดนิมิตธารา
,วัดยาวีใต้
,วัดบึงศรีเทพรัตนาราม
,วัดพระนอน
,วัดวิเชียรบำรุง
,วัดลำกง
,วัดอภัยมณีรัตน์
,วัดน้ำอ้อม
,วัดห้วยแสนงา
,วัดเขาถ้ำโถ
,วัดละหาน
,วัดซับหินเพลิง
,วัดเทวราชกุญชร
,วัดศรีฐาน
,วัดศรีทอง
,วัดทุ่งเรไร
,วัดโคกปรง
,วัดใหม่ไทยพัฒนา
,วัดไตรภูมิ
,วัดวังไผ่
,วัดวังเวิน
,วัดใหม่โคกเจริญ
,วัดช้างเผือก
,วัดจันทร์นิมิต
,วัดศรีไวย์
,วัดภูปูน
,วัดหนองป่าพง
,วัดวังพิกุล
,วัดวังมะปราง
,วัดบ้านพี้ศรีสุข
,วัดจิรวัฒนาราม
,วัดโคกสะอาด
,วัดบูรพาโพธิ์ทอง
,วัดวังกำแพง
,วัดโคกหิน
,วัดป่าเรไร
,วัดปากห้วยขอนแก่น
,วัดใหม่ถ้ำแก้ว
,วัดโนนน้ำร้อน
,วัดอำพวัน
,วัดพระพุทธบาทชนแดน
,วัดทรัพย์เกษตร
,วัดทุ่งสว่างนาจารย์
,วัดน้ำวิ่ง
,วัดตาดกลอยใต้
,วัดหนองสมบูรณ์
,วัดกุฎีดาว
,วัดเขาแก้วโพธิ์ทอง
,วัดสันติสุขาราม
,วัดมอดินแดง
,วัดถ้ำแก้ว
,วัดแก้วมณี
,วัดโนนสมบูรณ์
,วัดโนนสว่างอารมณ์
,วัดป่าห้วยชัน
,วัดสะแกพนาราม
,วัดเกาะสวรรค์
,วัดสังกิจจาราม
,วัดเทพมุนี 
,วัดหนองบัว
,วัดสามัคคีชัย
,วัดศรีสญชัย
,วัดซับชมภู
,วัดสามสวน
,วัดแสนสุข
,วัดในเรืองศรี
,วัดยางงาม
,วัดเพชรไอย์ศวร
,วัดทรายทอง
,วัดหนองไม้สอ
,วัดหนองแดง
,วัดห้วยไผ่
,วัดจอมแจ้ง
